Date,Open,High,Low,Close,Volume,Adj Close
2013-11-29,21.39,21.44,21.20,21.25,25043700,21.25
2013-11-27,21.29,21.35,21.15,21.27,40019800,21.27
2013-11-26,21.30,21.41,21.08,21.21,48612300,21.21
2013-11-25,21.45,21.52,21.27,21.27,37566000,21.27
2013-11-22,21.41,21.50,21.31,21.46,41091400,21.46
2013-11-21,21.36,21.49,21.25,21.47,40695500,21.47
2013-11-20,21.47,21.47,21.22,21.23,44299700,21.23
2013-11-19,21.31,21.54,21.12,21.42,56434700,21.42
2013-11-18,21.60,21.72,21.20,21.29,65955400,21.29
2013-11-15,21.46,21.69,21.26,21.54,85486800,21.54
2013-11-14,20.94,21.44,20.77,21.37,243064300,21.37
2013-11-13,23.60,24.00,23.51,24.00,73328400,24.00
2013-11-12,23.43,23.84,23.43,23.73,38020200,23.73
2013-11-11,23.50,23.58,23.40,23.45,22694900,23.45
2013-11-08,23.28,23.52,23.09,23.51,30884100,23.51
2013-11-07,23.41,23.56,23.07,23.11,35502900,23.11
2013-11-06,23.21,23.37,23.02,23.28,48142600,23.28
2013-11-05,22.61,23.25,22.42,23.07,46327100,23.07
2013-11-04,22.55,22.64,22.42,22.58,28606700,22.58
2013-11-01,22.66,22.68,22.40,22.57,33328700,22.57
2013-10-31,22.64,22.71,22.44,22.56,34497400,22.56
2013-10-30,22.87,22.94,22.66,22.71,30465600,22.71
2013-10-29,22.66,22.93,22.56,22.83,30074200,22.83
2013-10-28,22.40,22.55,22.31,22.55,24072100,22.55
2013-10-25,22.59,22.63,22.35,22.46,34253400,22.46
2013-10-24,22.34,22.43,22.10,22.37,50130300,22.37
2013-10-23,22.61,22.64,22.20,22.26,49021400,22.26
2013-10-22,22.99,23.00,22.42,22.65,64553000,22.65
2013-10-21,23.11,23.11,22.81,22.93,34594600,22.93
2013-10-18,22.86,23.14,22.76,22.96,44486600,22.96
2013-10-17,22.80,22.88,22.42,22.78,69366300,22.78
2013-10-16,23.22,23.30,22.81,23.00,40483000,23.00
2013-10-15,23.36,23.42,23.17,23.18,26201200,23.18
2013-10-14,23.16,23.36,23.07,23.34,29103100,23.34
2013-10-11,23.02,23.38,22.97,23.28,27773800,23.28
2013-10-10,22.70,23.08,22.60,23.01,38817500,23.01
2013-10-09,22.66,22.76,22.29,22.50,45438300,22.50
2013-10-08,22.97,22.97,22.62,22.64,31865700,22.64
2013-10-07,22.76,23.04,22.63,22.89,29575900,22.89
2013-10-04,22.96,23.09,22.85,23.02,33607800,23.02
2013-10-03,23.24,23.35,22.94,23.01,38161100,23.01
2013-10-02,23.10,23.36,23.00,23.32,40084700,23.32
2013-10-01,23.33,23.48,23.20,23.24,30137600,23.24
2013-09-30,23.12,23.53,23.02,23.43,40335700,23.26
2013-09-27,23.35,23.55,23.05,23.33,82455500,23.16
2013-09-26,24.30,24.36,23.69,23.77,54577900,23.60
2013-09-25,24.19,24.55,24.12,24.43,26563800,24.25
2013-09-24,24.14,24.32,23.94,24.14,29762400,23.96
2013-09-23,24.38,24.45,24.11,24.27,26910300,24.09
2013-09-20,24.73,24.75,24.43,24.51,37420400,24.33
2013-09-19,24.50,24.75,24.41,24.61,40090900,24.43
2013-09-18,24.33,24.80,24.30,24.80,29541300,24.62
2013-09-17,24.39,24.55,24.30,24.37,19999500,24.19
2013-09-16,24.43,24.47,24.13,24.38,32119900,24.20
2013-09-13,24.33,24.41,24.20,24.32,18509900,24.14
2013-09-12,24.42,24.45,24.24,24.29,22340000,24.11
2013-09-11,24.20,24.41,24.18,24.38,25153200,24.20
2013-09-10,24.03,24.25,24.00,24.16,29302400,23.98
2013-09-09,23.61,23.98,23.58,23.92,22744700,23.75
2013-09-06,23.82,23.84,23.39,23.55,28615800,23.38
2013-09-05,23.81,23.84,23.54,23.69,23926000,23.52
2013-09-04,23.52,23.92,23.50,23.77,27443900,23.60
2013-09-03,23.58,23.77,23.46,23.48,31875000,23.31
2013-08-30,23.46,23.55,23.22,23.31,35248400,23.14
2013-08-29,23.47,23.75,23.45,23.45,26605500,23.28
2013-08-28,23.55,23.58,23.38,23.45,28035900,23.28
2013-08-27,23.72,23.79,23.44,23.48,39768700,23.31
2013-08-26,23.84,24.05,23.76,23.83,35708500,23.66
2013-08-23,24.07,24.16,23.84,23.86,41268600,23.69
2013-08-22,24.07,24.22,23.96,24.01,24327000,23.84
2013-08-21,24.36,24.48,24.05,24.07,33392900,23.90
2013-08-20,24.28,24.56,24.22,24.32,43650200,24.14
2013-08-19,24.32,24.66,24.25,24.27,39630400,24.09
2013-08-16,24.53,24.66,24.25,24.27,42426200,24.09
2013-08-15,24.39,24.83,24.28,24.48,130110100,24.30
2013-08-14,26.45,26.45,25.97,26.38,77049400,26.19
2013-08-13,26.45,26.48,26.07,26.32,36466000,26.13
2013-08-12,25.86,26.45,25.85,26.34,32103600,26.15
2013-08-09,26.30,26.35,25.86,26.05,27309000,25.86
2013-08-08,26.27,26.32,26.18,26.26,20512100,26.07
2013-08-07,26.31,26.49,26.12,26.12,33489600,25.93
2013-08-06,26.41,26.41,26.06,26.21,26093500,26.02
2013-08-05,26.11,26.42,26.11,26.31,28701800,26.12
2013-08-02,25.80,26.19,25.73,26.19,26496700,26.00
2013-08-01,25.79,25.93,25.65,25.89,23330000,25.70
2013-07-31,25.80,25.89,25.55,25.59,30709400,25.40
2013-07-30,25.46,26.04,25.41,25.67,45348500,25.48
2013-07-29,25.36,25.47,25.23,25.33,17839400,25.15
2013-07-26,25.25,25.50,25.23,25.50,19946400,25.31
2013-07-25,25.60,25.62,25.31,25.50,31482600,25.31
2013-07-24,25.84,25.99,25.45,25.59,27330800,25.40
2013-07-23,25.70,25.77,25.49,25.56,27954800,25.37
2013-07-22,26.00,26.04,25.48,25.72,30419600,25.53
2013-07-19,25.86,26.00,25.62,25.82,39224200,25.63
2013-07-18,25.87,26.15,25.73,25.86,32996900,25.67
2013-07-17,25.80,25.86,25.60,25.72,22080800,25.53
2013-07-16,25.86,25.99,25.63,25.71,26336200,25.52
2013-07-15,25.78,25.99,25.64,25.93,26879600,25.74
2013-07-12,25.85,25.95,25.66,25.94,28410100,25.75
2013-07-11,25.62,25.93,25.57,25.87,45944600,25.68
2013-07-10,25.07,25.56,25.06,25.41,37757800,25.23
2013-07-09,24.76,25.20,24.74,25.16,46103900,24.98
2013-07-08,24.66,24.75,24.39,24.63,34669400,24.45
2013-07-05,24.64,24.66,24.25,24.57,19984900,24.39
2013-07-03,24.36,24.84,24.27,24.59,24775000,24.41
2013-07-02,24.24,24.64,24.22,24.32,31098600,24.14
2013-07-01,24.42,24.83,24.31,24.34,33674000,24.16
2013-06-28,24.43,24.61,24.30,24.34,35574300,23.99
2013-06-27,24.47,24.71,24.46,24.63,27115400,24.28
2013-06-26,24.30,24.45,24.18,24.39,32721400,24.04
2013-06-25,24.31,24.44,23.99,24.01,41334800,23.67
2013-06-24,24.32,24.47,24.04,24.06,35972700,23.72
2013-06-21,24.38,24.62,24.21,24.48,62052200,24.13
2013-06-20,24.48,24.73,24.30,24.44,47759000,24.09
2013-06-19,24.78,24.96,24.68,24.68,29472900,24.33
2013-06-18,24.72,24.98,24.70,24.82,34939200,24.47
2013-06-17,24.26,24.96,24.23,24.70,46042800,24.35
2013-06-14,24.31,24.50,24.08,24.09,29841100,23.75
2013-06-13,23.93,24.40,23.88,24.35,27238900,24.00
2013-06-12,24.22,24.31,23.98,23.99,29980300,23.65
2013-06-11,24.13,24.45,24.05,24.07,28060200,23.73
2013-06-10,24.57,24.67,24.28,24.36,33779400,24.01
2013-06-07,24.62,24.78,24.38,24.49,42729400,24.14
2013-06-06,24.48,24.69,24.24,24.55,44830200,24.20
2013-06-05,24.27,24.64,24.21,24.32,45742100,23.97
2013-06-04,24.27,24.60,24.03,24.36,30628500,24.01
2013-06-03,24.26,24.50,24.03,24.38,30815300,24.03
2013-05-31,24.20,24.53,24.08,24.12,40885800,23.78
2013-05-30,24.15,24.68,24.02,24.37,45162100,24.02
2013-05-29,23.71,24.24,23.70,24.12,37314000,23.78
2013-05-28,23.81,24.12,23.69,23.89,40023900,23.55
2013-05-24,23.39,23.66,23.31,23.53,25036200,23.20
2013-05-23,23.12,23.61,23.06,23.51,44376600,23.18
2013-05-22,24.00,24.02,23.25,23.34,46836300,23.01
2013-05-21,23.89,24.06,23.59,24.01,48135200,23.67
2013-05-20,23.90,23.97,23.64,23.95,54632000,23.61
2013-05-17,23.85,24.25,23.70,24.24,78569900,23.90
2013-05-16,23.51,24.24,23.36,23.89,201626500,23.55
2013-05-15,21.25,21.29,21.12,21.21,55412900,20.91
2013-05-14,21.21,21.42,21.15,21.27,38494300,20.97
2013-05-13,21.14,21.28,21.05,21.27,35347200,20.97
2013-05-10,20.83,21.10,20.82,21.10,26926900,20.80
2013-05-09,20.72,20.95,20.62,20.83,25790200,20.53
2013-05-08,20.40,20.76,20.40,20.72,37412500,20.43
2013-05-07,20.68,20.71,20.29,20.38,55003400,20.09
2013-05-06,20.87,20.92,20.74,20.81,31315900,20.51
2013-05-03,20.93,20.96,20.76,20.83,41962700,20.53
2013-05-02,20.47,20.75,20.44,20.73,54869800,20.44
2013-05-01,20.83,20.90,20.35,20.38,44773400,20.09
2013-04-30,20.99,21.25,20.80,20.92,37777300,20.62
2013-04-29,20.65,21.07,20.47,20.98,29476200,20.68
2013-04-26,20.61,20.71,20.51,20.67,33713500,20.38
2013-04-25,20.50,20.77,20.39,20.64,40488500,20.35
2013-04-24,20.47,20.53,20.26,20.39,55759200,20.10
2013-04-23,20.75,21.10,20.73,20.91,34873500,20.61
2013-04-22,20.53,20.65,20.27,20.59,31452800,20.30
2013-04-19,20.20,20.55,19.98,20.46,51142000,20.17
2013-04-18,20.74,20.85,20.45,20.58,35401400,22.22
2013-04-17,20.95,21.02,20.59,20.63,30873000,20.34
2013-04-16,21.15,21.17,20.95,21.16,32745100,20.86
2013-04-15,21.45,21.64,21.05,21.05,27961000,20.75
2013-04-12,21.67,21.70,21.12,21.54,31584600,21.23
2013-04-11,21.33,21.70,21.27,21.69,35992200,21.38
2013-04-10,21.07,21.60,21.02,21.47,39308100,21.17
2013-04-09,20.64,21.05,20.58,20.97,27529500,20.67
2013-04-08,20.69,20.73,20.47,20.57,22968600,20.28
2013-04-05,20.25,20.70,20.00,20.61,54767100,20.32
2013-04-04,21.01,21.09,20.96,21.04,25075100,20.74
2013-04-03,21.28,21.37,21.11,21.20,30101400,20.73
2013-04-02,20.96,21.29,20.90,21.22,34098100,20.75
2013-04-01,21.04,21.38,20.78,20.83,40009200,20.37
2013-03-28,20.84,20.94,20.77,20.90,28323200,20.44
2013-03-27,20.68,20.90,20.61,20.83,27760900,20.37
2013-03-26,20.94,20.96,20.69,20.85,27627800,20.39
2013-03-25,20.88,20.99,20.71,20.85,36429100,20.39
2013-03-22,20.93,21.07,20.69,20.75,39902900,20.29
