Date,Open,High,Low,Close,Volume,Adj Close
8/1/2008,185,186,178.66,182,7495400,168.72
8/4/2008,179.66,180.59,176.2,177.86,7551900,164.89
8/5/2008,178.89,180.83,175.5,180.77,8772200,167.58
8/6/2008,179,180.9,177.5,179.55,5832700,166.45
8/7/2008,177.22,178.5,171.15,172.33,9103100,159.76
8/8/2008,172.76,178.45,172.02,175.95,6634600,163.12
8/11/2008,176.38,183.2,175.07,178,8798500,165.02
8/12/2008,173.3,173.48,166.56,167.3,14023800,155.1
8/13/2008,167,169.4,162.4,164.9,12391300,152.87
8/14/2008,164.61,168.9,164.11,166.59,8660000,154.44
8/15/2008,167.4,167.69,162.34,163.18,8386200,151.28
8/18/2008,162.26,162.68,159.7,160.04,7421100,148.37
8/19/2008,158.49,161.75,156.9,158,8966300,146.47
8/20/2008,158.13,160.44,155.3,158.25,9443400,146.71
8/21/2008,155.79,158,152.59,156.42,14534400,145.01
8/22/2008,159.99,160.81,156.8,159.81,8321000,148.15
8/25/2008,158.59,158.66,155.11,155.71,6122500,144.35
8/26/2008,155.51,157.86,153.38,155.91,5995500,144.54
8/27/2008,154.71,155.88,153.41,155.48,6660200,144.14
8/28/2008,157.24,161.83,156.67,161.83,8565800,150.03
8/29/2008,160.56,165,160.27,163.97,7586300,152.01
9/2/2008,167.5,168.91,162.7,165.32,8212100,153.26
9/3/2008,163.97,167.92,162.03,167.61,6673500,155.38
9/4/2008,166.15,167.5,160,160.9,7788700,149.16
9/5/2008,157.77,163.71,157.72,163.24,7539000,151.33
9/8/2008,171,172.45,162.51,169.73,14981500,157.35
9/9/2008,167.3,168.38,160.5,161.67,12437500,149.88
9/10/2008,159.9,161,155.73,157.59,12939000,146.09
9/11/2008,151.36,159.42,149.87,157.03,20752800,145.58
9/12/2008,154.38,161.77,152.35,154.21,15622500,142.96
9/15/2008,142.28,151.4,130.43,135.5,42202300,125.62
9/16/2008,118,135.29,116.13,133.01,48296400,123.31
9/17/2008,120.8,126.6,97.78,114.5,112060400,106.15
9/18/2008,106,120,86.31,108,114590700,100.12
9/19/2008,142.51,144.98,116,129.8,43208300,120.33
9/22/2008,132.78,135.64,120.43,120.78,21938700,111.97
9/23/2008,118.89,125.95,113.01,125.05,20037600,115.93
9/24/2008,128.44,133.7,126.02,133,46611300,123.3
9/25/2008,134.25,137.99,128.76,135.5,19172100,125.62
9/26/2008,132.49,137.99,129.51,137.99,15806400,127.92
9/29/2008,134.49,134.62,105,120.7,24147600,111.9
9/30/2008,126.89,130,124.5,128,13129900,118.66
10/1/2008,127.32,135.35,124.99,134.5,13837100,124.69
10/2/2008,132.17,133.21,128.05,131.54,10894700,121.94
10/3/2008,132.84,142,126.94,128,16080700,118.66
10/6/2008,122.1,127.17,115,124,21368000,114.95
10/7/2008,127.51,127.51,112.02,115,17184000,106.61
10/8/2008,110,121,107.55,113,18223800,104.76
10/9/2008,117.75,118.94,100,101.35,28150500,93.96
10/10/2008,86.11,99.4,74,88.8,71312700,82.32
10/13/2008,98.93,115.65,91,111,45400500,102.9
10/14/2008,125.97,128,117.32,122.9,41605300,113.94
10/15/2008,114.45,120.71,110.79,113.15,22250100,104.9
10/16/2008,115,118.49,104,112.4,27901700,104.2
10/17/2008,110.24,118.59,107,114.3,18413500,105.96
10/20/2008,117.55,123.8,115.65,121.5,16908300,112.64
10/21/2008,120.84,123.62,118.83,121.35,13588000,112.5
10/22/2008,117.19,120.19,111,115.06,15459100,106.67
10/23/2008,113.98,116,101.71,108.58,25529600,100.97
10/24/2008,96,105,96,100.4,24494800,93.36
10/27/2008,96.8,102,91.47,92.88,20595000,86.37
10/28/2008,96.99,97.25,82.22,93.57,50066600,87.01
10/29/2008,93.35,102.71,88.66,97.66,27769900,90.81
10/30/2008,101.16,101.25,88.01,91.11,29700400,84.72
10/31/2008,88.98,95,87.2,92.5,24881200,86.01
11/3/2008,92,95.25,87.31,89.09,19796200,82.84
11/4/2008,90.69,95,87.18,95,22105700,88.34
11/5/2008,92.78,94.71,86.5,87.43,15693100,81.3
11/6/2008,85.91,88.8,79.41,80.72,25933100,75.06
11/7/2008,81.45,81.85,75,77.78,31450400,72.33
11/10/2008,78.77,79.22,68.51,71.21,47450700,66.22
11/11/2008,69.36,75.42,66.68,74.68,47573900,69.44
11/12/2008,71.99,73.64,64.54,66.79,34436600,62.11
11/13/2008,67.79,70.4,61.02,69.99,39994000,65.08
11/14/2008,67.85,70,65.12,66.73,22186300,62.05
11/17/2008,64.79,66.33,61.75,62.49,20299400,58.11
11/18/2008,62.73,65.5,60.56,62.03,25737100,57.68
11/19/2008,61.33,63.45,54.54,55.18,30481500,51.31
11/20/2008,54,57.54,49,52,55618000,48.35
11/21/2008,54.54,54.54,47.41,53.31,39591500,49.57
