Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,1842.61,1849.44,1842.41,1848.36,2312840000,1848.36
2013-12-30,1841.47,1842.47,1838.77,1841.07,000,1841.07
2013-12-27,1842.97,1844.89,1839.81,1841.40,2052920000,1841.40
2013-12-26,1834.96,1842.84,1834.96,1842.02,1982270000,1842.02
2013-12-24,1828.02,1833.32,1828.02,1833.32,1307630000,1833.32
2013-12-23,1822.92,1829.75,1822.92,1827.99,2851540000,1827.99
2013-12-20,1810.39,1823.75,1810.25,1818.32,5097700000,1818.32
2013-12-19,1809.00,1810.88,1801.35,1809.60,3497210000,1809.60
2013-12-18,1781.46,1811.08,1767.99,1810.65,4327770000,1810.65
2013-12-17,1786.47,1786.77,1777.05,1781.00,3270030000,1781.00
2013-12-16,1777.48,1792.22,1777.48,1786.54,3209890000,1786.54
2013-12-13,1777.98,1780.92,1772.45,1775.32,3061070000,1775.32
2013-12-12,1781.71,1782.99,1772.28,1775.50,3306640000,1775.50
2013-12-11,1802.76,1802.97,1780.09,1782.22,3472240000,1782.22
2013-12-10,1807.60,1808.52,1801.75,1802.62,3117150000,1802.62
2013-12-09,1806.21,1811.52,1806.21,1808.37,3129500000,1808.37
2013-12-06,1788.36,1806.04,1788.36,1805.09,3150030000,1805.09
2013-12-05,1792.82,1792.82,1783.38,1785.03,3336880000,1785.03
2013-12-04,1793.15,1799.80,1779.09,1792.81,3610540000,1792.81
2013-12-03,1800.10,1800.10,1787.85,1795.15,3475680000,1795.15
2013-12-02,1806.55,1810.02,1798.60,1800.90,3095430000,1800.90
2013-11-29,1808.69,1813.55,1803.98,1805.81,1598300000,1805.81
2013-11-27,1803.48,1808.27,1802.77,1807.23,2613590000,1807.23
2013-11-26,1802.87,1808.42,1800.77,1802.75,3427120000,1802.75
2013-11-25,1806.33,1808.10,1800.58,1802.48,2998540000,1802.48
2013-11-22,1797.21,1804.84,1794.70,1804.76,3055140000,1804.76
2013-11-21,1783.52,1797.16,1783.52,1795.85,3256630000,1795.85
2013-11-20,1789.59,1795.73,1777.23,1781.37,3109140000,1781.37
2013-11-19,1790.79,1795.51,1784.72,1787.87,3224450000,1787.87
2013-11-18,1798.82,1802.33,1788.00,1791.53,3168520000,1791.53
2013-11-15,1790.66,1798.22,1790.66,1798.18,3254820000,1798.18
2013-11-14,1782.75,1791.53,1780.22,1790.62,3139060000,1790.62
2013-11-13,1764.37,1782.00,1760.64,1782.00,3327480000,1782.00
2013-11-12,1769.51,1771.78,1762.29,1767.69,3221030000,1767.69
2013-11-11,1769.96,1773.44,1767.85,1771.89,2534060000,1771.89
2013-11-08,1748.37,1770.78,1747.63,1770.61,3837170000,1770.61
2013-11-07,1770.74,1774.54,1746.20,1747.15,4143200000,1747.15
2013-11-06,1765.00,1773.74,1764.40,1770.49,3322100000,1770.49
2013-11-05,1765.67,1767.03,1755.76,1762.97,3516680000,1762.97
2013-11-04,1763.40,1768.78,1761.56,1767.93,3194870000,1767.93
2013-11-01,1758.70,1765.67,1752.70,1761.64,3686290000,1761.64
2013-10-31,1763.24,1768.53,1755.72,1756.54,3826530000,1756.54
2013-10-30,1772.27,1775.22,1757.24,1763.31,3523040000,1763.31
2013-10-29,1762.93,1772.09,1762.93,1771.95,3358460000,1771.95
2013-10-28,1759.42,1764.99,1757.67,1762.11,3282300000,1762.11
2013-10-25,1756.01,1759.82,1752.45,1759.77,3175720000,1759.77
2013-10-24,1747.48,1753.94,1745.50,1752.07,3671700000,1752.07
2013-10-23,1752.27,1752.27,1740.50,1746.38,3713380000,1746.38
2013-10-22,1746.48,1759.33,1746.48,1754.67,3850840000,1754.67
2013-10-21,1745.20,1747.79,1740.67,1744.66,3052710000,1744.66
2013-10-18,1736.72,1745.31,1735.74,1744.50,3664890000,1744.50
2013-10-17,1720.17,1733.45,1714.12,1733.15,3453590000,1733.15
2013-10-16,1700.49,1721.76,1700.49,1721.54,3486180000,1721.54
2013-10-15,1709.17,1711.57,1695.93,1698.06,3327740000,1698.06
2013-10-14,1699.86,1711.03,1692.13,1710.14,2580580000,1710.14
2013-10-11,1691.09,1703.44,1688.52,1703.20,2944670000,1703.20
2013-10-10,1660.88,1692.56,1660.88,1692.56,3362300000,1692.56
2013-10-09,1656.99,1662.47,1646.47,1656.40,3577840000,1656.40
2013-10-08,1676.22,1676.79,1655.03,1655.45,3569230000,1655.45
2013-10-07,1687.15,1687.15,1674.70,1676.12,2678490000,1676.12
2013-10-04,1678.79,1691.94,1677.33,1690.50,2880270000,1690.50
2013-10-03,1692.35,1692.35,1670.36,1678.66,3279650000,1678.66
2013-10-02,1691.90,1693.87,1680.34,1693.87,3148600000,1693.87
2013-10-01,1682.41,1696.55,1682.07,1695.00,3238690000,1695.00
2013-09-30,1687.26,1687.26,1674.99,1681.55,3308630000,1681.55
2013-09-27,1695.52,1695.52,1687.11,1691.75,2951700000,1691.75
2013-09-26,1694.05,1703.85,1693.11,1698.67,2813930000,1698.67
2013-09-25,1698.02,1701.71,1691.88,1692.77,3148730000,1692.77
2013-09-24,1702.60,1707.63,1694.90,1697.42,3268930000,1697.42
2013-09-23,1711.44,1711.44,1697.10,1701.84,3126950000,1701.84
2013-09-20,1722.44,1725.23,1708.89,1709.91,5074030000,1709.91
2013-09-19,1727.34,1729.86,1720.20,1722.34,3740130000,1722.34
2013-09-18,1705.74,1729.44,1700.35,1725.52,3989760000,1725.52
2013-09-17,1697.73,1705.52,1697.73,1704.76,2774240000,1704.76
2013-09-16,1691.70,1704.95,1691.70,1697.60,3079800000,1697.60
2013-09-13,1685.04,1688.73,1682.22,1687.99,2736500000,1687.99
2013-09-12,1689.21,1689.97,1681.96,1683.42,3106290000,1683.42
