Date,Open,High,Low,Close,Volume,Adj Close
2013-11-29,48.38,48.57,47.93,47.96,1024300,47.96
2013-11-27,47.18,47.39,46.82,46.93,609400,46.93
2013-11-26,46.91,47.10,46.75,46.80,780100,46.80
2013-11-25,46.86,46.94,46.64,46.68,706500,46.68
2013-11-22,45.75,46.36,45.71,46.27,684300,46.27
2013-11-21,45.45,45.61,45.24,45.50,613600,45.50
2013-11-20,45.68,45.81,45.00,45.17,904700,45.17
2013-11-19,45.86,45.99,45.55,45.69,941200,45.69
2013-11-18,46.31,46.39,45.73,45.84,1079100,45.84
2013-11-15,45.77,45.84,45.58,45.80,724100,45.80
2013-11-14,45.55,45.94,45.41,45.83,898100,45.83
2013-11-13,45.32,46.31,45.25,46.31,721400,46.31
2013-11-12,46.04,46.42,45.91,46.11,715400,46.11
2013-11-11,46.71,46.74,46.52,46.56,685900,46.56
2013-11-08,46.28,46.62,46.11,46.58,675200,46.58
2013-11-07,47.15,47.37,46.23,46.29,820500,46.29
2013-11-06,47.19,47.29,46.71,46.85,535600,46.85
2013-11-05,46.19,46.60,46.07,46.51,1069500,46.51
2013-11-04,47.58,47.65,47.21,47.49,971100,47.49
2013-11-01,48.05,48.12,47.67,47.93,919400,47.93
2013-10-31,48.88,48.96,48.31,48.32,611400,48.32
2013-10-30,49.08,49.27,48.50,48.76,865300,48.76
2013-10-29,49.15,50.31,49.05,49.59,1280400,49.59
2013-10-28,49.42,49.54,49.20,49.54,602800,49.54
2013-10-25,49.70,49.84,49.52,49.81,270000,49.81
2013-10-24,49.97,49.99,49.68,49.89,623700,49.89
2013-10-23,49.31,49.59,49.04,49.52,778700,49.52
2013-10-22,50.45,50.98,50.32,50.41,716400,50.41
2013-10-21,49.88,50.19,49.85,50.12,1106700,50.12
2013-10-18,50.75,50.94,50.59,50.82,788500,50.82
2013-10-17,49.64,50.31,49.61,50.28,979600,50.28
2013-10-16,49.23,49.74,49.15,49.61,901500,49.61
