Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,81.24,81.55,80.65,80.8,1104600,80.3
30-Dec-13,80.82,81.1,80.51,81.08,718700,80.58
27-Dec-13,80.96,81.14,80.56,80.72,723000,80.22
26-Dec-13,80.45,80.87,80.13,80.75,875300,80.25
24-Dec-13,79.78,80.29,79.6,80.22,599600,79.73
23-Dec-13,80.31,80.4,79.72,79.94,1426200,79.45
20-Dec-13,79.42,80.24,78.98,79.97,3547300,79.48
19-Dec-13,79.35,79.85,78.87,79.43,2483200,78.94
18-Dec-13,77.72,79.15,77.12,79.09,2858900,78.6
17-Dec-13,76.8,77.52,76.62,77.25,1712100,76.77
16-Dec-13,77.53,77.97,77.19,77.52,1359200,77.04
13-Dec-13,77.66,77.77,76.98,77.02,1654800,76.55
12-Dec-13,77.21,77.75,77.1,77.15,2987200,76.67
11-Dec-13,78.3,78.55,77.22,77.43,2905400,76.95
10-Dec-13,78.86,79.05,78.36,78.51,2000400,77.55
9-Dec-13,79.7,79.77,78.56,79.01,2375400,78.04
6-Dec-13,79.45,79.77,79.13,79.66,1870700,78.69
5-Dec-13,78.95,79.53,78.4,78.53,2218900,77.57
4-Dec-13,79.89,80.14,78.74,79.33,1861500,78.36
3-Dec-13,80.35,80.82,79.7,80.34,2847300,79.36
2-Dec-13,79.95,80.13,79.44,79.57,1367500,78.6
29-Nov-13,80.18,80.65,79.98,80.02,835000,79.04
27-Nov-13,80.3,80.52,79.96,80.33,1063400,79.35
26-Nov-13,83.18,83.82,79.8,80.31,2319500,79.33
25-Nov-13,80,80.4,79.94,80.12,1687200,79.14
22-Nov-13,79.65,80.04,79.56,80.01,1550400,79.03
21-Nov-13,79.32,79.87,79.13,79.78,1925000,78.8
20-Nov-13,79.91,80.13,78.81,79.05,2875800,78.08
19-Nov-13,78.8,80.44,78.28,79.71,6780200,78.73
18-Nov-13,77.36,77.7,77.14,77.36,1761400,76.41
15-Nov-13,76.87,77.4,76.55,77.33,2347700,76.38
14-Nov-13,76.64,77.43,76.51,76.97,2190300,76.03
13-Nov-13,75.65,76.5,75.24,76.45,2436900,75.51
12-Nov-13,75.69,75.9,75.39,75.72,1812600,74.79
11-Nov-13,75.83,76.04,75.5,75.76,1166700,74.83
8-Nov-13,75.44,76.03,75.21,76.01,1379200,75.08
7-Nov-13,76.15,76.41,75.21,75.33,1532700,74.41
6-Nov-13,75.34,76.05,75.32,75.83,1253500,74.9
5-Nov-13,75.25,75.67,74.74,75.51,1166900,74.59
4-Nov-13,75.72,75.91,74.95,75.51,1581100,74.59
1-Nov-13,75.35,75.48,74.89,75.31,1852300,74.39
31-Oct-13,74.26,75.25,74.01,75.03,2727000,74.11
30-Oct-13,75.91,75.91,73.77,74.3,2169500,73.39
29-Oct-13,76.04,76.66,75.57,76.35,1683400,75.42
28-Oct-13,75.32,76.08,75.15,75.67,1648100,74.74
25-Oct-13,75.31,75.71,74.96,75.51,1167800,74.59
24-Oct-13,75.3,75.64,75.14,75.41,1389900,74.49
23-Oct-13,75.24,75.31,74.83,75.11,1111600,74.19
22-Oct-13,74.92,75.75,74.64,75.45,1366700,74.53
21-Oct-13,73.99,74.75,73.89,74.7,1238600,73.79
18-Oct-13,74.15,74.5,73.87,74.19,1722700,73.28
17-Oct-13,73.41,74.15,73.25,74.08,1412500,73.17
16-Oct-13,72.95,73.79,72.72,73.72,1814200,72.82
15-Oct-13,72.54,72.71,72.18,72.32,1791200,71.43
14-Oct-13,72.36,72.89,72.14,72.86,987300,71.97
11-Oct-13,71.26,72.53,71.22,72.51,1076000,71.62
10-Oct-13,70.84,71.93,70.61,71.81,1402500,70.93
9-Oct-13,70.25,70.6,69.91,70.28,1415400,69.42
8-Oct-13,71.14,71.24,70.17,70.24,1503100,69.38
7-Oct-13,70.89,71.35,70.52,71.02,880600,70.15
4-Oct-13,71.26,71.61,70.94,71.52,1241000,70.64
3-Oct-13,71.71,72,70.89,71.1,1362600,70.23
2-Oct-13,72,72.11,71.66,72.02,1729700,71.14
1-Oct-13,72.58,72.58,71.89,72.16,1485300,71.28
30-Sep-13,72.31,72.51,71.89,72.38,1760700,71.49
27-Sep-13,72.7,72.73,71.61,72.56,1396000,71.67
26-Sep-13,72.83,73.2,72.57,72.92,1199300,72.03
25-Sep-13,73.09,73.22,72.32,72.52,1172000,71.63
24-Sep-13,72.45,73.3,72.29,72.95,1918700,72.06
23-Sep-13,74.2,74.62,72.71,73.13,3039100,72.24
20-Sep-13,74.76,74.88,74.36,74.43,2407900,73.52
19-Sep-13,74.89,74.95,74.48,74.68,1657400,73.77
18-Sep-13,74.17,74.86,73.75,74.74,1654100,73.83
17-Sep-13,74.24,74.41,73.9,74.16,2295100,73.25
16-Sep-13,74.85,74.93,74.03,74.1,1957800,73.19
13-Sep-13,74.23,74.33,73.46,74.09,1882400,73.18
12-Sep-13,73.91,74.51,73.75,74.18,1336100,73.27
11-Sep-13,73.36,74.11,73.18,74.01,3066300,73.1
10-Sep-13,74.38,74.38,73.74,73.74,3156000,72.41
9-Sep-13,73.14,73.94,73.14,73.79,1700300,72.46
6-Sep-13,72.45,73.28,71.37,73.13,2315700,71.81
5-Sep-13,71.83,72.38,71.79,72.34,1167600,71.03
4-Sep-13,70.09,72.12,69.76,72.05,1671800,70.75
3-Sep-13,71.98,72.45,71,71.41,1816200,70.12
30-Aug-13,71.29,71.31,70.76,71.16,1506000,69.87
29-Aug-13,70.78,71.64,70.42,71.3,1417700,70.01
28-Aug-13,71.12,71.4,70.85,70.94,1589200,69.66
27-Aug-13,71.22,71.58,70.9,70.94,1631800,69.66
26-Aug-13,69.89,72.48,69.89,72.03,1099200,70.73
23-Aug-13,72.48,72.56,72.01,72.28,1318400,70.97
22-Aug-13,72.01,72.64,71.9,72.44,809500,71.13
21-Aug-13,72.15,72.38,71.61,71.83,1564400,70.53
20-Aug-13,71.79,72.51,71.75,72.34,1230000,71.03
19-Aug-13,71.61,72.24,71.61,71.9,1388800,70.6
16-Aug-13,71.47,72.08,71.38,71.89,1792600,70.59
15-Aug-13,72.22,72.24,71.35,71.61,1553400,70.32
14-Aug-13,72.84,73.08,72.64,72.68,1391400,71.37
13-Aug-13,72.99,73.03,72.64,72.99,2495100,71.67
12-Aug-13,72.01,72.83,71.9,72.8,1275400,71.48
9-Aug-13,72.07,72.6,71.94,72.46,1238800,71.15
8-Aug-13,72.36,72.65,71.95,72.34,1375400,71.03
7-Aug-13,72.11,72.28,71.67,71.99,1460900,70.69
6-Aug-13,71.48,72.38,71.1,72.24,1691800,70.93
5-Aug-13,71.53,71.71,71.16,71.6,2032100,70.31
2-Aug-13,71.22,71.62,70.86,71.58,2087700,70.29
1-Aug-13,70.51,72.02,70.11,71.85,2312000,70.55
31-Jul-13,72.62,72.78,72.04,72.09,2185500,70.79
30-Jul-13,72.69,72.69,72.01,72.14,1252500,70.84
29-Jul-13,72.16,72.49,71.85,72.1,926100,70.8
26-Jul-13,72.05,72.5,71.71,72.48,1426600,71.17
25-Jul-13,72.18,72.4,71.66,72.17,1572600,70.87
24-Jul-13,72.95,72.95,72.05,72.22,1286100,70.92
23-Jul-13,73.17,73.33,72.48,72.49,1540800,71.18
22-Jul-13,73.79,73.83,72.79,73.16,1603300,71.84
19-Jul-13,73.14,73.17,72.26,72.88,2265400,71.56
18-Jul-13,72.67,73.05,72.56,72.82,1281100,71.5
17-Jul-13,72.67,72.85,72.26,72.32,1890300,71.01
16-Jul-13,72.54,72.63,72.07,72.3,1303700,70.99
15-Jul-13,73.25,73.32,72.22,72.36,2081600,71.05
12-Jul-13,71.99,73.44,71.93,73.41,2809000,72.08
11-Jul-13,72.22,72.59,71.75,71.85,2252800,70.55
10-Jul-13,70.86,71.87,70.84,71.75,1689300,70.45
9-Jul-13,71,71.34,70.89,71.04,1486100,69.76
8-Jul-13,70.88,71.27,70.77,70.97,1357700,69.69
5-Jul-13,70.64,71.17,70,70.75,1534700,69.47
3-Jul-13,69.69,70.59,69.56,70.24,1053900,68.97
2-Jul-13,69.79,70.49,69.2,70.08,2356000,68.81
1-Jul-13,68.83,69.92,68.75,69.45,1950200,68.2
28-Jun-13,68.91,69.37,68.5,68.86,3112800,67.62
27-Jun-13,69.68,69.92,69.19,69.37,1379800,68.12
26-Jun-13,69.5,69.75,69.15,69.35,1709500,68.1
25-Jun-13,69.16,69.16,68.16,68.84,1316700,67.6
24-Jun-13,68.42,68.93,68.11,68.38,1812300,67.14
21-Jun-13,68.68,68.98,67.99,68.68,3197300,67.44
20-Jun-13,68.44,68.66,68.08,68.2,2492900,66.97
19-Jun-13,69.08,69.98,68.92,69.04,1904300,67.79
18-Jun-13,68.67,69.68,68.61,69.6,1280200,68.34
17-Jun-13,68.56,69.09,68.39,68.7,1695700,67.46
14-Jun-13,68.05,68.54,67.85,68.01,1422700,66.78
13-Jun-13,67.33,68.49,67.16,68.28,1547300,67.05
12-Jun-13,68.25,68.34,67.26,67.33,1445400,66.11
11-Jun-13,68.33,68.69,67.98,68.11,1595000,66.45
10-Jun-13,68.96,69.1,68.58,68.78,1139300,67.11
7-Jun-13,68.51,69.05,68.18,68.91,2050600,67.23
6-Jun-13,67.68,68.03,67.28,67.94,2233600,66.29
5-Jun-13,68.63,68.9,67.79,67.86,1735000,66.21
4-Jun-13,69.45,69.87,68.62,68.97,1776400,67.29
3-Jun-13,68.66,69.61,68.66,69.55,2161800,67.86
31-May-13,69.43,70.16,68.59,68.72,3119200,67.05
30-May-13,70.01,70.2,69.81,69.81,1493200,68.11
29-May-13,70,70.2,69.5,69.77,1488900,68.07
28-May-13,70.5,71.06,70.22,70.49,1838300,68.77
24-May-13,69.67,69.85,69.29,69.85,1569900,68.15
23-May-13,69.91,70.21,69.72,69.93,1938200,68.23
22-May-13,71.09,71.18,70.02,70.26,2787200,68.55
21-May-13,71.03,71.43,70.81,71.03,1959300,69.3
20-May-13,72,72,70.82,71.05,2152900,69.32
17-May-13,71.46,72,71,71.99,2555000,70.24
16-May-13,71.52,71.91,70.88,70.98,1924900,69.25
15-May-13,70.85,71.75,70.75,71.74,2246300,69.99
14-May-13,70.2,70.91,70.19,70.81,1820900,69.09
13-May-13,69.78,70.17,69.74,70.08,1357300,68.37
10-May-13,70.12,70.27,69.58,70.03,1653000,68.33
9-May-13,68.89,70.25,68.8,70,3063700,68.3
8-May-13,68.64,68.8,68.41,68.56,2448000,66.89
7-May-13,68.82,69.09,68.53,68.65,1955700,66.98
6-May-13,69.16,69.16,68.53,68.68,1339000,67.01
3-May-13,68.52,69.28,68.02,69.23,1879800,67.55
2-May-13,66.83,67.74,66.6,67.39,1679500,65.75
1-May-13,67.39,67.39,66.7,66.82,1541200,65.19
30-Apr-13,66.99,67.35,66.87,67.34,1641700,65.7
29-Apr-13,66.55,67.25,66.4,67.14,949500,65.51
26-Apr-13,66.76,66.77,66.2,66.59,862200,64.97
25-Apr-13,66.93,66.98,66.49,66.77,1526300,65.15
24-Apr-13,66.7,66.95,66.45,66.67,1282100,65.05
23-Apr-13,65.94,66.39,65.41,66.36,1268500,64.75
22-Apr-13,65.21,65.68,64.71,65.5,1382900,63.91
19-Apr-13,64.37,65.43,64.37,65.23,2144800,63.64
18-Apr-13,65.83,65.87,64.38,64.63,1454600,63.06
17-Apr-13,64.82,65.42,63.98,65.35,2980300,63.76
16-Apr-13,64.71,65.47,64.52,65.41,1539400,63.82
15-Apr-13,65.8,65.9,64.44,64.46,1822000,62.89
12-Apr-13,66.13,66.13,65.51,65.91,1511900,64.31
11-Apr-13,65.64,66.21,65.47,66.11,1196500,64.5
10-Apr-13,64.44,65.7,64.29,65.66,1392800,64.06
9-Apr-13,64.35,64.72,63.84,64.46,1505000,62.89
8-Apr-13,63.69,64.26,63.54,64.26,1087100,62.7
5-Apr-13,64.1,64.11,63.3,63.77,1689700,62.22
4-Apr-13,64.85,65.06,64.32,64.72,1206900,63.14
3-Apr-13,65.26,65.49,64.56,64.75,1600100,63.17
2-Apr-13,65.15,65.68,64.85,65.28,1929200,63.69
1-Apr-13,64.66,65.18,64.5,64.68,1498900,63.11
28-Mar-13,64.5,65.12,64.33,65.03,2213600,63.45
27-Mar-13,64.4,64.73,64.1,64.66,1511400,63.09
26-Mar-13,64.04,64.8,64.04,64.79,1919200,63.21
25-Mar-13,64.45,64.55,63.56,63.93,1712100,62.37
22-Mar-13,64,64.22,63.65,64.08,1597700,62.52
21-Mar-13,63.98,64.39,63.43,63.73,2220000,62.18
20-Mar-13,64.65,64.82,64.16,64.43,1643100,62.86
19-Mar-13,64.31,64.46,63.66,64.31,1573600,62.74
18-Mar-13,63.87,64.47,63.8,64.22,1639800,62.66
15-Mar-13,64.67,65.05,64.37,64.48,3560900,62.91
14-Mar-13,64.2,65.03,64.2,65.02,2501800,63.44
13-Mar-13,64,64.21,63.85,64.18,1425400,62.62
12-Mar-13,63.9,63.98,63.75,63.97,1956500,62.41
11-Mar-13,63.38,63.89,63.34,63.87,1799000,62.32
8-Mar-13,63.26,63.71,63.16,63.35,2093800,61.81
7-Mar-13,62.48,63.57,62.3,63.34,3539500,61.8
6-Mar-13,62.54,62.56,62.03,62.3,1552300,60.78
5-Mar-13,62,62.7,61.92,62.66,1810000,60.71
4-Mar-13,61.32,61.89,61.1,61.84,1763800,59.92
1-Mar-13,61.29,61.75,60.69,61.65,1703400,59.73
28-Feb-13,61.7,61.72,61.36,61.36,1942000,59.45
27-Feb-13,60.86,61.83,60.66,61.59,1659800,59.67
26-Feb-13,61.12,61.37,60.72,61.08,1954800,59.18
25-Feb-13,61.48,61.74,60.76,60.77,2578200,58.88
22-Feb-13,60.71,61.02,60.34,61.01,1570100,59.11
21-Feb-13,61.16,61.16,60.07,60.27,2305200,58.4
20-Feb-13,61.43,61.76,61.13,61.21,2000800,59.31
19-Feb-13,61.22,61.49,61.09,61.46,1661900,59.55
15-Feb-13,61.26,61.26,60.75,61.22,2192800,59.32
14-Feb-13,60.25,60.78,60.03,60.74,1704900,58.85
13-Feb-13,60.56,60.79,60.05,60.45,1806100,58.57
12-Feb-13,60.24,60.57,60,60.36,1342400,58.48
11-Feb-13,60.79,60.98,60.28,60.34,1366400,58.46
8-Feb-13,60.71,61,60.51,60.93,1813200,59.03
7-Feb-13,60.63,60.74,59.83,60.5,2097900,58.62
6-Feb-13,60.97,61.2,60.19,60.77,1957200,58.88
5-Feb-13,59.84,61.25,59.56,61.23,3086200,59.33
4-Feb-13,60.5,60.75,59.48,59.55,2815500,57.7
1-Feb-13,59.88,60.72,59.78,60.65,2512100,58.76
31-Jan-13,59.33,59.77,59.26,59.29,2600300,57.45
30-Jan-13,60.16,60.25,59.34,59.47,1912000,57.62
29-Jan-13,59.52,60.34,59.33,60.27,2338200,58.4
28-Jan-13,60,60,59.62,59.64,1385700,57.78
25-Jan-13,59.98,60,59.54,59.89,1452000,58.03
24-Jan-13,59.79,59.97,59.44,59.71,1814300,57.85
23-Jan-13,59.97,59.97,59.41,59.56,1772700,57.71
22-Jan-13,59.65,59.97,59.27,59.96,2175500,58.09
18-Jan-13,59.18,59.73,59.08,59.72,2515700,57.86
17-Jan-13,59.16,59.35,58.91,59.17,1215100,57.33
16-Jan-13,59.28,59.36,58.79,58.83,1660900,57
15-Jan-13,59.3,59.31,58.91,59.14,1846900,57.3
14-Jan-13,59.42,59.55,59.17,59.41,1770500,57.56
11-Jan-13,59.93,60,59.19,59.42,1336000,57.57
10-Jan-13,59.48,59.49,58.97,59.32,1818600,57.47
9-Jan-13,59.4,59.42,58.87,59.1,1940700,57.26
8-Jan-13,58.79,59.32,58.6,59.25,1689500,57.41
7-Jan-13,58.82,59.09,58.43,58.91,1503800,57.08
4-Jan-13,58.82,59.29,58.56,59.14,1855400,57.3
3-Jan-13,58.61,58.83,57.75,58.62,2251500,56.8
2-Jan-13,58.06,58.55,57.75,58.39,2824900,56.57
