Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,394.58,398.83,393.8,398.79,1996500,398.79
30-Dec-13,399.41,399.92,392.45,393.37,2487100,393.37
27-Dec-13,404.65,405.63,396.25,398.08,1986900,398.08
26-Dec-13,401.79,404.52,396.81,404.39,1868500,404.39
24-Dec-13,402.52,403.72,396.37,399.2,1380400,399.2
23-Dec-13,403.69,405,399.2,402.92,2659500,402.92
20-Dec-13,396.55,404.72,395.78,402.2,5033900,402.2
19-Dec-13,394.27,397.29,392.6,395.19,2427200,395.19
18-Dec-13,389.23,396.3,383.1,395.96,3489100,395.96
17-Dec-13,390.65,391.36,386.5,387.65,2343900,387.65
16-Dec-13,385.03,391.7,385,388.97,2251700,388.97
13-Dec-13,385.32,389.42,383.8,384.24,3025000,384.24
12-Dec-13,381.26,385,379.5,381.25,2123700,381.25
11-Dec-13,387.34,388.98,382,382.19,2451300,382.19
10-Dec-13,383.74,389.06,383.02,387.78,2736800,387.78
9-Dec-13,388.11,388.21,382.57,384.89,2761800,384.89
6-Dec-13,388.35,388.35,383.83,386.95,1984700,386.95
5-Dec-13,386.65,386.65,381.37,384.49,1906500,384.49
4-Dec-13,383.5,389.69,381.49,385.96,2355300,385.96
3-Dec-13,390.11,390.95,383.1,384.66,3702900,384.66
2-Dec-13,399,399,389.1,392.3,4714000,392.3
29-Nov-13,389.1,394.1,388.62,393.62,2406000,393.62
27-Nov-13,383.5,387,382.61,386.71,2269700,386.71
26-Nov-13,377.61,382.5,374.82,381.37,2724400,381.37
25-Nov-13,373.82,377.79,373.18,376.64,2972300,376.64
22-Nov-13,370,374.5,366.31,372.31,2965500,372.31
21-Nov-13,364.05,369.25,363.3,368.92,1964600,368.92
20-Nov-13,367.56,367.56,360.45,362.57,1771500,362.57
19-Nov-13,365.82,368.78,362.5,364.94,1904800,364.94
18-Nov-13,370.28,373.49,364.67,366.18,2737400,366.18
15-Nov-13,367.63,372.9,365.55,369.17,4491600,369.17
14-Nov-13,357.39,368.94,356.43,367.4,4159800,367.4
13-Nov-13,347.4,356.22,345.68,356.22,2773300,356.22
12-Nov-13,352.99,355.48,347.28,349.53,2343100,349.53
11-Nov-13,350.59,355.37,348.06,354.38,2261700,354.38
8-Nov-13,345.95,351.05,344.04,350.31,2656900,350.31
7-Nov-13,355.86,357.9,341.88,343.56,4246300,343.56
6-Nov-13,360.45,362.87,354.5,356.18,2282300,356.18
5-Nov-13,356.78,360.17,354.84,358.89,2007100,358.89
4-Nov-13,360.12,361,354.4,358.74,1938400,358.74
1-Nov-13,365.63,365.77,356.1,359,3331000,359
31-Oct-13,361.73,366,359,364.03,2466800,364.03
30-Oct-13,362.62,365,358.65,361.08,4502200,361.08
29-Oct-13,358.96,362.89,356.29,362.7,2185400,362.7
28-Oct-13,359.92,362.75,357.2,358.16,3635800,358.16
25-Oct-13,358.6,368.4,352.62,363.39,12036800,363.39
24-Oct-13,329.63,332.65,326.75,332.21,5884700,332.21
23-Oct-13,330.84,331.72,324.06,326.76,2818200,326.76
22-Oct-13,327.72,337.11,325.68,332.54,3935500,332.54
21-Oct-13,329.89,330,323.8,326.44,2522300,326.44
18-Oct-13,319.36,331.89,316.75,328.93,5969800,328.93
17-Oct-13,307.07,311,305.24,310.77,2648400,310.77
16-Oct-13,308.38,310.8,305.55,310.49,2170700,310.49
15-Oct-13,309.87,310.79,305.26,306.4,2261100,306.4
14-Oct-13,309.22,311.65,307,310.7,1939100,310.7
11-Oct-13,304.77,310.93,303.84,310.89,2163100,310.89
10-Oct-13,304.63,306.7,302.59,305.17,2555100,305.17
9-Oct-13,303.42,303.5,296.5,298.23,3247400,298.23
8-Oct-13,311.5,311.55,300.27,303.23,3166200,303.23
7-Oct-13,315.24,315.34,309.74,310.03,2083200,310.03
4-Oct-13,315.13,319.2,312.62,319.04,1815000,319.04
3-Oct-13,320.39,322.92,313.02,314.76,2674800,314.76
