Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,136.16,137.05,135.74,136.49,2096000,135.72
30-Dec-13,137.16,137.37,135.54,135.92,2403500,135.16
27-Dec-13,138.69,138.88,136.79,136.9,2204600,136.13
26-Dec-13,137.18,138.59,137.17,138.27,2161300,137.49
24-Dec-13,136.4,136.98,136.14,136.83,1203200,136.06
23-Dec-13,137.69,138.09,136.32,136.4,2945100,135.63
20-Dec-13,135.49,137.85,135.49,136.67,5454600,135.9
19-Dec-13,135,136.23,133.94,135.17,3177100,134.41
18-Dec-13,135.86,136.44,132.84,135.49,5632400,134.73
17-Dec-13,137.92,138.1,135.36,135.88,6753000,135.12
16-Dec-13,134.27,135.2,133.94,134.72,3979500,133.96
13-Dec-13,133.45,134.25,133.14,133.83,3139400,133.08
12-Dec-13,132.11,133.65,131.9,132.96,3617700,132.21
11-Dec-13,133.7,133.81,132.44,132.56,3358300,131.82
10-Dec-13,133.65,135.04,132.18,133.7,4061300,132.95
9-Dec-13,135.49,135.95,134.57,134.68,3799000,133.92
6-Dec-13,134.58,135.75,134,135.18,5341800,134.42
5-Dec-13,131.26,133.1,131.25,132.73,3665100,131.99
4-Dec-13,131.73,132.15,130.55,131.5,5137100,130.76
3-Dec-13,133.93,133.93,131.92,132,5171900,131.26
2-Dec-13,134.99,135.46,133.62,134.16,3378100,133.41
29-Nov-13,134.82,135.23,134.18,134.25,1680900,133.5
27-Nov-13,135.05,136.3,134.17,134.72,3350900,133.96
26-Nov-13,133,135.44,132.56,134.78,4200800,134.02
25-Nov-13,134.01,134.86,130.58,133,7181700,132.25
22-Nov-13,133.49,136.12,133.43,135.97,4290200,135.21
21-Nov-13,132.45,133.29,131.2,132.93,4700600,132.18
20-Nov-13,135.8,135.89,132.29,132.45,8634900,131.71
19-Nov-13,138.5,138.79,136.7,136.98,3954000,136.21
18-Nov-13,140.25,142,137.77,138.36,8158800,137.58
15-Nov-13,135.36,136.57,134.54,136.08,4495100,135.32
14-Nov-13,133.7,135.38,133.17,135.09,3279600,134.33
13-Nov-13,131.92,133.49,131.1,133.17,3577100,132.42
12-Nov-13,132.4,133.08,131.97,132.33,2851000,131.59
11-Nov-13,133.14,133.33,132.12,132.53,2962200,131.79
8-Nov-13,131.28,133.9,130.95,133.49,4790900,132.74
7-Nov-13,133.44,133.93,131.35,131.51,3826800,130.77
6-Nov-13,134.02,134.58,132.68,133.09,3747700,132.34
5-Nov-13,132.03,133.74,130.59,133.57,4069200,132.34
4-Nov-13,133.75,133.99,132.46,132.79,3915800,131.57
1-Nov-13,130.9,133.5,130.9,133.03,4582400,131.8
31-Oct-13,129.84,131.88,129.55,130.5,4931800,129.3
30-Oct-13,129.56,131.43,129.02,129.68,4122100,128.48
29-Oct-13,129.35,129.88,128.76,129.66,3608700,128.46
28-Oct-13,128.75,130.47,128.64,129.88,4655800,128.68
25-Oct-13,129.25,131.43,128.22,131.19,5467600,129.98
24-Oct-13,129.01,129.57,127.94,128.98,4976200,127.79
23-Oct-13,126,129.99,125.9,129.02,10766300,127.83
22-Oct-13,122,123.8,121.88,122.48,4431200,121.35
21-Oct-13,122.69,122.74,121.06,121.47,3207900,120.35
18-Oct-13,122.5,122.86,121.25,122.52,3924200,121.39
17-Oct-13,119.81,122.39,119.81,122.29,4114200,121.16
16-Oct-13,118.78,120.66,118.75,120.34,4036900,119.23
15-Oct-13,119.42,119.59,118.14,118.18,2749700,117.09
14-Oct-13,117.42,119.55,116.69,119.46,3617800,118.36
11-Oct-13,118.6,119.4,117.83,117.98,4505500,116.89
10-Oct-13,116.1,119,115.91,118.9,5635400,117.8
9-Oct-13,115.4,115.4,113.34,114.47,4722200,113.41
8-Oct-13,116.67,117.32,115.42,115.44,4574000,114.38
7-Oct-13,115.51,117.17,115.4,116.69,3822000,115.61
4-Oct-13,115.27,117.26,115.25,117.2,3998000,116.12
3-Oct-13,117.35,117.49,114.73,115.24,4455100,114.18
2-Oct-13,117.38,117.84,116.28,117.84,2871900,116.75
1-Oct-13,117.97,118.3,117.08,117.75,2880700,116.66
30-Sep-13,117.35,117.89,116.37,117.5,4032900,116.42
27-Sep-13,118.51,119.17,117.79,118.74,2848900,117.65
26-Sep-13,118.71,119.5,118.51,119.38,2820400,118.28
25-Sep-13,119.32,119.61,118.16,118.51,3566600,117.42
24-Sep-13,117.19,119.89,116.8,119,5020000,117.9
23-Sep-13,117.15,118.37,115.8,117.51,5450200,116.43
20-Sep-13,119.15,119.22,116.63,116.63,8745400,115.55
19-Sep-13,119.22,120.38,118.81,119.04,5766700,117.94
18-Sep-13,117.28,119.52,116.55,118.4,6330600,117.31
17-Sep-13,115.78,117.48,115.59,117.11,5308300,116.03
16-Sep-13,113.73,115.89,113.26,115.67,7711200,114.6
13-Sep-13,109.93,111.33,109.56,111.33,3503400,110.3
12-Sep-13,109.19,110.22,109.14,109.8,4766800,108.79
