Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,63.66,64.06,63.36,63.74,3884000,63.63
30-Dec-13,62.99,64.06,62.99,63.66,6983700,63.55
27-Dec-13,63.04,63.33,62.23,63.04,3968400,62.93
26-Dec-13,62.06,63.14,61.74,63,3886400,62.89
24-Dec-13,61.69,61.91,61.44,61.66,2351100,61.55
23-Dec-13,61.07,61.85,60.82,61.81,4681700,61.7
20-Dec-13,60.66,61.23,60.38,60.7,5626000,60.59
19-Dec-13,59.61,60.85,59.56,60.72,4903600,60.61
18-Dec-13,58.72,59.87,58.1,59.79,6198600,59.68
17-Dec-13,59.03,59.09,58.21,58.72,3290100,58.62
16-Dec-13,58.84,59.4,58.53,59.13,3385100,59.02
13-Dec-13,58.31,58.73,58.06,58.42,2523800,58.32
12-Dec-13,58.25,58.6,57.84,58.17,3485400,58.07
11-Dec-13,59.61,59.61,58.25,58.44,3519100,58.34
10-Dec-13,58.77,59.37,58.68,59.24,3953200,59.13
9-Dec-13,58.96,59.57,58.53,58.95,3007100,58.85
6-Dec-13,59.03,59.26,58.61,58.9,3391700,58.68
5-Dec-13,58,58.43,57.74,58.26,3520600,58.04
4-Dec-13,58.09,59.28,57.52,58.09,4582700,57.87
3-Dec-13,58.37,58.72,58.15,58.46,3169200,58.24
2-Dec-13,58.6,59.2,58.22,58.71,3673000,58.49
29-Nov-13,58.91,59.02,58.55,58.56,1777900,58.34
27-Nov-13,58.6,58.86,58.19,58.8,2812900,58.58
26-Nov-13,58.39,58.71,58.13,58.53,6083500,58.31
25-Nov-13,58.75,58.87,58.31,58.47,3014900,58.25
22-Nov-13,58.6,58.8,58.32,58.63,3594400,58.41
21-Nov-13,58.59,58.85,58.16,58.41,4967400,58.19
20-Nov-13,59.03,59.11,58.03,58.2,6151200,57.98
19-Nov-13,59.43,59.59,58.5,58.88,3773400,58.66
18-Nov-13,60.64,60.75,59.45,59.6,2801000,59.37
15-Nov-13,61.04,61.05,60.24,60.55,3614000,60.32
14-Nov-13,60,61.08,59.92,60.84,5630600,60.61
13-Nov-13,58.35,60.18,58.21,60.17,6750900,59.94
12-Nov-13,58.67,59.08,58.34,58.73,3216100,58.51
11-Nov-13,58.69,59.33,58.34,58.86,2869400,58.64
