Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,533.8,534.07,529.51,532.78,197300,532.78
30-Dec-13,530.33,534.59,528.01,532.04,263100,532.04
27-Dec-13,536.84,536.84,529.65,530.75,238500,530.75
26-Dec-13,532.59,535.76,530.44,535.43,210800,535.43
24-Dec-13,529.99,534,529.99,533.11,104700,533.11
23-Dec-13,535.5,537,527.94,531.03,349900,531.03
20-Dec-13,517.28,533.77,515.86,533.14,861100,533.14
19-Dec-13,517,521.23,514,514.58,321400,514.58
18-Dec-13,510.05,517,506.44,516.89,327200,516.89
17-Dec-13,515.79,518,509.35,512.64,288900,512.64
16-Dec-13,514.7,517.36,511.45,515.38,374200,515.38
13-Dec-13,518.51,520.99,511.28,512.85,349300,512.85
12-Dec-13,516.32,522.54,514.62,515.02,281000,515.02
11-Dec-13,523.31,523.94,516.33,517.57,252200,517.57
10-Dec-13,525.92,525.92,520.24,521.53,229900,521.53
9-Dec-13,525.71,529.99,525.01,527.32,278100,527.32
6-Dec-13,521,526.25,519.59,525.81,212100,525.81
5-Dec-13,518.2,525,517.11,521.01,249100,521.01
4-Dec-13,520.55,522.63,516.01,518.11,321300,518.11
3-Dec-13,523.33,524.99,521.26,522.64,229300,522.64
2-Dec-13,521.5,526.6,520.49,524.5,238100,524.5
29-Nov-13,525.24,529.72,523.19,523.86,160100,523.86
27-Nov-13,526.21,527.08,523.12,525,307800,525
26-Nov-13,532.16,532.77,525,525,392800,525
25-Nov-13,537.55,540.94,530.88,532.31,201500,532.31
22-Nov-13,544,544,536.48,537.48,221100,537.48
21-Nov-13,534.9,542,531.2,539.22,382100,539.22
20-Nov-13,536,542.51,528.46,531.66,254400,531.66
19-Nov-13,539,541.81,537.73,538.16,246000,538.16
18-Nov-13,547.23,550.28,535.16,537.51,274200,537.51
15-Nov-13,545.99,549.5,544.88,546.97,309800,546.97
14-Nov-13,534.3,544.67,534.3,543.92,255300,543.92
13-Nov-13,534.55,538.38,533.11,537.58,216800,537.58
12-Nov-13,535.76,537.73,532,535.42,226600,535.42
11-Nov-13,535.71,537.24,534,536.44,164400,536.44
8-Nov-13,527.8,536.8,525.49,535.2,428900,535.2
7-Nov-13,540.01,540.01,524.67,525.02,652900,525.02
6-Nov-13,543.21,546.8,537.76,539.63,465700,539.63
5-Nov-13,535.03,543.68,533.21,543.05,412700,543.05
4-Nov-13,529.5,536.56,526.58,535.18,364800,535.18
1-Nov-13,526.78,529.89,524.9,527.6,367400,527.6
31-Oct-13,521.44,531.43,521.44,526.97,323000,526.97
30-Oct-13,528.95,529.84,522.85,524.35,284800,524.35
29-Oct-13,527.99,529.9,523.14,527.93,338200,527.93
28-Oct-13,527,527.92,522.78,527.85,418500,527.85
25-Oct-13,522.05,528,521.1,527.5,475000,527.5
24-Oct-13,521.13,524.54,517.85,522.97,424100,522.97
23-Oct-13,515.02,522.5,514.68,520.79,586500,520.79
22-Oct-13,509.08,520.72,509.08,520,817600,520
21-Oct-13,509.59,512,506.5,509.25,909800,509.25
18-Oct-13,481.05,511.1,477.34,509.74,2438900,509.74
17-Oct-13,438.6,442.47,438.05,439.07,898000,439.07
16-Oct-13,436.57,438.51,434.12,438.07,510800,438.07
15-Oct-13,441.43,443.69,432.93,433.61,554300,433.61
14-Oct-13,441.42,447.65,440.54,442.02,543300,442.02
11-Oct-13,439.2,443.93,438.08,443.61,411200,443.61
