Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,69.95,70.74,69.75,70.65,3281300,69.9
30-Dec-13,70.47,70.64,69.87,69.91,3035400,69.17
27-Dec-13,70.07,70.59,70.06,70.39,1965600,69.65
26-Dec-13,70,70.44,69.93,70.19,2413200,69.45
24-Dec-13,69.63,69.98,69.31,69.93,1625000,69.19
23-Dec-13,70.08,70.75,69.45,69.56,4177400,68.82
20-Dec-13,69.11,70.49,69.05,69.88,8311700,69.14
19-Dec-13,68.91,69.38,68.72,69.08,6962200,68.35
18-Dec-13,69.45,69.6,68.23,69.4,7959500,68.67
17-Dec-13,69.82,69.85,69.05,69.06,4880900,68.33
16-Dec-13,69.7,70.14,69.52,69.79,4167400,69.05
13-Dec-13,69.54,70.16,69.29,69.43,4649000,68.7
12-Dec-13,69.13,69.79,68.91,69.48,5714600,68.74
11-Dec-13,70.31,70.33,69.05,69.11,5776900,68.38
10-Dec-13,70.2,70.63,69.81,70.31,4712300,69.57
9-Dec-13,70.55,70.99,70.2,70.44,4952900,69.69
6-Dec-13,71.18,71.48,70.2,70.77,5560700,70.02
5-Dec-13,71.21,71.35,70.12,70.84,5040400,70.09
4-Dec-13,72.34,72.62,71.12,71.41,5399100,70.65
3-Dec-13,72.47,73.14,72.14,72.47,5411900,71.7
2-Dec-13,73.39,73.49,72.25,72.57,5696100,71.8
29-Nov-13,72.64,73.54,72.5,72.8,2434300,72.03
27-Nov-13,72.94,73.4,72.38,72.62,3301300,71.85
26-Nov-13,72.82,73.51,72.49,72.93,4089800,72.16
25-Nov-13,73.76,73.92,72.75,72.81,5294800,72.04
22-Nov-13,73.49,74.07,73.24,74.02,3633800,73.24
21-Nov-13,72.47,73.6,72.4,73.34,3988900,72.56
20-Nov-13,72.49,72.93,72.09,72.25,4139300,71.49
19-Nov-13,72.12,72.69,71.76,72.26,7124200,71.5
18-Nov-13,73.47,73.63,72.2,72.31,4718300,71.54
15-Nov-13,73.55,73.57,72.75,73.3,5341200,72.52
14-Nov-13,73.58,73.8,73.2,73.68,3833000,72.9
13-Nov-13,72.74,73.36,72.57,73.34,3463600,72.56
12-Nov-13,73.25,73.47,72.61,72.82,3125000,72.05
11-Nov-13,73.46,73.83,73.33,73.56,2786700,72.78
8-Nov-13,72.49,73.72,72.37,73.69,4819600,72.91
7-Nov-13,73.85,73.93,72.27,72.51,5836600,71.74
6-Nov-13,73.19,73.97,73.11,73.9,5644300,73.12
5-Nov-13,73.03,73.28,72.5,72.57,4592500,71.8
4-Nov-13,73.37,73.51,72.84,73.33,3604300,72.55
1-Nov-13,73.56,73.56,72.21,73.09,4921000,72.32
31-Oct-13,73.66,74.48,73.28,73.33,5556600,72.55
30-Oct-13,74.4,74.48,72.87,73.25,5278500,72.48
29-Oct-13,74.2,74.59,74,74.34,3389900,73.55
28-Oct-13,73.91,74.06,73.6,73.89,3480100,73.11
25-Oct-13,73.53,74.1,73.01,74.06,4218700,73.28
24-Oct-13,72.67,73.49,72.44,73.39,3707900,72.61
23-Oct-13,72.92,72.92,71.95,72.39,4442600,71.62
22-Oct-13,73.26,73.53,72.88,73.26,3597300,72.48
21-Oct-13,73.53,73.58,72.9,73.05,3407000,72.28
18-Oct-13,73.58,73.59,72.73,73.43,5223700,72.65
17-Oct-13,72.68,73.47,72.54,73.41,4494300,72.63
16-Oct-13,72.32,73.09,72.2,72.96,5534800,72.19
15-Oct-13,71.9,72.25,71.47,71.89,6252200,71.13
14-Oct-13,71.3,72.03,71.25,71.96,4223800,71.2
11-Oct-13,70.82,71.85,70.76,71.71,4592100,70.95
10-Oct-13,69.8,71.11,69.69,71.08,4454400,70.33
9-Oct-13,70.24,70.39,69.62,69.77,5768400,68.35
8-Oct-13,70.77,71.13,70.15,70.17,5142800,68.74
7-Oct-13,70.4,71.18,70.15,70.88,4621600,69.44
4-Oct-13,70.18,70.99,70.03,70.97,4996700,69.52
3-Oct-13,70.19,70.32,69.57,70.17,6550800,68.74
2-Oct-13,70.02,70.57,69.75,70.36,5022400,68.93
1-Oct-13,69.46,70.45,69.32,70.04,4141300,68.61
30-Sep-13,69.69,69.92,69.3,69.51,4802100,68.09
27-Sep-13,70.16,70.38,69.92,70.31,3423000,68.88
26-Sep-13,70.34,70.44,69.89,70.23,3836600,68.8
25-Sep-13,70.49,70.69,70.03,70.32,3970000,68.89
24-Sep-13,70.63,71.04,70.34,70.4,5739700,68.97
23-Sep-13,70.66,70.73,69.8,70.58,4680500,69.14
20-Sep-13,70.85,71.09,70.27,71,10130600,69.55
19-Sep-13,70.6,70.91,70.06,70.84,4741300,69.4
18-Sep-13,69.59,70.94,69.42,70.56,5209400,69.12
17-Sep-13,69.31,69.92,69.26,69.7,3737500,68.28
16-Sep-13,69.77,69.81,69.14,69.34,4780300,67.93
13-Sep-13,69.14,69.42,68.88,69.19,3996100,67.78
12-Sep-13,69.19,69.21,68.72,68.78,3616300,67.38
11-Sep-13,68.73,69.38,68.58,69.16,3782500,67.75
10-Sep-13,68.9,68.97,68.31,68.66,4464700,67.26
9-Sep-13,68.25,68.92,68.05,68.87,5166400,67.47
6-Sep-13,67.88,68.77,67.45,68.2,5990100,66.81
5-Sep-13,67.66,68.11,67.46,67.77,4285000,66.39
4-Sep-13,66.87,68.1,66.71,67.66,6529100,66.28
3-Sep-13,66.96,66.99,66.51,66.79,5541900,65.43
30-Aug-13,66.28,66.54,66.12,66.3,4963300,64.95
29-Aug-13,66.51,66.55,65.98,66.16,4382800,64.81
28-Aug-13,66.18,67.33,66.18,66.77,6656000,65.41
27-Aug-13,65.95,66.56,65.94,66.02,5352100,64.68
