Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,71.8,71.97,71.3,71.57,2301600,71.28
30-Dec-13,71.39,71.85,71.39,71.58,2513600,71.29
27-Dec-13,71.35,71.99,71.31,71.56,2440400,71.27
26-Dec-13,71,71.4,70.99,71.28,2371500,70.99
24-Dec-13,70.56,71.29,70.56,70.98,1698200,70.69
23-Dec-13,70.5,70.74,70.12,70.52,3847700,70.23
20-Dec-13,69.95,70.87,69.77,70.06,14986500,69.78
19-Dec-13,69.64,70.41,69.38,70.14,5950000,69.86
18-Dec-13,67.12,69.69,67.12,69.69,10322500,69.41
17-Dec-13,67.85,67.91,66.77,66.81,5943300,66.54
16-Dec-13,67.65,68.36,67.44,67.79,4879600,67.52
13-Dec-13,67.72,67.9,67,67.31,3883000,67.04
12-Dec-13,68.28,68.3,67.48,67.57,4907400,67.3
11-Dec-13,68.02,68.73,67.93,68.14,7210300,67.86
10-Dec-13,66.6,68.6,66.23,67.99,9875700,67.71
9-Dec-13,66.88,67.09,66.21,66.73,5023400,66.46
6-Dec-13,66.32,66.97,66.27,66.75,4028600,66.48
5-Dec-13,66.06,66.53,65.77,65.87,4088300,65.6
4-Dec-13,66.48,66.66,65.45,66.12,5261300,65.85
3-Dec-13,66.08,66.95,66.06,66.75,4513400,66.48
2-Dec-13,67.1,67.5,66.24,66.65,4813000,66.38
29-Nov-13,67.09,67.64,66.9,66.96,3940100,66.69
27-Nov-13,66.38,66.96,66.22,66.76,4943600,66.49
26-Nov-13,66.66,67.2,66.06,66.09,5557500,65.82
25-Nov-13,66.71,66.99,66.56,66.78,3546600,66.51
22-Nov-13,65.98,66.71,65.98,66.68,4491400,66.41
21-Nov-13,65.43,66.18,65.4,66.09,4072100,65.82
20-Nov-13,65.34,65.74,65.15,65.42,3642300,65.16
19-Nov-13,65.54,65.75,65.16,65.22,4042200,64.96
18-Nov-13,65.6,65.69,65.24,65.44,4680200,65.18
15-Nov-13,65.11,65.7,65.04,65.62,3816100,65.35
14-Nov-13,64.43,65.45,64.28,65.27,4630900,65.01
13-Nov-13,64.44,64.49,63.68,64.38,4085000,64.12
12-Nov-13,63.74,64.04,63.55,63.96,4380700,63.7
11-Nov-13,63.87,64.16,63.74,63.93,2994100,63.67
8-Nov-13,63.54,63.9,63.29,63.78,6221000,63.52
7-Nov-13,63.84,64,63.29,63.54,6027200,63.28
6-Nov-13,63.78,63.97,63.5,63.87,6826300,63.61
5-Nov-13,63.48,64.44,62.61,63.22,10424900,62.96
4-Nov-13,62.71,62.84,61.93,61.98,6774100,61.73
1-Nov-13,62.42,62.9,62.42,62.59,5112300,62.34
31-Oct-13,62.2,62.64,61.87,62.26,5156500,62.01
30-Oct-13,62.55,62.66,61.9,62.22,4007900,61.97
29-Oct-13,61.87,62.65,61.85,62.55,5547600,62.3
28-Oct-13,61.68,62.42,61.45,61.74,6443100,61.49
25-Oct-13,61.99,62.12,61.08,61.41,5447800,61.16
24-Oct-13,61.43,62.22,61.29,62.07,5585700,61.82
23-Oct-13,61.08,61.78,60.92,61.46,6285100,61.21
22-Oct-13,60.58,62.91,60.38,61.38,10257700,61.13
21-Oct-13,60.86,61.21,60.29,60.38,4524000,60.14
18-Oct-13,60.41,61.23,60.21,61.01,8490100,60.76
17-Oct-13,58.54,60.07,57.85,60,5550400,59.76
16-Oct-13,59.43,59.43,58.95,59.16,7629800,58.7
15-Oct-13,59.55,59.6,58.95,59.06,5212100,58.6
14-Oct-13,59.15,59.79,59,59.69,3496500,59.22
11-Oct-13,58.71,59.6,58.7,59.57,4879100,59.1
10-Oct-13,58.56,58.91,58.28,58.72,6285400,58.26
9-Oct-13,57.11,58.29,56.95,58.04,9597600,57.59
8-Oct-13,57.02,57.99,57.01,57.05,8410300,56.6
7-Oct-13,56.35,57.12,56.34,56.73,4334100,56.29
4-Oct-13,56.52,57.08,56.32,56.88,5045400,56.43
3-Oct-13,57.19,57.28,56.44,56.64,7581900,56.2
2-Oct-13,57.16,57.2,56.6,57.1,6636800,56.65
1-Oct-13,56.76,57.93,56.76,57.54,7224600,57.09
30-Sep-13,57.47,57.65,56.67,56.75,7556700,56.31
27-Sep-13,58.08,58.08,57.66,57.8,3481200,57.35
26-Sep-13,57.9,58.69,57.87,58.17,4841300,57.71
25-Sep-13,57.96,58.62,57.64,57.78,5034400,57.33
24-Sep-13,58.25,58.35,57.85,57.92,5337800,57.47
23-Sep-13,58.35,58.4,57.81,58.2,6487700,57.74
20-Sep-13,59.69,59.72,58.29,58.53,9886000,58.07
19-Sep-13,60.58,60.61,59.67,59.8,7510700,59.33
18-Sep-13,60.96,61.33,59.53,60.56,10955500,60.09
17-Sep-13,60.94,61.08,60.7,61.01,4811600,60.53
16-Sep-13,60.39,61.17,60.39,60.95,5386200,60.47
13-Sep-13,59.61,60.02,59.54,59.9,3499800,59.43
12-Sep-13,59.72,60,59.47,59.51,4700200,59.04
11-Sep-13,59.24,59.82,59.24,59.6,4281300,59.13
10-Sep-13,59.11,59.4,58.86,59.22,4715900,58.76
9-Sep-13,58.73,58.88,58.34,58.77,4849700,58.31
6-Sep-13,58.59,59.03,57.95,58.63,4880400,58.17
5-Sep-13,58.18,58.87,58.02,58.46,4080900,58
4-Sep-13,58.52,58.8,58.24,58.62,3855500,58.16
3-Sep-13,58.44,58.69,58.19,58.52,4350500,58.06
30-Aug-13,57.97,58.29,57.62,58.05,4560900,57.6
29-Aug-13,57.11,58.36,57.07,57.82,4047300,57.37
28-Aug-13,57.58,58.02,57.21,57.28,6158400,56.83
27-Aug-13,57.77,58.07,57.54,57.69,5495900,57.24
26-Aug-13,57.95,58.79,57.95,58.24,4200100,57.78
23-Aug-13,58.52,58.56,57.97,57.97,6781800,57.52
22-Aug-13,58.3,58.66,58.2,58.38,4125600,57.92
21-Aug-13,59.07,59.07,58.06,58.09,4936400,57.63
20-Aug-13,58.54,59.69,58.46,59.28,4621300,58.82
19-Aug-13,58.36,58.84,58.3,58.45,3735600,57.99
16-Aug-13,58.45,58.99,58.34,58.57,5440500,58.11
15-Aug-13,59.1,59.2,58.46,58.65,4339000,58.19
14-Aug-13,60.26,60.26,59.6,59.62,4391600,59.15
13-Aug-13,59.99,60.48,59.74,60.32,4390400,59.85
12-Aug-13,59.03,60,58.85,59.88,4773600,59.41
9-Aug-13,59.18,59.97,58.99,59.48,5089200,59.01
8-Aug-13,59.37,59.5,58.58,59.34,5090000,58.88
7-Aug-13,59.29,59.38,58.27,59.12,6288900,58.66
6-Aug-13,61.43,61.46,59.49,59.89,8477700,59.42
5-Aug-13,62.04,62.07,61.58,61.62,4656600,61.14
2-Aug-13,61.89,62.18,61.59,61.84,4230600,61.36
1-Aug-13,62.01,62.22,61.7,62.17,3366300,61.68
31-Jul-13,61.02,61.88,60.76,61.49,4840200,61.01
30-Jul-13,61.84,62.08,60.87,60.96,3492700,60.48
29-Jul-13,61.64,61.81,61.33,61.62,2723300,61.14
26-Jul-13,61.51,62,61.14,61.96,2718100,61.47
25-Jul-13,61.49,62.05,61.24,61.93,2822700,61.44
24-Jul-13,61.94,62.01,61.38,61.66,2361500,61.18
23-Jul-13,62.08,62.36,61.49,61.89,2926100,61.41
22-Jul-13,61.67,61.99,61.55,61.82,2476200,61.34
19-Jul-13,61.23,61.7,61.01,61.63,3055700,61.15
18-Jul-13,60.81,61.55,60.69,61.2,4205900,60.72
17-Jul-13,61.04,61.1,60.68,60.95,2607500,60.25
16-Jul-13,60.46,61.03,60.28,60.89,3463600,60.19
15-Jul-13,61.08,61.31,60.64,60.65,3258700,59.95
12-Jul-13,60.76,61.25,60.66,60.95,3594700,60.25
11-Jul-13,60.56,61.06,60.14,61,4215000,60.3
10-Jul-13,60.05,60.33,59.81,59.88,4879200,59.19
9-Jul-13,59.79,60.37,59.66,60.15,4102700,59.46
8-Jul-13,58.98,59.53,58.72,59.53,3510700,58.85
5-Jul-13,58.6,58.76,57.94,58.64,2726400,57.97
3-Jul-13,58.21,58.34,57.47,58.3,3172000,57.63
2-Jul-13,57.56,58.58,57.32,58.49,5512500,57.82
1-Jul-13,57.72,58.57,57.41,57.59,4747200,56.93
28-Jun-13,57.26,57.68,56.62,57.18,8936200,56.52
27-Jun-13,57.65,57.96,57.19,57.26,4081000,56.6
26-Jun-13,57.2,57.57,57.07,57.36,4043200,56.7
25-Jun-13,56.42,56.89,55.66,56.62,6845800,55.97
24-Jun-13,57.1,57.44,56.27,56.84,5058200,56.19
21-Jun-13,57.5,58.14,57.17,57.57,7464400,56.91
20-Jun-13,58.54,58.56,56.82,56.99,6733500,56.33
19-Jun-13,59.9,60.34,59.09,59.09,4745100,58.41
18-Jun-13,59.41,59.99,59.2,59.91,2704200,59.22
17-Jun-13,59.45,59.86,58.87,59.27,3825200,58.59
14-Jun-13,59.22,59.95,58.9,59.03,4224200,58.35
13-Jun-13,58.45,59.37,58.34,59.27,4031800,58.59
12-Jun-13,59.07,59.8,58.34,58.38,3198700,57.71
11-Jun-13,58.31,59.17,58.05,58.67,5254900,58
10-Jun-13,58.54,59.29,58.5,58.6,4952100,57.93
7-Jun-13,58.49,58.63,57.92,58.49,3914100,57.82
6-Jun-13,57.22,57.89,56.64,57.89,4634700,57.22
5-Jun-13,57.41,57.78,56.97,57.23,4174000,56.57
4-Jun-13,58.56,58.81,57.03,57.49,5104000,56.83
3-Jun-13,57.76,58.7,56.59,58.65,6983100,57.98
31-May-13,58.89,59.15,57.58,57.58,6990500,56.92
30-May-13,59.44,59.44,58.79,58.79,3271100,58.11
29-May-13,59.83,59.88,59.06,59.24,3809200,58.56
28-May-13,59.71,60.7,59.71,60.21,6267400,59.52
24-May-13,58.29,59.35,57.96,59.2,4245000,58.52
23-May-13,58.34,58.7,57.8,58.33,4149800,57.66
22-May-13,59.44,59.95,58.49,58.7,6008400,58.03
21-May-13,58.97,59.67,58.96,59.51,4092100,58.83
20-May-13,59.38,59.44,58.74,58.98,3747800,58.3
17-May-13,59.33,59.64,59.04,59.44,4130000,58.76
16-May-13,60.07,60.13,59.09,59.37,5505100,58.69
15-May-13,59.99,60.66,59.58,60.35,5369100,59.66
14-May-13,58.5,60.14,58.49,60.07,8427600,59.38
13-May-13,57.99,58.89,57.85,58.55,6056400,57.88
10-May-13,57.44,58.07,57.23,58.03,5089300,57.36
9-May-13,58.31,58.4,57.2,57.49,5697200,56.83
8-May-13,58.69,58.85,58.12,58.29,5131600,57.62
7-May-13,57.96,58.6,57.62,58.54,4794800,57.87
6-May-13,58.42,58.5,57.58,57.94,5150000,57.27
3-May-13,59.33,59.37,58.5,58.64,4168700,57.97
2-May-13,58.61,59.05,57.89,58.95,6579800,58.27
1-May-13,58.97,59.25,58.54,58.75,8112900,58.07
30-Apr-13,57.55,58.27,57.45,58.18,6759800,57.51
29-Apr-13,57.94,58,57.37,57.44,4055800,56.78
26-Apr-13,57.85,58.2,57.64,57.73,3997400,57.07
25-Apr-13,57.85,58.33,57.68,57.94,6320600,57.27
24-Apr-13,57.97,58.32,57.53,57.58,3631900,56.92
23-Apr-13,58.23,58.5,57.58,58.02,4272300,57.35
22-Apr-13,58.03,58.2,57.35,58.11,3663300,57.44
19-Apr-13,57.3,58.13,56.83,58,6079600,57.33
18-Apr-13,57.25,57.27,56.58,56.87,5519500,55.99
17-Apr-13,57.44,57.78,56.99,57.21,7786300,56.33
16-Apr-13,56.54,57.7,56.43,57.63,5366700,56.74
15-Apr-13,57.33,57.53,56.3,56.31,6120900,55.44
12-Apr-13,57.66,57.99,57.17,57.52,4613900,56.63
11-Apr-13,57.07,58.29,57.05,57.76,6541300,56.87
10-Apr-13,56.6,57.09,56.53,56.96,5629900,56.08
9-Apr-13,56.55,57,56.13,56.58,5694200,55.71
8-Apr-13,55.65,56.44,55.2,56.44,5237600,55.57
5-Apr-13,54.83,55.66,54.77,55.64,5724600,54.78
4-Apr-13,54.33,55.39,54.3,55.35,5982000,54.5
3-Apr-13,55.13,55.2,53.94,54.13,6749200,53.3
2-Apr-13,54.53,55.3,54.53,55.24,8002900,54.39
1-Apr-13,54.75,54.97,54.33,54.53,5450800,53.69
28-Mar-13,54.95,55.06,54.79,54.99,9400700,54.14
27-Mar-13,55.05,55.23,54.76,54.99,8530200,54.14
26-Mar-13,55.53,56.07,55.26,55.29,7631600,54.44
25-Mar-13,55.27,55.64,55.13,55.3,6376600,54.45
22-Mar-13,54.72,55.25,54.71,55.2,5230000,54.35
21-Mar-13,54.85,55.18,54.61,54.65,7515700,53.81
20-Mar-13,54.78,55.35,54.7,55.15,9136300,54.3
19-Mar-13,54,54.49,53.95,54.38,8983200,53.54
18-Mar-13,53.2,54.03,53.03,53.8,7208800,52.97
15-Mar-13,53.33,53.61,53.18,53.58,8924700,52.75
14-Mar-13,53.07,53.3,52.95,53.26,5796400,52.44
13-Mar-13,52.22,52.93,52.17,52.9,4521600,52.08
12-Mar-13,52.17,52.5,51.77,52.08,6388500,51.28
11-Mar-13,52.27,52.63,52.2,52.63,4622100,51.82
8-Mar-13,52.3,52.45,51.84,52.28,3979000,51.47
7-Mar-13,52.22,52.22,51.7,52.09,3687800,51.29
6-Mar-13,52.58,52.69,52.14,52.22,5022700,51.42
5-Mar-13,52.01,52.43,51.87,52.3,5358600,51.49
4-Mar-13,51.4,51.87,51.25,51.87,3132800,51.07
1-Mar-13,51.07,51.64,50.88,51.56,4565000,50.77
28-Feb-13,51.21,51.63,51.05,51.12,6018800,50.33
27-Feb-13,50.71,51.26,50.51,51.16,3474600,50.37
26-Feb-13,50.71,50.99,50.21,50.64,4128000,49.86
25-Feb-13,51.69,51.97,50.53,50.53,4479000,49.75
22-Feb-13,51.89,51.94,51.24,51.35,4220200,50.56
21-Feb-13,51.72,51.92,51.52,51.86,5439700,51.06
20-Feb-13,52.5,52.66,51.85,51.85,6350400,51.05
19-Feb-13,51.38,52.77,51.38,52.66,7829300,51.85
15-Feb-13,52.1,52.1,50.89,51.12,8490100,50.33
14-Feb-13,50.92,52.06,50.92,51.89,5182900,51.09
13-Feb-13,51.13,51.19,50.81,51.06,4838000,50.27
12-Feb-13,51.26,51.31,51.13,51.17,4304000,50.38
11-Feb-13,51.25,51.4,51.17,51.24,3992300,50.45
8-Feb-13,51.12,51.39,51.03,51.2,3655900,50.41
7-Feb-13,51.32,51.32,50.97,51.19,8371700,50.4
6-Feb-13,52.09,52.2,50.97,51.24,7330000,50.45
5-Feb-13,51.35,51.78,51.19,51.72,6791300,50.92
4-Feb-13,51.42,51.58,50.92,51,5143300,50.21
1-Feb-13,51.63,51.77,51.53,51.58,5694800,50.79
31-Jan-13,51.57,51.69,51.19,51.2,5865600,50.41
30-Jan-13,51.3,51.84,51.25,51.65,3961300,50.85
29-Jan-13,51.27,51.62,51.13,51.34,6527100,50.55
28-Jan-13,51.21,51.64,50.9,51.34,7026100,50.55
25-Jan-13,52.32,52.42,51.56,51.86,8773200,51.06
24-Jan-13,52.6,52.73,52.04,52.06,6314700,51.26
23-Jan-13,51.92,52.63,51.92,52.61,4571400,51.8
22-Jan-13,51.84,52.39,51.65,52.11,6231200,51.31
18-Jan-13,52.33,52.35,51.89,52.11,5654300,51.09
17-Jan-13,51.86,52.42,51.68,52.17,6376600,51.14
16-Jan-13,51.61,51.95,51.57,51.76,4190100,50.74
15-Jan-13,51.63,51.8,51.43,51.79,5472700,50.77
14-Jan-13,51.41,51.94,51.15,51.89,5222300,50.87
11-Jan-13,50.93,51.39,50.93,51.3,7209200,50.29
10-Jan-13,50.45,51.24,50.45,51.23,6909500,50.22
9-Jan-13,50.01,50.28,50,50.28,5895200,49.29
8-Jan-13,49.94,50.16,49.68,49.85,4708000,48.87
7-Jan-13,49.63,50.04,49.44,50.03,5178100,49.05
4-Jan-13,49.85,50.1,49.66,49.99,5615700,49.01
3-Jan-13,49.55,49.8,49.43,49.78,6082200,48.8
2-Jan-13,49.02,49.69,49,49.68,8925500,48.7
