Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,90.98,91.49,90.7,91.33,1850900,90.8
30-Dec-13,90.74,91.02,90.51,90.82,1659100,90.3
27-Dec-13,90.89,91.21,90.36,90.7,2014000,90.18
26-Dec-13,91.09,91.58,90.88,91.12,1971500,90.09
24-Dec-13,90.79,91.36,90.68,90.86,1051300,89.83
23-Dec-13,90.38,90.85,90.1,90.64,2271900,89.61
20-Dec-13,89.56,90.19,89.54,90.08,4404800,89.06
19-Dec-13,89.36,89.59,88.82,89.41,2517800,88.4
18-Dec-13,88.49,89.47,88.03,89.41,3559400,88.4
17-Dec-13,88.79,89.08,88.17,88.3,3097800,87.3
16-Dec-13,87.59,89.19,87.58,88.87,4249700,87.86
13-Dec-13,87.08,87.53,86.74,87.18,2353200,86.19
12-Dec-13,87.05,87.57,86.65,86.84,2497500,85.86
11-Dec-13,87.77,87.9,87.02,87.28,3873100,86.29
10-Dec-13,87.26,88.89,87.26,88.04,5907900,87.04
9-Dec-13,86.03,87.41,85.75,87.2,4939400,86.21
6-Dec-13,85.65,85.85,84.93,85.32,2583800,84.35
5-Dec-13,85,85.53,84.43,84.86,3427800,83.9
4-Dec-13,82.53,86.72,82.31,85.38,11464400,84.41
3-Dec-13,83.52,83.56,82.2,82.71,2528800,81.77
2-Dec-13,84.26,84.43,83.74,83.87,2083600,82.92
29-Nov-13,83.98,84.59,83.92,84.24,1264200,83.28
27-Nov-13,84.13,85,83.7,83.8,1584500,82.85
26-Nov-13,84.6,84.89,83.81,83.84,2205300,82.89
25-Nov-13,84.56,85.14,84.3,84.68,2618600,83.72
22-Nov-13,83.84,85.08,83.71,84.77,3526300,83.81
21-Nov-13,84.67,84.8,83.21,83.85,4858700,82.9
20-Nov-13,85.3,85.49,84.18,84.52,8696700,83.56
19-Nov-13,83.4,83.45,82.02,82.81,5361700,81.87
18-Nov-13,83.22,84.35,83.01,83.66,4488000,82.71
15-Nov-13,83.15,83.41,82.79,82.83,4738700,81.89
14-Nov-13,83.14,83.25,82.47,82.85,2447600,81.91
13-Nov-13,81.58,82.86,81.58,82.84,2382000,81.9
12-Nov-13,81.6,82.18,81.49,82.12,2618600,81.19
11-Nov-13,81.47,82.05,81.33,81.86,2561100,80.93
8-Nov-13,81.39,82.18,80.76,81.5,5590800,80.58
7-Nov-13,81.69,82.29,81.47,81.56,3579300,80.64
6-Nov-13,81.85,82.39,81.77,81.8,3769600,80.87
5-Nov-13,81.54,82.1,81.38,81.8,2484600,80.87
4-Nov-13,82.08,82.23,81.6,81.79,2256700,80.86
1-Nov-13,81.84,81.92,81.28,81.64,3165900,80.71
31-Oct-13,82.31,82.99,81.84,81.84,2893700,80.91
30-Oct-13,82.81,82.96,82.07,82.21,2992000,81.28
29-Oct-13,83.32,83.35,82.3,82.65,3025900,81.71
28-Oct-13,83.48,84.01,83.3,83.47,1883100,82.52
25-Oct-13,83.87,84,82.89,83.55,2768800,82.6
24-Oct-13,84.43,84.55,83.83,84.28,1613500,83.32
23-Oct-13,83.41,84.5,83.36,84.08,2568600,83.13
22-Oct-13,84.55,84.75,84.16,84.54,2388800,83.58
21-Oct-13,84.34,84.57,83.8,84.17,2027700,83.22
18-Oct-13,83.77,84.53,83.45,84.19,2804100,83.24
17-Oct-13,82.84,83.97,82.78,83.65,2234100,82.7
16-Oct-13,83.13,83.13,82.42,82.97,2739300,82.03
15-Oct-13,82.94,83.71,82.16,82.36,3040100,81.43
14-Oct-13,81.85,83.24,81.74,83.1,3603100,82.16
11-Oct-13,82.62,82.79,81.9,82.31,3833000,81.38
10-Oct-13,83.42,83.45,82.33,82.92,3613500,81.98
9-Oct-13,82.18,83.36,82.08,82.6,2980200,81.66
8-Oct-13,82.63,83.39,82.18,82.21,2396500,81.28
7-Oct-13,81.94,82.86,81.94,82.46,1833100,81.53
4-Oct-13,82.22,82.69,81.9,82.55,3081700,81.61
3-Oct-13,82.07,82.67,81.9,82.09,3410400,81.16
2-Oct-13,81.82,82.71,81.7,82.3,2505600,81.37
1-Oct-13,81.25,82.38,81.19,82.22,2952500,81.29
30-Sep-13,81.73,82.49,81.19,81.39,3863100,80.47
27-Sep-13,82.58,83.11,81.92,82.37,3267600,81.44
26-Sep-13,84.51,84.72,82.68,83.08,3392800,82.14
25-Sep-13,84.42,85.23,84.27,84.64,2575600,83.18
24-Sep-13,84.14,84.87,83.84,84.26,2197100,82.8
23-Sep-13,83.83,84.18,83.39,84.01,2274000,82.56
20-Sep-13,85.1,85.18,83.63,83.82,3797400,82.37
19-Sep-13,84.74,85.34,84.67,85.1,2082900,83.63
18-Sep-13,83.39,84.78,83.12,84.51,2913200,83.05
17-Sep-13,83.73,83.93,83.48,83.71,1556500,82.26
16-Sep-13,83.38,83.76,83.02,83.54,3664400,82.1
13-Sep-13,83.46,83.52,82.45,82.49,3948400,81.06
12-Sep-13,84.24,84.32,82.98,83.19,3904100,81.75
11-Sep-13,84.13,84.68,83.67,84.31,2080200,82.85
10-Sep-13,84.46,84.92,84.11,84.18,2276400,82.72
9-Sep-13,83,84.5,83,83.88,2546200,82.43
6-Sep-13,82.65,83.39,82.15,82.61,2743000,81.18
5-Sep-13,83.88,84.02,82.48,82.55,4033400,81.12
4-Sep-13,84.06,84.93,84,84.48,2243700,83.02
3-Sep-13,84.31,84.75,83.44,84.06,2473700,82.61
30-Aug-13,83.72,84.01,83.37,83.64,2055700,82.19
29-Aug-13,84.16,84.63,83.58,83.8,1889300,82.35
28-Aug-13,83.49,84.6,83.36,84.12,2708200,82.67
27-Aug-13,83.97,84.91,83.41,83.48,2933200,82.04
26-Aug-13,83.92,85.68,83.87,84.77,3970600,83.3
23-Aug-13,83.48,83.6,82.7,83.5,2467700,82.06
22-Aug-13,82.9,83.9,82.77,83.25,3214700,81.81
21-Aug-13,83.09,83.2,82.41,82.51,2766700,81.08
20-Aug-13,84.5,84.52,83.2,83.25,3408500,81.81
19-Aug-13,83.93,85.07,83.93,84.52,4178800,83.06
16-Aug-13,84.05,84.5,83.77,84.11,4293900,82.66
15-Aug-13,81.23,84.65,81,84.36,7705500,82.9
14-Aug-13,84.06,84.19,81.5,82.34,8433400,80.92
13-Aug-13,83.88,84.59,83.68,83.91,4346300,82.46
12-Aug-13,81.53,83.63,81.35,83.38,5020300,81.94
9-Aug-13,81.06,82.1,80.5,81.74,4649900,80.33
8-Aug-13,81.39,82.65,81.31,82.32,3413300,80.9
