Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,122.97,122.97,122.34,122.75,262100,122.18
30-Dec-13,123.16,123.24,122.15,122.68,195200,122.11
27-Dec-13,124.17,124.17,122.67,123.42,320500,122.85
26-Dec-13,122.91,123.49,121.83,123.32,259200,122.75
24-Dec-13,122.48,123.21,122.48,122.9,119200,122.33
23-Dec-13,121.11,123.14,120.69,122.86,429000,122.29
20-Dec-13,118.3,120.94,117.86,120.61,471000,120.05
19-Dec-13,116.26,118.03,116.26,117.97,418000,117.42
18-Dec-13,115.29,116.8,113.76,116.57,558300,116.03
17-Dec-13,115.75,115.99,115,115.16,437400,114.63
16-Dec-13,115.59,116.23,115.38,115.83,446500,115.29
13-Dec-13,116.44,116.93,115.19,115.19,399600,114.66
12-Dec-13,115.58,116.58,115.41,116.32,462700,115.78
11-Dec-13,116.38,116.51,115.38,115.59,761000,115.05
10-Dec-13,118.05,118.23,116.28,116.43,409200,115.89
9-Dec-13,119.7,120.92,118.09,118.29,345500,117.74
6-Dec-13,117.64,119.58,117.12,119.44,226700,118.89
5-Dec-13,115.97,116.74,115.49,116.15,215100,115.61
4-Dec-13,116.46,117.1,114.47,115.99,287500,115.45
3-Dec-13,116.67,117.84,116.3,117.24,256300,116.7
2-Dec-13,116.81,117.63,116.34,117.28,309000,116.74
29-Nov-13,117.49,117.69,116.54,116.85,129100,116.31
27-Nov-13,117.1,117.69,116.62,117.3,168200,116.76
26-Nov-13,115.91,117.42,115.81,116.78,313900,116.24
25-Nov-13,116.5,116.5,115.55,115.8,185200,115.26
22-Nov-13,116,116.58,115.63,116.56,214700,115.62
21-Nov-13,115.52,116.15,115.22,116.04,325900,115.11
20-Nov-13,115.33,115.8,114.33,115.06,289300,114.13
19-Nov-13,116.27,117.6,114.9,115.01,500200,114.08
18-Nov-13,113.92,116.27,113.38,116.08,626200,115.15
15-Nov-13,110.67,113.45,110.67,113.43,277900,112.52
14-Nov-13,111.27,111.4,110.59,110.76,365500,109.87
13-Nov-13,110.54,111.15,110.47,110.96,498200,110.07
12-Nov-13,111.15,111.78,110.64,110.94,364300,110.05
11-Nov-13,111.38,112.28,110.97,111.18,343500,110.28
8-Nov-13,108.18,111.76,108.15,111.45,509600,110.55
7-Nov-13,108.69,109.43,108.02,108.22,479800,107.35
6-Nov-13,107.64,108.95,107.38,108.24,736500,107.37
5-Nov-13,114,114,106.55,106.76,820800,105.9
4-Nov-13,108.98,110.15,108.69,109.24,380700,108.36
1-Nov-13,108.73,109.82,107.27,108.49,423000,107.62
31-Oct-13,107.64,109.62,107.58,108.79,331600,107.91
30-Oct-13,110,110.15,107.59,107.99,308700,107.12
29-Oct-13,109.22,109.89,108.76,109.63,279300,108.75
28-Oct-13,108.63,109.73,108.36,109.09,285000,108.21
25-Oct-13,107.51,109.14,106.86,108.45,219300,107.58
24-Oct-13,106.93,108.04,106.34,106.82,261800,105.96
23-Oct-13,106.71,107.23,105.67,106.43,201300,105.57
22-Oct-13,107,107.73,105.43,107.1,266800,106.24
21-Oct-13,106.72,107.06,106.15,106.73,171300,105.87
18-Oct-13,107.21,107.93,106.43,106.57,275600,105.71
17-Oct-13,105.91,107.19,104.95,107.07,232600,106.21
16-Oct-13,104.14,106.33,104.14,106.17,364800,105.31
15-Oct-13,104.55,105.97,103.59,103.64,268400,102.81
14-Oct-13,103.97,105.11,103.93,104.94,172000,104.09
11-Oct-13,102.64,104.62,102.64,104.51,138100,103.67
10-Oct-13,101.4,103.24,101.4,103.13,238500,102.3
9-Oct-13,101.81,102.14,99.4,100.35,366400,99.54
8-Oct-13,102.69,103.14,100.43,101.52,303300,100.7
7-Oct-13,102.77,103.99,102.68,102.69,227100,101.86
4-Oct-13,102.71,104.29,102.36,103.57,211100,102.74
3-Oct-13,103.7,103.9,102.41,102.83,304400,102
2-Oct-13,104.5,104.84,103.24,104.06,453200,103.22
1-Oct-13,104.16,105.52,103.79,104.86,470200,104.02
30-Sep-13,103.41,104.42,103.28,103.85,321800,103.01
27-Sep-13,103.61,104.37,103.11,104.17,101400,103.33
26-Sep-13,103.99,105.01,103.76,104.37,101200,103.53
25-Sep-13,104,104.71,103.21,104,179000,103.16
24-Sep-13,104.73,104.77,103.84,103.98,274000,103.14
23-Sep-13,103.43,105,102.25,104.53,339800,103.69
20-Sep-13,107.75,107.83,103.41,103.87,816200,103.03
19-Sep-13,108.11,108.9,107.5,107.86,253100,106.99
18-Sep-13,106.99,108.11,105.81,107.91,244900,107.04
17-Sep-13,105.68,107.01,105.6,107,206400,106.14
16-Sep-13,106.12,106.39,105.28,105.44,192500,104.59
13-Sep-13,104.15,105.44,103.63,104.86,214900,104.02
