Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,68.91,69.76,68.81,69.66,1183600,69.52
30-Dec-13,69,69.33,68.34,68.84,932500,68.7
27-Dec-13,68.97,69.45,68.51,68.76,831300,68.62
26-Dec-13,68.56,69.34,68.48,69.03,602100,68.89
24-Dec-13,68.62,68.79,68,68.5,462900,68.36
23-Dec-13,67.99,68.76,67.62,68.68,1092900,68.54
20-Dec-13,68.16,68.21,67.25,67.61,3162100,67.48
19-Dec-13,67.71,67.79,66.51,66.8,1482400,66.67
18-Dec-13,66.64,67.61,65.46,67.55,2010200,67.42
17-Dec-13,65.96,66.55,65.29,66.39,1829000,66.26
16-Dec-13,63.49,66.99,63.28,65.88,4400600,65.75
13-Dec-13,62.94,63.67,62.29,62.73,1141600,62.61
12-Dec-13,62.38,62.75,62.1,62.54,2368400,62.42
11-Dec-13,63.04,63.39,62.16,62.31,2108200,62.19
10-Dec-13,63.25,64.01,63.19,63.2,1245300,63.07
9-Dec-13,63.62,64.13,63.27,63.5,1093400,63.37
6-Dec-13,64.16,64.23,63.38,63.48,1523100,63.35
5-Dec-13,62.67,63.87,62.39,63.58,1999500,63.45
4-Dec-13,62.16,63.15,61.92,62.84,1398000,62.72
3-Dec-13,62.04,62.88,62.03,62.56,1231600,62.44
2-Dec-13,63.6,63.77,62.38,62.61,1457000,62.49
29-Nov-13,63.21,64.2,63.2,63.69,1056500,63.56
27-Nov-13,62.55,63.86,62.55,63.3,1537800,63.17
26-Nov-13,61.18,62.8,61.16,62.33,1954800,62.21
25-Nov-13,62.21,62.55,61.3,61.39,1559300,61.27
22-Nov-13,62.71,62.71,61.85,62.05,1882900,61.93
21-Nov-13,61.12,62.66,61.11,62.59,2023400,62.47
20-Nov-13,61.48,62.3,60.71,61.11,2716100,60.99
19-Nov-13,60.76,61.17,60.21,60.7,2005200,60.58
18-Nov-13,61.24,62,60.89,61.05,2053400,60.78
15-Nov-13,61.23,61.49,60.84,61.19,1783100,60.92
14-Nov-13,61.65,61.75,60.62,61.04,1828400,60.77
13-Nov-13,61.68,61.81,61.15,61.72,1980700,61.45
12-Nov-13,61.31,62.06,60.57,62.02,2357600,61.75
11-Nov-13,59.61,61.33,59.12,61.25,2417300,60.98
8-Nov-13,59.16,60.69,59.1,59.88,2491700,59.61
7-Nov-13,59.82,60.49,58.1,58.91,3106300,58.65
6-Nov-13,59.57,59.95,59.15,59.81,2665600,59.54
5-Nov-13,60.07,60.32,59.27,59.58,3593100,59.32
