Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,37.56,37.98,37.4,37.74,7097500,37.06
30-Dec-13,37.56,38,37.39,37.67,9711200,36.99
27-Dec-13,36.97,37.63,36.94,37.5,9025500,36.82
26-Dec-13,36.35,37.04,36.35,36.96,10345300,36.29
24-Dec-13,35.84,36.47,35.76,36.3,5220600,35.65
23-Dec-13,35.88,36.04,35.59,35.73,7822200,35.09
20-Dec-13,35.23,35.75,35.21,35.69,11194100,35.05
19-Dec-13,34.89,35.34,34.81,35.19,6625300,34.56
18-Dec-13,35.1,35.33,34.57,35.18,9817300,34.55
17-Dec-13,34.53,35.02,34.44,34.9,7631900,34.27
16-Dec-13,34.4,34.89,34.35,34.6,10320100,33.98
13-Dec-13,34.4,34.75,34.1,34.34,8882900,33.72
12-Dec-13,34.5,34.67,33.94,34.29,9235100,33.67
11-Dec-13,35.02,35.16,34.35,34.45,11167300,33.83
10-Dec-13,34.93,35.25,34.82,34.89,8519800,34.26
9-Dec-13,34.34,34.74,34.27,34.63,6652300,34.01
6-Dec-13,34.61,34.82,34.12,34.25,7764200,33.63
5-Dec-13,34.28,34.53,34.06,34.28,7583300,33.66
4-Dec-13,34.23,34.92,34.23,34.54,9095500,33.92
3-Dec-13,34.02,34.58,33.81,34.22,8736800,33.6
2-Dec-13,34.68,34.68,34.07,34.26,9770100,33.64
29-Nov-13,34.9,35.19,34.54,34.69,5404200,34.07
27-Nov-13,35.31,35.47,34.4,34.68,12287000,34.06
26-Nov-13,35.11,35.45,35.05,35.32,10917100,34.68
25-Nov-13,36.03,36.04,35.58,35.79,10194800,35.15
22-Nov-13,36.2,36.2,35.72,36.1,9325400,35.45
21-Nov-13,36.4,36.4,35.7,36.17,7835700,35.52
20-Nov-13,36.46,36.76,36.04,36.18,8325100,35.53
19-Nov-13,36.42,36.74,36.12,36.4,7578600,35.74
18-Nov-13,37,37.02,36.4,36.49,8348700,35.83
15-Nov-13,36.5,37,36.39,36.83,11872100,36.17
14-Nov-13,36.34,36.56,35.93,36.34,7370500,35.69
13-Nov-13,35.19,36.35,35.04,36.33,11278700,35.68
12-Nov-13,36.25,36.43,35.57,35.9,9000700,35.25
11-Nov-13,36.43,36.57,36.07,36.46,8353000,35.8
8-Nov-13,35.65,36.59,35.6,36.58,9522600,35.92
7-Nov-13,37.04,37.09,35.79,35.93,17185000,35.28
6-Nov-13,37.24,37.51,36.92,37.08,8210800,36.41
5-Nov-13,37.28,37.5,36.91,37.19,8581700,36.52
4-Nov-13,36.89,37.42,36.87,37.4,10318200,36.73
1-Nov-13,36.87,37.06,36.41,36.78,10319200,36.12
31-Oct-13,37.11,37.64,36.72,36.76,12084600,36.1
30-Oct-13,37.74,38,36.76,37.28,12543500,36.61
29-Oct-13,37.69,37.88,37.46,37.68,10793000,37
28-Oct-13,37.5,37.62,36.89,37.27,10693100,36.6
25-Oct-13,37.25,37.5,36.92,37.44,10731600,36.77
24-Oct-13,36.6,37.64,36.53,37.41,19444400,36.74
23-Oct-13,35.96,36.74,35.9,36.63,17167000,35.97
22-Oct-13,36.3,36.78,36,36.36,28641100,35.71
21-Oct-13,34.92,35.25,34.78,35.04,9665900,34.41
18-Oct-13,34.98,35.18,34.71,34.89,15429400,34.26
17-Oct-13,34.18,34.83,34.17,34.71,14631000,34.09
16-Oct-13,34.14,34.33,33.77,34.13,9633500,33.52
15-Oct-13,33.84,34.34,33.8,34.04,10693000,33.43
14-Oct-13,33.4,34.14,33.33,33.87,9174900,33.26
11-Oct-13,32.78,33.58,32.77,33.44,9036800,32.84
10-Oct-13,33.01,33.49,32.68,33.23,10163400,32.63
9-Oct-13,32.8,33.16,32.34,32.88,10921500,31.98
8-Oct-13,33.57,33.62,32.82,32.9,10023600,32
7-Oct-13,33.42,33.84,33.36,33.45,11092900,32.54
4-Oct-13,33.23,34.05,33.12,33.78,19967500,32.86
3-Oct-13,33.35,33.6,32.76,33.01,8921700,32.11
2-Oct-13,32.89,33.51,32.78,33.51,9197200,32.59
1-Oct-13,32.48,33.12,32.39,32.92,8634200,32.02
30-Sep-13,32.99,33.25,32.33,33.08,11518400,32.18
27-Sep-13,33.56,33.81,33.32,33.42,7682600,32.51
26-Sep-13,34,34.23,33.68,33.87,5762300,32.94
25-Sep-13,34.03,34.33,33.58,33.83,10087000,32.9
24-Sep-13,33.5,34,33.32,33.74,9879000,32.82
23-Sep-13,34,34.36,33.69,33.76,13712100,32.84
20-Sep-13,34.7,34.79,33.84,33.87,20262300,32.94
19-Sep-13,34.86,34.99,34.19,34.6,15129300,33.65
18-Sep-13,33.59,34.76,33.52,34.55,21077900,33.61
17-Sep-13,33.27,33.6,33.22,33.53,11004100,32.61
16-Sep-13,33.44,33.48,33.11,33.25,11885600,32.34
13-Sep-13,33.25,33.26,32.83,33.04,15728800,32.14
12-Sep-13,32.45,33.2,32.38,33.15,19501500,32.24
11-Sep-13,31.9,33.04,31.9,32.83,17428200,31.93
10-Sep-13,32.11,32.15,31.73,31.93,12393700,31.06
9-Sep-13,31.37,31.96,31.33,31.84,9349900,30.97
6-Sep-13,31.15,31.44,31.06,31.18,8692200,30.33
5-Sep-13,31.24,31.24,30.76,30.76,9924000,29.92
4-Sep-13,30.73,31.15,30.63,31.1,9288800,30.25
3-Sep-13,31.07,31.25,30.94,31.12,13446600,30.27
30-Aug-13,30.4,30.49,30.1,30.22,7379000,29.39
29-Aug-13,30.44,30.74,30.25,30.42,8325900,29.59
28-Aug-13,30.57,30.93,30.46,30.48,8945800,29.65
27-Aug-13,31.22,31.54,30.43,30.6,14275000,29.76
26-Aug-13,31.87,31.92,31.41,31.51,10218700,30.65
23-Aug-13,31.6,31.96,31.41,31.79,10774600,30.92
22-Aug-13,30.92,31.57,30.87,31.35,12356300,30.49
21-Aug-13,30.83,30.83,30.21,30.36,12524800,29.53
20-Aug-13,30.89,31.26,30.78,30.98,9139600,30.13
19-Aug-13,31.35,31.42,30.83,30.93,11365300,30.08
16-Aug-13,31.99,32.2,31.38,31.54,15290300,30.68
15-Aug-13,31.21,32.06,31.11,31.92,15278300,31.05
14-Aug-13,31.3,31.84,31.24,31.59,12594600,30.73
13-Aug-13,31.94,31.95,31.07,31.16,14641800,30.31
12-Aug-13,31.77,31.98,31.61,31.85,13936800,30.98
9-Aug-13,31.11,31.99,31,31.61,27434900,30.75
8-Aug-13,30.09,31.14,30.07,30.8,27944600,29.96
7-Aug-13,29.01,29.93,28.96,29.43,18533600,28.63
6-Aug-13,29.33,29.49,29.12,29.16,13932600,28.36
5-Aug-13,29.17,29.25,28.91,29.02,8386600,28.23
2-Aug-13,29.12,29.42,29.08,29.2,10542100,28.4
1-Aug-13,28.94,29.23,28.75,29.1,14409200,28.3
31-Jul-13,28.22,28.57,27.92,28.28,13703900,27.51
30-Jul-13,28.64,28.65,28.02,28.21,13022200,27.44
29-Jul-13,28.83,28.9,28.46,28.56,8984900,27.78
26-Jul-13,28.56,28.94,28.26,28.93,13222900,28.14
25-Jul-13,28.76,29.14,28.66,28.84,9719000,28.05
24-Jul-13,30.01,30.07,28.72,28.88,23491900,28.09
23-Jul-13,29.65,30.14,29.41,29.99,22782900,29.17
22-Jul-13,29.19,29.37,28.82,29.15,17113500,28.35
19-Jul-13,28.32,28.63,28.14,28.56,11489600,27.78
18-Jul-13,28.25,28.43,28.08,28.17,10587500,27.4
17-Jul-13,28.4,28.64,28.06,28.11,11972200,27.34
16-Jul-13,28.38,28.48,28.14,28.26,8447300,27.49
15-Jul-13,27.92,28.18,27.89,28.13,7406100,27.36
12-Jul-13,28.5,28.5,27.91,28.05,12043800,27.28
11-Jul-13,28.46,28.66,28.17,28.53,21355500,27.75
10-Jul-13,28.09,28.09,27.51,27.6,11672000,26.54
9-Jul-13,27.76,27.89,27.36,27.64,11324900,26.58
8-Jul-13,27.5,27.55,27.14,27.46,9132000,26.41
5-Jul-13,27.63,27.7,26.95,27.34,11420500,26.29
3-Jul-13,27.79,27.98,27.51,27.68,6373700,26.62
2-Jul-13,28.31,28.34,27.48,27.74,15605800,26.68
1-Jul-13,28.62,28.75,27.91,28.27,16032800,27.18
28-Jun-13,27.18,27.79,27.02,27.61,16305500,26.55
27-Jun-13,27.19,27.55,27.02,27.3,12327200,26.25
26-Jun-13,27.15,27.25,26.53,26.85,16369400,25.82
25-Jun-13,27.26,27.41,26.92,27.26,28282000,26.21
24-Jun-13,27.74,27.74,26.37,26.82,40725200,25.79
21-Jun-13,28.02,28.34,27.52,28.16,33272600,27.08
20-Jun-13,28.54,28.55,27.52,27.72,30751200,26.66
19-Jun-13,29.39,29.97,29.19,29.19,14907300,28.07
18-Jun-13,29.64,29.66,29.33,29.52,9177800,28.39
17-Jun-13,29.74,29.94,29.41,29.66,11306500,28.52
14-Jun-13,29.93,30.23,29.48,29.57,12986700,28.44
13-Jun-13,29.59,29.76,29.24,29.71,15225000,28.57
12-Jun-13,29.75,30.12,29.56,29.59,15059400,28.45
11-Jun-13,30.3,30.65,30.17,30.32,30029400,27.89
10-Jun-13,30.77,31,30.38,30.88,25711000,28.41
7-Jun-13,31.3,31.3,30.47,30.92,25197500,28.45
6-Jun-13,30.47,31.07,30.25,31.03,16621600,28.55
5-Jun-13,30.8,30.86,30.16,30.32,15589300,27.89
4-Jun-13,31.48,31.48,30.54,30.85,18514000,28.38
3-Jun-13,31.04,31.49,30.92,31.47,18676900,28.95
31-May-13,31.62,31.73,30.95,31.05,16162200,28.57
30-May-13,31.18,31.86,31.1,31.85,35562300,29.3
29-May-13,31,31.15,30.27,31.06,13449000,28.57
28-May-13,30.72,31.08,30.53,30.89,15759500,28.42
24-May-13,30.62,30.95,30.14,30.4,12674600,27.97
23-May-13,30.7,31.12,30.57,30.93,19152100,28.45
22-May-13,32.18,32.9,31.5,31.66,21351000,29.13
21-May-13,32.98,33.08,31.94,31.98,21243900,29.42
20-May-13,32.73,33,32.17,32.88,26038500,30.25
17-May-13,32.32,32.81,32.11,32.68,16151000,30.06
16-May-13,31.68,32.48,31.35,32.04,18827600,29.48
15-May-13,31.24,32.09,31.16,31.76,20995100,29.22
14-May-13,31.59,31.86,31.31,31.57,17590400,29.04
13-May-13,32.4,32.4,31.68,31.96,14133500,29.4
10-May-13,32.25,32.59,32,32.55,15378100,29.95
9-May-13,32.78,33.25,32.42,32.62,28125300,30.01
8-May-13,31.96,32.64,31.84,32.39,23735900,29.8
7-May-13,31.35,31.97,31.25,31.55,17262200,29.03
6-May-13,31.36,31.61,30.95,31.43,13712100,28.91
3-May-13,31.49,31.75,31.13,31.13,17575300,28.64
2-May-13,30.66,30.66,29.9,30.34,12105600,27.91
1-May-13,30.24,30.52,29.77,30.36,18418100,27.93
30-Apr-13,29.76,30.46,29.23,30.43,12610400,27.99
29-Apr-13,29.75,30.19,29.44,29.9,11437200,27.51
26-Apr-13,29.83,29.83,29.06,29.42,13586000,27.07
25-Apr-13,30.8,30.83,29.64,29.86,32724700,27.47
24-Apr-13,28.98,29.85,28.91,29.78,17907000,27.4
23-Apr-13,28.58,28.79,27.91,28.52,19281500,26.24
22-Apr-13,28.34,28.61,27.6,28.56,16068000,26.27
19-Apr-13,28.4,28.51,27.42,28.24,20148000,25.98
18-Apr-13,27.58,28.7,27.24,28.05,26305300,25.81
17-Apr-13,28.98,29.03,27.52,28,37983400,25.76
16-Apr-13,29.73,30.09,29.16,29.25,22101300,26.91
15-Apr-13,30.06,30.28,29.03,29.27,44719200,26.93
12-Apr-13,32.54,32.92,31.82,31.92,19570800,29.37
11-Apr-13,33.31,33.41,32.68,32.79,13453700,30.17
10-Apr-13,33.94,33.97,33.32,33.69,17715500,30.71
9-Apr-13,32.64,34,32.64,33.76,22103700,30.77
8-Apr-13,32.15,32.53,31.8,32.42,26989500,29.55
5-Apr-13,31.48,32.18,31.17,32.1,26990400,29.26
4-Apr-13,31.57,32.18,31.25,31.7,25733400,28.89
3-Apr-13,31.81,32.17,31.15,31.55,17632500,28.76
2-Apr-13,32.38,32.65,31.78,31.92,15543900,29.09
1-Apr-13,32.99,33.02,32.11,32.38,12127100,29.51
28-Mar-13,33.24,33.33,32.9,33.1,12297900,30.17
