Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,90.2,91.28,89.77,90.86,953100,90.86
30-Dec-13,89.27,90.79,88.89,89.89,930200,89.89
27-Dec-13,89.22,89.83,89,89.22,702100,89.22
26-Dec-13,89.5,89.85,89.1,89.28,905800,89.28
24-Dec-13,89.5,89.95,89.33,89.44,533000,89.44
23-Dec-13,88.5,89.85,87.92,89.51,2078000,89.51
20-Dec-13,85.82,88.5,85.15,88.1,3313700,88.1
19-Dec-13,83.58,85.53,83.58,84.98,1367100,84.98
18-Dec-13,83.95,84.26,82.53,84.11,1435300,84.11
17-Dec-13,83.73,85.14,83.63,84.25,1701000,84.25
16-Dec-13,82.42,84.17,81.79,83.44,1962000,83.44
13-Dec-13,82.4,82.47,81.22,81.47,982500,81.47
12-Dec-13,83.92,84.43,81.71,81.99,1493800,81.99
11-Dec-13,85.5,85.5,84.14,84.24,1955500,84.24
10-Dec-13,84.81,85.31,84.49,84.72,1162500,84.72
9-Dec-13,83.94,85.61,83.69,85.18,1581800,85.18
6-Dec-13,82.56,84.04,81.2,83.59,1772300,83.59
5-Dec-13,82.62,82.84,81.48,81.5,1586300,81.5
4-Dec-13,81.58,83.25,81.53,82.81,2270700,82.81
3-Dec-13,81.36,82.27,81.25,82.08,1289900,82.08
2-Dec-13,82.11,82.55,81.8,82.05,935300,82.05
29-Nov-13,82.56,82.68,81.78,82.26,625400,82.26
27-Nov-13,81.88,82.65,81.36,82.38,1276100,82.38
26-Nov-13,81.22,82.69,80.76,81.84,2178000,81.84
25-Nov-13,82.97,83.01,80.82,80.9,1401400,80.9
22-Nov-13,83.2,83.43,81.67,82.94,1228800,82.94
21-Nov-13,82.07,83.18,81.6,82.91,918400,82.91
20-Nov-13,82.29,83.32,81.39,81.56,906400,81.56
19-Nov-13,83.71,84,81.05,82.02,1785200,82.02
18-Nov-13,84.74,85.41,83.78,83.89,1654900,83.89
15-Nov-13,84.23,85.49,83.93,84.62,1673500,84.62
14-Nov-13,83.32,85.12,82.06,84.05,2406100,84.05
13-Nov-13,83.85,85.31,83.81,84.64,2064400,84.64
12-Nov-13,83.5,84.87,83.5,84.13,1981800,84.13
11-Nov-13,82.23,83.18,81.33,82.86,1577600,82.86
8-Nov-13,80.37,82.13,80.34,82.02,1911900,82.02
7-Nov-13,81.11,81.79,80.12,80.39,1618500,80.39
6-Nov-13,80.34,81.42,79.9,81.2,1594100,81.2
5-Nov-13,79.6,80.56,79.11,79.74,1962700,79.74
4-Nov-13,79.73,80.47,78.14,79.55,2533200,79.55
1-Nov-13,81.47,81.9,78.74,79.43,7302400,79.43
31-Oct-13,83.33,83.5,81.07,81.54,2737600,81.54
30-Oct-13,84.64,84.75,83,83.49,1326800,83.49
29-Oct-13,84.5,85.32,83.16,84.16,2091900,84.16
28-Oct-13,82.55,84.86,82.52,84.28,2697800,84.28
25-Oct-13,85.5,85.88,82.36,82.71,3222200,82.71
24-Oct-13,88.04,91.68,84.2,85.15,6629900,85.15
23-Oct-13,90.49,90.83,85.58,86.31,5614100,86.31
22-Oct-13,91.23,91.71,89.53,90.65,2046500,90.65
21-Oct-13,88.18,90.12,88.01,90.11,1687800,90.11
18-Oct-13,86.64,88.06,85.92,87.81,1877500,87.81
17-Oct-13,87.5,88.06,85.87,85.92,2228300,85.92
16-Oct-13,88.36,88.6,87.41,88.52,1322300,88.52
15-Oct-13,89.9,90.37,87.51,87.55,2005300,87.55
14-Oct-13,89.62,90.59,88.98,90.21,1081200,90.21
11-Oct-13,88.77,91.1,88.32,90.5,1105700,90.5
10-Oct-13,87.73,89.5,87.51,89.22,1529000,89.22
9-Oct-13,89.27,89.89,86.02,87.9,1472400,87.9
8-Oct-13,91.99,92.73,88.7,88.79,1782300,88.79
7-Oct-13,90.86,93.25,90.51,92.02,1592900,92.02
4-Oct-13,89.89,91.68,89.5,91.54,1408600,91.54
3-Oct-13,89.96,91.14,87.65,88.45,1245100,88.45
2-Oct-13,88.18,89.96,87.94,89.88,1095500,89.88
1-Oct-13,86.1,89.1,85.58,88.97,1533000,88.97
30-Sep-13,86,86.87,85.31,85.81,964500,85.81
27-Sep-13,87.46,87.98,86.37,86.8,715200,86.8
26-Sep-13,88.2,89.57,87.31,88.1,943500,88.1
25-Sep-13,86.97,88.35,86.04,87.99,1130400,87.99
24-Sep-13,87.49,87.97,86.05,87.07,2232900,87.07
23-Sep-13,93.59,93.77,89.13,89.17,1795300,89.17
20-Sep-13,94.33,94.66,93.33,93.62,1674200,93.62
19-Sep-13,93.19,93.49,92.43,93.1,697500,93.1
18-Sep-13,91.65,93.32,90.88,92.94,964600,92.94
17-Sep-13,91.07,92.43,90.57,91.63,780800,91.63
16-Sep-13,93,93.18,90.57,90.88,988100,90.88
13-Sep-13,91.02,92.04,90.4,92.01,1166900,92.01
