Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,58.78,59.28,58.78,59.05,550300,59.05
30-Dec-13,58.59,58.97,58.5,58.72,557200,58.72
27-Dec-13,59.07,59.12,58.56,58.61,555600,58.61
26-Dec-13,58.52,59,58.28,58.88,754000,58.88
24-Dec-13,58.52,58.52,58.22,58.37,277100,58.37
23-Dec-13,58.04,58.44,57.87,58.39,945200,58.39
20-Dec-13,57.47,58.06,57.16,57.83,2330800,57.83
19-Dec-13,57.53,57.84,57.19,57.27,1045800,57.27
18-Dec-13,56.59,57.47,55.9,57.47,1160800,57.47
17-Dec-13,56.84,57,55.96,56.61,1259300,56.61
16-Dec-13,112.06,113.62,112.06,113.38,1181000,56.69
13-Dec-13,112.76,112.76,111.54,111.84,856400,55.92
12-Dec-13,110.94,112.44,110.33,111.98,1342200,55.99
11-Dec-13,110.9,111.45,110.26,110.39,891000,55.19
10-Dec-13,110.58,111.65,110.58,111.13,770200,55.56
9-Dec-13,112.41,112.87,110.26,111.12,731600,55.56
6-Dec-13,109.39,111.19,108.48,111.16,934800,55.58
5-Dec-13,108.98,109.34,108.25,108.28,750600,54.14
4-Dec-13,109.28,110.12,108.19,109.11,663200,54.56
3-Dec-13,110.24,111.28,109.97,110.1,995600,55.05
2-Dec-13,110.47,111.37,109.95,111,1847200,55.5
29-Nov-13,110.27,111.12,109.86,109.89,790600,54.94
27-Nov-13,116.37,116.37,110.3,110.75,640200,55.38
26-Nov-13,110.34,110.6,109.67,110.26,1420600,55.13
25-Nov-13,110.7,110.73,109.43,109.5,904400,54.75
22-Nov-13,110.36,110.58,109.78,110.11,907400,55.06
21-Nov-13,109.21,110.1,108.73,109.98,912600,54.99
20-Nov-13,108.89,109.55,108.03,108.3,738600,54.15
19-Nov-13,109.5,110.52,108.97,109.04,1107800,54.52
18-Nov-13,108.5,109.62,108.47,109.49,1077800,54.74
15-Nov-13,106.93,108.68,106.8,108.61,1254600,54.31
14-Nov-13,107.55,108.06,106.93,107.2,841200,53.6
13-Nov-13,104.94,107.22,104.86,107.19,1039200,53.6
12-Nov-13,104.9,105.7,104.43,105.63,885800,52.81
11-Nov-13,105.4,105.65,105.03,105.38,461600,52.69
8-Nov-13,103.8,105.67,103.64,105.62,841400,52.81
