Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,79.92,80.45,79.6,80.29,929400,80.07
30-Dec-13,79.96,80.36,79.64,79.88,734000,79.67
27-Dec-13,80.06,80.34,79.52,79.76,854700,79.55
26-Dec-13,79.5,80.18,79.39,79.98,608100,79.77
24-Dec-13,79.02,79.55,78.9,79.27,401900,79.06
23-Dec-13,79.69,79.88,78.68,79.02,740800,78.81
20-Dec-13,79.11,79.52,78.74,79.37,1895100,79.16
19-Dec-13,77.74,79.01,77.43,78.83,1628500,78.62
18-Dec-13,76.07,78.06,75.84,77.94,1710000,77.73
17-Dec-13,75.96,76.5,75.44,75.8,1222500,75.6
16-Dec-13,75.5,76.31,75.42,75.94,1370400,75.74
13-Dec-13,75,75.6,74.59,74.79,1286100,74.59
12-Dec-13,75.63,76.01,74.77,74.84,1536900,74.64
11-Dec-13,77.88,77.97,75.32,75.59,1117600,75.39
10-Dec-13,76.82,77.99,76.81,77.65,1275600,77.44
9-Dec-13,77.41,77.58,76.68,76.86,1131900,76.65
6-Dec-13,77.09,77.78,76.62,77.41,815100,77.2
5-Dec-13,76.46,77.39,75.91,76.16,1056600,75.96
4-Dec-13,76.77,78.22,76.02,76.82,1008400,76.61
3-Dec-13,77.34,77.69,76.66,77.26,1055000,77.05
2-Dec-13,77.9,78.5,76.62,77.92,949000,77.71
29-Nov-13,78.23,78.44,77.6,77.81,448100,77.6
27-Nov-13,78.93,79.2,78.12,78.17,794400,77.96
26-Nov-13,78.06,79.95,78.05,78.87,2065300,78.5
25-Nov-13,79.03,79.03,77.41,78.29,1290400,77.92
22-Nov-13,77.98,78.68,77.36,78.63,1238300,78.26
21-Nov-13,76.72,78.18,76.71,78,1088100,77.63
20-Nov-13,77.05,77.93,76.01,76.22,974500,75.86
19-Nov-13,77.75,77.78,76.47,77.04,1263600,76.68
18-Nov-13,79.64,79.95,77.84,78.04,1389000,77.67
15-Nov-13,79.49,79.68,78.82,79.36,850200,78.99
14-Nov-13,79.37,79.47,78.44,79.35,876800,78.98
13-Nov-13,76.47,79.22,76.19,79.08,1869100,78.71
12-Nov-13,77.67,77.96,77.21,77.48,1316000,77.12
11-Nov-13,77.44,78.14,77.07,77.85,1237500,77.48
8-Nov-13,75.47,77.96,75.33,77.92,1882000,77.55
7-Nov-13,76.99,77.55,75.55,75.67,1782100,75.31
6-Nov-13,76.3,76.89,75.79,76.66,1657700,76.3
5-Nov-13,75.19,76.43,74.84,76.21,2591600,75.85
4-Nov-13,75.26,75.84,74.54,75.81,1326600,75.45
1-Nov-13,73.89,76.84,73.15,74.9,3263000,74.55
31-Oct-13,75.17,75.22,73.8,74.22,2571100,73.87
30-Oct-13,76.81,77,75.78,76.01,1405400,75.65
29-Oct-13,77.04,77.3,76.39,76.88,1192200,76.52
28-Oct-13,76.44,76.78,75.93,76.57,1340800,76.21
25-Oct-13,76.97,76.99,75.31,76.31,1454200,75.95
24-Oct-13,76.5,77.14,76.3,76.88,1182800,76.52
23-Oct-13,76.4,77.16,75.31,76.47,1162800,76.11
22-Oct-13,77,78.23,76.86,77.05,958500,76.69
21-Oct-13,77.13,77.29,76.15,76.7,945900,76.34
18-Oct-13,76.13,77.56,75.85,77.19,1830400,76.83
17-Oct-13,73.74,75.82,73.74,75.55,1492800,75.19
16-Oct-13,73.22,74.22,72.5,74.15,1416600,73.8
15-Oct-13,73.43,73.7,72.46,72.75,1302100,72.41
14-Oct-13,72.34,73.86,72.03,73.74,1102000,73.39
11-Oct-13,72.1,73.37,71.91,72.98,1034500,72.64
10-Oct-13,70.54,71.93,70.54,71.74,953600,71.4
9-Oct-13,70.13,70.62,68.93,69.6,1533200,69.27
8-Oct-13,71.06,71.76,69.51,69.69,1195000,69.36
7-Oct-13,71.34,71.98,70.78,71.29,1037700,70.95
4-Oct-13,71.79,72.31,71.33,71.87,1009700,71.53
3-Oct-13,73.5,73.75,71.01,71.89,1427700,71.55
2-Oct-13,71.37,73.28,71.36,73.2,1655900,72.86
1-Oct-13,70.77,72.49,70.55,71.93,968600,71.59
30-Sep-13,70.12,71.16,70.03,70.96,1001400,70.63
27-Sep-13,71.34,71.72,70.76,71.05,1295300,70.72
26-Sep-13,72,72.13,71.47,72.03,1068100,71.69
25-Sep-13,71.27,72.13,70.68,71.9,1314400,71.56
24-Sep-13,70.82,72.05,70.77,71.33,1295400,70.99
23-Sep-13,71.75,71.94,70.45,70.92,1501000,70.59
20-Sep-13,73.37,74.72,71.83,72.01,3790700,71.67
19-Sep-13,70.18,71.62,70.06,71.45,1944000,71.11
18-Sep-13,68.18,70.74,67.96,69.91,1717600,69.58
17-Sep-13,67.87,68.22,67.54,68.04,688500,67.72
16-Sep-13,68.7,68.98,67.64,67.86,1368300,67.54
13-Sep-13,67.9,68.24,67.14,67.21,958200,66.89
12-Sep-13,67.14,68.48,67,67.72,1549200,67.4
11-Sep-13,66.42,67.49,66.4,67.15,975000,66.83
10-Sep-13,66.35,66.86,66.21,66.72,2088900,66.41
9-Sep-13,64.91,66.38,64.91,65.89,1172500,65.58
6-Sep-13,65.3,65.55,64.52,64.58,984200,64.28
5-Sep-13,64.06,65.14,64.05,65,776100,64.69
4-Sep-13,63.51,64.33,63.3,64.13,676200,63.83
3-Sep-13,64.08,64.68,63.21,63.54,938800,63.24
30-Aug-13,64.03,64.14,63.17,63.43,927000,63.13
29-Aug-13,63.89,64.46,63.77,63.9,1252500,63.6
28-Aug-13,64.56,64.75,64.08,64.31,1083800,63.85
27-Aug-13,65.63,65.69,64.5,64.73,1472500,64.26
26-Aug-13,66.32,67.02,66.25,66.48,1104000,66
23-Aug-13,66.33,66.33,65.23,66.08,937900,65.61
22-Aug-13,65.71,66.69,65.63,66.28,679100,65.8
21-Aug-13,64.76,66,64.66,65.25,1282800,64.78
20-Aug-13,65.29,65.75,64.75,65.05,1876100,64.58
19-Aug-13,65.86,66.02,64.86,65.06,1252800,64.59
16-Aug-13,65.74,66.6,65.62,66.19,1026600,65.71
15-Aug-13,65.82,66.3,65.31,65.95,1402700,65.48
14-Aug-13,65.92,66.74,65.54,66.43,1344200,65.95
13-Aug-13,65.74,66.1,65.34,65.81,1145700,65.34
12-Aug-13,65.4,65.92,65.23,65.55,1419900,65.08
9-Aug-13,66.02,66.25,65.34,65.98,1787700,65.51
8-Aug-13,65.5,66.7,64.94,66.04,2553100,65.57
7-Aug-13,65.37,65.47,64.22,65.21,2039800,64.74
