Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,4.7,4.7,4.62,4.65,6763200,4.56
30-Dec-13,4.68,4.71,4.68,4.7,5424800,4.6
27-Dec-13,4.7,4.7,4.67,4.7,3569100,4.6
26-Dec-13,4.7,4.71,4.67,4.7,4418800,4.6
24-Dec-13,4.73,4.74,4.67,4.7,3949200,4.6
23-Dec-13,4.69,4.72,4.68,4.69,6659900,4.59
20-Dec-13,4.75,4.75,4.66,4.69,8493300,4.59
19-Dec-13,4.73,4.76,4.64,4.73,12560900,4.63
18-Dec-13,4.78,4.79,4.68,4.7,12857200,4.6
17-Dec-13,4.94,4.94,4.61,4.78,53060300,4.68
16-Dec-13,4.44,4.47,4.39,4.4,7191800,4.31
13-Dec-13,4.45,4.49,4.43,4.44,6203300,4.35
12-Dec-13,4.5,4.51,4.44,4.45,6669900,4.36
11-Dec-13,4.6,4.64,4.53,4.53,8626300,4.44
10-Dec-13,4.53,4.62,4.52,4.61,6213900,4.52
9-Dec-13,4.52,4.62,4.48,4.57,14678800,4.48
6-Dec-13,4.54,4.56,4.45,4.56,7866200,4.47
5-Dec-13,4.54,4.55,4.4,4.43,11938200,4.34
4-Dec-13,4.62,4.68,4.6,4.64,22154300,4.45
3-Dec-13,4.64,4.67,4.61,4.65,11396200,4.46
2-Dec-13,4.68,4.69,4.61,4.62,10813300,4.43
29-Nov-13,4.7,4.72,4.66,4.68,3565200,4.49
27-Nov-13,4.68,4.71,4.67,4.69,4933600,4.5
26-Nov-13,4.69,4.73,4.64,4.64,12750000,4.45
25-Nov-13,4.7,4.72,4.62,4.67,10681500,4.48
22-Nov-13,4.77,4.8,4.7,4.7,8693000,4.51
21-Nov-13,4.89,4.89,4.76,4.8,7367700,4.6
20-Nov-13,5,5.02,4.8,4.84,12558500,4.64
19-Nov-13,4.89,4.99,4.89,4.98,7447100,4.77
18-Nov-13,4.91,4.95,4.86,4.9,15798100,4.7
15-Nov-13,4.84,4.92,4.83,4.9,15996500,4.7
14-Nov-13,4.7,4.84,4.7,4.82,6605500,4.62
13-Nov-13,4.66,4.81,4.66,4.78,12893000,4.58
12-Nov-13,4.72,4.73,4.67,4.7,7048100,4.51
11-Nov-13,4.69,4.75,4.69,4.72,10209100,4.52
8-Nov-13,4.69,4.7,4.57,4.69,9877800,4.5
7-Nov-13,4.73,4.74,4.58,4.64,15368300,4.45
6-Nov-13,4.5,4.74,4.5,4.72,24149000,4.52
5-Nov-13,4.43,4.51,4.41,4.48,9388100,4.29
4-Nov-13,4.42,4.48,4.42,4.46,4943200,4.28
