Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,49.44,49.79,49.12,49.26,1746100,48.84
30-Dec-13,48.99,49.38,48.17,49.27,1972100,48.85
27-Dec-13,50.33,50.61,48.91,49.04,2107200,48.62
26-Dec-13,51.07,51.55,50.19,50.36,1518800,49.93
24-Dec-13,50.36,51.21,50.36,50.97,1150800,50.53
23-Dec-13,49.34,50.56,49.04,50.52,1844000,50.09
20-Dec-13,49.91,50.15,49.17,49.25,2871000,48.83
19-Dec-13,49.68,50.49,49.22,49.87,2319600,49.44
18-Dec-13,49.01,50.15,48.54,49.93,3535500,49.5
17-Dec-13,48.05,49.14,47.82,48.98,2898700,48.56
16-Dec-13,47.38,48.5,47.38,48.11,3512900,47.7
13-Dec-13,46,47.8,46,47.29,4803900,46.88
12-Dec-13,45.13,46.47,45.09,45.61,2967500,45.22
11-Dec-13,45.77,46.44,45.03,45.21,2968200,44.82
10-Dec-13,45.49,45.92,45.18,45.77,3399500,45.38
9-Dec-13,45.09,46.11,45,45.58,4411400,45.19
6-Dec-13,45.69,46.54,44.87,45.08,3945200,44.69
5-Dec-13,45.65,46.14,45.07,45.13,4486300,44.74
4-Dec-13,46.04,46.69,45.65,45.77,4598400,45.38
3-Dec-13,46.76,46.9,44.92,45.95,8215700,45.56
2-Dec-13,48.5,48.59,46.78,46.97,4198500,46.57
29-Nov-13,48.21,48.75,47.94,48.25,2295200,47.56
27-Nov-13,48.3,48.59,47.68,47.77,3574700,47.09
26-Nov-13,48.97,49.36,48,48.26,4534300,47.57
25-Nov-13,50.71,50.72,48.76,48.9,5503500,48.2
22-Nov-13,49.94,50.01,48.58,49.86,5238800,49.15
21-Nov-13,50.19,50.25,46.66,48.8,14606000,48.11
20-Nov-13,53.26,53.33,51.81,52.44,4136400,51.69
19-Nov-13,55.28,55.33,52.99,53.19,3104800,52.43
18-Nov-13,57.09,57.19,54.74,55.04,2642600,54.26
15-Nov-13,57.5,57.55,55.62,56.53,2877400,55.73
14-Nov-13,57.68,57.74,56.92,57.43,1704000,56.61
13-Nov-13,56.54,57.61,56.54,57.59,1760400,56.77
12-Nov-13,55.36,57.11,55,56.96,2349700,56.15
11-Nov-13,55.19,55.78,54.04,55.38,1503500,54.59
8-Nov-13,53.9,55.52,53.79,55.48,1497400,54.69
7-Nov-13,55.95,56.32,53.64,53.82,2452900,53.05
6-Nov-13,56.7,57.21,55.84,56.05,1736400,55.25
5-Nov-13,55.36,56.75,54.55,56.56,2740700,55.76
4-Nov-13,55.45,55.73,54.97,55.3,1427400,54.51
1-Nov-13,55.09,55.37,54.73,55.05,2338900,54.27
31-Oct-13,55.2,55.36,54.06,54.82,1757700,54.04
30-Oct-13,55.83,56,54.9,55.22,1447000,54.43
29-Oct-13,54.9,55.69,52.71,55.45,1904400,54.66
28-Oct-13,54.88,55.03,54.19,54.41,1199900,53.64
25-Oct-13,54.93,55.37,54.37,54.88,919100,54.1
24-Oct-13,54.6,55.08,54.51,54.8,1149800,54.02
23-Oct-13,54.57,54.84,53.58,54.47,1349000,53.7
22-Oct-13,54.74,55.28,54.2,54.76,1886900,53.98
21-Oct-13,54.28,54.83,53.37,54.65,1695900,53.87
18-Oct-13,53.03,54,52.03,53.88,1676400,53.11
17-Oct-13,51.66,52.7,51.41,52.67,1711800,51.92
16-Oct-13,51.48,51.97,51.03,51.66,1885700,50.93
15-Oct-13,51.79,52.08,51,51.3,1831100,50.57
14-Oct-13,51.09,51.87,50.81,51.78,1240000,51.04
11-Oct-13,51.54,52.15,51.25,51.56,1561000,50.83
10-Oct-13,50.66,52.83,50.56,51.89,3179800,51.15
9-Oct-13,49.5,50.23,48.51,50.02,1533200,49.31
8-Oct-13,49.7,50.75,48.87,49.32,1784600,48.62
7-Oct-13,50.22,50.81,49.57,49.58,1189000,48.87
4-Oct-13,49.75,50.9,49.41,50.7,1276700,49.98
3-Oct-13,50.19,50.68,47.73,49.82,1474800,49.11
2-Oct-13,50.88,50.98,49.82,50.32,1489900,49.6
1-Oct-13,49.59,51.22,49.56,51.21,2701100,50.48
30-Sep-13,49.25,49.94,49.05,49.65,1872300,48.94
27-Sep-13,50.08,50.52,49.55,49.65,1318800,48.94
26-Sep-13,50.73,51.14,49.59,50.43,1253800,49.71
25-Sep-13,51.27,51.7,50.12,50.8,1633000,50.08
24-Sep-13,49.97,51.35,49.89,51.05,1915500,50.32
23-Sep-13,49.5,50.03,48.65,49.81,2113100,49.1
20-Sep-13,51.86,51.86,49.16,49.43,3692300,48.73
19-Sep-13,52.07,52.25,51.58,51.84,1382300,51.1
18-Sep-13,52.46,52.64,50.33,51.38,2210600,50.65
17-Sep-13,52.55,53.14,51.86,52.62,2122100,51.87
16-Sep-13,52.88,53.28,52.1,52.12,1762500,51.38
13-Sep-13,49.62,52.54,49.56,52.45,2895000,51.7
12-Sep-13,49.65,49.85,48.94,49.45,1195800,48.75
11-Sep-13,50.23,50.49,49.23,49.56,1337500,48.86
10-Sep-13,50.26,50.68,50.1,50.34,1126400,49.62
9-Sep-13,50.06,50.81,49.72,50.1,1750900,49.39
6-Sep-13,51.23,51.53,49.46,49.61,1826200,48.9
5-Sep-13,49.66,51.48,49.66,51.2,1578300,50.47
4-Sep-13,49.85,50.38,49.39,49.64,1752400,48.93
3-Sep-13,50.77,51.2,49.93,49.97,1436300,49.26
30-Aug-13,51.1,51.1,49.67,50.21,2029700,49.5
29-Aug-13,49.86,51.47,49.7,50.66,1425500,49.94
28-Aug-13,49.35,50.27,49.3,49.9,2247600,48.92
27-Aug-13,52.06,52.08,49.34,49.37,2546300,48.4
26-Aug-13,51.57,53.2,51.57,52.38,2279400,51.35
23-Aug-13,52.6,52.82,50.8,51.62,2365300,50.61
22-Aug-13,53.95,56.08,51.57,51.91,10136900,50.89
21-Aug-13,48,48.65,47.31,47.62,1659000,46.68
20-Aug-13,48.16,48.36,47.73,48.24,1956500,47.29
19-Aug-13,47.72,48.22,47.57,47.7,1721400,46.76
16-Aug-13,47.48,48.54,47.04,47.58,1574800,46.64
15-Aug-13,48.21,48.46,47.35,47.69,1259700,46.75
14-Aug-13,49.08,49.63,48.53,48.69,1277000,47.73
13-Aug-13,49.6,49.66,48.75,49.24,1571900,48.27
12-Aug-13,48.55,49.6,48.39,49.48,1404900,48.51
9-Aug-13,48.23,49.44,48.11,48.97,1726500,48.01
8-Aug-13,47.88,48.71,47.63,48.49,2783300,47.54
7-Aug-13,48.61,48.9,47.18,47.88,3690400,46.94
6-Aug-13,50.2,50.65,48.75,48.99,3646600,48.03
5-Aug-13,50.32,51.14,49.85,50.29,2730100,49.3
2-Aug-13,48.97,50.66,47.98,50.39,3925500,49.4
1-Aug-13,49.52,51.36,49.26,49.98,4194100,49
31-Jul-13,47.14,49.52,47.14,49.06,4706300,48.1
30-Jul-13,45.45,47.25,45.44,46.91,2705700,45.99
29-Jul-13,45.67,45.74,44.57,45.39,1942700,44.5
