Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,46.61,46.85,46.15,46.19,693200,45.81
30-Dec-13,46.67,46.89,46.4,46.66,1299700,46.27
27-Dec-13,46.24,47.01,46.16,46.67,1285800,46.28
26-Dec-13,46.25,46.53,45.99,46.1,508700,45.72
24-Dec-13,46.1,46.54,46,46.2,357100,45.82
23-Dec-13,46.28,46.36,45.92,46.14,987100,45.76
20-Dec-13,45.64,46.23,45.39,46.03,1889800,45.65
19-Dec-13,45.77,45.86,45.34,45.7,1066400,45.32
18-Dec-13,46.26,46.26,43.67,45.8,2017500,45.42
17-Dec-13,46.38,46.77,46.25,46.57,745600,46.18
16-Dec-13,46.68,46.8,46.36,46.51,927400,46.12
13-Dec-13,47.31,47.7,46.39,46.58,1497300,46.19
12-Dec-13,47.74,47.95,47.06,47.12,1539800,46.73
11-Dec-13,48.84,49.13,48.14,48.2,704000,47.35
10-Dec-13,49,49.33,48.8,48.95,546700,48.09
9-Dec-13,48.75,49.72,48.02,49.02,1259600,48.16
6-Dec-13,48.45,48.88,48.2,48.83,634900,47.97
5-Dec-13,47.08,47.98,47.08,47.88,762000,47.04
4-Dec-13,47.35,47.76,46.29,47.16,1046700,46.33
3-Dec-13,48.1,48.1,47.29,47.8,1270600,46.96
2-Dec-13,48.59,49,48.19,48.37,762700,47.52
29-Nov-13,48.76,49,48.4,48.56,356100,47.71
27-Nov-13,49.08,49.26,48.48,48.74,657800,47.88
26-Nov-13,47.88,49.15,47.73,48.82,1369700,47.96
25-Nov-13,48.25,48.46,47.83,48.34,937400,47.49
22-Nov-13,48.1,48.25,48,48.08,746100,47.23
21-Nov-13,48.08,48.34,47.87,48.16,746800,47.31
20-Nov-13,47.99,48.49,47.52,47.86,811600,47.02
19-Nov-13,47.14,47.82,46.81,47.7,1407000,46.86
18-Nov-13,47.71,47.98,47.1,47.23,703500,46.4
15-Nov-13,46.27,47.77,46.24,47.77,2035800,46.93
14-Nov-13,46,46.47,45.85,46.33,1877900,45.52
13-Nov-13,45.78,46,45.58,45.89,1488900,45.08
12-Nov-13,45.9,46.12,45.61,45.85,1424400,45.04
11-Nov-13,46.11,46.2,45.66,45.9,1398000,45.09
8-Nov-13,46.59,46.74,46.1,46.25,1621300,45.44
7-Nov-13,47.47,47.77,46.2,46.35,1298400,45.54
6-Nov-13,48.08,48.09,47.39,47.95,874400,47.11
5-Nov-13,47.71,48.1,47.47,47.99,1289500,47.15
4-Nov-13,46.95,48.02,46.68,47.91,1463600,47.07
1-Nov-13,46.82,47.03,46.1,46.61,1451900,45.79
31-Oct-13,47.87,47.87,45.84,46.75,2687100,45.93
30-Oct-13,50,50.39,47.63,48.27,2542200,47.42
29-Oct-13,48.05,48.35,47.8,48.07,1408800,47.22
28-Oct-13,48.82,48.89,47.56,47.8,1408800,46.96
25-Oct-13,48.94,49,48.57,48.9,767100,48.04
24-Oct-13,48.77,49.1,48.65,48.83,511100,47.97
23-Oct-13,48.85,49.12,48.53,48.77,772200,47.91
22-Oct-13,49.13,49.87,48.95,49.33,1336900,48.46
21-Oct-13,48.9,49.11,48.86,49.04,1124200,48.18
18-Oct-13,48.56,48.93,48.24,48.86,997600,48
17-Oct-13,48.49,48.9,48.29,48.54,882800,47.69
16-Oct-13,47.6,50,47.21,48.71,1643400,47.85
15-Oct-13,47.38,47.66,46.82,47.22,1047600,46.39
14-Oct-13,47.31,47.71,47.04,47.66,523900,46.82
11-Oct-13,47.3,47.63,47.1,47.61,967500,46.77
10-Oct-13,46.46,47.98,46.4,47.56,1442500,46.72
9-Oct-13,46.43,46.65,45.88,46.06,992200,45.25
8-Oct-13,46.68,47.03,46.04,46.07,1031900,45.26
7-Oct-13,46.91,47.34,46.29,46.78,1136100,45.96
4-Oct-13,47.13,47.56,46.75,47.13,1328300,46.3
3-Oct-13,47.2,47.27,46.22,47.07,2167000,46.24
2-Oct-13,45.84,47.25,45.25,47.2,2301700,46.37
1-Oct-13,45.06,46.33,45,46.31,1713800,45.5
30-Sep-13,44.77,45.21,44.52,45.19,1407000,44.4
27-Sep-13,45.18,45.32,44.83,45.19,860900,44.4
26-Sep-13,45.29,45.61,44.7,45.42,1404500,44.62
25-Sep-13,44.24,46.34,44.01,45.17,2710300,44.38
24-Sep-13,43.63,44.58,43.01,44.04,1610100,43.27
23-Sep-13,43.62,43.83,42.93,43.55,1352500,42.78
20-Sep-13,45.02,45.02,43.51,43.61,4374800,42.84
19-Sep-13,44.73,45.22,44.45,44.98,1584300,44.19
18-Sep-13,44.47,45.33,44.33,44.73,1593600,43.94
17-Sep-13,43.25,44.86,43.19,44.42,2453500,43.64
16-Sep-13,43.16,43.29,42.84,43.12,953100,42.36
13-Sep-13,42.65,42.74,42.19,42.7,1304500,41.95
12-Sep-13,42.82,42.82,42.11,42.4,1347900,41.65
11-Sep-13,42.71,43.61,42.67,43.23,1876200,42.03
10-Sep-13,42.32,42.77,42.3,42.65,1568300,41.46
9-Sep-13,41.98,42.22,41.8,42.14,1667400,40.97
6-Sep-13,42.51,42.51,41.46,41.77,2082000,40.61
5-Sep-13,42.27,42.6,42,42.19,1392600,41.02
4-Sep-13,41.53,42.31,41.34,42.3,2333600,41.12
3-Sep-13,41.38,41.82,41.08,41.46,1810200,40.31
30-Aug-13,41.23,41.27,40.43,40.77,1767200,39.64
29-Aug-13,39.48,42.41,39.42,41.23,3937700,40.08
28-Aug-13,39.7,39.9,39.39,39.51,944400,38.41
27-Aug-13,39.98,40.19,39.5,39.73,1015000,38.63
26-Aug-13,40.6,40.82,40.26,40.42,1095500,39.3
23-Aug-13,40.74,40.91,40.41,40.6,1307000,39.47
22-Aug-13,40.41,40.84,40.41,40.64,1240200,39.51
21-Aug-13,38.67,40.94,38.57,40.28,2963700,39.16
20-Aug-13,38.24,38.6,37.91,38.45,922200,37.38
19-Aug-13,37.91,38.29,37.71,38.07,1178500,37.01
16-Aug-13,38.32,38.35,37.65,37.78,866700,36.73
15-Aug-13,38.56,38.58,38.12,38.28,758000,37.22
14-Aug-13,38.98,39.07,38.84,38.87,508500,37.79
13-Aug-13,39.46,39.68,38.94,39.03,828500,37.94
12-Aug-13,38.78,39.96,38.74,39.5,1128000,38.4
9-Aug-13,39.08,39.38,38.81,38.88,476000,37.8
8-Aug-13,39.36,39.42,38.97,39.01,494600,37.93
7-Aug-13,39.31,39.45,38.75,38.94,631900,37.86
6-Aug-13,39.6,39.74,39,39.24,887100,38.15
5-Aug-13,39.76,40.19,39.58,39.68,894400,38.58
2-Aug-13,39.94,39.99,39.62,39.82,688500,38.71
1-Aug-13,40.12,40.25,39.55,39.94,1475700,38.83
31-Jul-13,38.55,40.19,37.9,40.08,4536800,38.97
30-Jul-13,37.13,37.5,36.98,37.26,1935300,36.22
29-Jul-13,36.71,37.2,36.6,36.86,1387700,35.84
26-Jul-13,36.94,36.99,36.57,36.83,711600,35.81
25-Jul-13,36.77,37.37,36.74,37.21,962000,36.18
24-Jul-13,37.67,37.67,36.84,36.91,1058400,35.88
23-Jul-13,37.57,37.65,37.4,37.5,1181100,36.46
22-Jul-13,37,37.67,36.72,37.56,1492100,36.52
19-Jul-13,36.58,36.81,36.42,36.7,647100,35.68
18-Jul-13,36.57,36.84,36.41,36.52,552300,35.5
17-Jul-13,36.49,36.71,36.17,36.35,672300,35.34
16-Jul-13,36.9,36.98,36.23,36.43,782500,35.42
15-Jul-13,36.45,36.98,36.18,36.9,904300,35.87
12-Jul-13,35.98,36.31,35.65,36.31,1115300,35.3
11-Jul-13,36.17,36.76,36,36.06,1661500,35.06
10-Jul-13,35.18,35.82,35.13,35.78,1207300,34.79
9-Jul-13,35.36,35.48,35.14,35.17,816500,34.19
8-Jul-13,35.64,35.67,34.93,34.96,723100,33.99
5-Jul-13,35.4,35.51,35.06,35.34,630700,34.36
3-Jul-13,35.01,35.23,34.72,35.08,528400,34.1
2-Jul-13,36.23,36.33,35.08,35.2,1116400,34.22
1-Jul-13,36.18,36.63,36.13,36.3,689600,35.29
28-Jun-13,36.01,36.8,36,36.17,2137400,35.16
27-Jun-13,35.7,36.27,35.7,36.21,790300,35.2
26-Jun-13,35.24,35.58,34.85,35.46,1031200,34.47
25-Jun-13,34.93,35.09,34.37,34.95,724700,33.98
24-Jun-13,34.52,34.93,34.18,34.56,931500,33.6
21-Jun-13,34.41,34.87,34.25,34.69,1524800,33.73
20-Jun-13,34.57,35.14,34.11,34.24,1117200,33.29
19-Jun-13,35.82,36,34.87,34.96,1006800,33.99
18-Jun-13,35.06,36.25,35.06,35.76,1494100,34.77
17-Jun-13,33.88,35.31,33.88,34.94,1556300,33.97
14-Jun-13,34.24,34.32,33.67,33.72,963000,32.78
13-Jun-13,33.97,34.71,33.91,34.61,1160600,33.21
12-Jun-13,34.59,34.59,33.96,34.09,1206400,32.71
11-Jun-13,34.52,34.86,34.32,34.35,1047200,32.96
10-Jun-13,35.04,35.32,34.85,34.9,1183500,33.49
7-Jun-13,34.86,34.99,34.45,34.84,1808700,33.43
6-Jun-13,34.07,34.33,33.8,34.33,755200,32.94
5-Jun-13,34.75,34.78,33.86,33.95,1285500,32.58
4-Jun-13,35,35.43,34.66,34.76,1424400,33.35
3-Jun-13,35,35.3,34.73,34.95,885900,33.54
31-May-13,35.42,35.7,34.92,34.93,868700,33.52
30-May-13,35.15,35.89,35.13,35.62,868600,34.18
29-May-13,35.41,35.42,34.9,35.11,734900,33.69
28-May-13,35.65,35.94,35.1,35.5,696400,34.06
24-May-13,35.08,35.25,34.66,35.12,881200,33.7
23-May-13,35.49,35.54,35.2,35.35,1073300,33.92
22-May-13,36.71,36.72,35.46,35.63,1229500,34.19
21-May-13,36.59,36.84,36.51,36.67,657100,35.19
20-May-13,36.82,36.99,36.42,36.66,960400,35.18
17-May-13,36.68,36.88,36.26,36.88,1015600,35.39
16-May-13,35.63,36.59,35.63,36.39,1388200,34.92
15-May-13,35.42,35.88,34.93,35.88,845400,34.43
14-May-13,35.45,35.91,35.3,35.5,830900,34.06
13-May-13,36.12,36.25,35.42,35.47,732400,34.04
10-May-13,35.37,36.13,35.34,36.12,873500,34.66
9-May-13,35.75,35.99,35.23,35.33,1102300,33.9
8-May-13,35.55,35.97,35.41,35.7,1036900,34.26
7-May-13,35.51,35.86,35.3,35.54,1008800,34.1
6-May-13,34.8,35.31,34.8,35.28,732500,33.85
3-May-13,35,35.29,34.79,34.81,859700,33.4
2-May-13,33.76,34.77,33.76,34.51,1225400,33.11
1-May-13,34.89,34.97,33.12,33.68,2927400,32.32
30-Apr-13,34.54,35.11,34.46,35.08,1489700,33.66
29-Apr-13,34.94,35.29,34.72,35.24,739300,33.81
26-Apr-13,35.29,35.4,34.59,34.72,550800,33.32
25-Apr-13,34.45,36,34.36,35.31,1406900,33.88
24-Apr-13,34.26,34.45,34.12,34.25,1542800,32.86
23-Apr-13,32.98,33.63,32.83,33.59,804700,32.23
22-Apr-13,33.12,33.12,32.52,32.68,916200,31.36
19-Apr-13,33.26,33.37,32.87,32.97,818400,31.64
18-Apr-13,33.34,33.79,33.07,33.4,1006700,32.05
17-Apr-13,33.45,33.5,32.69,33.11,1229700,31.77
16-Apr-13,33.72,33.97,33.36,33.7,698300,32.34
15-Apr-13,34.51,34.68,33.5,33.66,766300,32.3
12-Apr-13,34.5,34.78,34.2,34.72,799200,33.32
11-Apr-13,34.46,34.55,34.15,34.46,696200,33.07
10-Apr-13,33.91,34.5,33.72,34.4,1151600,33.01
9-Apr-13,33.73,34.05,33.56,33.65,869300,32.29
8-Apr-13,33.61,33.77,33.37,33.76,721900,32.39
5-Apr-13,33.01,33.61,32.68,33.59,1129500,32.23
4-Apr-13,33.43,33.53,33.07,33.43,1025800,32.08
3-Apr-13,34.4,34.47,33.07,33.43,2591800,32.08
2-Apr-13,33.35,34.53,33.01,34.25,3212200,32.86
1-Apr-13,33.18,33.25,32.58,32.6,719100,31.28
28-Mar-13,32.98,33.23,32.8,33.05,1509200,31.71
27-Mar-13,33.18,33.22,32.9,32.97,673400,31.64
26-Mar-13,33.43,33.57,33.07,33.29,1590700,31.94
25-Mar-13,33.29,33.51,32.98,33.44,1052700,32.09
22-Mar-13,33.23,33.35,32.82,33.25,1068500,31.91
21-Mar-13,33.44,33.49,33.01,33.15,1040700,31.81
