Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,47.25,47.98,47.18,47.71,1499800,47.71
2013-12-30,46.43,47.29,46.11,47.19,1048300,47.19
2013-12-27,46.90,46.90,46.32,46.47,761000,46.47
2013-12-26,46.70,46.80,46.50,46.62,803500,46.62
2013-12-24,45.96,46.99,45.96,46.53,609800,46.53
2013-12-23,46.91,47.07,45.58,46.04,2398700,46.04
2013-12-20,45.48,46.95,45.09,46.89,5315000,46.89
2013-12-19,46.49,46.50,45.62,45.66,2181400,45.66
2013-12-18,46.19,46.66,46.01,46.55,3471500,46.55
2013-12-17,47.05,47.05,45.07,45.54,4833200,45.54
2013-12-16,46.94,47.26,46.77,47.18,2639000,47.18
2013-12-13,46.63,47.07,46.31,46.83,1649800,46.83
2013-12-12,46.82,46.86,45.19,46.32,2921800,46.32
2013-12-11,47.22,47.39,46.15,46.73,3141800,46.73
2013-12-10,46.90,47.71,46.79,47.30,2416800,47.30
2013-12-09,47.32,47.48,46.93,46.98,1312700,46.98
2013-12-06,46.85,47.46,46.67,47.24,2522200,47.24
2013-12-05,46.90,46.90,46.43,46.57,1218500,46.57
2013-12-04,47.03,47.20,46.62,47.00,2010900,47.00
2013-12-03,46.54,47.10,46.48,47.06,2149100,47.06
2013-12-02,46.28,47.06,46.24,46.72,1867100,46.72
2013-11-29,46.83,47.19,46.33,46.42,1462800,46.42
2013-11-27,45.72,46.69,45.36,46.52,3305500,46.52
2013-11-26,44.40,45.91,44.16,45.48,4109000,45.48
2013-11-25,44.87,45.03,44.27,44.35,1401600,44.35
2013-11-22,44.42,44.91,43.97,44.76,2087000,44.76
2013-11-21,44.11,44.56,43.96,44.44,2013300,44.44
2013-11-20,44.00,44.80,43.90,44.20,2994700,44.20
2013-11-19,44.36,44.50,43.20,43.78,4480700,43.78
2013-11-18,44.60,45.02,44.13,44.31,3462000,44.31
2013-11-15,45.85,45.99,44.25,45.07,6522900,45.07
2013-11-14,45.58,45.99,45.34,45.85,2216200,45.85
2013-11-13,45.28,45.85,45.10,45.63,3606900,45.63
2013-11-12,45.14,45.55,44.63,45.44,3670800,45.44
2013-11-11,45.15,45.69,44.90,45.50,2282800,45.50
2013-11-08,44.45,45.15,44.17,45.13,4251400,45.13
2013-11-07,45.48,45.50,43.87,44.24,6181700,44.24
2013-11-06,46.83,47.10,45.05,45.30,5169300,45.30
2013-11-05,47.16,47.74,45.86,46.45,4675800,46.45
2013-11-04,47.31,47.74,47.18,47.74,2842100,47.74
2013-11-01,47.36,47.68,46.67,47.31,3511000,47.31
2013-10-31,46.69,47.45,46.67,47.14,5919700,47.14
2013-10-30,46.95,47.00,46.40,46.67,9637400,46.67
2013-10-29,46.91,47.62,46.50,47.34,2353900,47.34
2013-10-28,46.74,47.49,46.64,47.02,1658900,47.02
2013-10-25,45.68,47.19,45.68,46.92,3399400,46.92
2013-10-24,46.70,46.91,45.35,45.80,5327400,45.80
2013-10-23,46.82,46.95,46.24,46.77,2062200,46.77
2013-10-22,47.67,48.03,46.97,47.00,3499200,47.00
2013-10-21,48.54,48.75,47.43,47.53,2017500,47.53
2013-10-18,49.19,49.52,47.60,48.54,7156100,48.54
2013-10-17,46.03,47.47,46.03,47.38,2053600,47.38
2013-10-16,46.06,46.31,45.57,46.22,1648600,46.22
2013-10-15,46.39,46.44,45.52,45.90,1690800,45.90
