Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,186.49,187.79,186.3,187.57,3619700,186.55
30-Dec-13,185.32,186.7,184.67,186.41,3018600,185.39
27-Dec-13,185.84,186.5,184.56,185.08,3381600,184.07
26-Dec-13,183.56,185.56,183.51,185.35,3325700,184.34
24-Dec-13,181.96,183.5,181.91,183.22,1613600,182.22
23-Dec-13,181.05,182.93,180.61,182.23,4079900,181.24
20-Dec-13,180.12,182,180.02,180.02,7653500,179.04
19-Dec-13,177.88,180.54,177.88,180.22,5927000,179.24
18-Dec-13,176.45,178.74,174.85,178.7,5697700,177.73
17-Dec-13,177.36,177.49,175.12,175.76,5471900,174.8
16-Dec-13,173.22,178.35,172.73,177.85,7517000,176.88
13-Dec-13,173.52,174.38,172.73,172.8,4184400,171.86
12-Dec-13,175.06,175.8,173.3,173.37,5671600,172.42
11-Dec-13,177,177.76,175.1,175.2,4090400,174.24
10-Dec-13,176.9,177.67,176.06,177.12,4127800,176.15
9-Dec-13,177.99,178.15,176.83,177.46,3796600,176.49
6-Dec-13,176.7,178,176.01,177.67,4739800,176.7
5-Dec-13,176.15,176.86,175.28,176.08,4384900,175.12
4-Dec-13,175.37,177.5,175.16,175.74,5267400,174.78
3-Dec-13,177,178.23,175.64,176.08,5864000,175.12
2-Dec-13,179.46,179.59,177.12,177.48,4560000,176.51
29-Nov-13,179.21,180.76,179,179.68,2870500,178.7
27-Nov-13,177.83,180.18,177.82,178.97,4596500,177.99
26-Nov-13,178.67,178.94,177.31,177.31,5756000,176.34
25-Nov-13,180.25,180.75,177.82,178.94,7161900,177.96
22-Nov-13,183.5,184.99,179.92,181.3,7610200,180.31
21-Nov-13,185.54,185.75,183.41,184.13,4459500,183.13
20-Nov-13,185.22,186.24,184.65,185.19,3645800,184.18
19-Nov-13,184.63,186.2,184.15,185.25,4577000,184.24
18-Nov-13,183.52,184.99,183.27,184.47,5344900,183.46
15-Nov-13,182.38,183.28,181.16,183.19,5176100,182.19
14-Nov-13,180.48,183.2,179.66,182.21,6321500,181.22
13-Nov-13,182.27,183.55,181.59,183.55,4704400,182.55
12-Nov-13,182.53,184.05,182.26,183.07,4258500,182.07
11-Nov-13,180.19,183.39,180.04,182.88,5222300,181.88
8-Nov-13,178.83,180.08,177.35,179.99,6275000,179.01
7-Nov-13,179.6,181.39,179.6,180,5219500,179.02
6-Nov-13,177.91,179.75,177.78,179.19,4560700,178.21
5-Nov-13,179.54,179.8,177.71,177.85,6096800,175.94
4-Nov-13,179.9,180.8,179.34,180.27,3483300,178.33
1-Nov-13,179.81,180.34,178.88,179.23,3644500,177.3
31-Oct-13,179.65,181.67,179.04,179.21,4318100,177.28
30-Oct-13,181.69,182.18,179.86,180.15,5273700,178.21
29-Oct-13,177.62,182.32,177.5,182.12,8904600,180.16
28-Oct-13,177.04,177.89,176.2,177.35,3712700,175.44
25-Oct-13,178.43,179.1,176.26,176.85,4842800,174.95
24-Oct-13,176.43,177.89,176.25,177.8,5533300,175.89
23-Oct-13,175.09,175.99,174.4,175.77,5409400,173.88
22-Oct-13,173.35,175.57,172.95,174.97,6977300,173.09
21-Oct-13,174.42,174.75,172.63,172.86,7098700,171
18-Oct-13,174.8,175,173.25,173.78,10548000,171.91
17-Oct-13,173.84,177,172.57,174.83,22368900,172.95
16-Oct-13,185.42,186.73,184.99,186.73,6718000,184.72
15-Oct-13,185.74,185.94,184.22,184.66,3365100,182.67
14-Oct-13,185.41,186.99,184.42,186.97,2663100,184.96
11-Oct-13,185.25,186.23,184.12,186.16,3232600,184.16
10-Oct-13,183.17,184.77,182.36,184.77,3658900,182.78
9-Oct-13,179.37,181.67,179.1,181.32,4423500,179.37
8-Oct-13,181.89,181.99,178.71,178.72,5578300,176.8
7-Oct-13,181.85,183.31,181.85,182.01,3966400,180.05
4-Oct-13,184.17,185.13,183.58,184.1,2863600,182.12
3-Oct-13,184.7,184.96,183,183.86,3211800,181.88
2-Oct-13,185.54,186.31,184.41,184.96,3617100,182.97
1-Oct-13,185.34,186.65,184.65,186.38,2681200,184.37
30-Sep-13,185.56,186.74,184.34,185.18,3978200,183.19
27-Sep-13,188.87,188.94,186.45,186.92,3905500,184.91
26-Sep-13,190.1,191.76,189.46,190.22,2093600,188.17
25-Sep-13,190.14,190.62,188.5,189.47,2654500,187.43
24-Sep-13,190.93,191.56,189.66,189.97,3085300,187.93
23-Sep-13,190.06,192.41,189.33,190.99,3340800,188.93
20-Sep-13,193.96,194.43,190.02,190.02,8525900,187.97
19-Sep-13,194.18,194.89,193.22,193.39,3178100,191.31
18-Sep-13,192.6,194.89,192,194.42,3841800,192.33
17-Sep-13,193.42,194.15,191.83,192.16,2930900,190.09
16-Sep-13,193.7,194.81,192.61,193.15,3902400,191.07
13-Sep-13,191.21,193.1,191,192.17,3710400,190.1
12-Sep-13,190.96,191.32,189.85,190.73,3354800,188.68
11-Sep-13,186.83,190.87,186.82,190.7,4962900,188.65
10-Sep-13,187.2,187.65,186.37,186.6,3149600,184.59
9-Sep-13,183.68,185.49,183.31,184.98,3017200,182.99
6-Sep-13,184.65,184.99,182.65,183.03,2903500,181.06
5-Sep-13,183.35,185,183.07,184.15,2867600,182.17
4-Sep-13,183.58,184.19,182.31,183.13,2597900,181.16
3-Sep-13,183.63,184.32,182.51,183.96,3487200,181.98
30-Aug-13,182.75,182.99,181.51,182.27,2731000,180.31
29-Aug-13,181.96,183.7,181.44,182.64,2980900,180.67
28-Aug-13,182.68,183.47,181.1,182.16,3979200,180.2
27-Aug-13,183.63,184.5,182.57,182.74,3190700,180.77
26-Aug-13,185.27,187,184.68,184.74,2170400,182.75
23-Aug-13,185.34,185.74,184.57,185.42,2292700,183.42
22-Aug-13,185.65,186.25,184.25,185.19,2354300,183.2
21-Aug-13,184.67,186.57,184.28,184.86,3551000,182.87
20-Aug-13,184.37,185.63,183.17,184.56,3117800,182.57
19-Aug-13,185.3,186.5,183.98,184.23,3248900,182.25
16-Aug-13,185.54,186.46,185.34,185.34,3426400,183.34
15-Aug-13,186.23,187,185.45,185.79,3692400,183.79
14-Aug-13,188.58,188.93,187.3,187.53,2892300,185.51
13-Aug-13,189.54,189.99,187.56,188.42,3542900,186.39
12-Aug-13,186.97,189.56,186.89,189.09,3026500,187.05
9-Aug-13,188,189.16,187,187.82,3249600,185.8
8-Aug-13,189.45,189.87,186.79,187.93,4547600,185.91
7-Aug-13,189.6,189.93,188.05,188.56,3901700,186.53
6-Aug-13,192.26,192.51,190.27,190.99,5938500,187.99
5-Aug-13,195.16,195.88,194.35,195.5,2490900,192.43
2-Aug-13,195.5,195.5,193.22,195.16,3874000,192.1
1-Aug-13,196.65,197.17,195.41,195.81,2877700,192.74
31-Jul-13,194.49,196.91,194.49,195.04,3810000,191.98
30-Jul-13,196.99,197.83,195.81,196.01,2663200,192.94
29-Jul-13,196.83,197.19,195.53,196.21,2113700,193.13
26-Jul-13,196.59,197.37,195,197.35,2485100,194.25
25-Jul-13,196.3,197.83,195.66,197.22,3014300,194.13
24-Jul-13,195.95,197.3,195.86,196.61,2957900,193.53
23-Jul-13,194.21,196.43,194.1,194.98,2863800,191.92
22-Jul-13,193.4,195.79,193.28,194.09,3398000,191.05
19-Jul-13,197.91,197.99,193.24,193.54,6997600,190.5
18-Jul-13,198.27,200.94,195.99,197.99,8393400,194.88
17-Jul-13,194.72,194.89,193.03,194.55,6868400,191.5
16-Jul-13,194.04,194.58,192.68,193.85,3745300,190.81
15-Jul-13,192.42,194.89,191.68,194,5674700,190.96
12-Jul-13,193.07,193.7,191.59,192.07,4494700,189.06
11-Jul-13,193.78,194.11,192.61,192.8,4177500,189.78
10-Jul-13,191.51,193.43,191.27,192.25,3892000,189.23
9-Jul-13,191.88,192.8,190.78,191.3,5204200,188.3
8-Jul-13,195.6,195.78,194.61,194.98,2947500,191.92
5-Jul-13,194.49,195.16,192.35,194.93,2405400,191.87
3-Jul-13,190.98,194.22,190.51,193.25,1872600,190.22
2-Jul-13,190.78,193.23,190.26,191.5,3657700,188.5
1-Jul-13,192.15,193.8,191.12,191.28,4442400,188.28
28-Jun-13,191.73,192.66,188.41,191.11,10055800,188.11
27-Jun-13,196.05,196.9,195.29,195.65,3514200,192.58
26-Jun-13,195.97,196.23,194.5,194.86,3320200,191.8
25-Jun-13,195.31,195.59,193.15,194.98,3846200,191.92
24-Jun-13,193.99,194.91,191.34,193.54,4356200,190.5
21-Jun-13,198.5,198.52,193.54,195.46,8914800,192.39
20-Jun-13,200.67,201.7,197.28,197.35,4514800,194.25
19-Jun-13,204.44,205.03,201.93,201.94,2846100,198.77
18-Jun-13,203.02,206.09,202.87,204.87,3277800,201.66
17-Jun-13,203.44,205.17,202.55,203.04,3219900,199.86
14-Jun-13,203.97,204.74,201.81,202.2,2804500,199.03
13-Jun-13,201.01,204.4,200.34,203.77,2899500,200.57
12-Jun-13,204.59,205.23,200.51,201.2,3409800,198.04
11-Jun-13,203.17,205.95,202.51,203.98,2814400,200.78
10-Jun-13,206.97,206.98,204.9,205.02,2652300,201.8
7-Jun-13,204.85,206.35,204.11,206.35,2953400,203.11
6-Jun-13,203,204.2,201.47,203.8,3679400,200.6
5-Jun-13,205.16,206.29,202.4,202.74,4215400,199.56
4-Jun-13,208.6,209,205.08,206.19,3598300,202.96
3-Jun-13,208.25,210.05,207.33,208.95,3322000,205.67
31-May-13,208.59,211.98,208.02,208.02,4949000,204.76
30-May-13,206.97,210.99,206.97,209.36,4399700,206.08
29-May-13,206.22,208.42,206.04,207.92,3439400,204.66
28-May-13,207.44,208.59,207.16,207.78,4011500,204.52
24-May-13,204.69,206.43,204.42,205.72,3295800,202.49
23-May-13,205.48,208.61,205.13,206.16,5179100,202.93
22-May-13,208.5,210.15,206.12,206.99,5186800,203.74
21-May-13,207.24,209.48,207,208.65,2982900,205.38
20-May-13,208.02,209.15,207.42,207.6,3614500,204.34
17-May-13,205.25,209.5,204.99,208.44,5704100,205.17
16-May-13,204,206.59,204,204.69,4507000,201.48
15-May-13,202.25,203.68,202.04,203.32,4028100,200.13
14-May-13,202.09,203.67,202.08,203.21,3699700,200.02
13-May-13,204.18,204.47,202.22,202.47,3648400,199.29
10-May-13,203.37,204.53,202.82,204.47,3279200,201.26
9-May-13,204.69,205,202.72,203.24,3542300,200.05
8-May-13,202.94,204.85,202.51,204.82,3601700,201.61
7-May-13,202.81,203.73,201.65,203.63,3451000,199.5
6-May-13,203.79,203.99,201.52,202.78,4826500,198.67
3-May-13,203.94,205.32,203.75,204.51,4492700,200.36
2-May-13,200.12,202.43,199.75,202.39,3945100,198.29
1-May-13,201.87,202.17,199.2,199.63,4899100,195.58
30-Apr-13,199.13,202.59,197.35,202.54,7539900,198.43
29-Apr-13,194.78,199.68,194.65,199.15,5932400,195.11
26-Apr-13,194.16,194.71,193.25,194.31,3490300,190.37
25-Apr-13,192.69,195.17,192.32,193.95,4650900,190.02
24-Apr-13,192.16,192.5,191.09,191.71,3693900,187.82
23-Apr-13,189.27,192.55,188.61,191.61,6296100,187.72
22-Apr-13,191.15,191.38,187.68,187.83,9845400,184.02
19-Apr-13,195.74,196.5,189.76,190,18847000,186.15
18-Apr-13,210.11,210.25,206.15,207.15,6502000,202.95
17-Apr-13,210.53,211.09,209.5,209.67,3269800,205.42
16-Apr-13,210.84,212,209.2,212,2859500,207.7
15-Apr-13,210.44,211.69,209.26,209.26,4218100,205.02
12-Apr-13,210.79,211.49,209.78,211.38,3165400,207.09
11-Apr-13,211.5,213.09,210.85,212.92,3655600,208.6
10-Apr-13,211.86,212.51,210.47,212,3524200,207.7
9-Apr-13,209.56,210,208.61,209.22,2577300,204.98
8-Apr-13,209.07,209.32,207.33,209.32,2351200,205.08
5-Apr-13,209.1,209.84,206.34,209.41,4148000,205.16
4-Apr-13,212.77,212.93,210.04,211.31,3709500,207.03
3-Apr-13,214.32,214.89,212.63,212.66,3128800,208.35
2-Apr-13,212.92,214.71,211.57,214.36,3116800,210.01
1-Apr-13,212.8,213.5,211.25,212.38,2144500,208.07
28-Mar-13,209.83,213.44,209.74,213.3,3749900,208.97
27-Mar-13,210.96,212.16,210.1,210.89,3223400,206.61
26-Mar-13,211.77,212.5,211.5,212.36,2300300,208.05
25-Mar-13,212.54,212.81,210.05,210.74,3242500,206.47
22-Mar-13,212.21,213.17,211.62,212.08,3031500,207.78
21-Mar-13,212.96,213,210.11,212.26,5830400,207.96
20-Mar-13,214.76,215.82,214.3,215.06,3019000,210.7
19-Mar-13,214.13,215.12,211.83,213.44,3198600,209.11
18-Mar-13,212.9,214.5,212.64,213.21,3006000,208.89
