Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,91.35,91.99,91.19,91.37,361700,91.37
30-Dec-13,90.86,91.56,90.38,91.12,491200,91.12
27-Dec-13,91.37,91.68,90.95,90.97,355000,90.97
26-Dec-13,91.2,91.25,90.31,90.7,285200,90.7
24-Dec-13,91.03,91.49,90.35,91.03,656700,91.03
23-Dec-13,90.05,91.37,90.02,90.84,1607600,90.84
20-Dec-13,89.9,90.22,89.7,90,1564800,90
19-Dec-13,90,90.01,89.35,89.61,1469200,89.61
18-Dec-13,89.04,90.54,88.94,90.11,1401500,90.11
17-Dec-13,89.51,90,88.75,89.55,1463000,89.55
16-Dec-13,89.54,90.04,89.54,89.84,1647200,89.84
13-Dec-13,88.17,89.85,87.92,89.13,1715000,89.13
12-Dec-13,88.05,88.94,87.21,87.75,2891500,87.75
11-Dec-13,92.58,93.42,87.01,88.25,6139800,88.25
10-Dec-13,100.11,100.49,98.39,99.15,1302800,99.15
9-Dec-13,99.96,100.68,99.73,100.3,548700,100.3
6-Dec-13,99.98,100.56,99.34,100,850700,100
5-Dec-13,99.16,99.79,98.56,99.24,828200,99.24
4-Dec-13,99.36,99.68,97.87,99.18,891400,99.18
3-Dec-13,100.08,100.52,99.52,100,713600,100
2-Dec-13,101.58,101.61,99.87,100.1,1563700,100.1
29-Nov-13,102.11,103.36,101.28,101.85,388500,101.85
27-Nov-13,104.9,106.17,101.32,102.28,1968000,102.28
26-Nov-13,105.8,105.94,105.02,105.05,745700,105.05
25-Nov-13,105.62,106.35,105.38,105.84,515300,105.84
22-Nov-13,104.86,105.18,104.42,105.16,309000,105.16
21-Nov-13,104.54,104.96,104.15,104.83,470500,104.83
20-Nov-13,103.87,104.87,103.41,104.15,400900,104.15
19-Nov-13,104.29,104.79,103.07,103.96,704800,103.96
18-Nov-13,106.32,106.87,104.18,104.72,801900,104.72
15-Nov-13,107.23,108,106.07,106.33,767700,106.33
14-Nov-13,105.63,107.46,105.15,107.39,816400,107.39
13-Nov-13,105.37,105.97,104.8,105.43,557300,105.43
12-Nov-13,105.4,105.73,104.04,105.42,776200,105.42
11-Nov-13,104.65,106.02,104.65,105.66,733500,105.66
8-Nov-13,103.98,105.02,103.66,104.97,507800,104.97
7-Nov-13,103.53,105.17,102.88,104.33,898800,104.33
6-Nov-13,102.36,103.34,101.96,103.16,422000,103.16
5-Nov-13,102.64,102.72,101.81,102.41,613900,102.41
4-Nov-13,101.53,102.79,101.39,102.72,713100,102.72
1-Nov-13,100.92,101.24,100.15,101.14,611100,101.14
31-Oct-13,101.34,101.93,100.2,100.9,870300,100.9
30-Oct-13,102.09,102.09,101.12,101.19,666600,101.19
29-Oct-13,100.11,101.96,100.1,101.53,732200,101.53
28-Oct-13,100.19,100.82,99.71,100.25,878000,100.25
25-Oct-13,100.07,100.66,98.58,100.22,773700,100.22
24-Oct-13,101.37,101.99,100.23,100.25,498000,100.25
23-Oct-13,100.66,101.64,100.41,101.44,642800,101.44
22-Oct-13,99.67,101,99.47,100.88,836200,100.88
21-Oct-13,100.29,100.36,98.76,99.32,702700,99.32
18-Oct-13,103.13,104.37,99.27,100.2,1359800,100.2
17-Oct-13,100.8,102.65,99.82,102.55,1197700,102.55
16-Oct-13,99.75,101.17,99.6,101.13,631300,101.13
15-Oct-13,100.29,100.86,99.3,99.46,701300,99.46
14-Oct-13,100.06,101,99.78,100.63,494400,100.63
11-Oct-13,99.04,100.64,98.92,100.48,607800,100.48
10-Oct-13,98.77,99.63,98.35,99.03,931500,99.03
9-Oct-13,100.11,100.47,99.13,100.14,592400,100.14
8-Oct-13,100.04,100.7,99.93,100.07,601100,100.07
7-Oct-13,99.81,100.26,99.31,100.05,361200,100.05
4-Oct-13,99.65,100.57,99.62,100.47,559100,100.47
3-Oct-13,99.53,100,98.97,99.8,544500,99.8
2-Oct-13,98.85,99.95,98.59,99.83,643100,99.83
1-Oct-13,99.23,99.46,98.58,98.95,638000,98.95
30-Sep-13,98.29,99.19,97.76,99.14,490600,99.14
27-Sep-13,98.75,98.75,98.13,98.63,488200,98.63
26-Sep-13,98.95,99.68,98.54,98.87,333200,98.87
25-Sep-13,99.37,99.53,98.72,98.75,429200,98.75
24-Sep-13,99.6,99.93,99.02,99.17,473100,99.17
23-Sep-13,99.2,99.65,98.73,99.44,561700,99.44
20-Sep-13,99.86,100.12,99.16,99.57,1376200,99.57
19-Sep-13,100.42,100.62,99.65,99.76,763900,99.76
18-Sep-13,101.25,101.33,99.25,100.51,666400,100.51
17-Sep-13,100.99,101.54,100.66,101.39,294600,101.39
16-Sep-13,101.92,101.92,100.89,101.09,387100,101.09
13-Sep-13,100.5,100.97,99.93,100.7,470100,100.7
12-Sep-13,100.51,100.51,99.84,100.05,627300,100.05
11-Sep-13,100.07,100.48,99.86,100.15,432200,100.15
10-Sep-13,99.05,100.21,99.03,100.06,836700,100.06
