Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,106.87,107.13,106.66,106.86,323400,106.3
30-Dec-13,107.39,107.53,106.38,106.78,371300,106.22
27-Dec-13,108.6,108.69,107.07,107.12,254000,106.56
26-Dec-13,106.84,107.62,106.73,107.13,453200,106.57
24-Dec-13,105.82,106.95,105.82,106.73,175100,106.17
23-Dec-13,105.65,106.24,105.61,106.03,353200,105.47
20-Dec-13,105.09,106.13,104.8,105.49,1014600,104.93
19-Dec-13,104.55,104.9,103.8,104.57,633600,104.02
18-Dec-13,102.42,104.9,102.17,104.78,830900,104.23
17-Dec-13,103.27,103.46,102.05,102.39,469600,101.85
16-Dec-13,102.19,103.4,102.02,103.02,909200,102.48
13-Dec-13,101.61,102.35,101.15,102.23,436600,101.69
12-Dec-13,100.61,101.5,100.61,101.3,511500,100.77
11-Dec-13,102.47,102.75,100.67,100.88,568200,100.35
10-Dec-13,101.72,102.46,101.25,102.38,722500,101.84
9-Dec-13,101.98,102.23,101.72,101.95,655800,101.41
6-Dec-13,101.47,101.96,101.39,101.8,582200,101.26
5-Dec-13,101.58,101.67,100.58,100.81,582500,100.28
4-Dec-13,102.4,102.65,100.63,101.58,764400,101.05
3-Dec-13,102.9,103.53,102.27,102.68,487300,102.14
2-Dec-13,103.46,103.77,102.98,103.19,695500,102.65
29-Nov-13,103.5,103.85,103.22,103.46,276900,102.92
27-Nov-13,103.27,103.87,102.77,103.48,441400,102.94
26-Nov-13,102.5,103.45,102.26,103.01,576100,102.47
25-Nov-13,102.45,102.45,101.86,102.37,603300,101.83
22-Nov-13,101.87,102.45,101.86,102.34,741300,101.8
21-Nov-13,101.78,102.25,101.18,101.86,545200,101.32
20-Nov-13,101.78,102.55,101.09,101.36,568900,100.83
19-Nov-13,102.63,102.92,101.55,101.78,668200,101.24
18-Nov-13,102.31,103.41,102.31,102.86,465900,102.32
15-Nov-13,101.94,102.04,101.11,101.95,391600,101.41
14-Nov-13,101.53,102.22,100.79,101.96,348400,101.42
13-Nov-13,101.02,101.93,100.58,101.87,349100,100.79
12-Nov-13,101.41,101.75,101,101.24,401500,100.16
11-Nov-13,101.5,101.64,101.15,101.35,394800,100.27
8-Nov-13,100.86,101.63,100.78,101.5,607100,100.42
7-Nov-13,102.28,102.73,100.79,100.86,600800,99.79
6-Nov-13,101.13,102.32,101.13,102.28,620800,101.19
5-Nov-13,100.73,101.32,100.26,101.05,676200,99.98
4-Nov-13,101,101.24,100.46,100.84,533400,99.77
1-Nov-13,100.59,101.45,100.1,100.76,720400,99.69
31-Oct-13,99.33,100.89,98.89,100.45,956500,99.38
30-Oct-13,98.31,100.5,98.1,99.45,1392400,98.39
29-Oct-13,97.26,98.05,95.59,97.98,1067200,96.94
28-Oct-13,97.18,97.58,96.74,97.1,720600,96.07
25-Oct-13,96.25,97.67,95.63,97.53,681400,96.49
24-Oct-13,96.05,96.42,95.37,96.29,362000,95.27
23-Oct-13,95.13,96,94.56,95.98,574600,94.96
22-Oct-13,94.74,95.57,94.45,95,546100,93.99
21-Oct-13,94.9,94.97,94.15,94.4,321000,93.4
18-Oct-13,95.5,95.5,94.41,94.77,404900,93.76
17-Oct-13,93.97,94.55,93.72,94.38,586300,93.38
16-Oct-13,94.22,94.44,93.72,94.06,469100,93.06
15-Oct-13,94.67,95.5,93.7,93.71,498900,92.71
14-Oct-13,93.65,95.16,93.14,94.98,383800,93.97
11-Oct-13,93.35,93.97,93.35,93.94,550300,92.94
10-Oct-13,92.56,93.56,92.56,93.56,790400,92.57
9-Oct-13,92.13,92.45,91.48,91.94,346000,90.96
8-Oct-13,92.83,93.44,91.96,91.99,331400,91.01
7-Oct-13,92.88,93.29,92.26,92.65,336800,91.66
4-Oct-13,92.69,93.04,92.23,92.88,239300,91.89
3-Oct-13,93.64,93.93,91.75,92.67,652400,91.68
2-Oct-13,94.74,94.86,93.24,93.93,406800,92.93
1-Oct-13,94.5,95.39,94.4,95.33,377100,94.32
30-Sep-13,94.81,94.89,94.21,94.5,416400,93.5
27-Sep-13,95.25,95.74,95.01,95.43,244800,94.42
26-Sep-13,95.9,96.29,95.51,95.91,432400,94.89
25-Sep-13,95.45,96.71,95.26,95.93,766900,94.91
24-Sep-13,94.65,95.89,94.51,95.52,427800,94.5
23-Sep-13,94.76,95.15,94.06,94.51,436700,93.5
20-Sep-13,96.26,96.28,94.88,95.22,710400,94.21
19-Sep-13,96.1,96.59,96,96.07,306600,95.05
18-Sep-13,96.07,96.32,94.71,96.09,427000,95.07
17-Sep-13,95.75,96.06,95.41,95.99,302100,94.97
16-Sep-13,95.27,95.98,94.63,95.76,430200,94.74
13-Sep-13,93.91,94.34,93.29,94.25,205800,93.25
12-Sep-13,94.17,94.75,93.78,93.96,430800,92.96
11-Sep-13,92.92,94.18,92.69,94.17,478900,93.17
10-Sep-13,92.44,93.24,92.12,92.88,372100,91.89
9-Sep-13,91.3,92.14,91.27,92.12,397900,91.14
6-Sep-13,91.6,91.63,90.16,91.19,519500,90.22
5-Sep-13,91.16,91.67,90.8,91.47,337400,90.5
4-Sep-13,90.62,91.5,90.52,91.25,381900,90.28
3-Sep-13,91,91.88,90.23,90.56,477100,89.6
30-Aug-13,91.26,91.26,90.07,90.33,311200,89.37
29-Aug-13,90.89,91.5,90.69,90.98,287500,90.01
28-Aug-13,90.71,91.41,90.39,91.09,371300,90.12
27-Aug-13,91.7,92.35,90.55,90.72,557300,89.76
26-Aug-13,92.59,93.17,92.2,92.27,251000,91.29
23-Aug-13,92.45,92.74,92.09,92.65,386000,91.66
22-Aug-13,91.49,92.49,91.49,92.3,235100,91.32
21-Aug-13,92,92.06,91.31,91.37,393900,90.4
20-Aug-13,91.49,92.74,91.49,92.1,415200,91.12
19-Aug-13,91.05,92.19,91.04,91.5,394800,90.53
16-Aug-13,91.26,92.05,91.15,91.2,654800,90.23
15-Aug-13,91.77,92.04,91.09,91.43,474800,90.46
14-Aug-13,93.25,93.42,92.53,92.6,545500,91.07
13-Aug-13,93.1,93.31,92.29,93.31,626600,91.77
