Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,147.31,148.86,147.31,148.66,693000,147.43
30-Dec-13,148.04,148.77,146.01,146.98,835600,145.76
27-Dec-13,149.26,149.99,147.52,148.13,711400,146.91
26-Dec-13,146.34,149.21,146.18,148.84,1498600,147.61
24-Dec-13,145.17,146.28,145,146.14,726700,144.93
23-Dec-13,144.95,146,144.74,145.06,1806100,143.86
20-Dec-13,143.39,144.93,142.9,144.21,1953600,143.02
19-Dec-13,143.75,143.75,141.87,142.99,1530400,141.81
18-Dec-13,140.93,143.99,140,143.73,2282800,142.54
17-Dec-13,140.46,140.99,139.86,140.85,1161700,139.69
16-Dec-13,139.13,140.41,139.03,140.05,1270700,138.89
13-Dec-13,138.64,139.2,138.2,139.03,1017100,137.88
12-Dec-13,137.22,138.68,137.22,137.98,1193900,136.84
11-Dec-13,139.5,139.5,137.24,137.46,1163200,136.32
10-Dec-13,138.71,139.86,138.4,139.31,1197900,138.16
9-Dec-13,138.5,139.29,138.29,138.93,1389100,137.78
6-Dec-13,137.9,138.5,137.22,138.19,1416600,137.05
5-Dec-13,136.26,137.56,136.01,136.66,1190800,135.53
4-Dec-13,138.57,138.68,135.39,136.23,2163400,135.1
3-Dec-13,139.31,139.7,137.7,138.77,1987300,137.62
2-Dec-13,141.85,142.5,139.43,139.7,1676600,138.54
29-Nov-13,143.87,144.27,141.24,141.67,1553300,140.5
27-Nov-13,142.09,144.43,142.09,143.94,1896400,142.75
26-Nov-13,141.5,143.42,141.31,143.06,2432600,140.56
25-Nov-13,141.16,142.13,140.8,141.76,6402400,139.28
22-Nov-13,139.07,140.94,138.77,140.88,4836800,138.42
21-Nov-13,137.63,139.01,137.26,138.67,3642300,136.24
20-Nov-13,138.84,138.84,136.99,137.19,858600,134.79
19-Nov-13,138.11,139.35,137.72,138.97,1047000,136.54
18-Nov-13,137.62,138.85,137.62,137.85,897700,135.44
15-Nov-13,137.93,138.04,136.39,137.45,2043000,135.05
14-Nov-13,137.74,138.4,137,138.29,886200,135.87
13-Nov-13,136.54,137.38,135.54,137.26,1667500,134.86
12-Nov-13,137.15,137.24,136.4,137.23,1485100,134.83
