Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,87.55,87.96,87.52,87.96,24890500,87.4
30-Dec-13,87.39,87.51,87.14,87.39,18983700,86.83
27-Dec-13,87.85,87.9,87.41,87.52,15827400,86.96
26-Dec-13,87.61,87.81,87.44,87.74,15241100,87.18
24-Dec-13,87.43,87.51,87.27,87.45,13852500,86.89
23-Dec-13,87.21,87.41,86.95,87.41,28181800,86.85
20-Dec-13,85.79,86.68,85.73,86.5,40475400,85.95
19-Dec-13,86,86.01,85.52,85.9,44964100,85.08
18-Dec-13,85.25,86.22,84.05,86.14,68387200,85.32
17-Dec-13,85.32,85.53,84.99,85.15,24454900,84.34
16-Dec-13,85.27,85.81,85.21,85.32,24902500,84.51
13-Dec-13,85.36,85.4,84.71,84.85,34072000,84.04
12-Dec-13,85.21,85.42,84.9,84.96,33662600,84.15
11-Dec-13,86.28,86.4,85.06,85.18,36830600,84.37
10-Dec-13,86.21,86.45,86.12,86.29,26965900,85.47
9-Dec-13,86.35,86.53,86.2,86.35,22590000,85.53
6-Dec-13,86.1,86.18,85.59,86,36842900,85.18
5-Dec-13,85.56,85.66,85.17,85.38,39829300,84.56
4-Dec-13,85.05,85.77,84.78,85.49,37193200,84.67
3-Dec-13,85.42,85.64,85.08,85.41,37147000,84.59
2-Dec-13,85.83,85.96,85.35,85.48,26354600,84.66
29-Nov-13,85.56,85.84,85.47,85.73,16708900,84.91
27-Nov-13,84.8,85.24,84.73,85.22,21638100,84.41
26-Nov-13,84.21,84.84,84.03,84.63,26621000,83.82
25-Nov-13,84.29,84.38,83.98,84.19,21695100,83.39
22-Nov-13,83.68,84.02,83.62,83.99,25361300,83.19
21-Nov-13,83.05,83.61,82.98,83.54,28125000,82.74
20-Nov-13,83.12,83.43,82.46,82.7,32177400,81.91
19-Nov-13,83.09,83.49,82.76,82.9,25545300,82.11
18-Nov-13,83.94,84.11,82.98,83.14,31679600,82.35
15-Nov-13,83.82,83.96,83.61,83.96,20511300,83.16
14-Nov-13,83.32,83.86,83.14,83.8,31101200,83
13-Nov-13,82,83.55,82,83.54,31345900,82.74
12-Nov-13,82.16,82.66,82.12,82.54,20108500,81.75
11-Nov-13,82.42,82.64,82.14,82.41,24822900,81.62
8-Nov-13,81.74,82.56,81.51,82.54,31470500,81.75
7-Nov-13,83.01,83.13,81.37,81.44,52173200,80.66
6-Nov-13,83.37,83.4,82.73,83,25576800,82.21
5-Nov-13,82.61,83.22,82.37,83.02,27975600,82.23
4-Nov-13,83.06,83.07,82.64,82.93,16834000,82.14
1-Nov-13,83.07,83.17,82.4,82.81,30867800,82.02
31-Oct-13,82.77,83.3,82.48,82.79,31309900,82
30-Oct-13,83.35,83.49,82.58,82.98,33535500,82.19
29-Oct-13,83.2,83.26,82.7,83.06,36878100,82.27
28-Oct-13,82.91,83.05,82.55,82.92,28618400,82.13
25-Oct-13,83.08,83.28,82.5,82.9,35824500,82.11
24-Oct-13,82,82.48,81.88,82.31,23155100,81.52
23-Oct-13,82.05,82.2,81.55,81.95,38021300,81.17
22-Oct-13,82.65,82.9,81.93,82.45,43944800,81.66
21-Oct-13,82.34,82.54,82.07,82.33,31176900,81.54
18-Oct-13,81.58,82.18,81.35,82.15,39628200,81.37
17-Oct-13,80.02,80.87,79.95,80.84,32193500,80.07
16-Oct-13,79.85,80.42,79.79,80.38,46735900,79.61
15-Oct-13,79.73,80.11,79.38,79.48,38684000,78.72
14-Oct-13,78.74,79.79,78.68,79.79,31471900,79.03
11-Oct-13,78.41,79.29,78.4,79.23,25214100,78.47
10-Oct-13,77.81,78.79,77.79,78.61,48062700,77.86
9-Oct-13,77.4,77.44,76.35,76.98,64526700,76.24
8-Oct-13,78.74,78.81,77.19,77.22,43660700,76.48
7-Oct-13,78.7,79.35,78.67,78.74,20227100,77.99
4-Oct-13,78.72,79.51,78.65,79.4,22852700,78.64
3-Oct-13,79.55,79.72,78.3,78.72,42998200,77.97
2-Oct-13,79.14,79.76,79.06,79.65,25503800,78.89
1-Oct-13,78.89,79.72,78.85,79.68,33129700,78.92
30-Sep-13,78.25,79.09,78,78.88,28031900,78.13
27-Sep-13,78.71,79.21,78.59,79.07,25151600,78.31
26-Sep-13,78.88,79.36,78.85,79.17,22421700,78.41
25-Sep-13,78.89,79,78.4,78.56,22746400,77.81
24-Sep-13,79,79.25,78.57,78.83,21871300,78.08
23-Sep-13,79.32,79.41,78.46,78.83,30319400,78.08
20-Sep-13,79.45,79.54,78.95,78.99,26328900,78.24
19-Sep-13,79.56,79.69,79.36,79.5,26435700,78.5
18-Sep-13,78.49,79.47,78.33,79.31,31714700,78.32
17-Sep-13,78.02,78.47,77.98,78.37,27174300,77.39
16-Sep-13,78.72,78.72,77.67,77.85,25704300,76.88
13-Sep-13,78.09,78.14,77.64,78.06,16932500,77.08
12-Sep-13,78.08,78.25,77.85,78.01,18332700,77.03
11-Sep-13,77.69,78.11,77.59,78.06,28132900,77.08
10-Sep-13,78.28,78.32,77.92,78.21,27619400,77.23
9-Sep-13,77.26,77.96,77.23,77.83,25161900,76.86
6-Sep-13,77.1,77.34,76.05,76.93,27715100,75.97
5-Sep-13,76.76,77.06,76.73,76.84,17809700,75.88
4-Sep-13,76.16,76.84,75.93,76.71,27142900,75.75
3-Sep-13,76.09,76.44,75.54,75.9,27241500,74.95
30-Aug-13,76.04,76.04,75.2,75.47,26228500,74.53
29-Aug-13,75.41,76.34,75.3,75.96,27287900,75.01
28-Aug-13,75.05,75.75,75.05,75.43,20490400,74.49
27-Aug-13,75.8,76.18,74.96,75.14,40068900,74.2
26-Aug-13,76.73,77.28,76.55,76.71,27525500,75.75
23-Aug-13,76.7,76.77,76.4,76.67,20697300,75.71
22-Aug-13,75.75,76.21,75.71,76.16,17269500,75.21
21-Aug-13,75.44,76.09,75.14,75.42,30705100,74.48
20-Aug-13,75.49,76.03,75.43,75.68,18842800,74.73
19-Aug-13,75.49,76.13,75.33,75.35,29586900,74.41
16-Aug-13,75.52,75.87,75.35,75.48,23825000,74.54
15-Aug-13,75.95,75.99,75.29,75.51,39406600,74.56
14-Aug-13,77.07,77.18,76.7,76.81,29921000,75.85
13-Aug-13,76.77,77.27,76.22,77.1,23917000,76.13
12-Aug-13,76.2,76.81,76.19,76.67,20515900,75.71
9-Aug-13,76.67,76.94,76.27,76.49,18558500,75.53
8-Aug-13,76.84,76.98,76.3,76.8,19994000,75.84
7-Aug-13,76.34,76.57,75.87,76.42,20281200,75.46
6-Aug-13,76.92,76.99,76.25,76.56,23675400,75.6
5-Aug-13,76.93,77.08,76.78,77.02,15462800,76.06
2-Aug-13,76.55,76.99,76.38,76.97,18105300,76.01
1-Aug-13,76.29,76.65,76.21,76.54,16880000,75.58
31-Jul-13,75.78,76.21,75.63,75.77,25007600,74.82
30-Jul-13,75.5,75.95,75.35,75.63,24104600,74.68
29-Jul-13,75.22,75.54,75.03,75.23,20958400,74.29
26-Jul-13,74.67,75.38,74.55,75.37,20885600,74.43
25-Jul-13,74.85,75.06,74.46,74.97,23162200,74.03
24-Jul-13,74.99,75.02,74.33,74.5,24426900,73.57
23-Jul-13,74.95,74.96,74.2,74.26,24739500,73.33
22-Jul-13,74.87,74.98,74.58,74.81,21135900,73.87
19-Jul-13,74.72,74.74,74.37,74.59,37732400,73.66
18-Jul-13,75.55,75.74,75.25,75.37,36278800,74.43
17-Jul-13,75.6,75.74,75.35,75.56,24631500,74.61
16-Jul-13,75.53,75.59,75.18,75.37,31747100,74.43
15-Jul-13,75.38,75.52,75.17,75.47,19783600,74.53
12-Jul-13,75.02,75.35,74.82,75.3,31412600,74.36
11-Jul-13,74.3,75.03,74.25,74.97,47768900,74.03
10-Jul-13,73.02,73.62,72.98,73.51,25598900,72.59
9-Jul-13,72.99,73.25,72.65,73.09,26108600,72.18
8-Jul-13,72.96,72.99,72.38,72.65,20558500,71.74
5-Jul-13,72.44,72.61,71.86,72.58,28795900,71.67
3-Jul-13,71.48,72.37,71.42,72.03,18847500,71.13
2-Jul-13,71.68,72.18,71.35,71.74,23067900,70.84
1-Jul-13,71.75,72.3,71.64,71.71,24942800,70.81
28-Jun-13,70.95,71.69,70.79,71.27,28301100,70.38
27-Jun-13,71.24,71.62,71.13,71.17,23545000,70.28
26-Jun-13,70.84,71,70.59,70.87,23742300,69.98
25-Jun-13,70.4,70.52,69.81,70.24,28897400,69.36
24-Jun-13,69.85,70.27,69.15,69.73,41492300,68.86
21-Jun-13,70.78,70.97,69.84,70.43,51558900,69.55
20-Jun-13,71.92,72.16,70.79,71.03,60908400,69.92
19-Jun-13,73.6,73.68,72.68,72.76,43145100,71.62
18-Jun-13,73.08,73.72,73.06,73.58,24853100,72.43
17-Jun-13,72.85,73.4,72.6,72.98,32441900,71.84
14-Jun-13,72.76,72.84,72.17,72.28,27690700,71.15
13-Jun-13,71.75,72.92,71.55,72.76,28221500,71.62
12-Jun-13,73.11,73.14,71.74,71.85,42081900,70.73
11-Jun-13,72.69,73.34,72.44,72.69,40278900,71.55
10-Jun-13,73.53,73.76,73.26,73.42,25390000,72.27
7-Jun-13,72.7,73.47,72.52,73.39,31969800,72.24
6-Jun-13,72.15,72.41,71.47,72.4,62524100,71.27
5-Jun-13,72.76,73.04,71.99,72.05,48654200,70.92
4-Jun-13,73.53,73.82,72.7,73,35251900,71.86
3-Jun-13,73.26,73.4,72.43,73.38,47613100,72.23
31-May-13,73.65,74.21,73.17,73.25,38347600,72.1
30-May-13,73.57,74.28,73.55,73.93,32390500,72.77
29-May-13,73.6,73.8,73.12,73.54,32090300,72.39
28-May-13,74.27,74.54,73.66,73.89,27057100,72.73
24-May-13,72.96,73.43,72.76,73.41,26430300,72.26
23-May-13,72.97,73.7,72.83,73.45,48222100,72.3
22-May-13,74.36,74.95,73.24,73.62,59843200,72.47
21-May-13,74.15,74.54,73.89,74.27,25900000,73.11
20-May-13,74.16,74.43,73.89,74.19,25132400,73.03
17-May-13,73.97,74.33,73.73,74.3,31114500,73.14
16-May-13,73.73,74.1,73.55,73.59,27253400,72.44
15-May-13,73.38,73.74,73.2,73.67,27214400,72.52
14-May-13,73.16,73.74,73.13,73.52,36009800,72.37
13-May-13,72.93,73.32,72.86,73.14,29730100,72
10-May-13,72.76,73.08,72.63,73.05,20663700,71.91
9-May-13,72.57,73.1,72.47,72.61,29337200,71.48
8-May-13,72.32,72.77,72.2,72.71,24252100,71.57
7-May-13,72.52,72.57,72.09,72.36,25838100,71.23
6-May-13,72.25,72.51,72.19,72.4,19244300,71.27
3-May-13,71.97,72.34,71.91,72.12,34061700,70.99
2-May-13,70.51,71.43,70.45,71.28,31744200,70.17
1-May-13,70.74,70.85,70.25,70.39,28537200,69.29
30-Apr-13,70.3,70.73,70.04,70.72,30135800,69.61
29-Apr-13,69.79,70.48,69.76,70.21,31664000,69.11
26-Apr-13,69.62,69.77,69.27,69.57,24079800,68.48
25-Apr-13,69.6,70.05,69.59,69.79,26437100,68.7
24-Apr-13,69.28,69.67,69.12,69.42,44500700,68.33
23-Apr-13,69.18,69.7,68.82,69.45,53078300,68.36
22-Apr-13,68.33,69.04,68.08,68.79,34412100,67.71
19-Apr-13,67.3,68.23,67.2,68.09,43062800,67.03
18-Apr-13,68.29,68.33,66.88,67.17,56798200,66.12
17-Apr-13,68.87,68.89,67.71,68.11,60204800,67.05
16-Apr-13,68.95,69.55,68.81,69.47,27682600,68.38
15-Apr-13,69.68,69.79,68.48,68.56,48795800,67.49
12-Apr-13,69.82,69.99,69.41,69.94,32783700,68.85
11-Apr-13,69.85,70.15,69.77,69.99,37233600,68.9
10-Apr-13,68.92,70.17,68.88,70.02,55271300,68.93
9-Apr-13,68.4,68.96,68.09,68.68,30931400,67.61
8-Apr-13,67.89,68.24,67.69,68.22,17891600,67.15
5-Apr-13,67.35,67.96,67.19,67.86,55610800,66.8
4-Apr-13,68.38,68.6,68.06,68.43,32287400,67.36
3-Apr-13,69.08,69.18,68.24,68.41,35131200,67.34
2-Apr-13,68.83,69.27,68.77,69.04,29431900,67.96
1-Apr-13,69.02,69.09,68.31,68.5,28112800,67.43
28-Mar-13,68.8,69.06,68.64,68.97,23662800,67.89
27-Mar-13,68.24,68.85,68.14,68.8,22539500,67.72
26-Mar-13,68.6,68.73,68.45,68.71,19725200,67.64
25-Mar-13,68.81,68.96,68.01,68.34,24909800,67.27
22-Mar-13,68.21,68.64,68.13,68.59,28837200,67.52
21-Mar-13,68.08,68.25,67.77,67.93,30050800,66.87
20-Mar-13,68.71,68.86,68.39,68.71,28035400,67.64
19-Mar-13,68.57,68.7,67.62,68.23,33125100,67.16
18-Mar-13,67.88,68.64,67.73,68.36,36163000,67.29
15-Mar-13,68.75,68.79,68.34,68.51,30752600,67.44
14-Mar-13,68.87,69.01,68.71,68.86,31530800,67.63
13-Mar-13,68.81,68.89,68.39,68.63,34297300,67.4
12-Mar-13,68.77,68.93,68.39,68.72,27575400,67.49
11-Mar-13,68.68,68.99,68.47,68.97,23187900,67.74
8-Mar-13,68.92,69.02,68.5,68.77,26159900,67.54
7-Mar-13,68.59,68.8,68.45,68.69,21775900,67.46
6-Mar-13,68.89,68.91,68.42,68.51,29071100,67.28
5-Mar-13,68.08,68.77,68.08,68.68,35581900,67.45
4-Mar-13,67.16,67.69,67.07,67.68,19380500,66.47
1-Mar-13,66.87,67.5,66.54,67.38,31617200,66.17
28-Feb-13,67.25,67.74,67.09,67.1,28557300,65.9
27-Feb-13,66.56,67.65,66.47,67.24,36339500,66.04
26-Feb-13,66.4,66.68,65.96,66.56,42088800,65.37
25-Feb-13,67.57,67.81,66.25,66.31,40927600,65.12
22-Feb-13,66.85,67.15,66.59,67.14,21968000,65.94
21-Feb-13,66.94,67.01,66.23,66.47,45855600,65.28
20-Feb-13,68.22,68.25,67.18,67.19,38200300,65.99
19-Feb-13,67.88,68.26,67.86,68.24,23436500,67.02
15-Feb-13,67.94,68.11,67.56,67.75,25333600,66.54
14-Feb-13,67.66,68.05,67.62,67.95,24478800,66.73
13-Feb-13,67.93,68.23,67.77,67.97,23494700,66.75
12-Feb-13,67.92,68.05,67.66,67.73,22057900,66.52
11-Feb-13,68.03,68.06,67.78,68.01,17650400,66.79
8-Feb-13,67.64,68.13,67.63,67.99,39837200,66.77
7-Feb-13,67.32,67.37,66.56,67.3,46017900,66.1
6-Feb-13,67.24,67.55,67.04,67.24,43593200,66.04
5-Feb-13,66.77,67.67,66.61,67.46,35120300,66.25
4-Feb-13,67.27,67.46,66.46,66.48,48483700,65.29
1-Feb-13,67.34,67.78,67.07,67.66,53120800,66.45
31-Jan-13,66.99,67.35,66.81,66.87,34870500,65.67
30-Jan-13,67.28,67.48,66.87,67.02,34445000,65.82
29-Jan-13,67.07,67.31,66.63,67.16,35554700,65.96
28-Jan-13,67.01,67.38,66.93,67.15,32926100,65.95
25-Jan-13,66.87,67.19,66.74,67,39240100,65.8
24-Jan-13,66.66,67.28,66.56,66.66,42596300,65.47
23-Jan-13,67.56,67.79,67.46,67.59,31975700,66.38
22-Jan-13,67.14,67.23,66.73,67.18,32123100,65.98
18-Jan-13,67.02,67.14,66.77,67.07,31992000,65.87
17-Jan-13,67.17,67.48,67.06,67.22,32024200,66.02
16-Jan-13,66.72,67.13,66.6,66.9,33822300,65.7
15-Jan-13,66.63,66.73,66.33,66.63,31675300,65.44
14-Jan-13,66.92,67.15,66.67,66.96,36768500,65.76
11-Jan-13,67.14,67.29,67,67.26,21158600,66.06
10-Jan-13,67.23,67.27,66.55,67.17,37528000,65.97
9-Jan-13,66.62,66.95,66.55,66.77,25600300,65.57
8-Jan-13,66.64,66.82,66.17,66.52,28734900,65.33
7-Jan-13,66.46,66.76,66.25,66.65,26766200,65.46
4-Jan-13,66.88,66.88,66.47,66.63,33972500,65.44
3-Jan-13,67.2,67.34,66.65,66.85,47366500,65.65
2-Jan-13,66.73,67.23,66.48,67.2,70695900,66
