Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,88.1,88.42,87.88,88.1,1750800,87.96
30-Dec-13,87.72,88.25,87.37,88.01,1744100,87.87
27-Dec-13,88.41,88.43,87.53,87.57,2886100,87.43
26-Dec-13,87.98,88.38,87.88,88.21,887800,88.07
24-Dec-13,87.41,87.96,87.41,87.71,1247800,87.57
23-Dec-13,87.3,87.82,87.18,87.54,2132800,87.4
20-Dec-13,86.16,87.33,86,87.14,5863200,87
19-Dec-13,86.6,86.87,86.22,86.45,4483100,86.17
18-Dec-13,85.72,86.93,84.92,86.9,9143100,86.62
17-Dec-13,85.73,86.03,85.33,85.44,2069900,85.16
16-Dec-13,85.63,86.17,85.55,85.81,2091400,85.53
13-Dec-13,85.92,85.92,85.14,85.44,2409700,85.16
12-Dec-13,85.61,85.74,85.1,85.32,3047600,85.04
11-Dec-13,85.9,86.42,85.42,85.46,2929200,85.18
10-Dec-13,86.01,86.56,85.92,86.02,1763400,85.74
9-Dec-13,86.5,86.81,86.16,86.39,1981800,86.11
6-Dec-13,87.31,87.34,86.18,86.25,3937300,85.97
5-Dec-13,86.61,87.32,86.61,86.75,6416700,86.47
4-Dec-13,87.3,87.8,86.3,87.02,5763300,86.74
3-Dec-13,87.71,87.95,87.31,87.8,2358800,87.51
2-Dec-13,88.46,88.65,87.66,87.87,4308000,87.58
29-Nov-13,88.79,88.95,88.39,88.46,1716300,88.17
27-Nov-13,88.64,88.84,88.15,88.54,1173500,88.25
26-Nov-13,87.75,88.47,87.75,88.09,1406500,87.8
25-Nov-13,87.78,87.91,87.52,87.65,2490300,87.36
22-Nov-13,87.58,87.58,87.02,87.47,2478100,87.18
21-Nov-13,86.72,87.77,86.53,87.55,2585900,87.26
20-Nov-13,87.1,87.6,86.54,86.87,4529700,86.59
19-Nov-13,87.48,88.14,86.68,86.84,5698300,86.56
18-Nov-13,88.4,88.4,87.17,87.49,5616500,87.2
15-Nov-13,87.89,88.08,87.3,88.03,2706200,87.74
14-Nov-13,87.04,87.59,86.75,87.49,3635800,87.2
13-Nov-13,86,87.37,86,87.31,6149400,87.02
12-Nov-13,85.65,86.28,85.51,86.18,4472200,85.9
11-Nov-13,84.65,85.81,84.65,85.72,1956600,85.44
8-Nov-13,83.94,84.87,83.63,84.87,3453400,84.59
7-Nov-13,84.88,85.3,83.59,83.68,5758400,83.41
6-Nov-13,85.54,85.63,84.47,84.7,2756600,84.42
5-Nov-13,85.37,85.62,84.36,85.39,2257500,85.11
4-Nov-13,84.95,85.35,84.74,85.28,2494800,85
1-Nov-13,84.37,84.72,83.89,84.55,1534000,84.27
31-Oct-13,84,84.65,83.71,84.17,2471000,83.9
30-Oct-13,84.76,85.04,83.55,84.05,2229100,83.78
29-Oct-13,84.49,84.67,84,84.63,1501100,84.35
28-Oct-13,84.8,84.8,83.71,84.03,1995800,83.76
25-Oct-13,83.81,84.15,83.53,83.96,1965300,83.69
24-Oct-13,83.31,83.91,82.88,83.88,2431200,83.61
23-Oct-13,83.48,83.61,82.79,83.41,1664200,83.14
22-Oct-13,84.08,84.63,83.39,83.61,3040500,83.34
21-Oct-13,83.69,83.95,83.44,83.8,1698600,83.53
18-Oct-13,83.5,83.92,83.17,83.85,3167100,83.58
17-Oct-13,82.58,83.1,82.27,83.07,3421800,82.8
16-Oct-13,81.71,82.76,81.71,82.72,4975000,82.45
15-Oct-13,81.74,82.09,81.13,81.34,3706500,81.07
14-Oct-13,80.85,82.14,80.85,82.05,2253800,81.78
11-Oct-13,81,81.8,80.78,81.75,3307300,81.48
10-Oct-13,80.59,81.33,80.54,81.27,2902100,81
9-Oct-13,80.27,80.27,79.1,79.71,4003600,79.45
8-Oct-13,81.31,81.38,79.74,79.75,5404100,79.49
7-Oct-13,82.09,82.12,81.29,81.32,3233400,81.05
4-Oct-13,82.45,82.87,81.9,82.75,2048800,82.48
3-Oct-13,82.81,83.12,81.85,82.22,2745700,81.95
2-Oct-13,82.5,83.1,81.98,82.93,2890200,82.66
1-Oct-13,82.06,83.22,81.91,82.93,3937200,82.66
30-Sep-13,81.37,82.34,81.3,82.02,2403900,81.75
27-Sep-13,82.17,82.58,81.92,82.38,2923700,82.11
26-Sep-13,82.21,82.99,82.08,82.4,4591500,82.13
25-Sep-13,82.5,82.61,81.59,81.92,5323800,81.65
24-Sep-13,82.24,82.72,81.67,82.25,1994800,81.98
23-Sep-13,82.3,82.36,81.56,81.99,2798900,81.72
20-Sep-13,82.82,82.9,82.11,82.3,3632400,82.03
19-Sep-13,82.83,83.2,82.69,82.82,2272600,82.45
18-Sep-13,81.79,82.86,81.12,82.64,3064800,82.27
17-Sep-13,81.08,81.81,81.07,81.76,2310500,81.39
16-Sep-13,81.23,81.61,80.85,80.89,1519400,80.53
13-Sep-13,80.58,80.86,80.31,80.76,1529300,80.4
12-Sep-13,80.78,81.13,80.17,80.36,2564800,80
11-Sep-13,80.85,81.19,80.66,81.09,1897200,80.73
10-Sep-13,80.68,80.94,80.22,80.89,2094800,80.53
9-Sep-13,78.92,80.17,78.92,80.05,2388600,79.69
6-Sep-13,79.35,79.41,78,78.75,2858400,78.4
5-Sep-13,79.04,79.42,78.78,79.15,3004400,78.79
4-Sep-13,77.87,78.92,77.86,78.69,2388900,78.34
