Date,Open,High,Low,Close,Volume,Adj Close
2013-12-30,15.64,15.69,15.51,15.57,56703800,15.56
2013-12-23,15.72,15.79,15.58,15.67,40797200,15.66
2013-12-16,15.22,15.87,15.06,15.60,105675100,15.59
2013-12-09,15.62,15.68,15.12,15.18,74581600,15.17
2013-12-02,15.84,15.97,15.36,15.56,96709800,15.55
2013-11-25,15.67,15.98,15.66,15.82,97097800,15.80
2013-11-18,14.98,15.79,14.86,15.64,133323900,15.62
2013-11-11,14.27,14.95,14.20,14.92,99669700,14.90
2013-11-04,14.09,14.32,13.80,14.32,86117600,14.30
2013-10-28,14.29,14.32,13.96,14.02,79967800,14.00
2013-10-21,14.53,14.63,14.07,14.26,90760900,14.24
2013-10-14,14.06,14.72,14.05,14.63,105005000,14.61
2013-10-07,13.91,14.28,13.68,14.19,87861900,14.17
2013-09-30,13.69,14.10,13.60,14.05,82004300,14.03
2013-09-23,14.31,14.32,13.88,13.90,95850100,13.88
2013-09-16,14.61,14.83,14.40,14.44,98188100,14.42
2013-09-09,14.41,14.69,14.37,14.49,69575100,14.47
2013-09-03,14.30,14.55,14.18,14.36,73125800,14.34
2013-08-26,14.53,14.70,13.99,14.12,87574300,14.09
2013-08-19,14.37,14.69,13.98,14.57,89689000,14.54
2013-08-12,14.36,14.75,14.21,14.42,83879400,14.39
2013-08-05,14.77,14.84,14.25,14.45,87219400,14.42
2013-07-29,14.65,14.97,14.45,14.84,96079200,14.81
2013-07-22,14.74,15.03,14.54,14.73,101389000,14.70
2013-07-15,13.93,14.85,13.76,14.75,168894900,14.72
2013-07-08,13.11,13.80,13.08,13.78,107115300,13.75
2013-07-01,12.95,13.10,12.73,13.06,71396200,13.03
2013-06-24,12.40,13.03,12.13,12.86,122560400,12.84
2013-06-17,13.17,13.40,12.39,12.69,133658900,12.67
2013-06-10,13.49,13.55,12.97,13.07,106664800,13.04
2013-06-03,13.69,13.73,12.85,13.38,155284300,13.35
2013-05-28,13.49,13.99,13.27,13.66,143377400,13.62
2013-05-20,13.39,13.73,12.82,13.24,129851600,13.20
2013-05-13,12.98,13.55,12.95,13.43,122692900,13.39
2013-05-06,12.39,13.18,12.36,13.02,166728700,12.98
2013-04-29,12.45,12.48,12.05,12.24,82813000,12.21
2013-04-22,11.68,12.54,11.57,12.42,117552200,12.39
2013-04-15,12.19,12.36,11.23,11.66,199927400,11.63
2013-04-08,12.00,12.40,11.91,12.17,105614500,12.14
2013-04-01,12.15,12.28,11.64,11.97,129513300,11.94
2013-03-25,12.68,12.72,12.11,12.18,122291500,12.15
2013-03-18,12.29,12.94,12.26,12.56,181669600,12.53
2013-03-11,12.08,12.66,11.91,12.57,151047600,12.54
2013-03-04,11.27,12.44,11.22,12.07,171408800,12.04
2013-02-25,11.60,11.61,10.98,11.34,171935200,11.31
2013-02-19,12.10,12.31,11.26,11.44,194762600,11.40
2013-02-11,11.73,12.42,11.67,12.03,166154900,11.99
2013-02-04,11.58,11.98,11.46,11.76,163935300,11.72
2013-01-28,11.64,11.73,11.22,11.71,107084900,11.67
2013-01-22,11.12,11.72,11.09,11.62,121730800,11.58
2013-01-14,11.61,11.79,11.02,11.14,180852900,11.10
2013-01-07,12.15,12.20,11.33,11.63,210331600,11.59
2012-12-31,11.37,12.15,11.30,12.11,174152600,12.07
2012-12-24,11.27,11.69,11.21,11.36,134759600,11.32
2012-12-17,10.65,11.52,10.64,11.29,209536200,11.25
2012-12-10,10.60,10.71,10.46,10.58,134389000,10.54
2012-12-03,9.93,10.68,9.77,10.64,215230200,10.60
2012-11-26,9.82,9.95,9.38,9.86,127401300,9.81
2012-11-19,9.36,9.90,9.32,9.90,122121800,9.85
2012-11-12,9.50,9.55,8.92,9.12,141817100,9.08
2012-11-05,9.83,9.97,9.22,9.43,180956400,9.39
2012-10-31,9.20,9.97,9.15,9.85,173872900,9.80
2012-10-22,9.47,9.56,9.05,9.12,132115900,9.08
2012-10-15,9.24,9.60,9.16,9.44,175209100,9.40
2012-10-08,9.16,9.42,9.04,9.12,125421900,9.08
2012-10-01,8.87,9.65,8.85,9.32,144641600,9.28
2012-09-24,8.99,9.21,8.70,8.83,131342500,8.79
2012-09-17,9.39,9.49,9.08,9.11,137098500,9.07
2012-09-10,8.84,9.79,8.53,9.55,251244400,9.51
2012-09-04,8.00,8.80,7.93,8.80,142661100,8.76
2012-08-27,8.20,8.20,7.83,7.99,96592800,7.94
2012-08-20,7.98,8.40,7.98,8.16,123823900,8.11
2012-08-13,7.72,8.12,7.68,8.00,90606600,7.95
