Date,Open,High,Low,Close,Volume,Adj Close
2013-12-30,185.32,187.79,184.67,187.57,3319100,186.55
2013-12-23,181.05,186.50,180.61,185.08,3100200,184.07
2013-12-16,173.22,182.00,172.73,180.02,6453400,179.04
2013-12-09,177.99,178.15,172.73,172.80,4374100,171.86
2013-12-02,179.46,179.59,175.16,177.67,4963200,176.70
2013-11-25,180.25,180.76,177.31,179.68,5096200,178.70
2013-11-18,183.52,186.24,179.92,181.30,5127400,180.31
2013-11-11,180.19,184.05,179.66,183.19,5136500,182.19
2013-11-04,179.90,181.39,177.35,179.99,5127000,179.01
2013-10-28,177.04,182.32,176.20,179.23,5170700,177.30
2013-10-21,174.42,179.10,172.63,176.85,5972300,174.95
2013-10-14,185.41,186.99,172.57,173.78,9132600,171.91
2013-10-07,181.85,186.23,178.71,186.16,4171900,184.16
2013-09-30,185.56,186.74,183.00,184.10,3270300,182.12
2013-09-23,190.06,192.41,186.45,186.92,3015900,184.91
2013-09-16,193.70,194.89,190.02,190.02,4475800,187.97
2013-09-09,183.68,193.10,183.31,192.17,3638900,190.10
2013-09-03,183.63,185.00,182.31,183.03,2964000,181.06
2013-08-26,185.27,187.00,181.10,182.27,3010400,180.31
2013-08-19,185.30,186.57,183.17,185.42,2912900,183.42
2013-08-12,186.97,189.99,185.34,185.34,3316100,183.34
2013-08-05,195.16,195.88,186.79,187.82,4025600,185.80
2013-07-29,196.83,197.83,193.22,195.16,3067700,192.10
2013-07-22,193.40,197.83,193.28,197.35,2943800,194.25
2013-07-15,192.42,200.94,191.68,193.54,6335800,190.50
2013-07-08,195.60,195.78,190.78,192.07,4143100,189.06
2013-07-01,192.15,195.16,190.26,194.93,3094500,191.87
2013-06-24,193.99,196.90,188.41,191.11,5018500,188.11
2013-06-17,203.44,206.09,193.54,195.46,4554600,192.39
2013-06-10,206.97,206.98,200.34,202.20,2916100,199.03
2013-06-03,208.25,210.05,201.47,206.35,3553700,203.11
2013-05-28,207.44,211.98,206.04,208.02,4199900,204.76
2013-05-20,208.02,210.15,204.42,205.72,4051800,202.49
2013-05-13,204.18,209.50,202.04,208.44,4317400,205.17
2013-05-06,203.79,205.00,201.52,204.47,3740100,201.26
