Date,Open,High,Low,Close,Volume,Adj Close
2013-12-30,23.42,23.42,22.63,23.03,10115600,22.89
2013-12-23,22.55,23.64,22.40,23.59,6766000,23.44
2013-12-16,23.32,23.65,22.34,22.64,11442900,22.50
2013-12-09,23.17,24.57,22.68,23.28,9277000,23.14
2013-12-02,24.46,24.60,22.97,23.02,11869900,22.88
2013-11-25,25.43,25.75,24.35,24.83,10040900,24.47
2013-11-18,27.76,27.81,25.66,25.74,7248700,25.37
2013-11-11,27.34,28.45,26.74,27.79,6930000,27.39
2013-11-04,26.39,28.08,26.27,27.57,8316100,27.17
2013-10-28,27.85,28.50,25.88,25.98,9814100,25.60
2013-10-21,27.06,28.71,27.01,27.83,9449300,27.43
2013-10-14,25.92,27.42,25.33,26.92,8060400,26.53
2013-10-07,26.95,27.47,25.50,25.62,8536800,25.25
2013-09-30,27.74,28.39,26.57,26.80,8799800,26.41
2013-09-23,28.13,28.83,27.39,27.98,7954600,27.57
2013-09-16,28.20,31.12,27.98,28.07,11659800,27.66
2013-09-09,30.49,30.75,27.73,28.20,8904600,27.79
2013-09-03,32.00,32.18,30.20,30.43,8215700,29.99
2013-08-26,33.19,34.27,30.72,31.77,8887100,31.06
2013-08-19,32.37,33.63,31.82,33.00,6836100,32.27
2013-08-12,30.39,33.90,29.86,32.38,11739300,31.66
2013-08-05,28.79,29.78,26.43,29.51,10339600,28.85
2013-07-29,30.38,30.58,28.71,28.79,8728700,28.15
2013-07-22,29.85,31.41,28.50,30.38,9374800,29.70
2013-07-15,27.55,29.00,27.16,28.69,7469500,28.05
2013-07-08,28.17,28.30,26.47,27.43,10974100,26.82
2013-07-01,30.31,30.69,26.97,27.78,9731600,27.16
2013-06-24,29.45,30.25,27.07,29.95,13692700,29.28
2013-06-17,33.24,33.63,28.85,30.05,9906100,29.38
2013-06-10,33.67,34.15,32.65,33.19,5605300,32.45
2013-06-03,34.40,35.44,33.58,34.11,7005500,33.01
2013-05-28,32.01,34.48,31.52,34.28,8019200,33.17
2013-05-20,30.66,33.12,30.42,31.97,8480800,30.94
2013-05-13,32.94,33.08,30.30,30.63,8200000,29.64
2013-05-06,33.29,34.25,32.08,33.12,6910100,32.05
2013-04-29,33.84,34.27,31.33,33.00,9473300,31.93
2013-04-22,33.43,35.13,31.77,33.47,10322300,32.39
2013-04-15,34.36,34.84,32.13,32.98,14653200,31.91
2013-04-08,39.36,40.64,36.35,36.37,8615400,35.20
2013-04-01,42.00,42.00,38.07,39.37,8048400,38.10
2013-03-25,41.56,41.94,40.53,41.89,5807100,40.54
2013-03-18,40.13,41.84,39.80,41.61,6024500,40.27
2013-03-11,39.23,40.20,38.77,39.68,7108100,38.40
2013-03-04,39.64,40.88,38.50,39.25,9156200,37.57
2013-02-25,41.19,41.72,39.56,39.62,9528400,37.93
2013-02-19,43.08,43.39,40.44,40.82,10738900,39.07
2013-02-11,44.57,45.48,42.79,43.27,7523500,41.42
2013-02-04,43.59,45.82,43.43,44.93,4985000,43.01
2013-01-28,43.49,44.33,42.55,43.71,7661900,41.84
2013-01-22,44.96,45.79,42.96,43.36,6436900,41.51
2013-01-14,45.86,45.89,44.00,44.89,5184400,42.97
2013-01-07,45.60,46.13,44.61,45.76,5200700,43.80
2012-12-31,44.92,47.59,44.84,45.94,6416400,43.97
2012-12-24,44.58,45.87,43.85,45.03,4671700,43.10
2012-12-17,44.24,45.05,42.96,44.58,7027400,42.67
2012-12-10,44.80,45.81,43.51,44.29,6140000,42.40
2012-12-03,47.13,47.13,43.85,44.42,6531400,42.52
2012-11-26,47.25,47.74,45.90,47.09,5332400,44.73
2012-11-19,46.88,47.80,46.20,47.69,4296700,45.30
2012-11-12,48.15,48.32,44.50,46.12,6078800,43.81
2012-11-05,49.12,49.58,47.83,48.07,6241700,45.66
2012-10-31,53.73,54.96,48.72,48.74,8203900,46.30
2012-10-22,54.73,55.76,52.55,53.31,4561900,50.64
2012-10-15,54.62,56.38,53.94,54.90,4151800,52.15
2012-10-08,55.45,56.28,54.17,54.94,3620600,52.19
2012-10-01,56.70,56.85,55.17,55.85,3942400,53.05
2012-09-24,55.60,56.67,53.80,56.02,6024900,53.21
2012-09-17,57.05,57.93,56.01,56.31,8506200,53.49
2012-09-10,51.47,57.65,51.05,57.20,8249900,54.33
2012-09-04,50.56,52.50,49.08,51.69,5387300,49.10
2012-08-27,49.46,50.75,48.32,50.68,4570300,47.81
2012-08-20,47.25,49.98,47.01,49.23,4493600,46.44
2012-08-13,47.57,47.99,45.82,47.16,3511600,44.49
2012-08-06,44.85,47.78,44.84,47.48,4894600,44.79
2012-07-30,44.29,45.74,43.62,44.67,5603300,42.14
2012-07-23,44.83,46.46,42.95,44.53,6542200,42.01
2012-07-16,46.12,46.23,44.37,45.15,4132700,42.59
2012-07-09,47.80,48.34,44.75,46.16,4956700,43.54
2012-07-02,48.29,49.84,47.56,47.91,3613400,45.19
2012-06-25,47.93,49.20,46.41,48.51,5249200,45.76
2012-06-18,50.06,51.17,47.26,47.96,5420000,45.24
2012-06-11,50.40,51.38,49.22,50.28,6689400,47.43
2012-06-04,50.65,52.33,49.13,50.28,7263000,47.43
2012-05-29,49.52,51.15,46.60,50.30,8973800,47.12
2012-05-21,45.96,49.84,45.75,48.82,7633200,45.74
2012-05-14,44.66,47.00,43.23,45.58,7441900,42.70
2012-05-07,46.09,47.23,43.95,45.36,7254100,42.49
2012-04-30,47.67,48.37,45.34,46.16,5976100,43.24
2012-04-23,46.78,48.97,45.22,47.86,7812400,44.84
2012-04-16,48.66,48.93,47.22,47.25,5857300,44.26
2012-04-09,48.00,49.90,47.80,48.68,8020900,45.60
2012-04-02,51.56,52.41,47.47,47.73,9369600,44.71
2012-03-26,54.07,54.15,50.47,51.27,8056000,48.03
