id,Tesla,TSLA,China,Downside,Musk,Upside,battery,risk,Charge,Panasonic,,
2-Mar,0.179104478,0,0,0.166666667,0.0625,0,0.212121212,0,0,0,3-Mar-14,250.56
3-Mar,0.104477612,0,0,0,0,0.083333333,0.242424242,0,0,0.090909091,4-Mar-14,254.84
4-Mar,0.537313433,0,0,0,0.125,0,0.060606061,0,0.08,0,5-Mar-14,252.66
5-Mar,0.223880597,0.038461538,0,0.083333333,0.125,0.041666667,0.060606061,0,0.2,0,6-Mar-14,252.94
9-Mar,0.089552239,0,0.25,0,0,0.208333333,0.242424242,0,0.08,0,7-Mar-14,246.21
10-Mar,0.447761194,0.076923077,0.125,0,0.03125,0.208333333,0.303030303,0,0.04,0.636363636,10-Mar-14,238.84
11-Mar,0.119402985,0,0,0,0,0,0,0,0,0,11-Mar-14,234.41
12-Mar,0.149253731,0,0,0,0,0.041666667,0.03030303,0,0,0,12-Mar-14,241.49
13-Mar,0.134328358,0.038461538,0,0,0.03125,0,0.272727273,0,0,0.090909091,13-Mar-14,237.79
16-Mar,0.164179104,0.038461538,0,0,0.125,0,0.060606061,0,0,0,14-Mar-14,230.97
17-Mar,0.059701493,0.192307692,0,0,0,0.041666667,0.060606061,0,0,0,17-Mar-14,233.98
18-Mar,0.089552239,0.038461538,0,0,0,0,0,0,0,0,18-Mar-14,240.04
24-Mar,0.059701493,0,0,0,0,0.083333333,0.03030303,0,0.04,0,19-Mar-14,235.84
25-Mar,0.029850746,0.038461538,0,0,0,0.041666667,0,0,0,0,20-Mar-14,234.91
26-Mar,0.104477612,0,0,0,0,0,0,0,0,0,21-Mar-14,228.89
27-Mar,0.343283582,0.038461538,0,0.083333333,0.0625,0.125,0.181818182,0.416666667,0.04,0.909090909,24-Mar-14,220.17
28-Mar,0.119402985,0.038461538,0,0,0,0,0.060606061,0.083333333,0,0,25-Mar-14,220.44
29-Mar,0.28358209,0.038461538,0,0.166666667,0.125,0,0.151515152,0.083333333,0,0,26-Mar-14,212.96
30-Mar,0.104477612,0.038461538,0,0,0,0.083333333,0.151515152,0,0.04,0,27-Mar-14,207.32
31-Mar,0.149253731,0,0,0,0.03125,0.125,0,0.166666667,0,0,28-Mar-14,212.37
1-Apr,0.074626866,0,0,0,0.03125,0,0,0,0,0,31-Mar-14,208.45
2-Apr,0.253731343,0.038461538,0,0,0,0,0.03030303,0,0,0,1-Apr-14,216.97
3-Apr,0.089552239,0.153846154,0,0.083333333,0.03125,0.166666667,0,0,0.04,0,2-Apr-14,230.29
4-Apr,0.074626866,0.038461538,0,0,0,0.083333333,0,0,0,0,3-Apr-14,225.4
5-Apr,0.089552239,0.423076923,0,0.083333333,0,0.291666667,0.03030303,0.416666667,0,0.090909091,4-Apr-14,212.22
8-Apr,0.402985075,0.038461538,0.1875,0,0.03125,0,0.606060606,0.083333333,0,0.454545455,7-Apr-14,207.52
9-Apr,0.298507463,0.076923077,0,0.25,0.125,0,0.121212121,0.166666667,0,0,8-Apr-14,215.46
10-Apr,0.089552239,0,0,0,0,0,0,0,0,0,9-Apr-14,216.93
11-Apr,0.119402985,0.038461538,0.25,0,0.03125,0,0,0,0.12,0,10-Apr-14,204.19
14-Apr,0.059701493,0,0,0,0,0.375,0,0.083333333,0,0,11-Apr-14,203.78
15-Apr,0.268656716,0,0.875,0.166666667,0.03125,0.166666667,0.060606061,0,0.4,0,14-Apr-14,198.09
17-Apr,0.074626866,0,0.125,0.25,0,0.041666667,0.03030303,0,0.04,0,15-Apr-14,193.91
18-Apr,0.104477612,0,0,0,0.03125,0,0.03030303,0,0.28,0,16-Apr-14,199.11
19-Apr,0.104477612,0,0,0,0,0,0,0,0,0,17-Apr-14,198.12
20-Apr,0.059701493,0,0,0,0,0,0,0,0,0,21-Apr-14,204.38
21-Apr,0.537313433,0.076923077,1.6875,0.166666667,0.4375,0.208333333,0.121212121,0.333333333,0.36,0,22-Apr-14,218.64
22-Apr,0.388059701,0.076923077,0.625,0.166666667,0.25,0.041666667,0.060606061,0,0.36,0.181818182,23-Apr-14,207.99
23-Apr,0.268656716,0.153846154,0.1875,0,0.1875,0,0.393939394,0.166666667,0.12,0.727272727,24-Apr-14,207.86
25-Apr,0.044776119,0,0,0,0.15625,0,0,0,0,0,25-Apr-14,199.85
