Volume,Adj Close,,,,,,,,,,,,,,,CNY,"A,B"
3400,43.05,,,,,,,,,,,,,,,,
2900,43.05,,,,,,,,,,,,,,,,
1100,42.91,,,,,,,,,,,,,,,,
4200,42.83,,,,,,,,,,,,,,,,
1000,42.7,,,,,,,,,,,,,,,,
15100,42.9,,,,,,,,,,,,,,,,
4900,42.75,,,,,,,,,,,,,,,,
2900,42.67,,,,,,,,,,,,,,,,
1600,42.66,,,,,,,,,,,,,,,,
4600,42.7,,,,,,,,,,,,,,,,
7900,42.76,,,,,,,,,,,,,,,,
4900,42.7,,,,,,,,,,,,,,,,
6800,42.51,,,,,,,,,,,,,,,,
5200,42.52,,,,,,,,,,,,,,,,
900,42.57,,,,,,,,,,,,,,,,
3600,42.65,,,,,,,,,,,,,,,,
4600,42.47,,,,,,,,,,,,,,,,
2100,42.56,,,,,,,,,,,,,,,,
5000,42.51,,,,,,,,,,,,,,,,
900,42.44,,,,,,,,,,,,,,,,
2900,42.4,,,,,,,,,,,,,,,,
200,42.57,,,,,,,,,,,,,,,,
2200,42.45,,,,,,,,,,,,,,,,
1100,42.55,,,,,,,,,,,,,,,,
5900,42.54,,,,,,,,,,,,,,,,
600,42.6,,,,,,,,,,,,,,,,
1200,42.39,,,,,,,,,,,,,,,,
6200,42.62,,,,,,,,,,,,,,,,
1600,42.54,,,,,,,,,,,,,,,,
1000,42.39,,,,,,,,,,,,,,,,
4000,42.39,,,,,,,,,,,,,,,,
2500,42.42,,,,,,,,,,,,,,,,
5600,42.37,,,,,,,,,,,,,,,,
2200,42.5,,,,,,,,,,,,,,,,
1900,42.44,,,,,,,,,,,,,,,,
2800,42.46,,,,,,,,,,,,,,,,
1800,42.35,,,,,,,,,,,,,,,,
2600,42.22,,,,,,,,,,,,,,,,
10600,42.45,,,,,,,,,,,,,,,,
35700,42.41,,,,,,,,,,,,,,,,
1400,42.7,,,,,,,,,,,,,,,,
1500,42.81,,,,,,,,,,,,,,,,
3200,42.77,,,,,,,,,,,,,,,,
600,42.82,,,,,,,,,,,,,,,,
1000,42.88,,,,,,,,,,,,,,,,
5300,42.73,,,,,,,,,,,,,,,,
500,42.75,,,,,,,,,,,,,,,,
7500,42.87,,,,,,,,,,,,,,,,
5800,42.66,,,,,,,,,,,,,,,,
2500,42.73,,,,,,,,,,,,,,,,
2600,42.65,,,,,,,,,,,,,,,,
3300,42.68,,,,,,,,,,,,,,,,
3500,42.74,,,,,,,,,,,,,,,,
3000,42.68,,,,,,,,,,,,,,,,
1600,42.67,,,,,,,,,,,,,,,,
500,42.72,,,,,,,,,,,,,,,,
1100,42.7,,,,,,,,,,,,,,,,
6100,42.7,,,,,,,,,,,,,,,,
2500,42.68,,,,,,,,,,,,,,,,
0,42.78,,,,,,,,,,,,,,,,
2400,42.78,,,,,,,,,,,,,,,,
2400,42.9,,,,,,,,,,,,,,,,
5700,42.76,,,,,,,,,,,,,,,,
600,42.63,,,,,,,,,,,,,,,,
4900,42.58,,,,,,,,,,,,,,,,
3500,42.8,,,,,,,,,,,,,,,,
0,42.84,,,,,,,,,,,,,,,,
2500,42.84,,,,,,,,,,,,,,,,
11400,42.83,,,,,,,,,,,,,,,,
6400,42.89,,,,,,,,,,,,,,,,
800,42.75,,,,,,,,,,,,,,,,
700,42.63,,,,,,,,,,,,,,,,
1100,43.02,,,,,,,,,,,,,,,,
5900,43.15,,,,,,,,,,,,,,,,
1200,42.62,,,,,,,,,,,,,,,,
3000,42.93,,,,,,,,,,,,,,,,
400,42.51,,,,,,,,,,,,,,,,
6600,42.79,,,,,,,,,,,,,,,,
3600,42.51,,,,,,,,,,,,,,,,
900,42.72,,,,,,,,,,,,,,,,
7000,42.86,,,,,,,,,,,,,,,,
10700,42.54,,,,,,,,,,,,,,,,
9500,42.48,,,,,,,,,,,,,,,,
34100,42.47,,,,,,,,,,,,,,,,
7500,42.37,,,,,,,,,,,,,,,,
200,42.45,,,,,,,,,,,,,,,,
700,42.45,,,,,,,,,,,,,,,,
3200,42.5,,,,,,,,,,,,,,,,
16600,42.48,,,,,,,,,,,,,,,,
6600,42.27,,,,,,,,,,,,,,,,
9600,42.33,,,,,,,,,,,,,,,,
13300,42.25,,,,,,,,,,,,,,,,
1600,42.34,,,,,,,,,,,,,,,,
10200,42.58,,,,,,,,,,,,,,,,
5700,42.54,,,,,,,,,,,,,,,,
600,41.98,,,,,,,,,,,,,,,,
1600,42.3,,,,,,,,,,,,,,,,
3600,41.95,,,,,,,,,,,,,,,,
1600,41.95,,,,,,,,,,,,,,,,
7400,42.18,,,,,,,,,,,,,,,,
2200,42.1,,,,,,,,,,,,,,,,
5600,41.85,,,,,,,,,,,,,,,,
1300,41.86,,,,,,,,,,,,,,,,
3600,42.05,,,,,,,,,,,,,,,,
3300,42,,,,,,,,,,,,,,,,
500,41.85,,,,,,,,,,,,,,,,
4500,42.12,,,,,,,,,,,,,,,,
2100,41.75,,,,,,,,,,,,,,,,
26200,42,,,,,,,,,,,,,,,,
1200,42.06,,,,,,,,,,,,,,,,
8100,41.99,,,,,,,,,,,,,,,,
6300,42.04,,,,,,,,,,,,,,,,
5200,42.03,,,,,,,,,,,,,,,,
8200,42.19,,,,,,,,,,,,,,,,
11200,41.71,,,,,,,,,,,,,,,,
2300,41.82,,,,,,,,,,,,,,,,
12000,41.93,,,,,,,,,,,,,,,,
4700,41.82,,,,,,,,,,,,,,,,
900,41.81,,,,,,,,,,,,,,,,
1500,41.74,,,,,,,,,,,,,,,,
8500,41.92,,,,,,,,,,,,,,,,
5900,42.07,,,,,,,,,,,,,,,,
4100,41.88,,,,,,,,,,,,,,,,
11900,41.83,,,,,,,,,,,,,,,,
5100,41.68,,,,,,,,,,,,,,,,
1100,41.91,,,,,,,,,,,,,,,,
10200,41.95,,,,,,,,,,,,,,,,
8300,41.7,,,,,,,,,,,,,,,,
700,42.14,,,,,,,,,,,,,,,,
1100,42.02,,,,,,,,,,,,,,,,
8400,41.9,,,,,,,,,,,,,,,,
2900,42.04,,,,,,,,,,,,,,,,
10000,42.09,,,,,,,,,,,,,,,,
11900,41.9,,,,,,,,,,,,,,,,
5500,41.87,,,,,,,,,,,,,,,,
2900,42.05,,,,,,,,,,,,,,,,
18500,41.92,,,,,,,,,,,,,,,,
7700,42.13,,,,,,,,,,,,,,,,
2100,42.02,,,,,,,,,,,,,,,,
700,42.01,,,,,,,,,,,,,,,,
4200,42.09,,,,,,,,,,,,,,,,
5500,42,,,,,,,,,,,,,,,,
6200,42.12,,,,,,,,,,,,,,,,
4600,42.02,,,,,,,,,,,,,,,,
9800,42.05,,,,,,,,,,,,,,,,
2000,42.01,,,,,,,,,,,,,,,,
16400,41.96,,,,,,,,,,,,,,,,
