,Date,Open,High,Low,Close,Volume,Adj Close,
1,1/2/2013,31.22,31.59,31.15,31.56,32200,30.73,30.859
2,1/3/2013,31.48,31.76,31.37,31.37,21400,30.54,30.772
3,1/4/2013,31.4,31.5,31,31.5,16800,30.67,30.685
4,1/7/2013,31.39,31.81,31.33,31.74,16200,30.91,30.598
5,1/8/2013,31.63,31.64,31.42,31.51,15100,30.68,30.511
6,1/9/2013,31.7,31.85,31.61,31.62,10400,30.79,30.424
7,1/10/2013,31.88,32.24,31.82,32.07,11200,31.23,30.337
8,1/11/2013,32.03,32.03,31.81,31.88,9300,31.04,30.25
9,1/14/2013,31.88,31.88,31.69,31.73,8600,30.9,30.163
10,1/15/2013,31.37,31.75,31.37,31.75,9000,30.91,30.076
11,1/16/2013,31.51,31.51,31.25,31.27,13900,30.45,29.989
12,1/17/2013,31.57,31.57,31.26,31.34,7600,30.52,29.902
13,1/18/2013,31.66,31.66,31.28,31.34,11200,30.52,29.815
14,1/22/2013,31.45,31.47,31.27,31.35,12500,30.53,29.728
15,1/23/2013,31.25,31.35,31.15,31.19,6700,30.37,29.641
16,1/24/2013,31.16,31.2,30.88,30.93,69500,30.12,29.554
17,1/25/2013,30.95,30.95,30.62,30.78,14000,29.97,29.467
18,1/28/2013,30.41,30.58,30.27,30.36,24000,29.56,29.38
19,1/29/2013,30.39,30.68,30.39,30.68,59200,29.87,29.293
20,1/30/2013,30.58,30.58,30.33,30.42,13000,29.62,29.206
21,1/31/2013,30.56,30.86,30.39,30.48,10100,29.68,29.119
22,2/1/2013,30.6,30.86,30.6,30.78,8200,29.97,29.032
23,2/4/2013,30.23,30.48,30.23,30.31,8500,29.51,28.945
24,2/5/2013,30.26,30.44,30.25,30.36,16000,29.56,28.858
25,2/6/2013,30.09,30.62,30.07,30.62,8800,29.81,28.771
26,2/7/2013,30.43,30.43,30.24,30.37,3900,29.57,28.684
27,2/8/2013,30.56,30.57,30.44,30.44,2900,29.64,28.597
28,2/11/2013,30.53,30.53,30.24,30.38,13400,29.58,28.51
29,2/12/2013,30.31,30.41,30.27,30.27,2100,29.47,28.423
30,2/13/2013,30.48,30.68,30.44,30.44,4400,29.64,28.336
31,2/14/2013,30.21,30.48,30.21,30.44,5700,29.64,28.249
32,2/15/2013,30.3,30.3,30,30.08,7000,29.29,28.162
33,2/19/2013,30,30,29.56,29.6,36200,28.82,28.075
34,2/20/2013,29.2,29.2,28.56,28.57,31000,27.82,27.988
35,2/21/2013,28.19,28.19,27.84,27.93,31700,27.2,27.901
36,2/22/2013,28.11,28.2,27.95,28.15,9000,27.41,27.814
37,2/25/2013,28.13,28.35,27.69,27.73,18000,27,27.727
38,2/26/2013,27.75,27.87,27.6,27.74,10400,27.01,27.64
39,2/27/2013,27.86,28.04,27.77,28.04,6800,27.3,27.553
40,2/28/2013,27.91,27.91,27.57,27.62,3800,26.89,27.466
41,3/1/2013,27.18,27.35,27.03,27.35,16000,26.63,27.379
42,3/4/2013,26.97,26.97,26.63,26.74,21800,26.04,27.292
43,3/5/2013,27.38,27.38,27.11,27.13,18100,26.42,27.205
44,3/6/2013,27.22,27.39,27.12,27.39,22700,26.67,27.118
45,3/7/2013,27.26,27.48,27.26,27.43,13600,26.71,27.031
46,3/8/2013,27.51,27.65,27.5,27.65,10600,26.92,26.944
47,3/11/2013,27.65,27.65,27.38,27.48,15800,26.76,26.857
48,3/12/2013,27.53,27.87,27.53,27.65,10300,26.92,26.77
49,3/13/2013,27.7,27.7,27.32,27.34,15500,26.62,26.683
50,3/14/2013,27.43,27.6,27.33,27.6,4400,26.87,26.596
51,3/15/2013,27.53,27.58,27.45,27.5,6400,26.78,26.509
52,3/18/2013,27.04,27.16,26.91,26.94,12000,26.23,26.422
53,3/19/2013,26.87,26.87,26.19,26.29,15100,25.6,26.335
54,3/20/2013,26.5,26.54,26.4,26.5,12700,25.8,26.248
55,3/21/2013,26.14,26.35,26.1,26.13,16600,25.49,26.161
56,3/22/2013,26.18,26.26,26.15,26.2,8500,25.56,26.074
57,3/25/2013,26.11,26.12,25.56,25.61,13600,24.98,25.987
58,3/26/2013,25.69,25.69,25.56,25.66,5700,25.03,25.9
59,3/27/2013,25.6,25.77,25.45,25.73,5300,25.1,25.813
60,3/28/2013,25.79,25.83,25.54,25.83,7600,25.19,25.726
61,4/1/2013,25.88,25.88,25.49,25.49,4300,24.86,25.639
62,4/2/2013,25.45,25.45,25.16,25.16,38600,24.54,25.552
63,4/3/2013,25.24,25.3,24.51,24.55,32700,23.95,25.465
64,4/4/2013,24.71,24.93,24.71,24.92,6800,24.31,25.378
65,4/5/2013,24.92,25.05,24.89,25.03,13400,24.41,25.291
66,4/8/2013,25.29,25.29,24.99,25.14,18000,24.52,25.204
67,4/9/2013,25.43,26.12,25.43,25.94,18700,25.3,25.117
68,4/10/2013,26.26,26.27,26,26.01,20200,25.37,25.03
69,4/11/2013,25.74,25.93,25.69,25.83,13000,25.19,24.943
70,4/12/2013,25.6,25.6,25.17,25.23,17800,24.61,24.856
71,4/15/2013,24.22,24.22,23.13,23.18,50400,22.61,24.769
72,4/16/2013,23.88,23.9,23.34,23.56,23600,22.98,24.682
73,4/17/2013,23.02,23.02,22.28,22.3,23500,21.75,24.595
74,4/18/2013,22.35,22.5,22.15,22.37,12300,21.82,24.508
75,4/19/2013,22.77,22.92,22.75,22.92,10400,22.36,24.421
76,4/22/2013,22.81,22.93,22.5,22.79,25100,22.23,24.334
77,4/23/2013,22.91,22.91,22.59,22.8,9900,22.24,24.247
78,4/24/2013,23.06,23.74,23.06,23.74,19200,23.16,24.16
79,4/25/2013,23.96,24.48,23.96,24.23,19500,23.63,24.073
80,4/26/2013,24.21,24.21,23.68,23.85,14300,23.26,23.986
81,4/29/2013,24.06,24.06,23.77,23.88,12400,23.29,23.899
82,4/30/2013,23.79,23.9,23.55,23.9,5500,23.31,23.812
83,5/1/2013,23.6,23.74,23.32,23.5,12900,22.92,23.725
84,5/2/2013,23.71,23.75,23.49,23.65,14800,23.07,23.638
85,5/3/2013,24.36,24.76,24.28,24.67,22400,24.06,23.551
86,5/6/2013,24.85,24.85,24.6,24.69,19600,24.08,23.464
87,5/7/2013,24.79,24.85,24.6,24.61,13400,24,23.377
88,5/8/2013,24.84,25.1,24.8,25.1,9700,24.48,23.29
89,5/9/2013,25.08,25.21,24.9,24.9,8700,24.29,23.203
90,5/10/2013,24.68,24.93,24.68,24.93,8000,24.32,23.116
91,5/13/2013,24.83,24.83,24.59,24.62,4100,24.01,23.029
92,5/14/2013,24.39,24.39,24.21,24.32,8200,23.72,22.942
93,5/15/2013,23.83,24.04,23.83,24.04,13600,23.45,22.855
94,5/16/2013,23.7,24.08,23.7,23.82,7100,23.23,22.768
95,5/17/2013,24.08,24.08,23.7,23.8,29600,23.21,22.681
96,5/20/2013,23.64,24.06,23.64,23.98,14800,23.39,22.594
97,5/21/2013,23.99,24.21,23.99,24.07,5600,23.48,22.507
98,5/22/2013,24,24.6,24,24.03,19300,23.44,22.42
99,5/23/2013,23.7,23.75,23.5,23.74,18600,23.16,22.333
100,5/24/2013,23.4,23.58,23.4,23.57,7000,22.99,22.246
101,5/28/2013,23.89,24.02,23.62,23.74,5600,23.16,22.159
102,5/29/2013,23.64,23.64,23.46,23.59,4600,23.01,22.072
103,5/30/2013,23.49,23.97,23.49,23.86,8800,23.27,21.985
104,5/31/2013,23.7,23.7,23.23,23.23,9100,22.66,21.898
105,6/3/2013,23.32,23.59,23.3,23.53,4900,22.95,21.811
106,6/4/2013,23.35,23.46,23.27,23.35,11000,22.78,21.724
107,6/5/2013,23.26,23.34,23.14,23.14,7500,22.57,21.637
108,6/6/2013,23.1,23.2,23.05,23.18,3400,22.61,21.55
109,6/7/2013,23.48,23.48,23.11,23.28,7600,22.71,21.463
110,6/10/2013,23.2,23.2,22.92,23.04,12400,22.47,21.376
111,6/11/2013,22.55,22.64,22.33,22.45,13300,21.9,21.289
112,6/12/2013,22.69,22.69,22.2,22.32,3200,21.77,21.202
113,6/13/2013,22.72,22.88,22.53,22.86,2600,22.3,21.115
114,6/14/2013,22.99,23.37,22.77,22.77,1200,22.21,21.028
115,6/17/2013,22.88,22.97,22.79,22.97,4300,22.4,20.941
116,6/18/2013,22.78,22.78,22.6,22.68,14400,22.12,20.854
117,6/19/2013,22.55,22.6,22.12,22.12,5300,21.58,20.767
118,6/20/2013,21.56,21.66,20.66,20.66,53700,20.15,20.68
119,6/21/2013,20.61,20.75,20.32,20.57,10000,20.27,20.593
120,6/24/2013,20.54,20.54,19.5,19.7,19000,19.41,20.506
121,6/25/2013,19.89,20.13,19.66,20.06,16400,19.76,20.419
122,6/26/2013,19.99,19.99,19.71,19.81,7100,19.52,20.332
123,6/27/2013,19.91,20.11,19.91,20.06,12100,19.76,20.245
124,6/28/2013,20.08,20.16,19.8,20.16,9900,19.86,20.158
