Date,Open,High,Low,Close,Volume,Adj Close,Volatility
8/1/2008,185,186,178.66,182,7495400,168.72,0.039462366
8/4/2008,179.66,180.59,176.2,177.86,7551900,164.89,0.024309209
8/5/2008,178.89,180.83,175.5,180.77,8772200,167.58,0.029475198
8/6/2008,179,180.9,177.5,179.55,5832700,166.45,0.018794914
8/7/2008,177.22,178.5,171.15,172.33,9103100,159.76,0.041176471
8/8/2008,172.76,178.45,172.02,175.95,6634600,163.12,0.036032502
8/11/2008,176.38,183.2,175.07,178,8798500,165.02,0.044377729
8/12/2008,173.3,173.48,166.56,167.3,14023800,155.1,0.039889324
8/13/2008,167,169.4,162.4,164.9,12391300,152.87,0.041322314
8/14/2008,164.61,168.9,164.11,166.59,8660000,154.44,0.028359976
8/15/2008,167.4,167.69,162.34,163.18,8386200,151.28,0.031904109
8/18/2008,162.26,162.68,159.7,160.04,7421100,148.37,0.018318171
8/19/2008,158.49,161.75,156.9,158,8966300,146.47,0.029984544
8/20/2008,158.13,160.44,155.3,158.25,9443400,146.71,0.032036899
8/21/2008,155.79,158,152.59,156.42,14534400,145.01,0.034240506
8/22/2008,159.99,160.81,156.8,159.81,8321000,148.15,0.02493626
8/25/2008,158.59,158.66,155.11,155.71,6122500,144.35,0.02237489
8/26/2008,155.51,157.86,153.38,155.91,5995500,144.54,0.028379577
8/27/2008,154.71,155.88,153.41,155.48,6660200,144.14,0.015845522
8/28/2008,157.24,161.83,156.67,161.83,8565800,150.03,0.031885312
8/29/2008,160.56,165,160.27,163.97,7586300,152.01,0.028666667
9/2/2008,167.5,168.91,162.7,165.32,8212100,153.26,0.036765141
9/3/2008,163.97,167.92,162.03,167.61,6673500,155.38,0.035076227
9/4/2008,166.15,167.5,160,160.9,7788700,149.16,0.044776119
9/5/2008,157.77,163.71,157.72,163.24,7539000,151.33,0.03658909
9/8/2008,171,172.45,162.51,169.73,14981500,157.35,0.057639896
9/9/2008,167.3,168.38,160.5,161.67,12437500,149.88,0.046798907
9/10/2008,159.9,161,155.73,157.59,12939000,146.09,0.032732919
9/11/2008,151.36,159.42,149.87,157.03,20752800,145.58,0.059904654
9/12/2008,154.38,161.77,152.35,154.21,15622500,142.96,0.058230822
9/15/2008,142.28,151.4,130.43,135.5,42202300,125.62,0.138507266
9/16/2008,118,135.29,116.13,133.01,48296400,123.31,0.141621702
9/17/2008,120.8,126.6,97.78,114.5,112060400,106.15,0.22764613
9/18/2008,106,120,86.31,108,114590700,100.12,0.28075
9/19/2008,142.51,144.98,116,129.8,43208300,120.33,0.19988964
9/22/2008,132.78,135.64,120.43,120.78,21938700,111.97,0.112135063
9/23/2008,118.89,125.95,113.01,125.05,20037600,115.93,0.102739182
9/24/2008,128.44,133.7,126.02,133,46611300,123.3,0.057442034
9/25/2008,134.25,137.99,128.76,135.5,19172100,125.62,0.066888905
9/26/2008,132.49,137.99,129.51,137.99,15806400,127.92,0.061453729
9/29/2008,134.49,134.62,105,120.7,24147600,111.9,0.220026742
9/30/2008,126.89,130,124.5,128,13129900,118.66,0.042307692
10/1/2008,127.32,135.35,124.99,134.5,13837100,124.69,0.076542298
10/2/2008,132.17,133.21,128.05,131.54,10894700,121.94,0.038735831
10/3/2008,132.84,142,126.94,128,16080700,118.66,0.106056338
