Date,Open,High,Low,Close,Volume,Adj Close
2014-10-03,188.11,189.37,187.56,188.67,3071500,188.67
2014-10-02,187.66,187.78,186.24,186.91,2283100,186.91
2014-10-01,189.91,190.40,186.79,187.17,3705400,187.17
2014-09-30,189.64,190.85,189.15,189.83,2870300,189.83
2014-09-29,188.51,189.96,188.12,189.64,2336300,189.64
2014-09-26,188.93,190.33,188.61,190.06,2493900,190.06
2014-09-25,192.05,192.50,188.97,189.01,4151400,189.01
2014-09-24,191.00,192.45,189.88,192.31,3082600,192.31
2014-09-23,192.75,193.07,191.52,191.62,3301800,191.62
2014-09-22,193.72,194.14,192.63,193.11,3288500,193.11
2014-09-19,194.54,195.00,193.19,194.00,8852000,194.00
2014-09-18,192.79,194.13,192.71,193.75,2963300,193.75
2014-09-17,193.22,193.64,192.30,192.80,3210800,192.80
2014-09-16,191.25,193.57,190.82,192.96,2561500,192.96
2014-09-15,191.42,192.49,190.58,191.81,2456400,191.81
2014-09-12,191.47,191.60,190.57,191.28,2901000,191.28
2014-09-11,191.08,192.78,190.12,191.72,2298500,191.72
2014-09-10,190.12,192.15,190.10,191.54,2764000,191.54
2014-09-09,190.34,190.74,189.78,189.99,2390400,189.99
2014-09-08,190.75,191.20,189.51,190.14,2524200,190.14
2014-09-05,190.53,191.75,190.09,191.20,2260200,191.20
2014-09-04,191.69,192.69,190.06,190.68,2865000,190.68
2014-09-03,192.39,192.95,191.86,191.95,1822800,191.95
2014-09-02,192.68,192.97,190.93,191.56,2679700,191.56
2014-08-29,192.28,192.75,191.14,192.30,2909400,192.30
2014-08-28,191.47,192.30,190.66,192.00,1503600,192.00
2014-08-27,193.03,194.13,191.56,192.25,2190200,192.25
2014-08-26,191.02,193.53,191.02,192.99,3160900,192.99
2014-08-25,191.39,191.81,190.71,191.16,1723600,191.16
2014-08-22,190.77,191.88,190.29,190.41,1940300,190.41
2014-08-21,190.90,192.07,190.50,191.23,2496500,191.23
2014-08-20,189.86,190.39,189.25,190.10,2177600,190.10
2014-08-19,190.04,190.25,189.36,190.07,2040100,190.07
2014-08-18,188.10,189.81,187.76,189.36,2420300,189.36
2014-08-15,187.85,188.88,186.79,187.38,2814800,187.38
2014-08-14,187.57,188.17,186.93,187.88,1929500,187.88
2014-08-13,188.00,188.48,187.37,187.95,1797000,187.95
2014-08-12,187.45,188.69,186.81,187.34,1858600,187.34
2014-08-11,187.81,188.36,186.28,187.47,2527200,187.47
2014-08-08,184.40,186.67,183.58,186.63,2781500,186.63
2014-08-07,186.64,186.68,183.58,184.30,2708600,184.30
2014-08-06,185.36,186.88,184.44,185.97,3847000,185.97
2014-08-05,188.75,189.20,186.44,187.10,3307900,186.00
2014-08-04,189.35,189.95,188.60,189.64,2125900,188.53
2014-08-01,190.50,191.50,188.86,189.15,5181100,188.04
2014-07-31,192.84,194.29,191.54,191.67,4207500,190.54
2014-07-30,195.20,195.99,192.90,194.00,3943800,192.86
2014-07-29,195.30,195.89,194.54,194.57,3264100,193.43
2014-07-28,194.30,196.40,193.65,195.78,3242400,194.63
2014-07-25,195.30,195.90,193.79,194.40,3376400,193.26
2014-07-24,193.95,195.62,193.75,195.24,3612700,194.09
2014-07-23,194.11,194.90,193.57,193.63,3584200,192.49
2014-07-22,191.59,194.72,191.56,194.09,4853000,192.95
2014-07-21,191.30,191.70,189.25,190.85,4154400,189.73
2014-07-18,191.96,193.44,190.00,192.50,8166400,191.37
2014-07-17,192.36,195.95,192.00,192.49,8872300,191.36
2014-07-16,192.24,193.36,190.76,192.36,7812600,191.23
2014-07-15,189.54,190.08,188.21,188.49,4864700,187.38
2014-07-14,188.55,190.44,188.53,189.86,4501100,188.74
2014-07-11,187.73,188.35,186.71,188.00,2402500,186.89
2014-07-10,186.44,188.05,186.21,187.70,3177800,186.60
2014-07-09,187.68,188.90,186.89,188.42,3309600,187.31
2014-07-08,187.65,188.08,186.37,187.22,3135100,186.12
2014-07-07,187.61,188.27,187.44,188.04,2958700,186.93
2014-07-03,188.39,188.81,187.35,188.53,2422400,187.42
2014-07-02,186.34,188.99,186.17,188.39,5093000,187.28
2014-07-01,181.70,187.27,181.70,186.35,6643100,185.25
2014-06-30,181.33,181.93,180.26,181.27,4223800,180.20
2014-06-27,179.77,182.46,179.66,181.71,4575500,180.64
2014-06-26,180.87,181.37,179.27,180.37,3258500,179.31
2014-06-25,180.25,180.97,180.06,180.72,2762800,179.66
2014-06-24,181.50,183.00,180.65,180.88,3875400,179.82
2014-06-23,181.92,182.25,181.00,182.14,3231700,181.07
2014-06-20,182.59,182.67,181.40,181.55,10686800,180.48
2014-06-19,184.12,184.47,182.36,182.82,3551100,181.75
2014-06-18,182.04,183.61,181.79,183.60,3931800,182.52
2014-06-17,181.90,182.81,181.56,182.26,2460900,181.19
2014-06-16,182.40,182.71,181.24,182.35,3556200,181.28
2014-06-13,182.00,183.00,181.52,182.56,2773600,181.49
2014-06-12,182.48,182.55,180.91,181.22,4425300,180.15
2014-06-11,183.61,184.20,182.01,182.25,4061700,181.18
2014-06-10,186.20,186.22,183.82,184.29,4154900,183.21
2014-06-09,186.22,187.64,185.96,186.22,2728400,185.13
2014-06-06,186.47,187.65,185.90,186.37,3296700,185.27
2014-06-05,184.66,186.09,183.92,185.98,2852200,184.89
2014-06-04,184.71,185.45,184.20,184.51,2376800,183.43
2014-06-03,185.55,185.76,184.12,184.37,2517100,183.29
2014-06-02,184.76,186.28,184.67,185.69,3200500,184.60
2014-05-30,183.38,184.57,182.49,184.36,4620500,183.28
2014-05-29,183.64,183.78,182.33,183.76,2759900,182.68
2014-05-28,184.48,184.88,182.94,183.08,3721600,182.00
2014-05-27,184.80,185.65,183.93,184.78,4793800,183.69
2014-05-23,185.84,186.14,185.31,185.94,2562900,184.85
2014-05-22,186.45,186.45,185.03,185.68,2218000,184.59
2014-05-21,185.85,187.16,184.95,186.39,2988000,185.29
2014-05-20,186.25,186.70,184.70,184.89,3026500,183.80
2014-05-19,186.61,187.13,186.04,187.00,3270700,185.90
2014-05-16,186.27,187.41,185.93,187.06,3949500,185.96
2014-05-15,189.07,189.08,186.18,186.46,4202200,185.36
2014-05-14,191.91,191.99,188.17,188.72,5251500,187.61
2014-05-13,192.79,193.03,191.76,192.19,2226600,191.06
2014-05-12,191.12,193.02,190.94,192.57,3777400,191.44
2014-05-09,188.98,190.59,188.37,190.08,2261600,188.96
2014-05-08,189.16,190.57,188.23,188.91,2431900,187.80
2014-05-07,189.34,190.30,186.93,189.30,3821000,188.19
2014-05-06,190.93,190.95,189.25,190.03,3188700,187.82
2014-05-05,191.05,191.49,189.80,191.26,2222100,189.03
2014-05-02,193.75,193.84,191.25,191.44,3049900,189.21
2014-05-01,196.31,196.74,193.15,193.53,3674000,191.28
2014-04-30,194.38,196.86,194.35,196.47,4206800,194.18
2014-04-29,193.59,195.94,193.41,195.11,4626300,192.84
2014-04-28,191.14,193.99,190.58,193.14,5638300,190.89
2014-04-25,190.54,190.67,189.11,189.63,3871000,187.42
2014-04-24,192.22,192.22,190.03,190.22,4407100,188.01
2014-04-23,191.79,192.41,190.11,191.73,4736400,189.50
2014-04-22,192.01,193.00,191.20,192.15,3878600,189.91
2014-04-21,189.80,192.81,189.74,192.27,5419700,190.03
2014-04-17,187.25,190.70,187.01,190.01,11255500,187.80
2014-04-16,198.05,198.71,195.00,196.40,8527300,194.12
2014-04-15,195.98,197.41,195.42,197.02,5351300,194.73
2014-04-14,196.24,198.24,195.88,197.77,5431100,195.47
2014-04-11,195.04,197.00,194.27,195.19,4835000,192.92
2014-04-10,196.06,199.21,195.66,195.68,8417900,193.40
2014-04-09,193.88,197.00,193.60,196.64,5480100,194.35
2014-04-08,193.89,194.17,192.69,193.29,5125000,191.04
2014-04-07,191.72,195.31,191.57,194.52,6740500,192.26
2014-04-04,193.12,193.97,191.28,191.77,6089900,189.54
2014-04-03,193.20,193.38,192.35,192.69,4091100,190.45
2014-04-02,194.24,194.50,192.49,193.55,4924100,191.30
2014-04-01,193.12,195.13,192.78,194.50,5394100,192.24
