Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,75.19,75.22,74.49,74.72,513000,74.72
2013-12-30,74.41,75.30,74.41,75.04,267900,75.04
2013-12-27,75.18,75.18,74.35,74.91,268500,74.91
2013-12-26,74.90,75.36,74.64,74.92,326400,74.92
2013-12-24,74.53,74.95,74.53,74.82,236800,74.82
2013-12-23,74.97,75.16,74.60,74.73,539100,74.73
2013-12-20,74.90,75.33,74.81,75.26,443400,74.53
2013-12-19,75.85,75.85,74.43,74.90,444400,74.17
2013-12-18,74.72,76.10,73.87,76.04,662600,75.30
2013-12-17,74.35,74.89,74.08,74.69,358100,73.96
2013-12-16,74.40,74.58,74.02,74.38,307000,73.65
2013-12-13,74.27,75.25,74.00,74.27,311400,73.54
2013-12-12,74.55,74.65,73.91,74.04,284500,73.32
2013-12-11,76.38,76.38,74.53,74.53,334400,73.80
2013-12-10,76.29,76.59,76.28,76.29,163000,75.54
2013-12-09,75.86,76.41,75.66,76.31,310400,75.56
2013-12-06,75.87,76.06,75.47,76.03,414000,75.29
2013-12-05,74.94,75.46,74.44,75.31,238800,74.57
2013-12-04,74.02,75.39,73.88,74.94,420200,74.21
2013-12-03,74.61,74.96,74.31,74.63,246000,73.90
2013-12-02,75.03,75.43,74.44,74.73,307700,74.00
2013-11-29,76.08,76.08,75.10,75.17,436300,74.44
2013-11-27,75.36,76.07,75.21,75.97,185200,75.23
2013-11-26,75.59,75.64,75.18,75.31,180500,74.57
2013-11-25,76.16,76.25,75.55,75.61,315600,74.87
2013-11-22,76.56,76.56,75.82,76.09,145600,75.35
2013-11-21,76.12,76.69,75.85,76.59,210400,75.84
2013-11-20,76.97,77.58,75.71,76.00,185300,75.26
2013-11-19,77.34,77.47,76.65,76.81,229100,76.06
2013-11-18,78.04,78.16,77.41,77.47,154400,76.71
2013-11-15,77.78,78.17,77.56,77.96,249500,77.20
2013-11-14,76.91,78.30,76.91,77.78,444100,77.02
2013-11-13,76.53,77.15,76.13,77.12,726200,76.37
2013-11-12,77.07,77.07,76.14,76.68,253100,75.93
2013-11-11,77.06,77.72,76.95,77.25,190700,76.50
2013-11-08,77.51,77.73,75.90,77.18,404100,76.43
2013-11-07,79.42,79.42,77.99,78.07,433500,77.31
2013-11-06,79.15,79.79,78.99,79.16,265000,78.39
2013-11-05,80.19,80.19,78.92,79.04,271200,78.27
2013-11-04,80.59,80.59,79.77,80.53,249500,79.74
2013-11-01,79.86,80.50,79.51,80.40,215000,79.61
2013-10-31,80.29,80.47,79.19,79.65,192700,78.87
2013-10-30,81.14,81.17,79.84,80.19,196500,79.41
2013-10-29,81.36,81.76,80.52,81.00,170900,80.21
2013-10-28,82.31,82.31,80.82,81.55,134500,80.75
2013-10-25,81.43,82.38,81.22,82.31,129500,81.51
2013-10-24,81.39,81.39,80.80,81.17,80100,80.38
2013-10-23,81.20,81.50,80.80,81.32,133100,80.53
2013-10-22,80.73,81.78,80.61,81.47,192500,80.67
2013-10-21,81.00,81.01,80.30,80.58,145100,79.79
2013-10-18,81.62,81.68,80.77,81.17,225600,80.38
2013-10-17,80.12,81.57,80.01,81.47,687500,80.67
2013-10-16,78.94,80.38,78.94,80.32,245600,79.54
2013-10-15,78.92,79.35,77.27,78.69,753300,77.92
2013-10-14,78.59,79.03,78.27,79.01,143300,78.24
2013-10-11,78.09,79.09,77.79,79.09,348600,78.32
2013-10-10,76.82,78.33,76.76,78.27,152800,77.51
2013-10-09,76.34,77.04,76.15,76.29,168000,75.54
2013-10-08,76.99,77.29,76.22,76.26,265000,75.52
2013-10-07,76.32,77.37,75.90,76.99,113500,76.24
2013-10-04,76.81,77.33,76.18,76.73,127900,75.98
2013-10-03,78.00,78.18,76.46,76.84,202100,76.09
2013-10-02,77.87,78.34,77.35,78.28,225300,77.52
2013-10-01,76.95,78.85,76.87,78.15,241900,77.39
2013-09-30,77.44,78.17,76.70,76.88,204600,76.13
2013-09-27,78.03,78.39,77.34,77.80,208500,77.04
2013-09-26,77.90,78.31,77.71,78.22,184400,77.46
2013-09-25,77.51,78.38,77.16,77.71,528800,76.95
2013-09-24,78.41,78.41,77.50,77.59,224400,76.83
2013-09-23,79.56,79.82,78.84,78.89,633500,77.50
2013-09-20,81.01,81.08,79.42,79.43,279100,78.03
2013-09-19,81.42,82.08,80.98,81.00,374500,79.57
2013-09-18,78.19,81.27,77.42,81.24,383300,79.81
2013-09-17,78.38,79.01,78.21,78.36,272000,76.98
2013-09-16,81.67,81.67,78.15,78.42,345800,77.04
2013-09-13,77.65,77.65,77.11,77.43,158900,76.06
2013-09-12,77.88,78.34,77.17,77.23,308500,75.87
2013-09-11,77.28,77.87,77.23,77.87,187000,76.50
2013-09-10,77.68,77.75,76.59,77.31,366500,75.95
2013-09-09,75.89,77.39,75.81,77.38,296200,76.02
2013-09-06,75.01,76.38,75.01,75.78,240500,74.44
2013-09-05,75.27,75.35,74.39,74.44,239700,73.13
2013-09-04,74.72,75.63,74.38,75.27,561300,73.94
2013-09-03,75.82,76.15,74.04,74.76,350800,73.44
2013-08-30,75.79,76.24,75.21,75.42,471400,74.09
2013-08-29,75.72,75.83,75.08,75.79,271400,74.45
2013-08-28,75.92,76.24,75.57,75.80,275700,74.46
2013-08-27,75.67,76.41,75.56,76.10,301900,74.76
2013-08-26,76.66,76.74,76.19,76.35,190900,75.00
2013-08-23,75.86,76.58,75.51,76.56,390100,75.21
2013-08-22,75.58,75.83,74.88,75.77,388900,74.43
2013-08-21,75.05,76.54,74.28,75.36,323800,74.03
2013-08-20,73.99,75.72,73.99,75.48,352900,74.15
2013-08-19,74.39,74.67,73.78,73.78,366900,72.48
2013-08-16,76.17,76.43,74.55,74.62,438200,73.30
2013-08-15,76.89,77.40,76.24,76.48,638800,75.13
2013-08-14,78.10,78.45,77.93,77.97,398200,76.59
2013-08-13,79.77,79.77,78.11,78.31,338300,76.93
2013-08-12,79.84,79.84,79.13,79.44,377300,78.04
2013-08-09,79.26,80.63,79.00,80.17,310100,78.76
2013-08-08,79.83,79.91,79.07,79.51,471000,78.11
2013-08-07,79.77,79.90,79.11,79.56,416700,78.16
2013-08-06,79.96,80.50,79.66,79.81,343600,78.40
2013-08-05,80.00,80.40,79.85,80.06,442800,78.65
2013-08-02,80.51,80.98,80.01,80.22,310700,78.81
2013-08-01,81.17,81.30,80.35,80.51,490700,79.09
2013-07-31,82.17,82.38,80.06,80.82,349900,79.39
2013-07-30,82.66,83.24,81.92,82.14,272600,80.69
2013-07-29,82.93,83.22,82.33,82.42,147900,80.97
2013-07-26,83.03,83.24,82.36,83.08,151800,81.61
