Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,35.28,35.38,35.14,35.32,5399100,35.32
2013-12-30,35.76,35.83,35.49,35.53,3041900,35.53
2013-12-27,35.86,36.07,35.82,35.84,3793000,35.84
2013-12-26,35.25,35.69,35.25,35.65,2859700,35.65
2013-12-24,35.46,35.55,35.46,35.49,919800,35.49
2013-12-23,35.43,35.50,35.32,35.36,2273900,35.36
2013-12-20,35.43,35.59,35.28,35.48,3228600,35.48
2013-12-19,35.29,35.62,35.23,35.32,6204600,35.32
2013-12-18,35.05,35.19,34.90,35.03,4361000,35.03
2013-12-17,35.05,35.14,34.83,34.87,2228700,34.87
2013-12-16,34.90,35.08,34.88,34.94,3975900,34.94
2013-12-13,34.71,34.85,34.57,34.64,6217500,34.64
2013-12-12,35.14,35.16,34.96,34.97,4328100,34.97
2013-12-11,35.15,35.26,34.88,34.98,7297700,34.98
2013-12-10,35.30,35.35,35.06,35.31,5743300,35.31
2013-12-09,35.10,35.11,34.91,34.91,5699700,34.91
2013-12-06,34.92,35.08,34.87,35.05,2713800,35.05
2013-12-05,34.94,35.17,34.90,34.93,4896500,34.93
2013-12-04,34.76,35.02,34.57,34.88,9551500,34.88
2013-12-03,33.80,34.53,33.80,34.51,14014800,34.51
2013-12-02,33.47,33.76,33.42,33.68,4298200,33.68
2013-11-29,33.32,33.70,33.32,33.46,3870000,33.46
2013-11-27,33.18,33.23,32.95,33.19,7847400,33.19
2013-11-26,33.78,33.86,33.58,33.69,3262700,33.69
2013-11-25,33.64,33.92,33.59,33.82,5226600,33.82
2013-11-22,34.10,34.20,33.77,34.04,5740000,34.04
2013-11-21,33.96,34.32,33.81,34.17,5488600,34.17
2013-11-20,33.78,33.88,33.48,33.63,5168000,33.63
2013-11-19,33.68,33.79,33.48,33.72,3968700,33.72
2013-11-18,33.90,34.08,33.53,33.62,5333000,33.62
2013-11-15,34.05,34.05,33.84,33.88,3964500,33.88
2013-11-14,33.68,34.12,33.45,33.93,6325300,33.93
2013-11-13,33.85,34.13,33.76,33.90,3965600,33.90
2013-11-12,34.11,34.30,33.50,33.64,7539200,33.64
2013-11-11,34.03,34.36,33.99,34.26,2533500,34.26
2013-11-08,34.08,34.21,33.87,34.01,3722200,34.01
2013-11-07,34.04,34.06,33.81,33.97,4754500,33.97
2013-11-06,33.86,34.37,33.86,34.19,9995400,34.19
2013-11-05,33.93,33.99,33.55,33.67,6565300,33.67
2013-11-04,34.06,34.28,34.02,34.04,4571600,34.04
2013-11-01,34.45,34.45,34.02,34.13,9774900,34.13
2013-10-31,34.78,34.97,34.61,34.69,5100200,34.69
2013-10-30,35.07,35.13,34.81,34.85,5929200,34.85
2013-10-29,35.39,35.49,35.29,35.41,2333100,35.41
2013-10-28,35.28,35.61,35.20,35.55,4293400,35.55
2013-10-25,35.06,35.35,35.01,35.32,3832900,35.32
2013-10-24,34.68,35.05,34.59,34.99,5583100,34.99
2013-10-23,34.78,35.13,34.67,34.95,12477900,34.95
2013-10-22,35.98,36.15,35.39,35.41,10216300,35.41
2013-10-21,36.23,36.31,35.85,35.94,4922200,35.94
2013-10-18,36.56,36.59,36.34,36.45,4157200,36.45
2013-10-17,36.50,36.57,36.13,36.38,9756900,36.38
2013-10-16,36.62,37.18,36.58,36.92,4902600,36.92
2013-10-15,36.65,36.87,36.45,36.47,5475100,36.47
2013-10-14,36.66,37.02,36.55,36.87,2665400,36.87
2013-10-11,36.46,36.84,36.42,36.75,6146800,36.75
2013-10-10,36.58,37.29,36.53,37.10,6817800,37.10
2013-10-09,36.88,36.96,36.45,36.55,10998900,36.55
2013-10-08,37.38,37.49,37.22,37.31,3451300,37.31
2013-10-07,36.79,37.36,36.70,37.14,4606500,37.14
2013-10-04,37.44,37.53,37.21,37.31,2772300,37.31
2013-10-03,37.58,37.59,37.06,37.14,4842500,37.14
2013-10-02,36.68,37.54,36.58,37.42,11026400,37.42
2013-10-01,36.61,36.79,36.41,36.68,6338200,36.68
2013-09-30,36.48,37.02,36.40,36.85,5326500,36.85
2013-09-27,37.05,37.38,36.91,36.96,4181700,36.96
2013-09-26,37.04,37.17,36.89,37.08,2942700,37.08
2013-09-25,37.29,37.35,36.82,36.88,4913600,36.88
2013-09-24,37.05,37.30,36.85,37.22,5837700,37.22
2013-09-23,37.33,37.46,37.16,37.27,5853200,37.27
2013-09-20,37.97,38.18,37.65,37.77,5630500,37.77
2013-09-19,38.56,38.62,38.04,38.08,6891700,38.08
2013-09-18,37.89,38.80,37.81,38.68,7837200,38.68
2013-09-17,37.97,38.02,37.62,37.74,6761700,37.74
2013-09-16,38.25,38.51,38.10,38.11,6052600,38.11
2013-09-13,38.47,38.88,38.36,38.85,3234200,38.85
2013-09-12,38.60,39.01,38.56,38.87,4897300,38.87
2013-09-11,38.49,38.59,38.22,38.48,5546400,38.48
2013-09-10,38.22,38.44,38.03,38.34,10700900,38.34
2013-09-09,39.24,39.36,38.84,38.94,7909900,38.94
2013-09-06,39.08,39.54,39.03,39.36,10433100,39.36
2013-09-05,38.53,38.77,38.30,38.69,4415300,38.69
2013-09-04,38.35,38.55,38.14,38.34,4293200,38.34
2013-09-03,38.25,38.88,38.23,38.76,7917800,38.76
2013-08-30,38.54,38.85,38.21,38.48,10364900,38.48
2013-08-29,39.08,39.33,38.49,38.58,8141800,38.58
2013-08-28,39.22,39.46,39.00,39.08,12930500,39.08
2013-08-27,38.90,39.05,38.72,38.87,14494400,38.87
2013-08-26,37.95,38.01,37.71,37.96,5700600,37.96
2013-08-23,37.41,38.20,37.27,37.95,5943300,37.95
2013-08-22,37.15,37.60,37.09,37.54,4511400,37.54
2013-08-21,37.49,37.52,36.99,37.17,5484900,37.17
2013-08-20,37.69,38.21,37.39,37.52,6767200,37.52
2013-08-19,38.20,38.43,38.06,38.17,3401200,38.17
2013-08-16,38.31,38.57,38.01,38.40,5340900,38.40
2013-08-15,38.31,38.40,37.98,38.24,4559700,38.24
2013-08-14,37.85,38.14,37.65,38.09,5099900,38.09
2013-08-13,37.73,38.07,37.57,37.90,4470300,37.90
2013-08-12,37.40,37.79,37.27,37.76,4306400,37.76
2013-08-09,37.06,37.64,37.03,37.59,7252100,37.59
2013-08-08,36.77,36.86,36.35,36.84,10858100,36.84
2013-08-07,37.27,37.50,37.00,37.01,5931300,37.01
2013-08-06,37.79,37.81,37.27,37.46,6090600,37.46
2013-08-05,37.66,38.05,37.63,37.83,2727400,37.83
2013-08-02,38.07,38.12,37.84,37.94,4404700,37.94
2013-08-01,38.10,38.41,38.06,38.27,8851800,38.27
2013-07-31,36.71,37.42,36.60,37.36,6265400,37.36
2013-07-30,36.90,36.91,36.50,36.67,5248200,36.67
2013-07-29,37.30,37.38,37.00,37.13,2720400,37.13
2013-07-26,37.38,37.39,36.94,37.21,3200300,37.21
2013-07-25,37.42,37.63,37.00,37.58,5201600,37.58
2013-07-24,37.86,38.01,37.25,37.40,7193900,37.40
2013-07-23,37.74,38.19,37.72,38.09,4616400,38.09
2013-07-22,38.32,38.38,37.86,37.92,6416600,37.92
2013-07-19,38.61,38.62,38.01,38.45,6041100,38.45
2013-07-18,37.93,38.46,37.93,38.34,4838600,38.34
2013-07-17,37.58,37.84,37.48,37.80,3291000,37.80
2013-07-16,37.77,37.80,37.47,37.48,3229900,37.48
2013-07-15,37.37,37.76,37.36,37.67,4741900,37.67
2013-07-12,37.30,37.60,37.11,37.56,5606200,37.56
2013-07-11,37.34,37.35,36.88,37.01,8150900,37.01
2013-07-10,37.25,37.64,37.07,37.43,11033400,37.43
2013-07-09,36.37,36.80,36.33,36.77,5712400,36.77
2013-07-08,36.29,36.67,36.22,36.41,4212300,36.41
2013-07-05,36.05,36.59,35.94,36.56,7227600,36.56
2013-07-03,35.93,36.18,35.60,35.84,12203200,35.84
2013-07-02,34.90,35.36,34.86,35.21,8762200,35.21
2013-07-01,34.61,34.80,34.46,34.67,4710100,34.67
2013-06-28,34.43,34.58,34.12,34.18,4738800,34.18
2013-06-27,34.00,34.50,33.92,34.33,6759900,34.33
2013-06-26,33.82,33.88,33.18,33.80,4648800,33.80
2013-06-25,33.92,33.95,33.56,33.74,4527600,33.74
2013-06-24,33.05,33.86,33.00,33.64,6734700,33.64
2013-06-21,33.63,33.69,32.98,33.23,10381300,33.23
2013-06-20,33.98,34.03,33.52,33.63,9095000,33.63
2013-06-19,34.96,35.06,34.63,34.78,3543400,34.78
2013-06-18,34.85,35.02,34.71,34.96,2554600,34.96
2013-06-17,34.86,34.94,34.60,34.76,4296100,34.76
2013-06-14,34.76,34.84,34.63,34.74,6256300,34.74
2013-06-13,33.91,34.41,33.90,34.33,2741700,34.33
2013-06-12,34.10,34.24,33.91,34.03,5527100,34.03
2013-06-11,33.54,33.91,33.50,33.79,4317000,33.79
2013-06-10,33.91,34.09,33.81,34.00,2473600,34.00
2013-06-07,33.40,34.24,33.30,34.16,6812500,34.16
2013-06-06,33.55,33.86,33.52,33.62,5936200,33.62
2013-06-05,33.40,33.55,33.24,33.26,4373900,33.26
2013-06-04,33.00,33.54,32.81,33.20,3633700,33.20
2013-06-03,32.93,33.28,32.79,33.16,4926800,33.16
2013-05-31,32.91,33.11,32.53,32.61,6456700,32.61
2013-05-30,32.75,33.39,32.61,33.25,8960900,33.25
2013-05-29,33.70,33.82,32.98,33.10,9191200,33.10
2013-05-28,34.01,34.04,33.71,33.79,3782500,33.79
2013-05-24,33.17,33.49,33.08,33.37,4149200,33.37
2013-05-23,32.89,33.55,32.76,33.54,9088200,33.54
2013-05-22,33.78,34.10,33.40,33.46,10596600,33.46
2013-05-21,34.38,34.45,34.01,34.11,4424000,34.11
2013-05-20,34.08,34.59,34.02,34.44,3742300,34.44
2013-05-17,34.23,34.29,33.86,34.21,5677900,34.21
2013-05-16,33.68,34.06,33.52,33.87,4835200,33.87
2013-05-15,33.10,33.64,32.84,33.61,9863700,33.61
2013-05-14,33.78,33.93,33.45,33.56,4731000,33.56
2013-05-13,33.91,34.08,33.66,33.86,4362300,33.86
2013-05-10,33.59,34.28,33.28,34.14,7454800,34.14
2013-05-09,34.21,34.37,33.99,34.17,4178500,34.17
2013-05-08,34.20,34.47,34.12,34.40,4918500,34.40
2013-05-07,34.12,34.29,33.83,34.01,4929300,34.01
2013-05-06,33.96,34.30,33.80,34.14,4699200,34.14
2013-05-03,33.90,34.22,33.80,34.01,9565800,34.01
2013-05-02,32.59,33.58,32.54,33.49,7914600,33.49
2013-05-01,32.37,32.56,32.12,32.39,9949000,32.39
2013-04-30,33.64,33.64,33.12,33.16,5015400,33.16
2013-04-29,33.33,33.74,33.21,33.61,4914000,33.61
2013-04-26,33.21,33.29,32.82,33.12,6192000,33.12
2013-04-25,32.56,33.45,32.50,33.25,8305200,33.25
2013-04-24,32.02,32.67,31.99,32.66,6590200,32.66
2013-04-23,31.52,31.87,31.42,31.86,4581600,31.86
2013-04-22,31.62,31.90,31.26,31.82,5680600,31.82
2013-04-19,31.46,31.58,31.30,31.39,4274100,31.39
2013-04-18,31.19,31.64,30.87,31.64,9367600,31.64
2013-04-17,31.41,31.46,30.79,31.01,10026000,31.01
2013-04-16,31.61,31.82,31.34,31.76,5919900,31.76
2013-04-15,31.94,32.02,31.44,31.49,10887200,31.49
2013-04-12,32.74,32.86,32.31,32.53,10147800,32.53
2013-04-11,33.71,33.77,33.29,33.46,4188100,33.46
2013-04-10,33.54,33.92,33.46,33.83,3904900,33.83
2013-04-09,33.33,33.80,33.23,33.64,3646500,33.64
2013-04-08,33.31,33.50,33.09,33.49,3063800,33.49
2013-04-05,33.08,33.31,32.92,33.28,5820700,33.28
2013-04-04,33.23,33.61,32.97,33.39,8714700,33.39
2013-04-03,34.63,34.67,33.70,33.76,8728900,33.76
2013-04-02,34.40,34.86,34.38,34.65,4569400,34.65
2013-04-01,34.43,34.74,34.32,34.68,3506200,34.68
2013-03-28,34.59,34.84,34.53,34.75,3501100,34.75
2013-03-27,34.27,34.65,34.21,34.55,4640500,34.55
2013-03-26,34.24,34.51,34.08,34.45,6624600,34.45
2013-03-25,33.89,34.23,33.65,33.85,6512300,33.85
2013-03-22,33.31,33.61,33.12,33.61,3120600,33.61
2013-03-21,33.23,33.43,32.87,33.05,4308400,33.05
2013-03-20,33.43,33.50,33.10,33.45,4502100,33.45
2013-03-19,33.69,33.73,33.05,33.07,6547500,33.07
2013-03-18,33.04,33.75,33.00,33.65,3471500,33.65
2013-03-15,33.61,33.65,33.42,33.60,2490400,33.60
2013-03-14,33.26,33.48,33.23,33.42,2103400,33.42
2013-03-13,33.50,33.56,33.03,33.19,3377400,33.19
2013-03-12,33.46,33.60,33.22,33.26,3393500,33.26
2013-03-11,32.86,33.15,32.70,33.04,1997900,33.04
2013-03-08,32.87,33.10,32.74,33.05,3067500,33.05
2013-03-07,32.76,33.00,32.71,32.94,5622500,32.94
2013-03-06,32.59,32.59,32.23,32.54,4855900,32.54
2013-03-05,32.54,32.74,32.40,32.69,4195700,32.69
2013-03-04,32.60,32.61,32.16,32.40,6009300,32.40
2013-03-01,32.66,32.78,32.41,32.74,4953300,32.74
2013-02-28,33.39,33.50,32.96,33.06,5313000,33.06
2013-02-27,33.25,33.60,33.21,33.40,5019700,33.40
2013-02-26,33.45,33.62,33.18,33.33,6548500,33.33
2013-02-25,33.70,33.75,33.17,33.21,4401300,33.21
2013-02-22,33.44,33.63,33.30,33.60,4511500,33.60
2013-02-21,33.50,33.69,33.35,33.43,7793300,33.43
2013-02-20,34.98,35.04,33.92,34.17,11400700,34.17
2013-02-19,34.66,34.97,34.57,34.96,4226400,34.96
2013-02-15,34.69,35.20,34.48,34.72,7041000,34.72
2013-02-14,35.26,35.38,35.16,35.27,2113900,35.27
2013-02-13,35.42,35.49,34.99,35.19,5132600,35.19
2013-02-12,35.26,35.39,35.17,35.28,2730600,35.28
2013-02-11,34.55,35.14,34.44,35.12,4737100,35.12
2013-02-08,34.88,34.96,34.50,34.70,3134300,34.70
2013-02-07,35.10,35.15,34.59,34.68,3943100,34.68
2013-02-06,34.55,35.10,34.51,35.04,4254000,35.04
2013-02-05,35.05,35.14,34.95,35.03,3171500,35.03
2013-02-04,34.89,35.07,34.71,34.78,5119900,34.78
2013-02-01,35.02,35.52,34.94,35.35,5387500,35.35
2013-01-31,35.16,35.35,35.12,35.28,4417800,35.28
2013-01-30,35.42,35.53,35.24,35.49,5432400,35.49
2013-01-29,35.19,35.41,35.06,35.29,5911200,35.29
2013-01-28,34.96,34.99,34.57,34.94,3657800,34.94
2013-01-25,34.87,34.92,34.54,34.78,3823000,34.78
2013-01-24,34.80,35.00,34.69,34.76,4813600,34.76
2013-01-23,34.92,35.01,34.38,34.61,6150300,34.61
2013-01-22,34.82,35.09,34.75,35.01,4393500,35.01
2013-01-18,34.70,34.81,34.54,34.77,3997500,34.77
2013-01-17,34.70,34.94,34.60,34.67,6644100,34.67
2013-01-16,34.04,34.33,33.96,34.28,4235400,34.28
2013-01-15,34.25,34.27,33.92,33.99,2991700,33.99
2013-01-14,34.12,34.31,33.83,34.28,3146900,34.28
2013-01-11,33.87,34.11,33.70,34.06,3560300,34.06
2013-01-10,34.28,34.32,34.06,34.17,3457900,34.17
2013-01-09,33.95,34.07,33.74,33.88,2752600,33.88
2013-01-08,34.01,34.03,33.73,33.96,3841500,33.96
2013-01-07,33.72,33.97,33.63,33.92,2853400,33.92
2013-01-04,33.70,33.89,33.57,33.88,5940900,33.88
2013-01-03,33.85,33.95,33.70,33.74,3915400,33.74
2013-01-02,34.00,34.09,33.70,33.82,5544800,33.82
2012-12-31,32.90,33.47,32.89,33.37,4750100,33.37
2012-12-28,33.18,33.26,32.88,33.04,4069100,33.04
2012-12-27,33.17,33.22,32.77,33.19,3909400,33.19
2012-12-26,33.05,33.23,32.92,33.15,5560400,33.15
2012-12-24,32.19,32.25,32.11,32.24,1541600,32.24
2012-12-21,32.16,32.36,32.02,32.36,6278500,32.36
2012-12-20,32.63,32.95,32.56,32.73,3195900,32.73
2012-12-19,32.26,32.88,32.21,32.67,5515200,32.67
2012-12-18,32.10,32.27,31.92,32.18,3494600,32.18
2012-12-17,31.85,32.10,31.83,32.01,2790100,32.01
2012-12-14,31.65,31.82,31.55,31.81,2527000,31.81
2012-12-13,31.62,31.86,31.44,31.58,2738100,31.58
2012-12-12,31.85,32.11,31.54,31.78,6033600,31.78
2012-12-11,31.42,31.49,31.22,31.47,4883300,31.47
2012-12-10,31.65,31.74,31.26,31.39,3165500,31.39
2012-12-07,31.68,31.75,31.45,31.53,3483600,31.53
2012-12-06,31.74,31.83,31.41,31.66,6449400,31.66
2012-12-05,32.40,32.46,32.06,32.22,4802100,32.22
2012-12-04,32.23,32.57,32.16,32.40,3167500,32.40
2012-12-03,33.04,33.11,32.53,32.60,5152600,32.60
2012-11-30,32.37,32.62,32.33,32.56,3811900,32.56
2012-11-29,32.42,32.51,32.11,32.17,5670600,32.17
2012-11-28,31.37,31.80,31.29,31.79,6680400,31.79
2012-11-27,32.12,32.23,31.83,31.98,4624300,31.98
2012-11-26,32.06,32.24,32.00,32.19,2919200,32.19
2012-11-23,32.10,32.45,32.10,32.32,2181900,32.32
2012-11-21,32.00,32.17,31.68,32.12,9170100,32.12
2012-11-20,32.41,32.53,31.59,31.95,16924600,31.95
2012-11-19,32.52,32.93,32.50,32.67,9312500,32.67
2012-11-16,31.82,32.05,31.63,31.93,10099100,31.93
2012-11-15,31.94,31.99,31.20,31.49,11982900,31.49
2012-11-14,31.52,31.92,31.39,31.77,11898600,31.77
2012-11-13,31.31,31.69,31.27,31.41,6217700,31.41
2012-11-12,31.73,31.91,31.46,31.59,4970600,31.59
2012-11-09,31.31,31.99,31.28,31.73,6885400,31.73
2012-11-08,31.30,31.53,31.08,31.30,7545600,31.30
2012-11-07,31.98,32.13,31.00,31.21,14121100,31.21
2012-11-06,31.93,32.88,31.75,32.56,9763600,32.56
2012-11-05,31.38,31.68,31.29,31.61,6981200,31.61
2012-11-02,31.95,31.96,31.23,31.35,8000900,31.35
2012-11-01,31.85,32.25,31.77,32.06,7899100,32.06
2012-10-31,31.81,32.17,31.70,31.78,5258000,31.78
2012-10-26,31.65,31.86,31.56,31.79,7962600,31.79
2012-10-25,31.90,31.94,31.45,31.78,8489600,31.78
2012-10-24,31.88,31.96,31.35,31.63,13591100,31.63
2012-10-23,32.14,32.15,31.62,31.97,14037500,31.97
2012-10-22,33.31,33.42,32.68,32.90,17213400,32.90
2012-10-19,34.45,34.46,33.27,33.34,12271300,33.34
2012-10-18,33.75,34.31,33.64,34.07,8306800,34.07
2012-10-17,34.28,34.42,33.94,34.10,5150000,34.10
2012-10-16,33.94,34.20,33.90,34.13,6138300,34.13
2012-10-15,33.62,34.12,33.31,34.00,10542400,34.00
2012-10-12,34.16,34.34,33.79,34.00,4685500,34.00
2012-10-11,34.27,34.44,33.94,34.29,8009100,34.29
2012-10-10,34.25,34.70,33.73,33.84,8406700,33.84
2012-10-09,33.45,34.43,33.44,34.18,13362800,34.18
2012-10-08,33.11,33.31,33.01,33.22,3546500,33.22
2012-10-05,33.70,33.70,33.00,33.35,7233000,33.35
2012-10-04,32.99,34.04,32.88,33.94,12085500,33.94
2012-10-03,33.57,33.59,32.52,32.61,16350900,32.61
2012-10-02,34.35,34.38,33.99,34.02,4715800,34.02
2012-10-01,34.45,34.60,34.15,34.25,6005100,34.25
2012-09-28,34.11,34.28,33.91,34.12,5524200,34.12
2012-09-27,33.83,34.25,33.68,34.15,7854200,34.15
2012-09-26,33.50,33.51,32.98,33.34,11275400,33.34
2012-09-25,34.31,34.50,33.75,33.75,5975400,33.75
2012-09-24,34.01,34.15,33.77,34.09,5414600,34.09
2012-09-21,34.62,34.74,34.35,34.49,7118500,34.49
2012-09-20,34.08,34.51,34.00,34.51,8541800,34.51
2012-09-19,34.95,34.96,33.96,34.12,21758500,34.12
2012-09-18,35.78,35.94,35.39,35.57,8091900,35.57
2012-09-17,36.86,37.02,35.23,35.75,24872100,35.75
2012-09-14,36.96,37.17,36.65,36.84,7355700,36.84
2012-09-13,36.57,36.61,35.91,36.51,9560300,36.51
2012-09-12,36.17,36.28,35.97,36.04,5777700,36.04
2012-09-11,36.10,36.20,35.95,36.11,5879100,36.11
2012-09-10,35.64,35.97,35.54,35.85,4298800,35.85
2012-09-07,35.47,36.00,35.01,35.88,10436700,35.88
2012-09-06,35.99,36.36,35.23,35.23,12623300,35.23
2012-09-05,35.47,35.59,35.09,35.57,6826200,35.57
2012-09-04,35.96,35.98,35.35,35.51,6593100,35.51
2012-08-31,35.87,36.08,35.33,35.89,8277800,35.89
2012-08-30,35.41,35.45,34.97,35.26,5136100,35.26
2012-08-29,35.74,35.74,35.27,35.38,7633500,35.38
2012-08-28,35.73,35.90,35.52,35.79,5587500,35.79
2012-08-27,35.45,35.62,35.14,35.61,7410800,35.61
2012-08-24,35.93,36.17,35.61,35.68,4281800,35.68
2012-08-23,36.35,36.45,35.65,35.76,9755100,35.76
