Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,40.96,41.16,40.68,41.14,13949700,41.14
2013-12-30,40.68,40.92,40.66,40.82,12105200,40.82
2013-12-27,40.46,40.67,40.42,40.67,12732200,40.67
2013-12-26,40.35,40.36,40.14,40.19,8545800,40.19
2013-12-24,40.37,40.51,40.36,40.45,10329600,40.45
2013-12-23,40.21,40.43,40.14,40.24,19991100,40.24
2013-12-20,40.08,40.24,39.91,39.95,21910500,39.95
2013-12-19,40.24,40.39,39.93,40.25,20168300,40.03
2013-12-18,40.46,41.38,39.80,40.93,37865600,40.71
2013-12-17,40.49,40.53,40.20,40.27,15132200,40.05
2013-12-16,40.53,40.85,40.52,40.54,15484000,40.32
2013-12-13,40.36,40.42,40.16,40.34,18957500,40.12
2013-12-12,40.29,40.37,40.02,40.22,19571300,40.00
2013-12-11,41.10,41.11,40.45,40.58,25228300,40.36
2013-12-10,41.18,41.44,41.16,41.42,26049000,41.20
2013-12-09,41.43,41.58,41.32,41.34,15373900,41.12
2013-12-06,41.05,41.45,41.01,41.33,23180700,41.11
2013-12-05,40.48,40.75,40.40,40.43,27715500,40.21
2013-12-04,40.37,40.69,40.16,40.56,29191100,40.34
2013-12-03,40.58,40.87,40.32,40.55,21322000,40.33
2013-12-02,41.38,41.45,40.62,40.70,24138300,40.48
2013-11-29,41.41,41.61,41.35,41.48,8886600,41.26
2013-11-27,40.96,41.23,40.89,41.14,9395600,40.92
2013-11-26,40.84,41.02,40.66,40.88,12566300,40.66
2013-11-25,41.39,41.39,40.81,40.85,15174100,40.63
2013-11-22,41.12,41.44,41.07,41.35,9531100,41.13
2013-11-21,40.98,41.16,40.89,41.09,12720800,40.87
2013-11-20,41.70,41.76,41.01,41.10,25865700,40.88
2013-11-19,42.07,42.11,41.60,41.62,18596600,41.40
2013-11-18,42.14,42.47,41.99,42.02,17858700,41.79
2013-11-15,41.25,41.79,41.25,41.61,18723400,41.39
2013-11-14,40.29,40.95,40.20,40.92,14657100,40.70
2013-11-13,39.80,40.34,39.75,40.26,19114000,40.04
2013-11-12,40.35,40.39,39.86,40.10,18527500,39.88
2013-11-11,40.57,40.62,40.30,40.38,10337900,40.16
2013-11-08,40.45,40.60,40.24,40.57,47208300,40.35
2013-11-07,41.52,41.55,40.63,40.71,19648100,40.49
2013-11-06,41.61,41.64,41.38,41.43,15901700,41.21
2013-11-05,41.56,41.62,41.27,41.28,17095000,41.06
2013-11-04,41.99,42.13,41.96,42.12,12040900,41.89
2013-11-01,41.92,42.05,41.58,41.85,19047400,41.63
2013-10-31,42.36,42.36,41.85,41.87,20353600,41.65
2013-10-30,42.53,42.54,41.94,42.15,17838800,41.92
2013-10-29,42.39,42.45,42.32,42.36,9218500,42.13
2013-10-28,42.08,42.30,42.07,42.24,13861700,42.01
2013-10-25,41.96,42.14,41.81,42.12,14390700,41.89
2013-10-24,42.15,42.17,41.79,41.88,18132700,41.66
2013-10-23,42.26,42.28,41.93,41.97,22265300,41.74
2013-10-22,42.76,43.16,42.72,42.91,19353200,42.68
2013-10-21,42.56,42.62,42.35,42.52,13128700,42.29
2013-10-18,42.69,42.74,42.47,42.50,16546000,42.27
2013-10-17,42.18,42.54,42.10,42.50,17451300,42.27
2013-10-16,42.10,42.40,42.05,42.21,18815300,41.98
2013-10-15,42.15,42.30,41.77,41.91,19654800,41.69
2013-10-14,41.80,42.51,41.71,42.42,15091100,42.19
2013-10-11,41.78,42.19,41.72,42.15,11041300,41.92
2013-10-10,41.58,42.07,41.54,41.98,16318100,41.75
2013-10-09,41.07,41.22,40.70,41.06,20172000,40.84
2013-10-08,41.29,41.34,40.70,40.74,23228800,40.52
2013-10-07,40.97,41.36,40.94,41.13,15935200,40.91
2013-10-04,41.08,41.56,41.01,41.50,14847900,41.28
2013-10-03,41.25,41.37,40.67,40.95,15040400,40.73
2013-10-02,40.72,41.11,40.61,41.06,10574200,40.84
2013-10-01,40.40,40.95,40.39,40.93,16989800,40.71
2013-09-30,40.14,40.31,39.86,40.13,26400200,39.91
2013-09-27,40.72,40.77,40.41,40.52,17579700,40.30
2013-09-26,41.13,41.30,40.85,41.10,11859400,40.88
2013-09-25,41.30,41.31,40.94,40.98,16543200,40.76
2013-09-24,41.45,41.52,41.17,41.23,18014700,41.01
2013-09-23,41.57,41.79,41.45,41.65,22042800,41.43
2013-09-20,42.61,42.61,41.71,41.78,25118500,41.21
2013-09-19,42.89,42.90,42.52,42.80,30950400,42.22
2013-09-18,41.16,43.01,40.94,42.97,30886500,42.39
2013-09-17,41.40,41.43,41.21,41.30,18979700,40.74
2013-09-16,41.52,41.60,41.25,41.33,19618100,40.77
2013-09-13,40.63,40.93,40.56,40.88,19008600,40.32
2013-09-12,40.99,41.00,40.56,40.58,19544100,40.03
2013-09-11,40.91,41.20,40.81,41.12,18174100,40.56
2013-09-10,40.96,41.12,40.85,41.06,30922900,40.50
2013-09-09,40.00,40.81,39.98,40.74,21642900,40.19
2013-09-06,39.56,39.77,39.18,39.58,20473300,39.04
2013-09-05,38.58,39.15,38.52,39.05,18443500,38.52
2013-09-04,38.14,38.56,38.04,38.53,15429300,38.01
2013-09-03,38.21,38.37,37.81,37.94,29742300,37.42
