Date,Open,High,Low,Close,Volume,Adj Close
2013-11-29,106.95,107.45,106.93,106.94,17400,106.94
2013-11-27,105.69,106.00,105.43,105.85,21200,105.85
2013-11-26,104.76,105.57,104.75,105.28,20700,105.28
2013-11-25,104.60,104.93,104.49,104.75,63200,104.75
2013-11-22,103.37,103.92,103.09,103.92,30100,103.92
2013-11-21,103.20,103.48,102.62,103.48,29500,103.48
2013-11-20,104.32,104.41,102.79,103.16,19700,103.16
2013-11-19,104.62,105.05,104.35,104.54,24200,104.54
2013-11-18,105.55,105.70,104.60,104.65,28700,104.65
2013-11-15,105.00,105.29,104.78,105.09,20700,105.09
2013-11-14,104.39,104.96,104.18,104.80,65500,104.80
2013-11-13,101.63,103.23,101.55,103.13,21700,103.13
2013-11-12,102.31,102.70,101.77,101.88,31300,101.88
2013-11-11,101.14,101.92,101.14,101.55,18100,101.55
2013-11-08,100.84,101.28,100.58,101.23,19200,101.23
2013-11-07,102.60,103.25,100.92,100.95,18100,100.95
2013-11-06,102.56,102.99,102.37,102.54,42600,102.54
2013-11-05,101.93,102.28,101.40,101.93,73800,101.93
2013-11-04,102.61,103.15,102.60,103.15,37700,103.15
2013-11-01,103.48,103.76,102.83,103.54,31800,103.54
2013-10-31,103.58,104.18,103.15,103.90,23600,103.90
2013-10-30,104.20,104.55,103.49,103.96,29100,103.96
2013-10-29,104.63,104.77,104.08,104.63,40400,104.63
2013-10-28,103.90,104.65,103.70,104.22,88000,104.22
2013-10-25,104.29,104.29,103.44,103.54,80200,103.54
2013-10-24,102.08,102.32,101.73,102.07,35200,102.07
2013-10-23,102.14,102.30,101.91,102.08,17500,102.08
2013-10-22,101.50,102.55,101.50,101.96,40100,101.96
2013-10-21,100.04,100.56,99.89,100.42,22600,100.42
2013-10-18,100.20,100.50,99.97,100.47,29900,100.47
2013-10-17,99.25,100.00,99.24,100.00,18900,100.00
2013-10-16,98.08,99.05,98.08,98.90,31600,98.90
2013-10-15,97.65,97.75,97.07,97.20,15900,97.20
2013-10-14,96.87,97.52,96.68,97.31,25800,97.31
2013-10-11,96.95,97.32,96.80,97.25,14400,97.25
2013-10-10,96.63,97.48,96.63,97.29,16000,97.29
2013-10-09,94.86,94.88,94.00,94.54,37100,94.54
2013-10-08,95.16,95.51,94.85,94.85,20800,94.85
2013-10-07,94.81,95.68,94.63,95.42,25000,95.42
