Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,554.17,561.28,554,561.02,7967300,557.68
30-Dec-13,557.46,560.09,552.32,554.52,9058200,551.22
27-Dec-13,563.82,564.41,559.5,560.09,8067300,556.76
26-Dec-13,568.1,569.5,563.38,563.9,7286000,560.54
24-Dec-13,569.89,571.88,566.03,567.67,5984100,564.29
23-Dec-13,568,570.72,562.76,570.09,17903800,566.7
20-Dec-13,545.43,551.61,544.82,549.02,15586200,545.75
19-Dec-13,549.5,550,543.73,544.46,11439600,541.22
18-Dec-13,549.7,551.45,538.8,550.77,20209400,547.49
17-Dec-13,555.81,559.44,553.38,554.99,8210800,551.69
16-Dec-13,555.02,562.64,555.01,557.5,10092600,554.18
13-Dec-13,562.85,562.88,553.67,554.43,11886500,551.13
12-Dec-13,562.14,565.34,560.03,560.54,9367500,557.2
11-Dec-13,567,570.97,559.69,561.36,12847100,558.02
10-Dec-13,563.58,567.88,561.2,565.55,9938200,562.18
9-Dec-13,560.9,569.58,560.9,566.43,11446200,563.06
6-Dec-13,565.79,566.75,559.57,560.02,12298300,556.69
5-Dec-13,572.65,575.14,566.41,567.9,15985000,564.52
4-Dec-13,565.5,569.19,560.82,565,13493200,561.64
3-Dec-13,558.3,566.38,557.68,566.32,16106000,562.95
2-Dec-13,558,564.33,550.82,551.23,16876600,547.95
29-Nov-13,549.48,558.33,547.81,556.07,11361700,552.76
27-Nov-13,536.31,546,533.4,545.96,12980300,542.71
26-Nov-13,524.12,536.14,524,533.4,14335100,530.23
25-Nov-13,521.02,525.87,521,523.74,8189700,520.62
22-Nov-13,519.52,522.16,518.53,519.8,7990200,516.71
21-Nov-13,517.6,521.21,513.67,521.14,9358100,518.04
20-Nov-13,519.23,520.42,514.33,515,6925600,511.94
19-Nov-13,519.03,523.38,517.97,519.55,7462100,516.46
18-Nov-13,524.99,527.19,518.2,518.63,8748000,515.54
15-Nov-13,526.58,529.09,524.49,524.99,11354300,521.87
14-Nov-13,522.81,529.28,521.87,528.16,10086400,525.02
13-Nov-13,518,522.25,516.96,520.63,7043600,517.53
12-Nov-13,517.67,523.92,517,520.01,7295600,516.92
11-Nov-13,519.99,521.67,514.41,519.05,8123300,515.96
8-Nov-13,514.58,521.13,512.59,520.56,9975600,517.46
7-Nov-13,519.58,523.19,512.38,512.49,9379300,509.44
6-Nov-13,524.15,524.86,518.2,520.92,7977700,517.82
5-Nov-13,524.58,528.89,523,525.45,9471900,519.29
4-Nov-13,521.1,526.82,518.81,526.75,8736700,520.58
1-Nov-13,524.02,524.8,515.84,520.03,9817500,513.94
31-Oct-13,525,527.49,521.27,522.7,9846300,516.57
30-Oct-13,519.61,527.52,517.02,524.9,12648700,518.75
29-Oct-13,536.27,539.25,514.54,516.68,22707400,510.62
28-Oct-13,529.04,531,523.21,529.88,19658600,523.67
25-Oct-13,531.32,533.23,525.11,525.96,12064000,519.8
24-Oct-13,525,532.47,522.45,531.91,13741600,525.68
23-Oct-13,519,525.67,519,524.96,11204400,518.81
22-Oct-13,526.41,528.45,508.03,519.87,19073700,513.78
21-Oct-13,511.77,524.3,511.52,521.36,14218100,515.25
18-Oct-13,505.99,509.26,505.71,508.89,10376500,502.93
17-Oct-13,499.98,504.78,499.68,504.5,9056900,498.59
16-Oct-13,500.79,502.53,499.23,501.11,8967900,495.24
15-Oct-13,497.51,502,495.52,498.68,11431200,492.84
14-Oct-13,489.83,497.58,489.35,496.04,9353500,490.23
11-Oct-13,486.99,493.84,485.16,492.81,9562100,487.03
10-Oct-13,491.32,492.38,487.04,489.64,9950100,483.9
9-Oct-13,484.64,487.79,478.28,486.59,10775900,480.89
8-Oct-13,489.94,490.64,480.54,480.94,10389900,475.3
7-Oct-13,486.56,492.65,485.35,487.75,11153300,482.03
4-Oct-13,483.86,484.6,478.6,483.03,9245300,477.37
3-Oct-13,490.51,492.35,480.74,483.41,11526900,477.74
2-Oct-13,485.63,491.8,483.75,489.56,10328000,483.82
1-Oct-13,478.45,489.14,478.38,487.96,12638700,482.24
30-Sep-13,477.25,481.66,474.41,476.75,9291300,471.16
27-Sep-13,483.78,484.67,480.72,482.75,8144300,477.09
26-Sep-13,486,488.56,483.9,486.22,8472200,480.52
25-Sep-13,489.2,489.64,481.43,481.53,11319900,475.89
24-Sep-13,494.88,495.47,487.82,489.1,13012300,483.37
23-Sep-13,496.1,496.91,482.6,490.64,27218100,484.89
20-Sep-13,478,478.55,466,467.41,24975100,461.93
19-Sep-13,470.7,475.83,469.25,472.3,14447900,466.76
18-Sep-13,463.18,466.35,460.66,464.68,16316500,459.23
17-Sep-13,447.96,459.71,447.5,455.32,14263600,449.98
16-Sep-13,461,461.61,447.22,450.12,19418100,444.84
13-Sep-13,469.34,471.83,464.7,464.9,10672700,459.45
12-Sep-13,468.5,475.4,466.01,472.69,14430400,467.15
11-Sep-13,467.01,473.69,464.81,467.71,32096300,462.23
10-Sep-13,506.2,507.45,489.5,494.64,26542700,488.84
9-Sep-13,505,507.92,503.48,506.17,12167400,500.24
6-Sep-13,498.44,499.38,489.95,498.22,12840200,492.38
5-Sep-13,500.25,500.68,493.64,495.27,8441700,489.47
4-Sep-13,499.56,502.24,496.28,498.69,12322600,492.85
3-Sep-13,493.1,500.6,487.35,488.58,11854600,482.85
30-Aug-13,492,492.95,486.5,487.22,9724900,481.51
29-Aug-13,491.65,496.5,491.13,491.7,8559200,485.94
28-Aug-13,486,495.8,486,490.9,10986000,485.15
27-Aug-13,498,502.51,486.3,488.59,15149600,482.86
26-Aug-13,500.75,510.2,500.5,502.97,11820200,497.08
23-Aug-13,503.27,503.35,499.35,501.02,7954700,495.15
22-Aug-13,504.98,505.59,498.2,502.96,8721700,497.07
21-Aug-13,503.59,507.15,501.2,502.36,11995700,496.47
20-Aug-13,509.71,510.57,500.82,501.07,12810300,495.2
19-Aug-13,504.34,513.74,504,507.74,18232800,501.79
16-Aug-13,500.15,502.94,498.86,502.33,12939500,496.44
15-Aug-13,496.42,502.4,489.08,497.91,17510500,492.07
14-Aug-13,497.88,504.25,493.4,498.5,27013300,492.66
13-Aug-13,470.94,494.66,468.05,489.57,31497900,483.83
12-Aug-13,456.86,468.65,456.63,467.36,13015500,461.88
9-Aug-13,458.64,460.46,453.65,454.45,9530900,449.12
8-Aug-13,463.86,464.1,457.95,461.01,9134900,455.61
7-Aug-13,463.8,467,461.77,464.98,10673500,456.52
6-Aug-13,468.02,471.89,462.17,465.25,11959200,456.78
5-Aug-13,464.69,470.67,462.15,469.45,11387700,460.9
2-Aug-13,458.01,462.85,456.66,462.54,9813700,454.12
1-Aug-13,455.75,456.8,453.26,456.68,7366100,448.37
31-Jul-13,454.99,457.34,449.43,452.53,11534200,444.29
30-Jul-13,449.96,457.15,449.23,453.32,11050800,445.07
29-Jul-13,440.8,449.99,440.2,447.79,8859200,439.64
26-Jul-13,435.3,441.04,434.34,440.99,7148300,432.96
25-Jul-13,440.7,441.4,435.81,438.5,8196200,430.52
24-Jul-13,438.93,444.59,435.26,440.51,21140600,432.49
23-Jul-13,426,426.96,418.71,418.99,13192700,411.36
22-Jul-13,429.46,429.75,425.47,426.31,7421300,418.55
19-Jul-13,433.1,433.98,424.35,424.95,9597200,417.21
18-Jul-13,433.38,434.87,430.61,431.76,7817100,423.9
17-Jul-13,429.7,432.22,428.22,430.31,7106800,422.48
16-Jul-13,426.52,430.71,424.17,430.2,7733500,422.37
15-Jul-13,425.01,431.46,424.8,427.44,8639900,419.66
12-Jul-13,427.65,429.79,423.41,426.51,9984400,418.75
11-Jul-13,422.95,428.25,421.17,427.29,11653300,419.51
10-Jul-13,419.6,424.8,418.25,420.73,10050200,413.07
9-Jul-13,413.6,423.5,410.38,422.35,12592300,414.66
8-Jul-13,420.11,421,410.65,415.05,10647800,407.49
5-Jul-13,420.39,423.29,415.35,417.42,9786600,409.82
3-Jul-13,420.86,422.98,417.45,420.8,8604600,413.14
2-Jul-13,409.96,421.63,409.47,418.49,16780900,410.87
1-Jul-13,402.69,412.27,401.22,409.22,13966200,401.77
28-Jun-13,391.36,400.27,388.87,396.53,20661300,389.31
27-Jun-13,399.25,401.39,393.54,393.78,12044500,386.61
26-Jun-13,403.9,404.79,395.66,398.07,13133000,390.82
25-Jun-13,405.7,407.79,398.83,402.63,11220100,395.3
24-Jun-13,407.4,408.66,398.05,402.54,17169500,395.21
21-Jun-13,418.49,420,408.1,413.5,17182800,405.97
20-Jun-13,419.3,425.98,415.17,416.84,12761100,409.25
19-Jun-13,431.4,431.66,423,423,11105000,415.3
18-Jun-13,431.56,434.9,430.21,431.77,6965200,423.91
17-Jun-13,431.44,435.7,430.36,432,9264800,424.14
14-Jun-13,435.4,436.29,428.5,430.05,9709500,422.22
13-Jun-13,432.5,437.14,428.75,435.96,10208300,428.02
12-Jun-13,439.5,441.25,431.5,432.19,9472400,424.32
11-Jun-13,435.74,442.76,433.32,437.6,10218300,429.63
10-Jun-13,444.73,449.08,436.8,438.89,16076900,430.9
7-Jun-13,436.5,443.24,432.77,441.81,14447700,433.77
6-Jun-13,445.47,447,434.05,438.46,14890500,430.48
5-Jun-13,445.65,450.72,443.71,445.11,10378200,437.01
4-Jun-13,453.22,454.43,447.39,449.31,10454600,441.13
3-Jun-13,450.73,452.36,442.48,450.72,13298300,442.52
31-May-13,452.5,457.1,449.5,449.73,13725100,441.54
30-May-13,445.65,454.5,444.51,451.58,12625700,443.36
29-May-13,440,447.5,439.4,444.95,11806300,436.85
28-May-13,449.9,451.11,440.85,441.44,13790900,433.4
24-May-13,440.85,445.66,440.36,445.15,9863100,437.05
23-May-13,435.95,446.16,435.79,442.14,12607900,434.09
22-May-13,444.05,448.35,438.22,441.35,15822800,433.32
21-May-13,438.15,445.48,434.2,439.66,16286500,431.66
20-May-13,431.91,445.8,430.1,442.93,16127800,434.87
17-May-13,439.05,440.09,431.01,433.26,15282300,425.37
16-May-13,423.24,437.85,418.9,434.58,21543000,426.67
15-May-13,439.16,441,422.36,428.85,26486200,421.04
14-May-13,453.85,455.2,442.15,443.86,15968500,435.78
13-May-13,451.51,457.9,451.5,454.74,11319600,446.46
10-May-13,457.97,459.71,450.48,452.97,11959000,444.72
9-May-13,459.81,463,455.58,456.77,14231700,448.46
8-May-13,459.04,465.37,455.81,463.84,16878500,452.4
7-May-13,464.97,465.75,453.7,458.66,17276900,447.35
6-May-13,455.71,462.2,454.31,460.71,17737200,449.35
3-May-13,451.31,453.23,449.15,449.98,12903600,438.88
2-May-13,441.78,448.59,440.63,445.52,15065300,434.53
1-May-13,444.46,444.93,434.39,439.29,18103900,428.46
30-Apr-13,435.1,445.25,432.07,442.78,24697800,431.86
