Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,59.6,59.92,59.56,59.88,1391300,59.88
30-Dec-13,59.67,59.8,59.24,59.55,1329100,59.55
27-Dec-13,59.73,59.99,59.28,59.51,1266900,59.51
26-Dec-13,59.53,59.99,59.48,59.58,1026500,59.58
24-Dec-13,59.58,59.78,59.22,59.53,846700,59.53
23-Dec-13,59.74,59.89,59.12,59.47,1947900,59.47
20-Dec-13,58.42,59.55,58.22,59.26,5363200,59.26
19-Dec-13,58.73,58.98,58.07,58.13,3310500,58.13
18-Dec-13,57.58,59.07,57.02,59.04,4975300,59.04
17-Dec-13,58.5,58.88,57.54,57.67,6351800,57.67
16-Dec-13,60.63,60.88,58.4,58.5,8786000,58.5
13-Dec-13,58.06,61.09,58,60.89,15848100,60.89
12-Dec-13,54.44,54.94,53.93,53.99,6248200,53.99
11-Dec-13,55.25,55.6,54.58,54.64,3990000,54.64
10-Dec-13,55.38,55.39,54.65,55.32,3787300,55.32
9-Dec-13,55.94,56.05,55.24,55.44,3397700,55.44
6-Dec-13,55.99,56.1,55.55,55.6,3334300,55.6
5-Dec-13,55.63,55.75,54.47,55.04,7792700,55.04
4-Dec-13,56.19,56.43,55.42,56.05,3663500,56.05
3-Dec-13,56.63,57.06,56.39,56.4,4129500,56.4
2-Dec-13,56.74,57.03,56.61,56.76,1950800,56.76
29-Nov-13,57.12,57.15,56.62,56.78,965200,56.78
27-Nov-13,56.85,57.03,56.68,56.91,2134000,56.91
26-Nov-13,56.87,56.89,56.2,56.7,2841000,56.7
25-Nov-13,56.62,57.18,56.5,56.95,2986400,56.95
22-Nov-13,56.26,56.5,55.89,56.41,2890800,56.41
21-Nov-13,56.28,56.59,55.86,56.23,2461200,56.23
20-Nov-13,55.98,56.32,55.8,55.94,2931300,55.94
19-Nov-13,56.73,56.73,55.65,55.77,3405000,55.77
18-Nov-13,57.45,57.49,56.4,56.6,3173600,56.6
15-Nov-13,57.54,57.59,56.78,57.35,2909900,57.35
14-Nov-13,57.56,57.99,56.91,57.17,4571300,57.17
13-Nov-13,55.59,57.59,55.59,57.55,5168600,57.55
12-Nov-13,55.84,56.34,55.6,56.24,2929200,56.24
11-Nov-13,54.85,56.18,54.49,56.18,4221800,56.18
8-Nov-13,53.42,54.93,53.33,54.84,5940900,54.84
7-Nov-13,55.05,55.17,53.1,53.17,5526600,53.17
6-Nov-13,54.9,55.11,54.54,54.88,3286100,54.88
5-Nov-13,55.24,55.28,54.67,54.79,3616600,54.79
4-Nov-13,55.01,55.42,54.66,55.39,3433600,55.39
1-Nov-13,54.61,54.68,54.14,54.61,2720000,54.61
31-Oct-13,54.01,54.56,53.9,54.22,3509500,54.22
30-Oct-13,54.87,55.07,53.69,54.1,3482400,54.1
29-Oct-13,54,55.12,53.91,54.86,5148300,54.86
28-Oct-13,53.91,54.37,53.59,53.93,3505000,53.93
25-Oct-13,54.07,54.2,53.46,53.81,6186100,53.81
24-Oct-13,53.06,54.58,53.05,54.21,5717200,54.21
23-Oct-13,52.75,53.45,52.16,53.06,4386800,53.06
22-Oct-13,53.47,53.57,52.99,53.17,4375700,53.17
21-Oct-13,52.73,53.27,52.71,53.08,3739700,53.08
18-Oct-13,52.15,52.78,52,52.63,4210100,52.63
17-Oct-13,51.87,52.31,51.7,52.07,3776600,52.07
16-Oct-13,51.54,52.58,51.54,51.91,3367700,51.91
15-Oct-13,52.31,52.78,51.81,51.93,3658800,51.93
14-Oct-13,51.9,52.83,51.72,52.63,4910000,52.63
11-Oct-13,50.82,52.22,50.82,52.19,3410500,52.19
10-Oct-13,50.06,51.22,49.86,51.17,3740900,51.17
9-Oct-13,49.62,49.87,48.87,49.45,4347300,49.45
8-Oct-13,50.93,50.97,49.44,49.58,4953800,49.58
7-Oct-13,51.05,51.34,50.79,50.82,2582700,50.82
4-Oct-13,50.09,51.67,50.02,51.57,3880900,51.57
3-Oct-13,51.61,51.65,50.54,50.88,3862200,50.88
2-Oct-13,51.79,52.28,51.29,51.52,3691200,51.52
1-Oct-13,52.1,52.48,51.84,52.43,3243300,52.43
30-Sep-13,51.5,52.15,51.2,51.94,2747000,51.94
27-Sep-13,51.71,52.48,51.65,52.03,2382000,52.03
26-Sep-13,52,52.38,51.81,52.1,2902900,52.1
25-Sep-13,51.48,52.08,51.42,51.87,4009400,51.87
24-Sep-13,51.79,51.88,51.07,51.42,3103300,51.42
23-Sep-13,52.07,52.47,51.62,51.8,3183400,51.8
20-Sep-13,51.87,52.96,51.68,52.31,12323000,52.31
19-Sep-13,52.05,52.4,51.58,51.87,7183400,51.87
18-Sep-13,51.68,52.67,51.06,52.58,15267900,52.58
17-Sep-13,48.19,48.49,47.92,48.14,6917200,48.14
16-Sep-13,48.17,48.7,47.97,48.14,4474800,48.14
13-Sep-13,47.66,47.96,47.64,47.76,2571600,47.76
12-Sep-13,48.07,48.09,47.56,47.64,3024100,47.64
11-Sep-13,48,48.33,47.95,48.2,2650200,48.2
10-Sep-13,47.62,48.06,47.51,48.02,2831100,48.02
9-Sep-13,47.11,47.27,46.99,47.25,1931700,47.25
6-Sep-13,46.89,47.3,46.26,46.87,3140900,46.87
5-Sep-13,46.88,47.34,46.68,46.73,2379800,46.73
4-Sep-13,45.76,47.17,45.76,46.93,5402200,46.93
3-Sep-13,46.21,46.57,45.7,45.88,1955500,45.88
30-Aug-13,45.88,46.11,45.57,45.75,2211500,45.75
29-Aug-13,45.5,46.14,45.35,45.93,1738900,45.93
28-Aug-13,45.58,45.91,45.49,45.53,1971500,45.53
27-Aug-13,45.55,45.88,45.27,45.5,2287600,45.5
26-Aug-13,46.25,46.61,46.01,46.06,2590500,46.06
23-Aug-13,45.85,45.88,45.41,45.77,2410900,45.77
22-Aug-13,45.1,45.71,45.09,45.68,1699600,45.68
21-Aug-13,45.01,45.51,44.8,45.14,2515500,45.14
20-Aug-13,44.77,45.45,44.7,45.07,2213900,45.07
19-Aug-13,45.44,45.52,44.88,44.89,2185800,44.89
16-Aug-13,45.94,45.95,45.3,45.4,2829200,45.4
15-Aug-13,46.37,46.39,45.7,45.87,2616800,45.87
14-Aug-13,47.14,47.14,46.68,46.84,2115100,46.84
13-Aug-13,47.37,47.41,46.92,47.14,1960300,47.14
12-Aug-13,46.87,47.33,46.85,47.2,1807900,47.2
9-Aug-13,47.38,47.77,47.09,47.18,1891300,47.18
8-Aug-13,47.32,47.66,47.03,47.51,2974200,47.51
7-Aug-13,47.17,47.48,46.83,47.1,2396700,47.1
6-Aug-13,47.55,47.85,47.37,47.39,1642800,47.39
5-Aug-13,47.45,47.84,47.35,47.63,2172200,47.63
2-Aug-13,47.38,47.82,47.13,47.45,3761000,47.45
1-Aug-13,47.62,47.82,47.41,47.7,3497600,47.7
31-Jul-13,47.5,47.71,47.18,47.28,3813500,47.28
30-Jul-13,47.19,47.5,47.12,47.36,2758000,47.36
29-Jul-13,47.51,47.77,47.11,47.17,2352400,47.17
26-Jul-13,47.77,47.86,47.4,47.64,2918000,47.64
