Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,43.77,43.91,43.24,43.4,2203500,43.14
30-Dec-13,43.9,43.99,43.43,43.69,2454500,43.43
27-Dec-13,43.66,43.96,43.51,43.76,2516700,43.5
26-Dec-13,43.32,43.8,43.24,43.65,2370600,43.39
24-Dec-13,43.16,43.49,43.07,43.27,1083900,43.02
23-Dec-13,43.54,43.76,42.86,43.04,3777300,42.79
20-Dec-13,43.82,43.94,43.19,43.36,7136300,43.1
19-Dec-13,43.02,43.83,42.77,43.79,6515400,43.53
18-Dec-13,41.67,43.16,41.44,43.14,7328500,42.89
17-Dec-13,40.75,41.61,40.72,41.48,5928100,41.24
16-Dec-13,40.44,41.38,40.35,40.66,6404700,40.42
13-Dec-13,40.64,40.69,40.15,40.34,3998700,40.1
12-Dec-13,41.71,41.72,40.49,40.59,5148200,40.35
11-Dec-13,42.35,42.35,41.63,41.71,4101700,41.46
10-Dec-13,42.35,42.51,41.63,42.36,4608800,42.11
9-Dec-13,41.93,42.5,41.75,42.48,4286700,42.23
6-Dec-13,41.87,42.1,41.52,41.94,3080200,41.69
5-Dec-13,41.7,41.72,41.2,41.47,3366400,41.23
4-Dec-13,40.89,41.92,40.75,41.73,4734200,41.48
3-Dec-13,40.82,41.14,40.57,41.1,3566000,40.86
2-Dec-13,40.33,41.22,40.19,40.85,4706100,40.61
29-Nov-13,40.9,41.24,40.15,40.25,3635800,40.01
27-Nov-13,41.68,41.85,41.27,41.49,2285400,41.25
26-Nov-13,41.49,41.89,41.38,41.6,3222700,41.36
25-Nov-13,41.87,41.88,41.28,41.35,3387700,41.11
22-Nov-13,41.12,41.87,40.99,41.86,4162300,41.61
21-Nov-13,40.1,41.44,40.07,41.15,6584000,40.91
20-Nov-13,40.96,41,39.87,39.9,5797500,39.67
19-Nov-13,40.22,41.41,40.22,40.97,4633200,40.73
18-Nov-13,40.21,41.24,40.21,40.94,5336000,40.7
15-Nov-13,42.09,42.09,40.4,40.56,9885000,40.32
14-Nov-13,41.29,42.1,41.29,42,6484300,41.75
13-Nov-13,40.34,41.43,40.33,41.43,5633800,41.19
12-Nov-13,40.78,40.82,40.06,40.42,6355600,40.18
11-Nov-13,41.49,41.62,41.07,41.14,4431300,40.71
8-Nov-13,41.22,41.5,40.93,41.44,5956500,41.01
7-Nov-13,41.78,41.86,41.14,41.23,5913700,40.8
