Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,68.2,68.86,67.87,68.59,1565600,68.16
30-Dec-13,68.31,68.5,67.64,68.15,1446800,67.72
27-Dec-13,68.25,68.49,68.08,68.36,1113700,67.93
26-Dec-13,67.53,68.36,67.42,68.31,1434800,67.88
24-Dec-13,67.61,67.67,67.27,67.37,640300,66.95
23-Dec-13,67.25,67.68,67.19,67.47,1628000,67.05
20-Dec-13,66.78,67.16,66.39,66.98,2943500,66.56
19-Dec-13,66.71,66.93,66.24,66.63,2509300,66.21
18-Dec-13,65.97,67.11,65.56,67.07,3309200,66.65
17-Dec-13,65.61,65.89,65.08,65.75,3031300,65.34
16-Dec-13,65.4,65.63,65.01,65.61,2933100,65.2
13-Dec-13,65.15,66,64.72,65.02,2783700,64.61
12-Dec-13,66,66.79,65.1,65.14,3302700,64.73
11-Dec-13,67.14,67.34,66.1,66.3,4339200,65.89
10-Dec-13,66.75,67.31,66.74,67.13,3795200,66.71
9-Dec-13,66.25,66.9,66.08,66.82,2717700,66.4
6-Dec-13,65.46,66.06,65.37,66.02,2069300,65.61
5-Dec-13,66.31,66.77,64.72,64.81,4606000,64.41
4-Dec-13,67.4,67.71,66.18,66.29,4939700,65.88
3-Dec-13,68.08,68.34,67.43,67.64,2803200,67.22
2-Dec-13,68.97,69.47,68.31,68.46,2581100,68.03
29-Nov-13,69,69.46,68.82,68.93,1073800,68.5
27-Nov-13,68.94,69.16,68.4,68.87,1982200,68.44
26-Nov-13,68.77,69.16,68.56,68.57,2471100,68.14
25-Nov-13,68.2,68.97,68.19,68.8,3090000,68.37
22-Nov-13,66.82,67.82,66.5,67.77,2333800,67.35
21-Nov-13,66.32,67.79,66.32,66.78,4075500,66.36
20-Nov-13,64.53,66.22,64.48,65.94,3118000,65.53
19-Nov-13,64.75,65,64.37,64.54,2827100,64.14
18-Nov-13,65.11,65.33,64.67,64.75,2013500,64.35
15-Nov-13,64.72,65.16,64.25,65.08,1826400,64.67
14-Nov-13,63.89,65.12,63.8,64.99,2695400,64.58
13-Nov-13,62.81,63.89,62.81,63.88,3535800,63.48
12-Nov-13,63.33,63.56,62.82,63.07,2013600,62.68
11-Nov-13,63.33,63.98,63.27,63.65,1542600,63.25
8-Nov-13,62.57,63.41,62.5,63.35,1869500,62.95
7-Nov-13,63.68,64,62.52,62.56,2755800,62.17
6-Nov-13,62.88,63.78,62.34,63.24,2552800,62.85
5-Nov-13,63.12,63.36,62.61,62.67,4652100,62.28
4-Nov-13,62.65,63.86,62.57,63.59,2799400,63.19
1-Nov-13,62.71,62.96,62.15,62.61,2475700,62.22
31-Oct-13,62.13,63.07,61.97,62.7,3645100,62.31
30-Oct-13,61.17,62.95,61.17,62.12,4453700,61.73
29-Oct-13,61.58,61.7,60.32,60.75,7963100,60.37
28-Oct-13,62.01,62.1,61.54,61.78,4438800,61.39
25-Oct-13,61.82,61.93,61.54,61.82,1953000,61.43
24-Oct-13,62.33,62.8,61.39,61.7,3407600,61.31
23-Oct-13,63.52,63.66,62.15,62.35,3653400,61.96
22-Oct-13,63.52,63.95,63.29,63.79,3514500,63.39
21-Oct-13,63.71,63.93,63.12,63.19,2921500,62.8
18-Oct-13,64.22,64.36,61.66,63.43,6354000,63.03
17-Oct-13,64.64,64.64,63.9,64.18,5263100,63.78
16-Oct-13,65.11,65.87,64.78,65.65,2119300,65.24
15-Oct-13,65.46,65.63,64.59,64.86,1697200,64.46
14-Oct-13,65.18,65.66,64.74,65.51,1654800,65.1
11-Oct-13,65.9,65.9,65.17,65.5,2421700,65.09
10-Oct-13,64.4,66.02,64.36,65.71,3568300,65.3
9-Oct-13,64.26,64.57,63.78,63.86,2413600,63.46
8-Oct-13,65.14,65.14,64.27,64.28,1627400,63.88
7-Oct-13,65.88,66.12,65.28,65.35,2086900,64.74
4-Oct-13,64.33,66.5,64.24,66.44,4246600,65.82
3-Oct-13,64.73,64.89,64.02,64.23,2140700,63.63
2-Oct-13,64.72,65,64.28,64.76,1850900,64.16
1-Oct-13,64.2,65.21,64.04,64.9,2051900,64.3
30-Sep-13,63.9,64.41,63.52,64.02,1860200,63.43
27-Sep-13,64.68,64.78,63.96,64.48,1625000,63.88
26-Sep-13,64.76,65.6,64.5,64.78,1155400,64.18
25-Sep-13,64.94,65.08,64.5,64.92,2401300,64.32
24-Sep-13,64.17,65.39,64.05,64.81,3029200,64.21
23-Sep-13,64.65,65.08,63.4,64.1,3208700,63.5
20-Sep-13,64.93,65.72,64.64,64.73,4672500,64.13
19-Sep-13,66.6,67.4,64.6,64.84,5500500,64.24
18-Sep-13,67.52,67.57,66,66.6,5621100,65.98
17-Sep-13,68.62,68.86,67.32,67.75,4496800,67.12
16-Sep-13,68.32,69.19,68.22,68.71,2696400,68.07
13-Sep-13,66.62,68.49,66.38,67.47,4428000,66.84
12-Sep-13,65.84,66.25,65.63,65.7,1469400,65.09
11-Sep-13,65.54,65.81,65.22,65.76,2066400,65.15
10-Sep-13,65.39,65.45,64.57,65.38,2512100,64.77
9-Sep-13,65.01,65.24,64.47,65.05,2130200,64.45
6-Sep-13,65.35,65.63,64.22,65.11,2355000,64.51
5-Sep-13,64.21,65.5,64.13,65.26,2486900,64.65
4-Sep-13,63.83,64.53,63.54,64.31,2212700,63.71
3-Sep-13,63.83,64.35,63.41,63.77,1807100,63.18
30-Aug-13,63.91,64.45,63.22,63.39,1859900,62.8
29-Aug-13,62.63,63.96,62.46,63.76,1748900,63.17
28-Aug-13,62.88,63.27,62.68,62.79,2072600,62.21
27-Aug-13,63.4,63.7,63.01,63.06,2430100,62.47
26-Aug-13,64.71,64.93,63.85,63.86,1811200,63.27
23-Aug-13,63.91,64.79,63.72,64.71,2534500,64.11
22-Aug-13,62.99,63.75,62.89,63.7,1949400,63.11
21-Aug-13,63.05,63.38,62.68,62.81,2006100,62.23
20-Aug-13,62.09,63.41,62.02,63.05,2333800,62.46
19-Aug-13,62.23,62.87,62.1,62.2,1629200,61.62
16-Aug-13,61.73,62.66,61.57,62.15,1600600,61.57
15-Aug-13,62.69,63.25,61.93,61.96,1739500,61.38
14-Aug-13,63.88,63.98,63.13,63.24,1867800,62.65
13-Aug-13,63.4,64.1,62.99,64.05,2291900,63.46
12-Aug-13,63.45,63.6,63.16,63.44,1293000,62.85
9-Aug-13,64.35,64.5,63.66,63.87,1395500,63.28
8-Aug-13,63.39,64.41,63.17,64.2,2541300,63.6
7-Aug-13,63.95,64.13,63.05,63.16,2063100,62.57
6-Aug-13,64.13,64.24,63.19,64.05,2210900,63.46
5-Aug-13,63.55,64.5,63.38,64.25,1424800,63.65
2-Aug-13,63.52,63.93,63.24,63.56,2045200,62.97
1-Aug-13,64.38,64.78,63.67,63.73,2347300,63.14
31-Jul-13,62.98,64.84,62.98,64.17,3507700,63.57
30-Jul-13,63.58,64.67,62.14,62.95,6845700,62.37
29-Jul-13,64.52,64.86,63.32,63.4,4616000,62.81
26-Jul-13,65.4,65.54,64.26,64.7,2386600,64.1
25-Jul-13,65.27,65.86,64.61,65.58,2161500,64.97
24-Jul-13,65.76,66,64.74,65.61,2995700,65
23-Jul-13,65.51,65.6,65.15,65.35,1919800,64.74
22-Jul-13,64.49,65.61,64.32,65.04,2686800,64.44
19-Jul-13,63.96,64.7,63.43,64.49,2750100,63.89
18-Jul-13,62.26,64.34,62.26,64.23,4667300,63.63
17-Jul-13,62.77,62.9,61.52,61.54,3371100,60.97
16-Jul-13,63.51,63.65,62.12,62.52,3333600,61.94
15-Jul-13,63.46,63.67,63.21,63.52,2085200,62.93
12-Jul-13,64.23,64.54,62.95,63.5,2990700,62.91
11-Jul-13,64.79,65.17,63.98,64.04,3583300,63.45
10-Jul-13,63.44,64.39,63.34,64.05,2867300,63.46
9-Jul-13,63.55,63.93,63.23,63.29,2141200,62.7
8-Jul-13,63,63.5,62.82,63.26,2403400,62.47
5-Jul-13,62.61,62.89,61.95,62.58,1650800,61.8
3-Jul-13,62.1,62.51,61.59,62.13,1826300,61.36
2-Jul-13,63.3,63.33,62.15,62.43,3649300,61.65
1-Jul-13,64.18,64.22,63.29,63.35,2285500,62.56
28-Jun-13,63.65,64.13,63.3,63.54,2761600,62.75
27-Jun-13,63.21,63.82,63.08,63.59,2518200,62.8
26-Jun-13,62.75,63.47,62.03,62.96,3157000,62.18
25-Jun-13,62.59,62.9,61.85,62.16,2829600,61.39
24-Jun-13,61.5,62.79,61.35,62.16,5216700,61.39
21-Jun-13,61.3,62.25,61.1,61.79,4112700,61.02
20-Jun-13,61.54,61.91,60.68,60.82,2721100,60.06
19-Jun-13,62.71,62.9,61.82,61.82,2935300,61.05
18-Jun-13,61.48,62.74,61.32,62.65,2941800,61.87
