Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,89.87,90.79,89.52,90.73,3083500,90.27
30-Dec-13,89.19,89.62,89.14,89.59,1769000,89.13
27-Dec-13,88.82,89.51,88.82,89.19,1797400,88.74
26-Dec-13,88.9,89.23,88.76,89,1745200,88.55
24-Dec-13,88.34,88.74,88.19,88.69,1042700,88.24
23-Dec-13,88,88.58,87.94,88.31,3242600,87.86
20-Dec-13,86.71,87.78,86.44,87.57,6294500,87.12
19-Dec-13,85.94,86.53,85.91,86.41,3956300,85.97
18-Dec-13,84.3,86.12,83.55,85.99,5332300,85.55
17-Dec-13,84.71,84.72,83.99,84.11,2893700,83.68
16-Dec-13,83.96,84.97,83.96,84.52,3599000,84.09
13-Dec-13,83.32,83.92,83.23,83.68,3594900,83.25
12-Dec-13,83.78,84.28,83.21,83.3,3574300,82.88
11-Dec-13,85.28,85.67,83.81,83.9,3782300,83.47
10-Dec-13,85.38,85.74,85.08,85.29,2354200,84.86
9-Dec-13,86.17,86.4,85.35,85.75,2436500,85.31
6-Dec-13,85.59,86.09,85.35,85.93,2666600,85.49
5-Dec-13,84.27,84.99,84.15,84.54,3677800,84.11
4-Dec-13,84.21,85.24,83.76,84.5,3579700,84.07
3-Dec-13,84.89,85.33,84.2,84.61,3546100,84.18
2-Dec-13,86.02,86.53,85.16,85.29,3620800,84.86
29-Nov-13,85.88,86.19,85.51,85.8,2144600,85.36
27-Nov-13,85.26,85.66,84.98,85.59,2520000,85.15
26-Nov-13,84.75,85.59,84.7,85.09,4896800,84.66
25-Nov-13,84.32,84.76,84.08,84.59,3657700,84.16
22-Nov-13,83.92,83.93,83.37,83.85,2690300,83.42
21-Nov-13,82.63,84,82.57,83.95,4355200,83.52
20-Nov-13,82.96,83.42,81.96,82.25,3510500,81.83
19-Nov-13,82.38,82.88,82.27,82.46,2775000,82.04
18-Nov-13,82.85,82.98,82.16,82.34,3104800,81.92
15-Nov-13,83.03,83.26,82.37,82.8,4439700,82.38
14-Nov-13,81.61,81.91,81.35,81.89,2284100,81.47
13-Nov-13,80.57,81.47,80.22,81.44,2828200,81.03
12-Nov-13,81.23,81.35,80.58,81.03,2237200,80.62
11-Nov-13,81.59,81.68,81.19,81.4,2224200,80.99
8-Nov-13,81.31,81.95,81.08,81.78,4369500,81.36
7-Nov-13,82.33,82.6,80.88,80.92,3485800,80.51
6-Nov-13,82.55,82.6,81.82,82.12,2636900,81.7
5-Nov-13,81.63,82.13,81.09,81.9,2591400,81.48
4-Nov-13,82.41,82.64,81.75,81.93,2643600,81.51
1-Nov-13,82.12,82.64,81.79,82.16,3358900,81.74
31-Oct-13,82.79,82.99,81.69,81.8,5637700,81.38
30-Oct-13,83.7,83.83,82.8,83.1,3747800,82.68
29-Oct-13,83.12,83.74,82.93,83.66,3485200,83.23
28-Oct-13,82.72,83.14,82.03,82.76,4566100,82.34
25-Oct-13,80.76,82.67,80.76,82.61,6291100,82.19
24-Oct-13,80.77,81,80.45,80.9,3181800,80.49
23-Oct-13,80.56,80.82,80.01,80.63,2895100,80.22
22-Oct-13,80.77,81.17,80.43,80.87,3300000,80.46
21-Oct-13,80.47,80.99,80.31,80.4,3691500,79.99
18-Oct-13,80.11,80.68,79.31,80.52,7598200,80.11
17-Oct-13,77.94,80.4,77.8,80.23,10366600,79.82
16-Oct-13,75.64,76.75,75.45,76.32,6468200,75.93
15-Oct-13,75.63,76.36,75.23,75.25,4113700,74.87
14-Oct-13,75.33,76.11,75.1,76.07,3017200,75.68
11-Oct-13,74.67,75.44,74.41,75.4,3913900,75.02
10-Oct-13,73.19,74.67,73.01,74.66,3769900,74.28
9-Oct-13,72.38,72.71,72.08,72.22,4701500,71.85
8-Oct-13,73.03,73.1,72.13,72.22,3945800,71.85
7-Oct-13,73.5,73.53,72.9,72.94,3320300,72.57
4-Oct-13,73.88,74.33,73.61,74.31,2883500,73.93
3-Oct-13,74.11,74.29,73.3,74.02,4364500,73.64
2-Oct-13,75.13,75.29,74.17,74.58,4363400,74.2
1-Oct-13,75.64,76.01,75.45,75.93,2969600,75.31
30-Sep-13,74.97,75.85,74.64,75.52,3330500,74.91
27-Sep-13,76.06,76.09,75.43,75.89,2522500,75.28
26-Sep-13,76,77,75.78,76.32,2927000,75.7
25-Sep-13,76.13,76.56,75.62,75.99,3090300,75.37
24-Sep-13,76.39,76.94,75.96,76.07,3020200,75.45
23-Sep-13,77.29,77.66,76.13,76.44,4078900,75.82
20-Sep-13,77.62,77.89,77.15,77.32,10105500,76.69
19-Sep-13,77.81,77.9,77.15,77.57,3997600,76.94
18-Sep-13,76.99,77.81,76.54,77.64,4136000,77.01
17-Sep-13,75.6,77,75.6,76.92,4047200,76.3
16-Sep-13,76.34,76.43,75.44,75.6,4536200,74.99
13-Sep-13,75.58,75.75,75.07,75.3,2664400,74.69
12-Sep-13,75.29,75.61,74.97,75.29,2502200,74.68
11-Sep-13,74.7,75.22,74.4,75.18,3297900,74.57
10-Sep-13,74.22,74.66,74,74.6,3269100,74
9-Sep-13,73.59,73.81,73.15,73.66,3189500,73.06
6-Sep-13,73.92,74.02,72.4,73.35,3369200,72.76
5-Sep-13,73.16,74.23,72.89,73.8,3600700,73.2
4-Sep-13,72.52,73.5,72.23,73.14,2913300,72.55
3-Sep-13,72.59,73.41,72.14,72.43,3994100,71.84
30-Aug-13,72.15,72.24,71.47,71.91,3779500,71.33
29-Aug-13,71.81,72.62,71.58,72.22,2957100,71.63
28-Aug-13,71.7,72.34,71.54,72.01,2963200,71.43
27-Aug-13,72.8,72.93,71.77,71.91,3712600,71.33
26-Aug-13,73.76,74.47,73.43,73.61,2372400,73.01
23-Aug-13,73.87,74,73.13,73.65,2518500,73.05
22-Aug-13,73.66,74,73.4,73.86,2354900,73.26
21-Aug-13,74.01,74.33,73.25,73.44,2983100,72.84
20-Aug-13,74.41,74.67,73.8,74.27,2900900,73.67
19-Aug-13,75.12,75.21,74.3,74.34,3478900,73.74
16-Aug-13,74.86,75.35,74.65,75.17,4248200,74.56
15-Aug-13,75.27,75.43,74.62,74.88,3834400,74.27
14-Aug-13,76.04,76.43,75.75,75.88,2945400,75.27
13-Aug-13,75.49,76.44,74.89,76.23,2964900,75.61
12-Aug-13,75.11,75.61,74.89,75.49,2292600,74.88
9-Aug-13,76.18,76.36,75.01,75.5,3963600,74.89
8-Aug-13,75.79,77.27,75.48,76.19,3293600,75.57
7-Aug-13,75.46,75.71,74.85,75.14,3083900,74.53
6-Aug-13,75.87,76.1,75.47,75.81,2566000,75.2
5-Aug-13,75.47,76.04,75.21,75.93,2237100,75.31
2-Aug-13,75.62,75.73,75,75.69,2485400,75.08
1-Aug-13,74.53,76.1,74.51,75.63,5981400,75.02
31-Jul-13,75.15,75.86,73.47,73.77,10320700,73.17
30-Jul-13,75.48,75.54,74.83,75.19,3762200,74.58
