Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,80.27,80.54,79.86,80.3,675300,80.3
30-Dec-13,79.68,80.26,79.06,80.13,882800,80.13
27-Dec-13,79.88,79.99,79.15,79.32,694400,79.32
26-Dec-13,78.78,79.96,78.78,79.53,1035800,79.53
24-Dec-13,78.32,79.34,78.18,78.65,784200,78.65
23-Dec-13,78.07,78.71,77.55,78.42,988300,78.42
20-Dec-13,77.33,78.22,76.61,77.41,3680800,77.41
19-Dec-13,78.09,78.33,76.78,77.52,2294700,77.52
18-Dec-13,77.35,78.6,76.98,78.46,1715800,78.46
17-Dec-13,76.91,77.4,76.1,76.95,1272900,76.95
16-Dec-13,76.54,77.55,76.54,76.81,1245800,76.81
13-Dec-13,77.39,77.98,76.45,76.52,1106100,76.52
12-Dec-13,76.91,77.34,76.23,76.52,1086500,76.52
11-Dec-13,77.99,78.44,77.2,77.24,1152700,77.24
10-Dec-13,77.22,78.61,77.22,78.01,1556900,78.01
9-Dec-13,78.12,78.46,77.59,77.68,1478800,77.68
6-Dec-13,77.96,78.27,77.31,78.13,1027000,78.13
5-Dec-13,77.02,77.63,77.02,77.19,1220100,77.19
4-Dec-13,77.43,78.45,76.57,77.03,2033600,77.03
3-Dec-13,77.41,78.2,77.12,78.14,1798100,78.14
2-Dec-13,78.23,78.71,77.61,78,1353400,78
29-Nov-13,78.45,78.87,77.7,78.03,480700,78.03
27-Nov-13,78.37,78.88,77.88,78.3,1111600,78.3
26-Nov-13,77.74,78.88,77.56,78.58,1527000,78.58
25-Nov-13,78.3,78.41,77.44,77.72,1458500,77.72
22-Nov-13,76.84,77.58,76.4,77.46,1313400,77.46
21-Nov-13,76.79,77.3,76.06,76.84,1160100,76.84
20-Nov-13,77.67,77.67,76.22,76.37,996500,76.37
19-Nov-13,76.89,77.76,76.59,77.19,998300,77.19
18-Nov-13,78.28,78.28,76.91,77.18,1205300,77.18
15-Nov-13,77.92,78.3,77.58,78.16,1218800,78.16
14-Nov-13,78.4,78.54,77.7,78.1,1077400,78.1
13-Nov-13,76.33,78.94,76.14,78.16,1972300,78.16
12-Nov-13,76.52,77.24,76.14,76.42,1150200,76.42
11-Nov-13,75.75,76.62,75.54,76.56,1032300,76.56
8-Nov-13,75.27,75.82,75.04,75.76,1450600,75.76
7-Nov-13,76.21,77.22,75.2,75.49,1956400,75.49
6-Nov-13,76.69,77.22,75.26,76,2241000,76
5-Nov-13,76.91,77.9,76.12,77.37,1526700,77.37
4-Nov-13,76.81,77.23,76.08,76.99,1203800,76.99
1-Nov-13,77.55,77.9,76.4,76.91,910800,76.91
31-Oct-13,77.44,77.77,76.82,77.32,1040700,77.32
30-Oct-13,76.91,78.11,76.53,77.5,1571800,77.5
29-Oct-13,76.67,77.63,76.64,77.44,1559400,77.44
28-Oct-13,76.72,77.16,76.28,76.66,838400,76.66
25-Oct-13,77.08,77.09,76.51,76.75,816300,76.75
24-Oct-13,76.97,77.26,76.62,76.78,928900,76.78
23-Oct-13,76.47,77.1,76.38,76.87,888800,76.87
22-Oct-13,77.24,77.39,76.52,76.76,1414500,76.76
21-Oct-13,76.37,77.09,76.32,76.8,911000,76.8
18-Oct-13,76.9,76.96,76.26,76.35,2020800,76.35
17-Oct-13,76.84,77.22,76.39,76.63,1208300,76.63
16-Oct-13,76.88,77.19,76.5,77.12,1015300,77.12
15-Oct-13,77,77.39,75.93,76.21,979000,76.21
14-Oct-13,77.05,77.48,76.53,77.27,745600,77.27
11-Oct-13,75.96,77.55,75.96,77.33,957500,77.33
10-Oct-13,75.74,76.8,75.6,76.56,1057800,76.56
9-Oct-13,76.11,76.11,74.84,74.95,1443400,74.95
8-Oct-13,76.58,76.9,75.83,75.85,1324100,75.85
7-Oct-13,77.17,77.38,76.53,76.66,1249800,76.66
4-Oct-13,77.29,78.08,76.92,77.97,792800,77.97
3-Oct-13,77.72,78,77.03,77.4,1282900,77.4
2-Oct-13,77.46,78.36,77.28,78.06,1206200,78.06
1-Oct-13,77.28,78.26,76.99,77.82,1275000,77.82
30-Sep-13,76.45,77.67,76.42,77.36,1292500,77.36
27-Sep-13,77.23,77.75,76.9,77.23,1851200,77.23
26-Sep-13,78.8,78.88,77.02,77.54,4342500,77.54
25-Sep-13,74.6,75.09,73.78,74.22,2629700,74.22
24-Sep-13,74.77,75.19,73.61,74.81,2004100,74.81
23-Sep-13,72.06,75.19,71.88,74.2,2008600,74.2
20-Sep-13,75.83,76.64,75.12,75.47,2418400,75.47
19-Sep-13,75.96,76.34,75.38,75.59,2168300,75.59
18-Sep-13,76.02,77.3,75.29,76.97,1878000,76.97
17-Sep-13,74.68,76.34,74.68,75.82,1897100,75.82
16-Sep-13,74.6,74.66,73.79,74.51,1694700,74.51
13-Sep-13,72.5,73.95,72.42,73.63,1606200,73.63
12-Sep-13,72.18,72.55,71.76,72.1,1396200,72.1
11-Sep-13,71.81,72.55,71.47,72.29,1934000,72.29
10-Sep-13,73,73.27,71.64,71.78,1807200,71.78
