Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,91,91.18,90.46,90.81,3098900,89.69
30-Dec-13,90.85,91.03,90.28,90.87,2625000,89.75
27-Dec-13,91.14,91.43,90.56,90.87,3373800,89.75
26-Dec-13,90.99,91.67,90.7,91.15,4790800,90.03
24-Dec-13,90,90.98,89.99,90.91,2675700,89.79
23-Dec-13,89.31,90.07,89.27,89.96,5733300,88.85
20-Dec-13,87.85,89.11,87.81,88.93,7389700,87.84
19-Dec-13,87.5,87.84,87.26,87.54,4299700,86.46
18-Dec-13,87.01,88.46,86.65,88.17,6963200,87.08
17-Dec-13,87.22,87.65,86.38,86.92,4764400,85.85
16-Dec-13,86.5,87.85,86.44,87.38,6976200,86.3
13-Dec-13,85.67,86.23,85.57,86.05,4226200,84.99
12-Dec-13,85.37,85.7,84.84,85.57,4551700,84.52
11-Dec-13,86.03,86.22,85.12,85.28,5624100,84.23
10-Dec-13,85.97,86.87,85.92,86.42,4987000,85.36
9-Dec-13,85.7,86.53,85.56,86.09,6023400,85.03
6-Dec-13,85.06,85.58,84.93,85.5,5759300,84.45
5-Dec-13,83.92,84.58,83.7,84.41,5291900,83.37
4-Dec-13,83.75,84.38,83.11,83.97,5246700,82.94
3-Dec-13,83.8,83.95,83.27,83.87,3924300,82.84
2-Dec-13,84.7,85.09,84.03,84.25,4834700,83.21
29-Nov-13,84.64,85.18,84.53,84.6,2284400,83.56
27-Nov-13,84.43,84.93,84.33,84.67,3053600,83.63
26-Nov-13,84.8,84.83,84.01,84.36,3834900,83.32
25-Nov-13,84.4,84.94,83.87,84.4,8111400,83.36
22-Nov-13,82.22,82.95,82,82.88,4403800,81.86
21-Nov-13,83.05,83.09,81.87,82.12,6208500,81.11
20-Nov-13,83.18,83.71,82.46,82.68,7443000,81.66
19-Nov-13,84.11,84.5,83.48,83.67,5010300,82.64
18-Nov-13,84.05,84.97,83.74,84.04,4803100,83.01
15-Nov-13,84,84.11,83.5,83.74,4743900,82.71
14-Nov-13,84,84.2,83.56,83.76,4496300,82.73
13-Nov-13,83.46,84.25,83,84.2,3952800,83.16
12-Nov-13,83.98,84.28,83.54,83.85,3483000,82.82
11-Nov-13,84.19,84.47,83.82,84.15,2522500,83.11
8-Nov-13,83.52,84.32,83.5,84.24,4557300,83.2
7-Nov-13,83.95,84.43,83.5,83.65,5431600,82.62
6-Nov-13,84.3,84.36,83.85,84.22,3664100,83.18
5-Nov-13,83.61,84.19,83.36,84.05,4010900,83.02
4-Nov-13,83.81,83.99,83.45,83.89,3892500,82.86
1-Nov-13,83.78,83.8,82.8,83.59,5880200,82.56
31-Oct-13,83.44,84.27,83.36,83.36,4651300,82.33
30-Oct-13,84.17,84.35,83.21,83.49,4657000,82.46
29-Oct-13,83.91,84.1,83.29,84.07,5324100,83.04
28-Oct-13,84.5,84.73,84.15,84.28,3979200,83.24
25-Oct-13,84.32,84.78,83.61,84.77,4886400,83.73
24-Oct-13,83.32,85,83.13,84.53,8368700,83.49
23-Oct-13,84.15,84.65,83.05,83.76,20968800,82.73
22-Oct-13,87.88,89.17,87.54,89.17,9152900,88.07
21-Oct-13,87.72,87.8,87.19,87.7,3883500,86.62
18-Oct-13,86.31,87.76,86.27,87.34,6752700,86.26
17-Oct-13,85.33,85.99,84.95,85.85,3850700,84.79
16-Oct-13,86.06,86.49,85.6,86.27,3549500,84.62
15-Oct-13,86.24,86.75,85.69,85.75,4896500,84.11
14-Oct-13,85.06,86.42,84.86,86.24,4689600,84.59
11-Oct-13,84.64,85.85,84.35,85.61,4110300,83.97
10-Oct-13,84.44,84.95,84.07,84.73,4317100,83.11
9-Oct-13,83.05,83.89,82.45,83.52,4577500,81.92
8-Oct-13,83.54,83.89,82.63,82.85,5671300,81.26
7-Oct-13,83.46,84.16,83.3,83.53,3364300,81.93
4-Oct-13,83.97,84.35,83.54,84.2,3212000,82.59
3-Oct-13,83.89,84.27,83.42,83.97,4223500,82.36
2-Oct-13,83.52,84.25,83.33,84.07,3324900,82.46
1-Oct-13,83.56,84.3,83.08,83.76,3866000,82.15
30-Sep-13,82.95,83.83,82.83,83.4,5401500,81.8
27-Sep-13,83.62,83.92,83.38,83.8,3017600,82.19
26-Sep-13,84.59,84.85,83.9,84.2,3475100,82.59
25-Sep-13,85.14,85.55,84.43,84.5,3824700,82.88
24-Sep-13,85.13,85.44,84.53,85.11,3720900,83.48
23-Sep-13,85,85.39,84.38,85.03,6048400,83.4
20-Sep-13,87.61,87.65,84.75,84.75,13435200,83.12
19-Sep-13,88.04,88.25,87.31,87.75,4765200,86.07
18-Sep-13,86.31,88.01,86.2,87.84,5564700,86.16
17-Sep-13,87.36,87.45,86.67,87.07,3415400,85.4
16-Sep-13,87.96,88.22,87.03,87.18,4866600,85.51
13-Sep-13,87.1,87.2,86.38,87.01,3276000,85.34
12-Sep-13,86.94,87.22,86.62,86.84,3980600,85.17
11-Sep-13,86.5,87.13,86.26,87.13,4382900,85.46
10-Sep-13,86.81,86.89,86.18,86.61,6298400,84.95
9-Sep-13,84.04,86.03,84.02,85.59,6702200,83.95
6-Sep-13,83.22,84.22,82.4,83.39,5566500,81.79
5-Sep-13,83.37,83.52,82.71,82.95,3728400,81.36
4-Sep-13,82.75,83.74,82.3,83.54,4482200,81.94
3-Sep-13,83.15,83.54,81.72,82.51,7544200,80.93
30-Aug-13,82.59,82.76,82.21,82.54,4425700,80.96
29-Aug-13,82.5,83.06,82.02,82.53,3706400,80.95
28-Aug-13,81.81,82.66,81.46,82.45,6762900,80.87
27-Aug-13,82.88,83.54,82.48,82.7,5569900,81.11
26-Aug-13,83.98,84.78,83.52,83.56,4123300,81.96
23-Aug-13,84.38,84.4,83.4,83.89,4487200,82.28
22-Aug-13,83.31,84.49,83.06,84.17,4739900,82.56
21-Aug-13,83.52,83.85,82.83,82.94,5562600,81.35
20-Aug-13,83.8,84.46,83.27,83.86,4690000,82.25
19-Aug-13,85.15,85.5,83.95,84.2,3766000,82.59
16-Aug-13,85.85,86.4,85.14,85.16,4706500,83.53
15-Aug-13,84.96,86.53,84.88,85.86,5138900,84.21
14-Aug-13,86.86,87,85.71,85.82,4462900,84.17
13-Aug-13,86.62,87.43,86.45,86.57,6710300,84.91
12-Aug-13,84.19,86.45,84.06,86.32,8608300,84.66
9-Aug-13,83.8,84.79,83.5,84.51,5478600,82.89
8-Aug-13,82.95,84.59,82.92,83.96,6400600,82.35
7-Aug-13,82.38,82.77,81.8,82.43,4292400,80.85
6-Aug-13,83.31,83.32,82.15,82.53,7223600,80.95
5-Aug-13,84.11,84.29,83.5,83.56,3758400,81.96
2-Aug-13,84.29,84.68,83.5,84.3,4864700,82.68
1-Aug-13,83.62,84.81,83.11,84.44,6570400,82.82
31-Jul-13,83.58,83.9,82.84,82.91,7012900,81.32
30-Jul-13,83.47,83.75,82.66,83.19,5266000,81.59
29-Jul-13,82.42,83.35,82,83.02,9068800,81.43
26-Jul-13,81.88,82.08,81.43,82.06,5727000,80.49
25-Jul-13,82.05,82.58,81.35,82.14,9941300,80.56
24-Jul-13,84.58,85.28,82.64,83.44,16602100,81.84
23-Jul-13,85.49,86.38,85.12,85.52,6891800,83.88
22-Jul-13,85.38,86.55,85.38,86,4835000,84.35
19-Jul-13,85.45,85.89,85.15,85.65,5086200,84.01
18-Jul-13,85.88,86.6,85.42,85.72,7045900,84.08
17-Jul-13,88.45,89,85.88,86.67,15077400,84.42
16-Jul-13,87.72,88.53,87.42,88.17,5432100,85.88
15-Jul-13,87.24,88.03,87.19,87.4,4161800,85.13
12-Jul-13,86.63,87.27,86.54,87.17,4876100,84.91
11-Jul-13,86.46,86.89,86.1,86.7,5434500,84.45
10-Jul-13,85.42,85.77,84.79,84.96,4216800,82.75
9-Jul-13,84.07,86.25,83.72,85.33,7882100,83.11
8-Jul-13,82.4,83.2,82.25,83.2,4879100,81.04
5-Jul-13,82.53,82.63,81.4,82.14,4819500,80.01
3-Jul-13,82.15,82.5,81.56,81.85,2928200,79.72
2-Jul-13,82.77,83.59,82.04,82.48,3659900,80.34
1-Jul-13,83.04,83.25,82.27,82.72,4676300,80.57
28-Jun-13,82.76,83.19,82.31,82.49,8448800,80.35
27-Jun-13,82.55,83.17,82.55,82.96,4658000,80.81
26-Jun-13,82.92,83.43,81.7,82.1,6950600,79.97
25-Jun-13,82.34,82.68,81.97,82.33,6249000,80.19
24-Jun-13,82.06,82.25,80.86,81.52,7525600,79.4
21-Jun-13,84.02,84.02,81.93,83.12,9736500,80.96
20-Jun-13,83.19,83.68,82.35,83.2,7628100,81.04
19-Jun-13,84.5,85.29,84.25,84.25,4711700,82.06
18-Jun-13,84.09,84.87,83.96,84.55,3723900,82.35
17-Jun-13,83.55,84.43,83.42,83.92,4389500,81.74
14-Jun-13,85.01,85.14,83.4,83.87,5147500,81.69
13-Jun-13,83.32,85.28,83.19,85.14,6352100,82.93
12-Jun-13,84.17,84.38,83.01,83.21,4748100,81.05
11-Jun-13,83.03,83.97,82.63,83.52,5275900,81.35
10-Jun-13,84.71,84.77,83.63,83.8,4965200,81.62
7-Jun-13,84.65,85.37,83.64,84.65,5474100,82.45
6-Jun-13,84.3,84.31,83.3,84,7009400,81.82
5-Jun-13,85.47,85.73,84.23,84.42,7359000,82.23
4-Jun-13,85.95,86.47,85.44,85.92,5105500,83.69
3-Jun-13,85.91,86.3,85.74,86.13,6092700,83.89
31-May-13,86.23,86.95,85.8,85.8,5522300,83.57
30-May-13,86.47,87,85.99,86.41,3568000,84.17
29-May-13,85.73,86.66,85.33,86.49,5110500,84.24
28-May-13,87.04,87.39,85.9,86.19,5800400,83.95
24-May-13,86.26,86.72,85.77,86.21,4637400,83.97
23-May-13,86.03,87.38,85.78,86.95,6026800,84.69
22-May-13,88.09,89.09,87.15,87.7,6479100,85.42
21-May-13,88.65,88.98,87.73,88.1,4730000,85.81
20-May-13,87.57,88.75,87.27,88.33,5603200,86.04
17-May-13,87.39,87.86,87.1,87.67,6690800,85.39
16-May-13,86.55,87.65,86.1,86.78,8192200,84.53
15-May-13,86.97,87.18,86.44,87,6925400,84.74
14-May-13,87.82,88,86.86,87.55,6856900,85.28
13-May-13,88.19,88.49,87.75,88.07,5483600,85.78
10-May-13,89.96,90.25,87.9,88.62,6967500,86.32
9-May-13,89.98,90.69,89.55,89.95,5166100,87.61
