Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,96.36,96.82,96.26,96.63,690500,96.08
30-Dec-13,95.62,96.38,95.51,96.14,470200,95.59
27-Dec-13,95.89,96.16,95.47,95.75,439000,95.2
26-Dec-13,95.31,96.07,95.04,95.82,944900,95.27
24-Dec-13,94.69,95.28,94.51,95.22,323400,94.67
23-Dec-13,94.94,95.13,94.43,94.58,585400,94.04
20-Dec-13,93.86,94.9,93.86,94.44,1839900,93.9
19-Dec-13,92.46,93.83,92.38,93.63,993600,93.09
18-Dec-13,92.57,92.88,91.91,92.83,1996200,92.3
17-Dec-13,93.06,93.25,92.39,92.54,828800,91.57
16-Dec-13,93.4,93.54,93.02,93.12,870400,92.15
13-Dec-13,92.96,93.41,92.77,92.98,684700,92.01
12-Dec-13,93.37,93.84,92.81,92.85,1163700,91.88
11-Dec-13,94.27,94.38,93.32,93.44,1357300,92.46
10-Dec-13,94.47,95,94.12,94.12,1011200,93.13
9-Dec-13,94.98,95.11,94.43,94.77,721900,93.78
6-Dec-13,94.12,95.09,93.9,94.85,682600,93.86
5-Dec-13,93.75,94.04,92.99,93.09,1341300,92.12
4-Dec-13,94.86,95.94,93.39,94.1,1450500,93.12
3-Dec-13,95.13,96.19,94.94,95.4,1359900,94.4
2-Dec-13,96.35,96.45,95.37,95.45,1399300,94.45
29-Nov-13,97.47,97.79,96.4,96.45,541400,95.44
27-Nov-13,97.11,97.44,97,97.34,653300,96.32
26-Nov-13,97.04,97.39,96.82,97.11,902200,96.09
25-Nov-13,97.02,97.28,96.93,97.04,496000,96.02
22-Nov-13,95.96,96.9,95.86,96.84,466600,95.83
21-Nov-13,94.91,96.33,94.74,96.12,934500,95.11
20-Nov-13,94.6,95.17,94.23,94.56,1133200,93.57
19-Nov-13,94.74,95.02,94.54,94.7,509700,93.71
18-Nov-13,94.75,95.15,94.22,94.72,645000,93.73
15-Nov-13,94.69,94.99,94.64,94.82,700500,93.83
14-Nov-13,94.01,94.8,93.62,94.78,884600,93.79
13-Nov-13,92.8,93.98,92.55,93.97,826100,92.99
12-Nov-13,94.17,94.39,92.6,92.91,1279100,91.94
11-Nov-13,94.12,94.73,93.99,94.54,656400,93.55
8-Nov-13,93.52,94.37,93.52,94.32,964800,93.33
7-Nov-13,94,94.2,93.45,93.54,1003800,92.56
6-Nov-13,93,94,93,93.9,1188200,92.92
5-Nov-13,92.5,92.84,92.22,92.83,750900,91.86
4-Nov-13,92.43,92.7,92.24,92.59,460400,91.62
1-Nov-13,92.1,92.27,91.83,92.09,799900,91.13
31-Oct-13,92.87,92.89,92.07,92.08,938300,91.12
30-Oct-13,93.2,93.38,92.32,92.74,854800,91.77
29-Oct-13,93.01,93.25,92.71,93.24,829200,92.26
28-Oct-13,92.26,92.88,92.2,92.6,1117900,91.63
25-Oct-13,92.87,93.49,92,92.2,1731000,91.24
24-Oct-13,93.77,93.79,92.67,92.94,1602000,91.97
23-Oct-13,93.84,93.96,92.74,93.19,855000,92.21
22-Oct-13,93.94,94.2,93.43,93.93,1193500,92.95
21-Oct-13,92.47,93.34,92.47,93.16,702700,92.18
18-Oct-13,92.66,92.83,92,92.71,965000,91.74
17-Oct-13,90.78,92.29,90.69,92.21,714300,91.24
16-Oct-13,90.22,91.42,90.11,91.4,855300,90.44
15-Oct-13,90.06,90.52,89.67,89.76,691300,88.82
14-Oct-13,89.69,90.46,89.56,90.38,581900,89.43
11-Oct-13,89.18,90.28,89.1,90.16,764600,89.22
10-Oct-13,88.4,89.5,88.4,89.38,1131100,88.44
9-Oct-13,88.07,88.28,87.34,87.58,801500,86.66
8-Oct-13,88.82,89.03,87.94,87.98,1211600,87.06
7-Oct-13,88.38,88.98,87.86,88.5,722400,87.57
4-Oct-13,88.29,88.89,88.12,88.87,650700,87.94
3-Oct-13,89.04,89.16,88.11,88.3,684000,87.38
2-Oct-13,88.92,89.29,88.34,89.29,1085100,88.36
1-Oct-13,89.31,89.71,89.03,89.26,680500,88.33
30-Sep-13,89.06,89.67,88.83,89.26,1133700,88.33
27-Sep-13,89.81,89.84,89.3,89.65,752800,88.71
26-Sep-13,90.15,90.55,89.54,90.02,693200,89.08
25-Sep-13,89.7,90.32,89.5,90.1,849300,89.16
24-Sep-13,89.47,90.11,89.42,89.55,1232400,88.61
23-Sep-13,89.88,90.06,89.43,89.77,837800,88.83
20-Sep-13,89.89,90.7,89.68,89.98,1658300,89.04
19-Sep-13,89.46,90.21,89.43,89.81,951200,88.87
18-Sep-13,88.28,89.42,87.96,89.29,1073500,88.36
17-Sep-13,88.37,88.88,88.37,88.76,812000,87.4
16-Sep-13,88.58,88.73,88.18,88.37,882300,87.01
13-Sep-13,87.23,87.8,87.15,87.61,640700,86.26
12-Sep-13,87.58,87.58,86.98,87.14,927000,85.8
11-Sep-13,86.57,87.7,86.45,87.7,1110200,86.35
10-Sep-13,86.44,86.55,85.95,86.52,1186100,85.19
9-Sep-13,84.36,85.82,84.36,85.79,960100,84.47
6-Sep-13,84.73,84.84,83.32,84.3,860000,83
5-Sep-13,84.04,84.8,83.92,84.46,1207300,83.16
4-Sep-13,83.58,84.33,83.32,84.11,862800,82.82
3-Sep-13,84.14,84.38,83.33,83.83,1058900,82.54
30-Aug-13,83.61,83.61,82.8,83.17,920400,81.89
29-Aug-13,83.26,83.74,83.08,83.34,613300,82.06
28-Aug-13,83.49,83.73,83.18,83.43,931700,82.15
27-Aug-13,83.5,84.24,83.1,83.47,1145400,82.19
26-Aug-13,85.2,85.25,84.26,84.26,962700,82.96
23-Aug-13,85,85.24,84.38,85.15,867800,83.84
22-Aug-13,84.22,85.09,84.08,84.93,671500,83.62
21-Aug-13,84.44,84.88,83.95,84.08,1142600,82.79
20-Aug-13,84.15,84.88,84.09,84.61,871000,83.31
19-Aug-13,84.71,84.75,84.11,84.16,1089000,82.87
16-Aug-13,84.8,85.45,84.76,84.98,1131400,83.67
15-Aug-13,85.49,85.67,84.82,85.01,837400,83.7
14-Aug-13,85.75,86.07,85.6,85.9,1058500,84.58
13-Aug-13,85.83,86.16,85,85.93,936200,84.61
12-Aug-13,85.38,85.92,85.13,85.52,1417000,84.21
9-Aug-13,85.4,85.79,85.09,85.49,816400,84.18
8-Aug-13,85.41,86.04,85.02,85.46,1309900,84.15
7-Aug-13,85.42,86.19,84.81,85.11,1136300,83.8
6-Aug-13,86.15,86.3,85.33,85.59,1267200,84.27
