Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,168.78,170.09,167.81,168.97,1490400,168.97
30-Dec-13,168.89,169.95,168,168.98,1240900,168.98
27-Dec-13,169.21,170.47,168.3,168.93,1257400,168.93
26-Dec-13,167.39,169.84,167.38,169.14,1219400,169.14
24-Dec-13,167.69,168.34,166.05,167.42,820200,167.42
23-Dec-13,168.76,169.7,167,168.35,1748000,168.35
20-Dec-13,164.7,168,164.61,167.48,3643500,167.48
19-Dec-13,162.19,164.3,162,164.02,2166400,164.02
18-Dec-13,161.03,162.49,157.18,162.48,3516500,162.48
17-Dec-13,164.04,164.17,160,160.79,2621200,160.79
16-Dec-13,166,167.79,163.29,163.38,2457700,163.38
13-Dec-13,166.81,166.85,164,164.9,2702000,164.9
12-Dec-13,165.36,168.32,165,165.52,2124400,165.52
11-Dec-13,169.28,170.49,165.71,166.05,3076400,166.05
10-Dec-13,170.53,172.95,168.24,170.77,3400300,170.77
9-Dec-13,170.47,173.8,168.57,170.01,5024500,170.01
6-Dec-13,167.18,167.25,163.94,166.43,2547000,166.43
5-Dec-13,163.32,166,162.26,164.51,3280800,164.51
4-Dec-13,159.5,161.45,158.05,160.07,1794100,160.07
3-Dec-13,161.7,162.68,159.59,159.93,2411300,159.93
2-Dec-13,161.87,163.18,160.31,163.11,1831500,163.11
29-Nov-13,161.83,162.57,161.58,161.77,1078900,161.77
27-Nov-13,163.72,163.95,160.71,161.52,1984100,161.52
26-Nov-13,164.68,164.92,162.15,163.43,2609000,163.43
25-Nov-13,164.73,165.74,162.63,163.96,3305900,163.96
22-Nov-13,161,164,160.45,163.33,3620400,163.33
21-Nov-13,156.18,159.43,156,158.61,2691400,158.61
20-Nov-13,154.64,157.09,154.14,155.53,2336500,155.53
19-Nov-13,153.43,154.6,152.18,154.44,3155300,154.44
18-Nov-13,151.49,155.25,151.21,152.98,3244100,152.98
15-Nov-13,149.9,151.45,148.09,151.11,2543900,151.11
14-Nov-13,149.29,150.74,148.53,150,2410900,150
13-Nov-13,147.37,149.94,147.11,149.28,3481600,149.28
12-Nov-13,147.74,149.5,146.52,149.41,2586700,149.41
11-Nov-13,149,149.97,147.4,148.48,1820500,148.48
8-Nov-13,145.89,149.97,145.23,148.92,3210800,148.92
7-Nov-13,147.09,149.68,142.1,144.99,5679200,144.99
6-Nov-13,151.04,151.99,144.37,144.49,5065200,144.49
5-Nov-13,149.63,152.19,148.6,150.74,2371200,150.74
4-Nov-13,151.94,152.89,150.26,150.72,2380500,150.72
1-Nov-13,149.27,151.45,149.06,151.31,2365100,151.31
