Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,65.42,65.52,65,65.21,1827400,64.87
30-Dec-13,65.43,65.61,65.2,65.43,1892700,65.09
27-Dec-13,65.07,65.45,64.99,65.37,1814500,65.03
26-Dec-13,64.71,64.87,64.49,64.83,1683300,64.49
24-Dec-13,64.71,64.89,64.55,64.71,1051200,64.37
23-Dec-13,64.92,64.92,64.35,64.63,2525900,64.29
20-Dec-13,64.27,65.05,64.17,64.74,4667700,64.4
19-Dec-13,64.43,64.56,64.05,64.24,3558000,63.9
18-Dec-13,63.78,64.68,62.8,64.64,3940300,64.3
17-Dec-13,64,64.08,63.28,63.58,2243900,63.25
16-Dec-13,64.14,64.4,63.83,64.04,2676600,63.7
13-Dec-13,64.13,64.26,63.64,63.98,2130400,63.64
12-Dec-13,65.02,65.08,63.96,63.97,3165000,63.63
11-Dec-13,64.83,65.34,64.75,64.94,3187900,64.6
10-Dec-13,65.46,65.46,64.56,64.69,3225300,64.35
9-Dec-13,65.73,65.99,65.5,65.69,2340700,65.35
6-Dec-13,65.13,65.87,65.09,65.66,2389300,65.32
5-Dec-13,64.84,65.05,64.47,64.54,2057100,64.2
4-Dec-13,64.94,65.14,64.32,65.04,2762600,64.7
3-Dec-13,65.01,65.43,64.88,65.37,2183700,65.03
2-Dec-13,65.64,65.96,65.06,65.28,2458500,64.94
29-Nov-13,65.9,66.4,65.73,65.81,1621600,65.46
27-Nov-13,66.23,66.25,65.44,65.83,1764000,65.48
26-Nov-13,66.1,66.44,65.78,66.01,2539800,65.66
25-Nov-13,66.42,66.49,65.83,65.95,2165800,65.6
22-Nov-13,65.96,66.42,65.84,66.26,2780700,65.91
21-Nov-13,65.37,66.04,65.32,65.98,3404500,65.63
20-Nov-13,65.44,65.75,65.04,65.26,2202300,64.92
19-Nov-13,64.97,65.39,64.95,65.28,2381900,64.94
18-Nov-13,65.8,65.93,65.02,65.18,2039200,64.84
15-Nov-13,65.72,65.97,65.38,65.78,2364300,65.43
14-Nov-13,65.33,65.71,65.24,65.6,2673700,65.26
