Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,93.76,93.85,92.45,92.76,899400,92.02
30-Dec-13,92.96,93.78,92.81,93.7,638300,92.95
27-Dec-13,93.1,93.5,93,93.28,493500,92.53
26-Dec-13,93.03,93.03,92.38,92.69,407200,91.95
24-Dec-13,92.75,93.11,92.39,92.66,333500,91.92
23-Dec-13,93.17,93.42,92.27,92.49,805400,91.75
20-Dec-13,92.73,93.19,92.51,92.96,1146500,92.22
19-Dec-13,93.38,93.5,92.24,92.54,884400,91.8
18-Dec-13,92.29,93.43,91.56,93.4,1572300,92.65
17-Dec-13,93.19,93.28,91.54,92.24,979600,91.5
16-Dec-13,93.54,94.25,93,93.34,775300,92.59
13-Dec-13,93.59,93.67,92.94,93.25,579200,92.5
12-Dec-13,94.79,95.13,93.2,93.31,1396700,92.56
11-Dec-13,94.74,95.63,94.43,94.6,754000,93.84
10-Dec-13,95.67,95.69,94.1,94.51,1249000,93.75
9-Dec-13,95.86,96.76,95.49,95.78,1617300,95.01
6-Dec-13,93.61,95.9,93.52,95.83,1725700,95.06
5-Dec-13,93.45,93.6,92.58,92.95,1562600,92.21
4-Dec-13,92.73,93.99,92.07,93.83,2015500,93.08
3-Dec-13,92.32,93.31,92.26,93.29,804800,92.54
2-Dec-13,93.43,93.43,92.34,92.53,1056000,91.79
29-Nov-13,93.47,93.76,93.04,93.17,287800,92.43
27-Nov-13,93.21,93.37,92.49,93.16,678100,92.42
26-Nov-13,92.59,93.47,92.48,93.01,1258700,92.27
25-Nov-13,92.64,93.21,92.22,92.64,1367200,91.9
22-Nov-13,93.81,94.05,93.37,93.7,954100,92.95
21-Nov-13,92.89,94.11,92.69,93.91,1190900,93.16
20-Nov-13,92,93.01,92,92.51,730000,91.77
19-Nov-13,92.29,92.7,92.03,92.08,876500,91.34
18-Nov-13,93.8,93.8,92.44,92.62,1588100,91.88
15-Nov-13,92.75,93.61,92.7,93.6,1383800,92.85
14-Nov-13,92.07,92.99,92.04,92.94,1026200,92.2
13-Nov-13,90.63,92.49,90.63,92.42,1246100,91.68
