Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,78.93,79.46,78.13,78.46,1307600,77.98
30-Dec-13,79.11,79.18,77.59,78.44,2752800,77.96
27-Dec-13,80.21,80.21,78.83,78.91,1438400,78.42
26-Dec-13,80.37,80.78,79.55,79.88,2441800,79.39
24-Dec-13,80.38,80.46,78.68,80.03,1715300,79.54
23-Dec-13,84.36,84.43,82.33,83.12,1962700,80.02
20-Dec-13,83.6,84.41,83.3,83.79,2693400,80.67
19-Dec-13,84.16,84.7,83.59,83.68,2118300,80.56
18-Dec-13,83.2,84.71,82.42,84.64,2379700,81.49
17-Dec-13,82.21,83.06,82.1,82.89,2430700,79.8
16-Dec-13,82,82.96,81.85,82.36,1968200,79.29
13-Dec-13,80.14,81.86,80.11,81.51,1792000,78.47
12-Dec-13,79.05,80.13,78.51,80.11,1519900,77.13
11-Dec-13,79.69,80.24,78.79,78.93,1351900,75.99
10-Dec-13,80.66,80.95,78.96,79.74,1615700,76.77
9-Dec-13,79.97,81.83,79.96,81.03,1846200,78.01
6-Dec-13,79.44,80.06,78.48,79.97,2648900,76.99
5-Dec-13,79.8,80.34,77.93,79.11,2882200,75.73
4-Dec-13,80.59,81.18,79.32,80.06,2536700,76.64
3-Dec-13,81.18,81.58,80.4,80.97,1319000,77.51
2-Dec-13,82.02,82.31,81.33,81.39,1364900,77.91
29-Nov-13,82.08,82.45,81.76,81.95,667000,78.45
27-Nov-13,82.44,82.53,81.75,82.31,1020200,78.79
26-Nov-13,82.17,82.86,81.57,81.95,1940500,78.45
25-Nov-13,83.99,84,82.14,82.29,1305600,78.78
22-Nov-13,83.34,84.35,83.34,83.85,1756400,80.27
21-Nov-13,81.53,83.82,81.48,83.58,1979300,80.01
20-Nov-13,81.26,82.5,80.92,81.42,2050400,77.94
19-Nov-13,79.93,81.26,79.31,81.14,1776300,77.67
18-Nov-13,79.59,80.78,79.15,79.77,1984300,76.36
15-Nov-13,78.71,79.69,78.71,79.56,1531000,76.16
14-Nov-13,78.69,79.05,77.8,78.84,1022800,75.47
13-Nov-13,78.46,78.68,77.58,78.63,1345000,75.27
12-Nov-13,77.9,78.7,77.62,78.57,1901600,75.21
11-Nov-13,77.28,78.85,77.25,77.94,1462600,74.61
8-Nov-13,74.83,78.03,74.65,77.81,2152600,74.49
7-Nov-13,74.75,75.85,74.61,74.66,1647000,71.47
6-Nov-13,73.66,74.8,73.55,74.73,1053000,71.54
5-Nov-13,73.91,75.03,73.66,73.66,1408300,70.51
4-Nov-13,73.93,74.33,72.17,73.82,2151300,70.67
1-Nov-13,74.2,75.19,74.2,74.7,1372400,71.51
31-Oct-13,75.06,75.18,74.17,74.21,1504600,71.04
30-Oct-13,75,75.49,74.48,74.95,1221500,71.75
29-Oct-13,75.27,75.58,74.82,75.01,1323800,71.81
28-Oct-13,76.46,76.5,75.1,75.17,1400200,71.96
25-Oct-13,76.86,77.03,76.11,76.5,1181000,73.23
24-Oct-13,77.48,77.92,76.6,76.97,1244700,73.68
23-Oct-13,77.38,77.92,76.86,77.22,1742000,73.92
22-Oct-13,76.87,78.02,76.36,77.73,2435500,74.41
