Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,56.45,56.67,55.75,56.13,2224500,55.74
30-Dec-13,56.14,56.51,55.72,56.39,1632700,56
27-Dec-13,56.75,56.88,55.99,56.27,1225900,55.88
26-Dec-13,56.51,56.88,56.39,56.57,1017600,56.18
24-Dec-13,56.3,56.68,56.05,56.43,872900,56.04
23-Dec-13,56.14,56.23,55.76,56.11,1412500,55.72
20-Dec-13,55.49,56.45,55.41,56.06,3186600,55.67
19-Dec-13,55.7,55.89,55.32,55.43,1671300,55.04
18-Dec-13,55.41,55.75,54.77,55.72,2175300,55.33
17-Dec-13,55.43,55.47,54.93,55.3,1960900,54.91
16-Dec-13,55.6,55.83,54.9,55.32,2503100,54.93
13-Dec-13,55.52,56.1,55.36,55.5,1886700,55.11
12-Dec-13,55.43,56.09,55.18,55.52,2635700,55.13
11-Dec-13,55.89,56.13,55.38,55.46,2936500,55.07
10-Dec-13,56.13,56.27,55.51,56.15,3254000,55.76
9-Dec-13,56.3,56.68,55.97,56.06,3047600,55.67
6-Dec-13,56.08,56.37,55.17,55.62,2474400,55.23
5-Dec-13,56.3,56.45,55.35,55.72,3170900,55.33
4-Dec-13,55.72,56.56,55.61,56.47,3336100,56.08
3-Dec-13,56.5,57,56.15,56.65,4421100,55.92
2-Dec-13,57.45,57.71,56.39,56.54,7634600,55.81
29-Nov-13,57.25,57.95,57.15,57.9,2832200,57.15
27-Nov-13,56.28,57.41,56.14,57.13,5042300,56.39
26-Nov-13,54.86,57.15,54.76,56.36,10365100,55.63
25-Nov-13,54.09,54.63,54.03,54.56,2727600,53.86
22-Nov-13,54.2,54.3,53.73,54.22,2618300,53.52
21-Nov-13,53.44,54.13,53.21,53.97,3211600,53.27
20-Nov-13,54.2,54.74,53.3,53.45,5637100,52.76
19-Nov-13,53.93,54.27,53.8,53.95,2650200,53.25
18-Nov-13,54.19,54.32,53.91,54.03,3676700,53.33
15-Nov-13,53.88,54.37,53.46,54.14,5375100,53.44
14-Nov-13,53.37,53.81,53.12,53.65,3986600,52.96
13-Nov-13,52.26,53.39,52.25,53.31,3910200,52.62
12-Nov-13,52.01,52.66,51.98,52.48,3093200,51.8
11-Nov-13,51.69,52.2,51.57,52.03,2517600,51.36
8-Nov-13,51.12,51.85,50.96,51.81,3375600,51.14
7-Nov-13,52.31,52.49,51.43,51.68,4063800,51.01
6-Nov-13,51.77,52.35,51.55,52.31,3950300,51.63
5-Nov-13,51,51.98,50.77,51.77,4616600,51.1
4-Nov-13,50.5,51.35,50.49,51.06,3765300,50.4
1-Nov-13,50.88,51.05,50.16,50.42,3464300,49.77
31-Oct-13,51.03,51.12,50.51,50.68,3903800,50.03
30-Oct-13,50.92,51.13,50.65,50.83,4081700,50.17
29-Oct-13,50.3,50.8,50.28,50.76,4346900,50.1
28-Oct-13,49.9,50.29,49.51,50.18,4641600,49.53
25-Oct-13,49.49,50.02,49.45,49.89,5401300,49.25
24-Oct-13,48.52,49.19,48.25,49.09,6640200,48.46
23-Oct-13,49.59,49.61,47.89,48.55,15100800,47.92
22-Oct-13,49.8,50.86,49.5,50.1,20707100,49.45
21-Oct-13,53.98,54.34,53.19,54.18,6048800,53.48
18-Oct-13,54.2,54.38,53.62,53.87,4775200,53.17
17-Oct-13,53.91,54.84,53.46,54.14,5185100,53.44
16-Oct-13,53.97,54.29,53.62,53.95,4328400,53.25
15-Oct-13,54.06,54.07,53.45,53.63,4793900,52.94
14-Oct-13,53.57,54.12,53.17,54.12,4298100,53.42
11-Oct-13,54.22,54.59,53.94,54.59,2547500,53.89
10-Oct-13,54.45,54.76,54.17,54.19,2926000,53.49
9-Oct-13,53.49,54.27,53.13,53.86,3539800,53.16
8-Oct-13,54.42,54.47,53.3,53.59,3811100,52.9
7-Oct-13,54.53,55.24,54.32,54.39,2379100,53.69
4-Oct-13,54.34,55.42,54.22,55.03,3598200,54.32
3-Oct-13,54.4,55.13,54.07,54.34,3746400,53.64
2-Oct-13,54.15,54.34,53.8,54.3,2759900,53.6
1-Oct-13,54.64,54.7,54.19,54.35,2730800,53.65
30-Sep-13,53.91,54.6,53.59,54.53,2004600,53.83
27-Sep-13,54.49,54.6,54.16,54.24,2209500,53.54
26-Sep-13,54.49,54.86,54.25,54.5,2662500,53.8
25-Sep-13,54.73,54.82,53.79,54.22,3179500,53.52
24-Sep-13,54.44,55.09,54.11,54.73,2625900,54.02
23-Sep-13,55,55.01,54.16,54.61,2428400,53.91
20-Sep-13,55.38,55.42,54.62,55.04,3700600,54.33
19-Sep-13,55.5,55.78,55.25,55.38,1885600,54.67
18-Sep-13,55.24,55.5,54.1,55.39,3149000,54.68
17-Sep-13,54.98,55.43,54.82,55.28,3952100,54.57
16-Sep-13,55.19,55.81,54.8,54.98,3830100,54.27
13-Sep-13,53.85,54.63,53.83,54.63,2959700,53.92
12-Sep-13,54.24,54.32,53.77,53.9,2715700,53.2
11-Sep-13,53.8,54.3,53.52,54.18,2286500,53.48
10-Sep-13,53.75,53.89,53.2,53.75,2143400,53.06
9-Sep-13,53.18,53.61,53.05,53.48,2097900,52.79
6-Sep-13,53.62,53.67,52.72,53.08,2779800,52.39
5-Sep-13,53.15,53.58,53.07,53.4,3647800,52.71
4-Sep-13,53.15,54,53.15,53.41,3316000,52.39
3-Sep-13,53.34,53.47,52.87,53.16,3316900,52.14
30-Aug-13,52.58,53.03,52.4,52.81,2758500,51.8
29-Aug-13,52.27,52.96,52,52.58,2304600,51.57
28-Aug-13,51.97,52.59,51.73,52.31,2698400,51.31
27-Aug-13,52.04,52.42,51.63,51.99,2682900,50.99
26-Aug-13,52.78,53.11,52.54,52.54,1953500,51.53
23-Aug-13,52.84,52.9,52.43,52.72,2290900,51.71
22-Aug-13,52.59,52.8,52.15,52.7,2010500,51.69
21-Aug-13,52.09,52.94,52.01,52.33,3391900,51.33
20-Aug-13,51.75,52.83,51.73,52.06,2395200,51.06
19-Aug-13,51.8,52.12,51.53,51.85,3116200,50.86
16-Aug-13,52.33,52.53,51.85,51.9,3463800,50.91
15-Aug-13,52.8,53.15,52.28,52.46,2964800,51.46
14-Aug-13,53.29,53.5,52.88,53.23,2166700,52.21
13-Aug-13,53.23,53.39,52.89,53.29,2357500,52.27
12-Aug-13,53.07,53.55,52.6,53.06,3271200,52.04
9-Aug-13,53.97,54.11,53.06,53.37,3712700,52.35
8-Aug-13,54.1,54.49,53.84,53.87,4099400,52.84
7-Aug-13,53.64,54.01,53.43,53.81,3270800,52.78
6-Aug-13,53.87,54.04,53.29,53.94,4082900,52.91
5-Aug-13,53.57,54.28,53.52,53.8,3979100,52.77
2-Aug-13,53.12,53.78,53.05,53.33,3909500,52.31
1-Aug-13,53.62,53.97,52.94,53.32,5100900,52.3
31-Jul-13,52.59,53.35,52.4,53.13,6794800,52.11
30-Jul-13,52.6,54.07,52.1,53.3,16270500,52.28
29-Jul-13,58.8,58.8,57.38,57.85,6153700,56.74
26-Jul-13,58.29,59.21,57.85,59.18,3123200,58.05
25-Jul-13,59.26,59.57,59.07,59.55,1942000,58.41
24-Jul-13,59.5,59.58,58.9,59.36,2593300,58.22
23-Jul-13,59.08,59.5,58.98,59.45,1682400,58.31
22-Jul-13,59.19,59.32,58.68,59.09,1751200,57.96
19-Jul-13,59,59.45,58.73,59.31,2878200,58.17
18-Jul-13,58.39,58.89,58.19,58.8,2230000,57.67
17-Jul-13,58.3,58.79,57.8,58.07,2477600,56.96
16-Jul-13,59.2,59.32,57.83,58.25,2986200,57.13
15-Jul-13,58.99,59.3,58.63,59.18,1264100,58.05
12-Jul-13,58.99,59.32,58.29,59,1667200,57.87
11-Jul-13,59.25,59.36,58.83,59.05,1626200,57.92
10-Jul-13,58.81,58.83,58.09,58.6,2128800,57.48
9-Jul-13,58.05,58.29,57.69,58.01,2270400,56.9
8-Jul-13,57.72,57.99,57.34,57.75,2064500,56.64
5-Jul-13,56.9,57.73,56.61,57.45,1708100,56.35
3-Jul-13,56.1,56.91,55.84,56.46,1096600,55.38
2-Jul-13,56.96,57.32,56.2,56.6,2141100,55.52
1-Jul-13,57.35,57.72,56.91,57.02,2054800,55.93
28-Jun-13,56.27,57.69,56.24,57.09,4641800,56
27-Jun-13,56.51,56.68,56.09,56.38,1837900,55.3
26-Jun-13,55.79,56.43,55.59,55.99,2636500,54.92
25-Jun-13,55.4,55.97,54.94,55.14,3051900,54.08
24-Jun-13,55.76,55.81,53.79,55.27,5269200,54.21
21-Jun-13,57.78,57.89,56.1,56.54,3980200,55.46
20-Jun-13,57.75,57.94,57.09,57.29,3298500,56.19
19-Jun-13,58.5,59,58.08,58.19,2263900,57.08
18-Jun-13,58.08,58.49,57.64,58.48,2105500,57.36
17-Jun-13,58.8,59.49,57.78,58.13,4015700,57.02
14-Jun-13,58.59,58.81,58.21,58.52,3712100,57.4
13-Jun-13,57.82,58.93,57.45,58.7,3576300,57.58
12-Jun-13,58.76,58.76,57.05,57.72,5045500,56.61
11-Jun-13,57.95,58.8,57.81,58.45,3011500,57.33
10-Jun-13,58.8,59.04,58.21,58.69,1993000,57.57
7-Jun-13,58,59,57.84,58.75,3348900,57.62
6-Jun-13,57.41,57.53,57,57.52,3735800,56.42
5-Jun-13,58.21,58.26,57.29,57.57,4128700,56.47
4-Jun-13,58.07,58.88,58,58.57,3704000,57.12
3-Jun-13,58.58,58.99,58.11,58.54,3504300,57.09
31-May-13,58.3,59.17,58.02,58.26,3015000,56.81
30-May-13,58.16,58.83,58.08,58.37,2162000,56.92
29-May-13,58.3,58.63,57.97,58.23,2164200,56.79
28-May-13,58.88,59.54,58.19,58.58,3482600,57.13
24-May-13,58.25,58.31,57,57.76,3474400,56.33
23-May-13,58.35,58.61,57.82,58.59,3061000,57.14
22-May-13,59.59,60.12,58.79,59.05,4217500,57.58
21-May-13,58.94,59.61,58.85,59.6,3992600,58.12
20-May-13,59.25,59.83,58.96,59.53,3662500,58.05
17-May-13,58.51,59.23,58.37,59.23,4440700,57.76
16-May-13,58.88,59.45,58.16,58.38,2926500,56.93
15-May-13,59.07,59.47,58.47,58.85,3240400,57.39
14-May-13,59.2,59.45,58.77,59.1,3080000,57.63
13-May-13,59.14,59.78,59.1,59.18,2933100,57.71
10-May-13,58.41,59.83,58.32,59.5,4640200,58.02
9-May-13,58.84,58.98,58.27,58.53,2979700,57.08
8-May-13,58.12,58.82,57.78,58.74,3464700,57.28
7-May-13,56.65,58.32,56.5,58.28,6214800,56.83
6-May-13,58.26,58.34,57.28,57.33,3827400,55.91
3-May-13,58.56,58.96,58.2,58.25,3417500,56.8
2-May-13,58.2,58.99,57.92,58.18,3960500,56.74
1-May-13,58.8,58.9,58.1,58.24,4145300,56.79
30-Apr-13,58.33,58.95,57.96,58.86,4099700,57.4
29-Apr-13,57.76,58.95,57.25,58.27,5024100,56.82
26-Apr-13,57.48,57.74,57.03,57.42,3534700,56
25-Apr-13,56.2,57.98,56.08,57.53,5640800,56.1
24-Apr-13,55.22,56.51,55.22,56.28,7099800,54.88
23-Apr-13,55.89,56.74,54.97,55.55,20600500,54.17
22-Apr-13,51.22,51.45,50.28,50.59,7837700,49.33
19-Apr-13,50.63,51.79,50.4,51.2,5689000,49.93
18-Apr-13,50.97,52.56,50.44,51.38,8466900,50.11
17-Apr-13,51.04,51.11,50.44,50.85,4729800,49.59
16-Apr-13,51.62,51.74,50.76,51.71,4122700,50.43
15-Apr-13,52.06,52.14,51.21,51.44,5684700,50.16
12-Apr-13,52.05,52.47,51.84,52.37,4361200,51.07
11-Apr-13,51.3,52.75,51.25,52.33,6856200,51.03
10-Apr-13,50.1,51.45,50.1,51.21,6185300,49.94
9-Apr-13,49.9,50.09,49.25,49.93,4760200,48.69
8-Apr-13,50.15,50.48,49.41,50,2940400,48.76
5-Apr-13,49.7,50.18,48.76,50.1,4872300,48.86
4-Apr-13,50.48,50.82,50.06,50.33,4282400,49.08
3-Apr-13,50.5,50.98,50.1,50.55,5055700,49.3
2-Apr-13,50.13,50.87,50.09,50.39,4580200,49.14
1-Apr-13,49.78,50.33,49.45,49.99,4267300,48.75
28-Mar-13,49.47,50.07,49.01,49.99,5568600,48.75
27-Mar-13,49.34,49.9,48.64,49.61,4025800,48.38
26-Mar-13,49.83,49.88,48.83,49.5,3824700,48.27
25-Mar-13,50.44,50.55,49.35,49.72,4373000,48.49
22-Mar-13,50.1,50.65,50.02,50.27,4801200,49.02
21-Mar-13,49.1,50.4,49.1,49.81,7365000,48.57
20-Mar-13,48.8,49.42,48.52,49.29,4121200,48.07
19-Mar-13,49.52,49.69,47.81,48.47,7702500,47.27
18-Mar-13,49.88,50.18,49.13,49.27,6971300,48.05
15-Mar-13,50.25,50.73,50.01,50.41,7035000,49.16
14-Mar-13,49.88,50.4,49.52,49.99,5533500,48.75
13-Mar-13,50.04,50.1,48.91,49.67,7492000,48.44
12-Mar-13,49.69,49.89,48.61,48.81,5777500,47.6
11-Mar-13,49.05,49.81,48.53,49.5,7457900,48.27
8-Mar-13,48.94,49.24,48.38,48.93,12464900,47.72
7-Mar-13,50.1,50.19,48.12,48.54,9074000,47.34
6-Mar-13,50.25,50.42,49.54,49.93,7395300,48.69
5-Mar-13,49.59,50.89,49.54,50.1,5968900,48.56
4-Mar-13,48.24,49.54,48.18,49.28,5047400,47.77
1-Mar-13,48.02,48.52,47.87,48.22,4096100,46.74
