Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,56,56.2,55.77,55.88,485300,55.7
30-Dec-13,55.69,55.98,55.54,55.83,381100,55.65
27-Dec-13,55.8,55.91,55.33,55.63,465000,55.45
26-Dec-13,55.41,55.71,55.29,55.55,474200,55.37
24-Dec-13,54.79,55.56,54.79,55.53,328300,55.16
23-Dec-13,54.9,55.38,54.81,54.92,939000,54.55
20-Dec-13,54.48,54.87,53.61,54.84,1288700,54.47
19-Dec-13,53.8,54.6,53.5,54.35,1334300,53.98
18-Dec-13,53.37,53.53,52.21,53.45,1325100,53.09
17-Dec-13,52.9,53.41,52.61,53.01,947200,52.65
16-Dec-13,52.6,53.31,52.5,53.02,1001300,52.66
13-Dec-13,52.55,52.85,52.06,52.32,974800,51.97
12-Dec-13,52.64,52.64,52.13,52.35,695000,52
11-Dec-13,53.3,53.48,52.83,52.91,779700,52.55
10-Dec-13,53.17,54.07,53.14,53.25,1013900,52.89
9-Dec-13,54.06,54.14,53.18,53.34,850600,52.98
6-Dec-13,53.22,54.22,52.95,54.09,1117400,53.72
5-Dec-13,53.5,53.58,52.74,52.99,960100,52.63
4-Dec-13,52.46,53.85,52.46,53.61,1727800,53.25
3-Dec-13,52.4,53.09,52.4,52.62,1152900,52.26
2-Dec-13,52.62,52.92,52.24,52.74,573100,52.38
29-Nov-13,52.85,52.86,52.53,52.62,208600,52.26
27-Nov-13,52.67,52.93,52.36,52.71,511200,52.35
26-Nov-13,52.97,53.08,52.42,52.67,866700,52.31
25-Nov-13,53.27,53.46,52.78,52.85,706500,52.49
22-Nov-13,53.78,53.78,52.99,53.26,1096600,52.9
21-Nov-13,53.21,53.93,53.18,53.85,648500,53.49
20-Nov-13,53.53,53.87,52.93,53.14,809400,52.78
19-Nov-13,53.53,54.06,53.44,53.55,1614600,53.19
18-Nov-13,53.62,53.93,53.5,53.61,967500,53.25
15-Nov-13,53.11,53.73,53.07,53.59,1092500,53.23
14-Nov-13,52.85,53.3,52.72,53.28,906400,52.92
13-Nov-13,51.65,52.9,51.49,52.88,1050300,52.52
12-Nov-13,51,51.88,50.95,51.84,759300,51.49
11-Nov-13,51.02,51.41,50.91,51.19,687300,50.84
