Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,124.68,125.17,123.93,124.91,3475600,123.81
30-Dec-13,124.79,125.21,123.9,124.23,4688500,123.14
27-Dec-13,125,125.65,124.69,125.23,3455300,124.13
26-Dec-13,123.6,124.99,123.55,124.81,3415200,123.71
24-Dec-13,122.77,123.55,122.7,123.51,1587800,122.42
23-Dec-13,123.41,123.59,122.63,122.8,4062400,121.72
20-Dec-13,122.82,123.79,122.4,122.78,9455200,121.7
19-Dec-13,121.57,123.4,121.06,123.22,6540600,122.14
18-Dec-13,119.33,121.77,119.21,121.6,8206400,120.53
17-Dec-13,120.12,120.23,118.25,118.74,6824000,117.69
16-Dec-13,120.46,120.7,119.81,120.22,7304500,119.16
13-Dec-13,120.44,121.14,119.38,119.9,5268100,118.84
12-Dec-13,121.78,122.1,120.57,120.99,7221200,119.92
11-Dec-13,123.82,123.89,121.8,122.1,7309900,121.02
10-Dec-13,123.79,123.94,122.7,123.66,5602700,122.57
9-Dec-13,122.27,123.88,122.16,123.34,7706500,122.25
6-Dec-13,122.05,122.36,121.65,122.29,4179100,121.21
5-Dec-13,121.27,122,120.71,121.1,4706800,120.03
4-Dec-13,122.1,122.83,121.19,121.77,4391800,120.7
3-Dec-13,122.31,122.9,121.87,122.52,5410200,121.44
2-Dec-13,122.87,123.06,122.05,122.34,5384000,121.26
29-Nov-13,122.83,123.3,122,122.44,3721000,121.36
27-Nov-13,122.62,122.74,121.64,122.42,3906700,121.34
26-Nov-13,123.41,123.7,122.65,122.78,4597500,121.7
25-Nov-13,123.77,124.1,123.22,123.74,3925300,122.65
22-Nov-13,123.54,124.19,122.42,124.03,3887400,122.94
21-Nov-13,122.36,123.6,122.36,123.46,4884300,122.37
20-Nov-13,122.16,122.75,121.6,122,4571300,120.93
19-Nov-13,120.55,122.38,120.27,122.06,5891800,120.99
18-Nov-13,120.71,120.89,120.07,120.56,4788700,119.5
15-Nov-13,119.78,120.27,119.13,120.06,6008000,119
14-Nov-13,119.58,119.93,119.32,119.56,5470900,118.51
13-Nov-13,119.58,120.15,119.19,120.09,6212000,118.04
12-Nov-13,121.03,121.25,119.63,120,6914200,117.95
11-Nov-13,121.18,121.5,120.71,121.08,3427600,119.01
8-Nov-13,119.67,121.21,119.58,121.19,11331000,119.12
7-Nov-13,121.6,121.88,119.42,119.91,10131200,117.86
6-Nov-13,119.3,121.41,118.82,121.14,8373200,119.07
5-Nov-13,117.6,118.9,117.07,118.45,6623300,116.43
4-Nov-13,118.59,118.6,117.32,118.1,6670300,116.09
1-Nov-13,119.04,119.44,117,118.01,9344200,116
31-Oct-13,120.15,121.33,119.83,119.96,7752500,117.91
30-Oct-13,121.54,121.96,119.91,120.3,4999100,118.25
29-Oct-13,121.33,122.01,121.16,121.5,4241700,119.43
28-Oct-13,120.56,121.15,120.09,120.91,5497700,118.85
25-Oct-13,120.59,121.22,120.27,120.59,4273300,118.53
24-Oct-13,120.67,121,119.91,120.56,4188100,118.5
23-Oct-13,120.29,120.64,119.84,120.13,4961900,118.08
22-Oct-13,120.14,120.79,119.71,120.64,6444900,118.58
21-Oct-13,119.63,120.19,119.31,119.82,4360700,117.78
18-Oct-13,119.61,119.85,119.13,119.65,6231100,117.61
17-Oct-13,119.1,119.61,118.67,119.52,5254800,117.48
16-Oct-13,119.42,119.72,118.34,119.16,5614200,117.13
15-Oct-13,118.56,119.07,117.77,118.15,6414700,116.13
14-Oct-13,117.33,118.75,116.32,118.58,4789800,116.56
11-Oct-13,116.57,117.71,115.93,117.67,6535800,115.66
10-Oct-13,115.24,116.38,114.44,116.38,11133000,114.39
9-Oct-13,116.55,116.8,115.32,116.13,8861700,114.15
8-Oct-13,117.89,118.09,116.71,116.73,6744200,114.74
7-Oct-13,117.43,118.5,117.21,117.87,5677400,115.86
4-Oct-13,118.5,118.54,117.52,118.13,6538500,116.11
3-Oct-13,120.62,120.66,117.93,118.25,10203700,116.23
2-Oct-13,121.04,121.18,119.76,120.83,5899800,118.77
1-Oct-13,121.27,121.74,120.84,121.32,4702300,119.25
30-Sep-13,121.6,122.02,120.5,121.5,6421800,119.43
27-Sep-13,123.23,123.26,122.51,122.64,4518800,120.55
26-Sep-13,124.1,124.44,123.02,123.49,5022600,121.38
25-Sep-13,124.77,125.03,124.07,124.07,4498900,121.95
24-Sep-13,125.34,125.84,124.41,124.49,6097900,122.37
23-Sep-13,124.62,125.62,124.57,125.52,5450600,123.38
20-Sep-13,125.66,126.23,124.74,124.92,10264700,122.79
19-Sep-13,125.86,126.12,125.25,125.44,4440800,123.3
18-Sep-13,124.36,126.43,123.82,125.82,6296900,123.67
17-Sep-13,124.1,125.19,124.08,124.34,5458200,122.22
16-Sep-13,124.98,125.19,123.98,124.08,4277800,121.96
13-Sep-13,123.98,124.83,123.81,124.14,3094000,122.02
12-Sep-13,124.05,124.62,123.64,123.89,4529700,121.78
11-Sep-13,123.05,124,122.79,123.92,4995800,121.81
10-Sep-13,122.82,123.01,121.21,123.01,6000800,120.91
9-Sep-13,121.21,122.47,121.21,122.22,4482000,120.14
6-Sep-13,121.53,122.75,119.01,121.21,5690200,119.14
5-Sep-13,121.08,121.67,120.91,121.37,3337300,119.3
4-Sep-13,120.35,121.27,119.94,120.86,3671200,118.8
3-Sep-13,121.34,121.48,120,120.55,4154300,118.49
30-Aug-13,120.52,120.88,120.07,120.43,4696100,118.38
29-Aug-13,121.15,121.56,120.06,120.37,5488800,118.32
28-Aug-13,119.46,122.36,119.46,121.81,7615400,119.73
27-Aug-13,118.24,119.67,118.07,118.81,5185600,116.78
26-Aug-13,119.74,119.92,118.52,118.84,3783400,116.81
23-Aug-13,118.69,119.73,118.12,119.53,4675900,117.49
22-Aug-13,117.94,119.19,117.43,118.29,4028600,116.27
21-Aug-13,118.38,118.5,117.22,117.7,5648600,115.69
20-Aug-13,118.59,119.3,118.29,118.29,4490700,116.27
19-Aug-13,119.69,120,118.52,118.66,4308900,116.64
16-Aug-13,119.89,120.19,119.05,119.88,5652500,117.84
15-Aug-13,120.68,121,120,120.25,4247800,118.2
14-Aug-13,122.76,122.96,121.54,122.05,6884900,118.99
13-Aug-13,121.93,123.23,121.4,122.5,4461000,119.42
12-Aug-13,122,122.07,120.91,121.8,6014800,118.74
9-Aug-13,123.12,123.12,121.68,122.5,5739400,119.42
8-Aug-13,123.88,124.21,121.91,123.07,5639200,119.98
7-Aug-13,123.03,123.92,122.8,123.33,3898500,120.23
6-Aug-13,123.97,124.16,123.01,123.14,4677700,120.05
5-Aug-13,124.72,124.75,123.76,123.99,3733700,120.88
2-Aug-13,124.87,125.1,123.3,124.95,7472700,121.81
1-Aug-13,126.49,126.66,125.64,126.44,5757100,123.26
31-Jul-13,126.02,126.91,125.46,125.89,5394300,122.73
30-Jul-13,126.2,126.96,125.19,125.78,4589500,122.62
29-Jul-13,127.37,127.37,125.89,126.17,4028900,123
26-Jul-13,127.03,127.62,126.09,127.56,4829900,124.36
25-Jul-13,126.14,127.83,125.79,127.76,4466400,124.55
24-Jul-13,127.25,127.63,125.9,126.37,4527800,123.2
23-Jul-13,127.07,127.65,126.7,127.26,3763300,124.06
22-Jul-13,126.71,127.61,126.65,127.03,4056100,123.84
19-Jul-13,125.79,126.91,125.17,126.91,5929900,123.72
18-Jul-13,124.68,125.65,124.64,125.47,4324100,122.32
17-Jul-13,124.65,125,124.29,124.35,3634600,121.23
16-Jul-13,124.71,125.24,123.55,124.12,4002900,121
15-Jul-13,124.11,125.14,124.06,124.68,4062000,121.55
12-Jul-13,123.52,124.15,123.04,124.06,5615000,120.94
11-Jul-13,123.95,124.11,122.51,123.77,7235100,120.66
10-Jul-13,123.45,124.54,122.71,122.9,5549600,119.81
9-Jul-13,122.39,123.74,122.05,123.27,6252900,120.17
8-Jul-13,121.29,122.31,120.98,121.24,4964400,118.2
5-Jul-13,119.69,120.86,119.1,120.51,4386200,117.48
3-Jul-13,119.24,119.3,118.61,119.08,3034800,116.09
2-Jul-13,119.09,120.33,118.59,119.15,4912000,116.16
1-Jul-13,118.35,120.01,118,119.08,5053000,116.09
28-Jun-13,118.79,119.56,118.14,118.34,6504400,115.37
