Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,39.38,39.77,39.16,39.27,750900,39.27
2013-12-30,38.73,39.50,38.52,39.34,1006600,39.34
2013-12-27,38.85,39.04,38.46,38.79,768200,38.79
2013-12-26,38.79,39.04,38.48,38.79,634200,38.79
2013-12-24,37.90,38.62,37.83,38.45,447800,38.45
2013-12-23,38.33,38.74,37.80,37.94,1305600,37.94
2013-12-20,37.06,38.30,37.06,38.29,1877600,38.29
2013-12-19,38.01,38.10,36.52,37.13,1981500,37.13
2013-12-18,38.01,38.39,37.68,38.05,1280100,38.05
2013-12-17,39.20,39.25,37.76,37.92,2227300,37.92
2013-12-16,39.37,39.65,39.24,39.27,652700,39.27
2013-12-13,39.23,39.80,39.05,39.31,1039600,39.31
2013-12-12,39.58,39.76,38.36,39.14,1820100,39.14
2013-12-11,41.50,41.56,39.67,39.73,1806100,39.73
2013-12-10,41.16,41.54,41.03,41.45,955400,41.45
2013-12-09,41.20,41.57,41.05,41.34,665100,41.34
2013-12-06,41.47,41.80,41.14,41.23,584800,41.23
2013-12-05,41.32,41.33,40.80,41.14,841700,41.14
2013-12-04,41.16,41.53,40.87,41.43,1211700,41.43
2013-12-03,41.25,41.60,40.83,41.28,1404700,41.28
2013-12-02,41.40,42.00,41.05,41.45,1271300,41.45
2013-11-29,41.28,41.68,41.01,41.25,330900,41.25
2013-11-27,41.53,41.59,40.94,41.01,1218800,41.01
2013-11-26,40.87,41.60,40.80,41.40,1017000,41.40
2013-11-25,41.27,41.50,40.80,40.96,835200,40.96
2013-11-22,41.22,41.30,40.85,41.09,1267200,41.09
2013-11-21,41.08,41.35,40.89,41.21,732100,41.21
2013-11-20,39.90,41.37,39.90,40.92,2204900,40.92
2013-11-19,41.01,41.17,39.33,39.90,4776600,39.90
2013-11-18,42.68,42.74,41.10,41.17,2559100,41.17
2013-11-15,43.36,43.63,42.50,42.71,878700,42.71
2013-11-14,43.15,43.68,42.62,43.35,1250200,43.35
2013-11-13,42.75,43.50,42.50,43.25,2926400,43.25
2013-11-12,41.97,42.36,41.31,42.34,876800,42.34
2013-11-11,41.43,42.12,41.33,42.10,1035900,42.10
2013-11-08,41.06,42.09,40.77,41.58,2544600,41.58
2013-11-07,42.55,42.78,40.39,40.52,2450300,40.52
2013-11-06,42.53,42.92,42.13,42.56,2241200,42.56
2013-11-05,43.30,43.70,41.97,42.16,1950000,42.16
2013-11-04,42.73,43.96,42.33,43.79,1519400,43.79
2013-11-01,43.63,44.02,42.28,42.72,1533600,42.72
2013-10-31,43.48,46.15,43.43,43.63,3549800,43.63
2013-10-30,43.84,44.31,42.55,42.84,1615300,42.84
2013-10-29,42.39,43.96,42.34,43.77,1392100,43.77
2013-10-28,42.50,43.00,42.38,42.41,604200,42.41
2013-10-25,41.58,42.73,41.45,42.64,933600,42.64
2013-10-24,42.64,42.90,41.05,41.44,1610100,41.44
2013-10-23,43.26,43.27,42.36,42.55,889600,42.55
2013-10-22,42.95,43.64,42.86,43.27,895600,43.27
2013-10-21,44.06,44.06,42.46,42.78,1566800,42.78
2013-10-18,44.21,44.99,43.68,44.12,1442100,44.12
2013-10-17,43.21,43.76,43.00,43.74,792300,43.74
2013-10-16,42.94,43.36,42.65,43.32,813400,43.32
2013-10-15,43.39,43.66,42.59,42.64,833200,42.64
2013-10-14,43.17,43.47,42.29,43.43,1123500,43.43
2013-10-11,42.70,43.62,42.45,43.52,804000,43.52
2013-10-10,43.98,44.26,42.25,42.84,2597200,42.84
2013-10-09,43.85,44.19,43.28,43.83,1435200,43.83
2013-10-08,43.68,44.04,43.47,43.82,1557500,43.82
2013-10-07,43.73,43.82,43.21,43.44,888200,43.44
2013-10-04,44.13,44.31,43.50,43.92,1765700,43.92
2013-10-03,43.14,44.34,43.14,44.08,2739900,44.08
2013-10-02,42.03,43.79,41.99,43.31,2366600,43.31
2013-10-01,41.43,42.99,41.25,42.20,3750300,42.20
2013-09-30,39.74,41.96,39.74,41.50,2553000,41.50
2013-09-27,40.10,40.40,39.68,40.10,1040000,40.10
2013-09-26,39.45,40.63,39.35,40.43,1668600,40.43
2013-09-25,39.32,39.39,38.69,39.18,1392500,39.18
2013-09-24,39.81,40.21,39.29,39.38,1210400,39.38
2013-09-23,39.95,40.02,39.17,39.90,1251500,39.90
2013-09-20,41.23,41.46,39.83,39.92,2547100,39.92
2013-09-19,42.29,42.50,41.16,41.26,1792900,41.26
2013-09-18,41.69,42.43,41.25,42.27,2637000,42.27
2013-09-17,40.87,41.88,40.78,41.85,1599000,41.85
2013-09-16,40.82,41.66,40.44,40.96,2306700,40.96
2013-09-13,38.75,40.54,38.65,40.32,2417900,40.32
2013-09-12,38.69,39.02,37.95,38.56,1553500,38.56
2013-09-11,38.98,39.51,38.49,38.77,1626200,38.77
2013-09-10,38.71,39.07,38.50,39.03,2372500,39.03
2013-09-09,38.41,38.92,37.80,37.99,2760200,37.99
2013-09-06,39.50,40.00,38.91,39.68,2295000,39.68
2013-09-05,39.00,39.58,38.80,39.28,2809200,39.28
2013-09-04,39.43,39.58,38.83,38.87,1644500,38.87
2013-09-03,39.52,40.00,38.72,39.45,2219800,39.45
2013-08-30,40.25,40.56,39.17,39.26,1066900,39.26
2013-08-29,40.61,40.76,40.24,40.30,749800,40.30
2013-08-28,40.63,41.03,40.38,40.66,1084000,40.66
2013-08-27,41.04,41.23,40.55,40.55,753600,40.55
2013-08-26,41.12,41.61,40.71,41.47,865800,41.47
2013-08-23,41.37,41.54,40.90,41.14,603200,41.14
2013-08-22,41.08,41.61,40.95,41.35,637700,41.35
2013-08-21,40.81,41.43,40.44,40.98,1324700,40.98
2013-08-20,40.48,41.02,40.21,40.88,1831600,40.88
2013-08-19,40.51,41.06,40.12,40.45,1783800,40.45
2013-08-16,41.68,41.78,40.52,40.55,1706700,40.55
2013-08-15,42.37,42.45,41.08,41.89,2578600,41.89
2013-08-14,42.80,43.32,42.80,43.01,1017400,43.01
2013-08-13,43.87,44.12,42.81,42.88,2579900,42.88
2013-08-12,43.87,44.13,43.49,43.75,1497800,43.75
2013-08-09,44.36,44.65,43.89,43.94,1465800,43.94
2013-08-08,44.78,45.05,44.25,44.35,990100,44.35
2013-08-07,45.10,45.32,44.65,44.75,1049500,44.75
2013-08-06,45.93,45.93,45.00,45.07,1215100,45.07
2013-08-05,45.72,46.52,45.32,45.92,1131000,45.92
2013-08-02,45.99,46.00,45.39,45.69,1007900,45.69
2013-08-01,46.61,47.03,45.81,46.00,2809900,46.00
2013-07-31,45.53,46.15,44.91,46.06,3627100,46.06
2013-07-30,49.53,49.87,45.12,45.58,9001900,45.58
2013-07-29,44.46,47.45,44.21,47.23,5011600,47.23
2013-07-26,43.00,44.61,42.91,44.60,1866800,44.60
2013-07-25,43.03,43.35,42.81,43.21,1377200,43.21
2013-07-24,43.48,43.60,42.72,43.08,779900,43.08
2013-07-23,43.17,43.62,42.70,43.42,1675400,43.42
2013-07-22,43.01,43.16,42.20,43.11,2473400,43.11
2013-07-19,42.50,43.99,42.12,43.16,8737100,43.16
2013-07-18,47.34,47.95,47.18,47.31,952300,47.31
2013-07-17,48.68,48.81,46.95,47.25,1032900,47.25
2013-07-16,47.84,49.12,47.74,48.50,1663500,48.50
2013-07-15,48.12,48.27,47.27,47.41,714200,47.41
2013-07-12,47.81,48.03,47.64,47.84,1004200,47.84
2013-07-11,48.78,48.78,47.67,47.81,632900,47.81
