Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,64.71,65,64.39,64.97,2837400,64.52
30-Dec-13,64.26,64.7,64.12,64.65,2190900,64.2
27-Dec-13,64.44,64.46,63.92,64.25,2039900,63.8
26-Dec-13,64,64.28,63.78,64.25,2276500,63.8
24-Dec-13,62.72,63.85,62.71,63.83,1760200,63.38
23-Dec-13,62.89,62.97,62.56,62.74,3031600,62.3
20-Dec-13,62.76,62.98,62.32,62.55,5857000,62.11
19-Dec-13,61.85,62.74,61.78,62.71,4279600,62.27
18-Dec-13,61.4,62.19,60.62,62.19,4157100,61.75
17-Dec-13,60.67,61.41,60.41,61.18,3591800,60.75
16-Dec-13,60.52,61.17,60.52,60.84,4326900,60.41
13-Dec-13,60.16,60.4,59.96,60.24,2728600,59.82
12-Dec-13,60.22,60.41,59.85,59.95,2699000,59.53
11-Dec-13,61.7,61.7,60.2,60.29,3920500,59.87
10-Dec-13,61.25,61.63,61.11,61.44,3350500,61.01
9-Dec-13,61.48,61.6,61.09,61.39,2412300,60.96
6-Dec-13,60.62,61.37,60.58,61.34,2700600,60.91
5-Dec-13,60.16,60.56,59.97,60.11,2525400,59.69
4-Dec-13,60.2,60.6,59.88,60.26,3328000,59.84
3-Dec-13,61.45,61.5,60.32,60.5,5018100,60.08
2-Dec-13,61.76,62.24,61.59,61.74,2836600,61.31
29-Nov-13,61.59,61.8,61.34,61.38,1350800,60.95
27-Nov-13,61.5,61.81,61.3,61.54,1598200,61.11
26-Nov-13,61.61,61.74,61.16,61.32,2147900,60.89
25-Nov-13,62,62.19,61.38,61.58,3772100,61.15
22-Nov-13,61.58,61.72,61.28,61.7,2968500,61.27
21-Nov-13,61.03,61.61,60.97,61.6,2863500,61.17
20-Nov-13,61.6,61.6,60.59,60.79,3915200,60.36
19-Nov-13,61.73,61.82,61.27,61.49,3612700,61.06
18-Nov-13,62.09,62.24,61.62,61.7,4452700,61.27
15-Nov-13,61.79,62.12,61.57,62.11,7327500,61.68
14-Nov-13,61.68,61.8,61.28,61.79,5139500,61.36
13-Nov-13,61.37,61.54,60.37,60.94,6692500,60.51
12-Nov-13,61.97,62.34,61.77,62.05,4900500,61.17
11-Nov-13,61.94,62.09,61.74,62.09,2867900,61.21
8-Nov-13,60.78,62,60.62,62,5001700,61.12
7-Nov-13,61.05,61.46,60.71,60.85,5453500,59.99
6-Nov-13,60.44,60.83,60.2,60.77,3412200,59.91
5-Nov-13,59.83,60.4,59.76,60.3,5299700,59.44
4-Nov-13,60.23,60.75,59.71,60.31,12716000,59.45
1-Nov-13,61.14,61.57,60.84,61.09,4118700,60.22
31-Oct-13,61,61.83,60.91,61.2,4350100,60.33
30-Oct-13,61.46,61.72,60.66,61.02,3724400,60.15
29-Oct-13,61.6,61.74,61.33,61.48,3298300,60.61
28-Oct-13,61.89,61.9,61.33,61.56,3711600,60.69
25-Oct-13,62.57,62.69,61.42,61.9,8823300,61.02
24-Oct-13,60.23,61.58,60,61.38,6697300,60.51
23-Oct-13,60.4,60.55,59.9,60.22,3994200,59.36
22-Oct-13,59.82,60.38,59.33,60.17,5717500,59.32
21-Oct-13,59.46,59.62,59.12,59.46,3020900,58.62
18-Oct-13,59.82,59.87,59.33,59.62,3694200,58.77
17-Oct-13,59.11,59.66,58.87,59.64,2581000,58.79
16-Oct-13,58.57,59.28,58.3,59.06,3132200,58.22
15-Oct-13,58.2,58.7,58.03,58.14,3170500,57.31
14-Oct-13,57.48,58.43,57.48,58.36,3293200,57.53
11-Oct-13,58.36,58.48,57.47,57.93,4457800,57.11
10-Oct-13,57.58,58.33,57.41,58.29,3070400,57.46
9-Oct-13,57.14,57.17,56.46,56.94,4052000,56.13
8-Oct-13,58,58,57.04,57.07,3626600,56.26
7-Oct-13,58.1,58.75,57.89,58.11,2629600,57.28
4-Oct-13,57.75,58.72,57.5,58.65,2244800,57.82
3-Oct-13,58.7,58.88,57.72,57.76,4152000,56.94
2-Oct-13,58.34,59.04,58.29,58.99,3309800,58.15
1-Oct-13,58.57,58.71,58.2,58.69,2623200,57.86
30-Sep-13,58.37,58.88,58.24,58.56,3093900,57.73
27-Sep-13,59.23,59.38,58.94,59.01,2361000,58.17
26-Sep-13,59.32,59.79,59.22,59.51,2671200,58.66
25-Sep-13,59.23,59.73,59.2,59.32,2532700,58.48
24-Sep-13,59.41,59.91,59.18,59.32,2496900,58.48
23-Sep-13,59.49,59.88,59.25,59.41,2388100,58.57
20-Sep-13,60.38,60.74,59.42,59.42,8992500,58.58
19-Sep-13,60.44,60.86,60.27,60.33,3291800,59.47
18-Sep-13,59.48,60.57,59.12,60.44,5385200,59.58
17-Sep-13,59.64,59.92,59.29,59.62,4320100,58.77
16-Sep-13,59.74,59.84,59.24,59.7,4281100,58.85
13-Sep-13,58.24,59.02,58.17,58.88,3302100,58.04
12-Sep-13,58.93,58.96,57.66,58.06,4502500,57.24
11-Sep-13,58.2,58.83,58.09,58.83,3123300,57.99
10-Sep-13,57.96,58.44,57.65,58.04,3818700,57.22
9-Sep-13,57.35,57.83,57.35,57.5,3674000,56.68
6-Sep-13,57.7,57.99,56.53,57.11,5178900,56.3
5-Sep-13,57.65,57.86,57.2,57.61,3008700,56.79
4-Sep-13,56.23,57.55,56.23,57.23,4086400,56.42
3-Sep-13,57.07,57.33,56.09,56.39,3924700,55.59
30-Aug-13,56.69,56.86,56.45,56.62,3173600,55.82
29-Aug-13,56.64,56.92,56.5,56.66,2404700,55.86
28-Aug-13,56.58,56.94,56.26,56.79,3816200,55.98
27-Aug-13,56.92,57.24,56.64,56.75,3035500,55.94
26-Aug-13,57.85,58.16,57.55,57.57,2641300,56.75
23-Aug-13,57.56,58,57.34,57.9,2674500,57.08
22-Aug-13,57.32,57.64,57.17,57.55,1962900,56.73
