Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,56.4,56.94,56.16,56.92,929500,55.87
30-Dec-13,56.78,57.4,56.3,56.37,1111500,55.33
27-Dec-13,56.18,56.91,55.99,56.81,1343700,55.77
26-Dec-13,56.29,56.63,55.83,55.93,833600,54.9
24-Dec-13,55.36,56.48,55.16,56.11,727400,55.08
23-Dec-13,55.85,56.04,55.09,55.39,2111900,54.37
20-Dec-13,55.1,56.07,54.82,55.83,1978900,54.8
19-Dec-13,55.59,55.75,54.78,55.62,2331800,54.6
18-Dec-13,56.2,56.2,55.02,55.91,1769300,54.88
17-Dec-13,56.22,56.35,55.64,56.09,1173100,55.06
16-Dec-13,56.26,56.72,55.88,56.15,1092700,55.12
13-Dec-13,56.43,56.67,56.01,56.19,1218100,55.16
12-Dec-13,56.87,56.9,55.91,56.4,1950800,55.36
11-Dec-13,58.2,58.3,56.74,56.85,1583500,55.8
10-Dec-13,58.6,59.02,58.13,58.26,1024800,57.19
9-Dec-13,58.87,59.2,58.3,58.85,1232700,57.77
6-Dec-13,59.5,59.52,58.51,58.87,1481700,57.79
5-Dec-13,59.93,60.05,59.2,59.32,1193500,58.23
4-Dec-13,59.61,60.31,59.24,60.24,1163900,59.13
3-Dec-13,59.49,60.38,59.26,59.74,1550100,58.64
2-Dec-13,60.17,60.71,59.86,59.92,1381200,58.82
29-Nov-13,60,60.78,59.49,60.05,566000,58.95
27-Nov-13,59.18,60.14,58.75,59.94,1148300,58.84
26-Nov-13,59.26,59.55,58.53,59.35,1397800,58.26
25-Nov-13,60.68,60.68,59.22,59.41,1116900,58.32
22-Nov-13,60.56,60.97,60.12,60.89,1016700,59.77
21-Nov-13,61.21,61.26,60.31,60.7,1170900,59.58
20-Nov-13,60.89,61.67,60.8,61.06,958200,59.94
19-Nov-13,60.19,61.1,59.78,60.86,1388800,59.74
18-Nov-13,61.62,61.63,60.09,60.28,1208200,59.17
15-Nov-13,61.32,61.76,60.79,61.42,1268300,60.29
14-Nov-13,61.28,61.65,60.78,60.92,1223000,59.8
