Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,69.1,69.2,68.76,69.01,2041000,68.26
30-Dec-13,68.8,69.21,68.8,69.11,1573900,68.35
27-Dec-13,68.94,69.27,68.76,68.95,1947700,68.2
26-Dec-13,69.26,69.37,68.66,68.77,2568200,68.02
24-Dec-13,68.87,69.45,68.63,69.28,1426400,68.52
23-Dec-13,69.93,69.93,69.05,69.05,3044700,68.29
20-Dec-13,69.26,69.87,69.09,69.5,3196400,68.74
19-Dec-13,69.46,69.47,68.47,69.19,3073100,68.43
18-Dec-13,68.4,69.79,67.92,69.73,3823400,68.97
17-Dec-13,68.5,68.68,67.97,68.38,2973500,67.63
16-Dec-13,69.1,69.19,68.26,68.51,3504500,67.76
13-Dec-13,68.45,68.64,67.92,68.19,2939600,67.44
12-Dec-13,68.43,68.82,68.11,68.19,3530600,67.44
11-Dec-13,69.25,69.27,68.29,68.33,3492400,67.58
10-Dec-13,69.73,69.91,69.18,69.27,1732100,68.51
9-Dec-13,70.19,70.19,69.36,69.81,2014600,69.05
6-Dec-13,70,70.54,69.71,70.19,2293700,69.42
5-Dec-13,69.8,69.93,69.26,69.6,1990200,68.84
4-Dec-13,69.42,70.25,69.09,69.92,2357200,69.16
3-Dec-13,69.41,69.97,69.04,69.75,2326700,68.99
2-Dec-13,70.13,70.13,69.14,69.61,2622100,68.85
29-Nov-13,70.1,70.66,69.75,69.96,1478000,69.19
27-Nov-13,70.49,70.75,69.74,70.03,2541000,69.26
26-Nov-13,70.99,71.08,70.5,70.5,3158800,69.73
25-Nov-13,71.17,71.32,70.91,70.99,2196400,70.21
22-Nov-13,70.57,71.56,70.21,71.13,3480000,70.35
21-Nov-13,70.2,70.99,69.8,70.75,3432100,69.98
20-Nov-13,71.23,71.35,70.01,70.03,2656400,69.26
19-Nov-13,71.54,71.69,70.83,71.12,2620200,70.34
18-Nov-13,71.82,71.85,71.26,71.54,2422700,70.76
15-Nov-13,71.07,71.8,71.05,71.8,2821700,71.01
14-Nov-13,71.12,71.86,70.96,71.51,2576200,70.73
13-Nov-13,70.6,70.94,70.03,70.92,3678900,70.14
12-Nov-13,72.19,72.39,71.41,71.72,11658900,70.16
11-Nov-13,72.45,72.89,72.02,72.45,1945400,70.88
8-Nov-13,72.66,72.7,71.1,72.43,9150600,70.86
7-Nov-13,73.21,73.53,72.72,72.92,8123300,71.34
6-Nov-13,72.44,73.25,72.22,73.21,2341000,71.62
5-Nov-13,72.56,73.02,72.28,72.45,3639500,70.88
4-Nov-13,72.68,72.71,71.68,72.47,2553300,70.9
1-Nov-13,71.96,72.79,71.88,72.51,2892200,70.94
31-Oct-13,72.03,72.17,70.94,71.73,2822500,70.17
30-Oct-13,72.59,73.06,71.98,72.01,2529100,70.45
29-Oct-13,72.38,72.8,72.18,72.62,1848700,71.04
28-Oct-13,72.31,72.72,72.06,72.37,2665400,70.8
25-Oct-13,71.61,72.4,71.32,72.37,1807700,70.8
24-Oct-13,71.82,71.91,71.29,71.63,2111900,70.08
23-Oct-13,71.04,72.49,71.03,71.71,4412500,70.15
22-Oct-13,70.15,71.4,70.07,71.09,2921300,69.55
21-Oct-13,70,70.2,69.56,70.06,2143300,68.54
18-Oct-13,69.97,70.19,69.72,70.08,2428500,68.56
17-Oct-13,68.8,69.94,68.33,69.8,3028600,68.29
16-Oct-13,68.02,69.03,67.89,69.03,3285900,67.53
15-Oct-13,68.35,68.5,67.56,67.85,3163900,66.38
14-Oct-13,68.6,68.74,67.64,68.58,2289500,67.09
11-Oct-13,68.23,68.87,68.02,68.85,2327500,67.36
10-Oct-13,67.73,68.3,66.9,68.29,2579900,66.81
9-Oct-13,67.31,68.38,67.06,67.51,2986100,66.05
8-Oct-13,66.28,67.52,66.25,67.2,3177200,65.74
7-Oct-13,66.27,66.86,66.15,66.34,1484500,64.9
4-Oct-13,66.3,66.69,66.14,66.43,1525500,64.99
3-Oct-13,66.97,67.02,66.05,66.33,2690300,64.89
2-Oct-13,67.09,67.33,66.75,67.25,1945500,65.79
1-Oct-13,67.45,67.55,66.91,67.27,2455300,65.81
30-Sep-13,66.66,67.2,66.6,66.78,2529200,65.33
27-Sep-13,67.33,67.75,66.69,66.9,2299600,65.45
26-Sep-13,67.32,67.67,67.3,67.65,2034800,66.18
25-Sep-13,68.08,68.2,67.26,67.26,2387500,65.8
24-Sep-13,67.59,67.95,67.46,67.69,2712900,66.22
23-Sep-13,66.97,68,66.7,67.73,2536100,66.26
20-Sep-13,67.98,68.03,66.85,67.36,5327700,65.9
19-Sep-13,68.08,68.55,67.57,67.93,2916500,66.46
18-Sep-13,66.1,68.64,65.83,68.1,3957200,66.62
17-Sep-13,66,66.65,65.98,66.19,3620900,64.75
16-Sep-13,67.49,67.58,65.76,66.03,4418900,64.6
13-Sep-13,65,65.6,64.99,65.55,2587000,64.13
12-Sep-13,65.45,65.69,64.75,64.97,2332500,63.56
11-Sep-13,66,66.01,64.88,65.31,3288300,63.89
10-Sep-13,65.7,65.96,65.27,65.95,1772900,64.52
9-Sep-13,65.5,65.68,65.19,65.57,2389200,64.15
6-Sep-13,65.06,65.77,65.05,65.45,2649300,64.03
5-Sep-13,64.69,64.97,64.42,64.8,2123200,63.39
4-Sep-13,64.99,65,64.16,64.69,2648100,63.29
3-Sep-13,65.89,66.08,64.76,64.96,2316800,63.55
30-Aug-13,65.79,66.16,65.33,65.6,2031600,64.18
29-Aug-13,65.99,66.04,65.48,65.66,1649500,64.24
28-Aug-13,65.91,66.29,65.59,66.05,1671900,64.62
27-Aug-13,65.41,66.41,65.33,65.85,2352000,64.42
