Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,23,23.16,22.63,22.94,3337400,22.94
30-Dec-13,23.14,23.27,22.74,22.89,4375300,22.89
27-Dec-13,23.71,23.77,23.06,23.17,3003900,23.17
26-Dec-13,23.89,23.97,23.54,23.67,1778200,23.67
24-Dec-13,23.93,23.97,23.72,23.83,1076300,23.83
23-Dec-13,23.65,24,23.58,23.86,3941900,23.86
20-Dec-13,23.47,23.62,23.03,23.54,9411800,23.54
19-Dec-13,22.85,23.66,22.66,23.42,6452000,23.42
18-Dec-13,22.83,23.38,22.64,22.86,8074200,22.86
17-Dec-13,22.1,22.84,22.08,22.75,4517800,22.75
16-Dec-13,22.2,22.38,21.85,22.06,6999400,22.06
13-Dec-13,21.79,23.22,21.69,22.22,8719800,22.22
12-Dec-13,21.05,21.25,20.78,20.97,5213700,20.97
11-Dec-13,22.08,22.23,21.04,21.08,8159300,21.08
10-Dec-13,22.07,22.35,21.89,22.06,3405900,22.06
9-Dec-13,22.02,22.45,21.89,22.19,4538500,22.19
6-Dec-13,21.43,22.57,21.05,22.24,8260600,22.24
5-Dec-13,21.53,21.55,20.47,21.01,12841600,21.01
4-Dec-13,21.72,22.4,21.36,22.34,6561900,22.34
3-Dec-13,21.78,22.19,21.47,21.54,5720100,21.54
2-Dec-13,22.28,22.38,21.84,21.9,5386300,21.9
29-Nov-13,22.09,22.48,21.99,22.17,2471100,22.17
27-Nov-13,22.52,22.64,22.04,22.11,5061100,22.11
26-Nov-13,22.69,23.18,22.44,22.52,5231200,22.52
25-Nov-13,23.16,23.32,22.6,22.78,4066400,22.78
22-Nov-13,23.44,23.56,22.72,23.14,4697600,23.14
21-Nov-13,23.03,23.59,22.68,23.39,4615200,23.39
20-Nov-13,23.37,23.5,22.84,23,5860100,23
19-Nov-13,23.96,24.25,23.09,23.32,7940700,23.32
18-Nov-13,24.15,24.58,23.97,24.12,7690600,24.12
15-Nov-13,25.74,25.94,23.87,24.06,11144400,24.06
14-Nov-13,26.39,26.45,25.77,25.96,2817700,25.96
13-Nov-13,26.33,26.49,26.12,26.42,2754100,26.42
12-Nov-13,25.95,26.63,25.8,26.44,4179500,26.44
11-Nov-13,25.67,25.99,25.37,25.99,2643800,25.99
8-Nov-13,25.36,25.95,25.15,25.7,3349500,25.7
7-Nov-13,25.74,25.85,25.3,25.33,4929000,25.33
6-Nov-13,25.71,25.88,25.57,25.74,3679900,25.74
5-Nov-13,25.63,25.69,25.28,25.56,4449100,25.56
4-Nov-13,25.67,25.85,25.36,25.73,4329400,25.73
1-Nov-13,26.24,26.39,25.13,25.63,10724900,25.63
31-Oct-13,25.85,26.98,25.7,26.25,9963800,26.25
30-Oct-13,26.13,27.24,25.69,26,12936900,26
29-Oct-13,24.97,25.08,23.95,24.13,6510900,24.13
28-Oct-13,24.66,24.95,24.54,24.83,4083900,24.83
25-Oct-13,24.87,25.15,24.57,24.75,2343900,24.75
24-Oct-13,24.7,24.91,24.5,24.74,2648200,24.74
23-Oct-13,25.22,25.25,24.41,24.61,3167700,24.61
22-Oct-13,24.49,25.65,24,25.23,7725100,25.23
21-Oct-13,25.1,25.24,24.47,24.5,4032800,24.5
18-Oct-13,24.71,25.07,24.52,25.03,4125700,25.03
17-Oct-13,23.95,24.57,23.94,24.53,4001300,24.53
16-Oct-13,24.09,24.77,24.03,24.21,5751000,24.21
15-Oct-13,24.35,24.65,23.94,23.97,6468800,23.97
14-Oct-13,24.58,24.67,24.28,24.59,5349800,24.59
11-Oct-13,25.21,25.29,24.62,24.72,4891400,24.72
10-Oct-13,24.53,25.24,24.47,25.22,3843000,25.22
9-Oct-13,24.18,24.28,23.68,24.15,4026900,24.15
8-Oct-13,25.26,25.39,24.06,24.07,5554700,24.07
7-Oct-13,25.24,25.6,25.12,25.25,3633100,25.25
4-Oct-13,25.12,25.9,25.06,25.76,2814500,25.76
3-Oct-13,25.65,25.76,25.05,25.08,3791300,25.08
2-Oct-13,25.82,25.99,25.06,25.62,6100300,25.62
1-Oct-13,25.69,26.54,25.55,26.42,5933900,26.42
30-Sep-13,25.59,25.76,25.16,25.55,5138800,25.55
27-Sep-13,26.07,26.24,25.55,25.95,4746800,25.95
26-Sep-13,26.7,26.88,26.13,26.15,2884500,26.15
25-Sep-13,26.54,26.89,26.27,26.6,1695600,26.6
24-Sep-13,26.27,26.68,26.21,26.55,3328400,26.55
23-Sep-13,26.43,26.7,26.18,26.19,3160000,26.19
20-Sep-13,27.02,27.07,26.43,26.54,4571000,26.54
19-Sep-13,27.06,27.24,26.73,26.98,2569600,26.98
18-Sep-13,27.5,27.58,26.57,26.86,5299600,26.86
17-Sep-13,26.87,27.75,26.64,27.6,4402700,27.6
16-Sep-13,27.04,27.32,26.85,26.96,3631300,26.96
13-Sep-13,26.54,27.18,26.52,26.67,3537300,26.67
12-Sep-13,26.71,26.76,26.23,26.39,3597500,26.39
11-Sep-13,26.91,27.05,26.26,26.71,4093100,26.71
10-Sep-13,27.36,27.44,26.83,26.95,3072500,26.95
9-Sep-13,26.93,27.37,26.64,27.11,3585400,27.11
6-Sep-13,27.37,27.41,26.46,26.76,5234900,26.76
5-Sep-13,27.77,28,27.64,27.68,1690500,27.68
4-Sep-13,27.49,28,27.1,27.99,3311600,27.99
3-Sep-13,27.03,27.64,27.03,27.36,3014100,27.36
30-Aug-13,26.98,27.2,26.56,26.64,2997300,26.64
29-Aug-13,27.13,27.7,27.04,27.57,2784900,27.57
28-Aug-13,26.86,27.25,26.66,27.13,2145900,27.13
27-Aug-13,27.49,27.77,26.96,26.99,4285700,26.99
26-Aug-13,28.07,28.11,27.62,27.86,2931100,27.86
23-Aug-13,27.97,28.13,27.83,27.97,3759300,27.97
22-Aug-13,27,27.94,26.95,27.78,2959100,27.78
21-Aug-13,26.58,26.88,26.32,26.66,3303700,26.66
20-Aug-13,26.52,27.92,26.5,26.75,6260600,26.75
19-Aug-13,26.74,27.07,26.52,26.57,3308700,26.57
16-Aug-13,26.36,26.96,26.33,26.89,4219400,26.89
15-Aug-13,26.75,26.75,26.44,26.48,3814700,26.48
14-Aug-13,26.13,26.8,26.12,26.66,3318300,26.66
13-Aug-13,26.7,26.77,26.42,26.55,1733100,26.55
12-Aug-13,26.4,26.85,26.38,26.68,1554400,26.68
9-Aug-13,26.49,26.85,26.49,26.65,1502100,26.65
8-Aug-13,26.4,26.86,26.4,26.64,2817000,26.64
7-Aug-13,26.24,26.52,26.04,26.34,2015800,26.34
6-Aug-13,26.5,26.76,26.22,26.44,2271200,26.44
5-Aug-13,26.41,26.89,26.16,26.53,2610100,26.53
2-Aug-13,26.65,26.65,26.14,26.57,3633900,26.57
1-Aug-13,26.33,26.67,26.07,26.53,4934900,26.53
31-Jul-13,26,26.42,25.93,26.12,4136700,26.12
30-Jul-13,25.77,26.53,25.54,26.07,7516200,26.07
29-Jul-13,25.41,25.86,25.35,25.48,3011200,25.48
26-Jul-13,24.38,25.95,24.35,25.82,6655900,25.82
25-Jul-13,25.26,25.45,24.51,24.64,5764000,24.64
24-Jul-13,25.22,26.98,25.21,25.41,15658200,25.41
23-Jul-13,24.43,24.43,23.8,23.83,3739600,23.83
22-Jul-13,24.46,24.46,23.9,24.01,3073100,24.01
19-Jul-13,24.17,24.35,23.75,24.27,1881700,24.27
18-Jul-13,23.9,24.45,23.85,24.16,2216000,24.16
17-Jul-13,24.3,24.3,23.39,23.81,4703400,23.81
16-Jul-13,24.1,24.39,24.06,24.19,2719800,24.19
15-Jul-13,24.25,24.36,23.98,24.19,4182500,24.19
12-Jul-13,24.25,24.49,23.98,24.32,2703000,24.32
