Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,54.05,54.97,53.99,54.87,6365400,54.87
30-Dec-13,54.45,54.49,53.82,54.01,6119200,54.01
27-Dec-13,54.01,54.48,53.74,54.18,6623100,54.18
26-Dec-13,54.8,54.81,53.71,54.06,10290100,54.06
24-Dec-13,54.74,55.23,54.74,55.17,5520000,55.17
23-Dec-13,54.7,55.32,54.6,55.3,13504300,55.3
20-Dec-13,53.42,54.8,53.37,54.58,17229800,54.58
19-Dec-13,53.12,53.43,52.43,53.4,10219900,53.4
18-Dec-13,52.84,53.18,51.56,53.13,13210000,53.13
17-Dec-13,52.13,53.24,52,52.58,15204200,52.58
16-Dec-13,52.24,53.3,52.01,53.11,13066300,53.11
13-Dec-13,51.65,52.17,51.42,51.55,7322500,51.55
12-Dec-13,51.24,51.96,51.19,51.37,8126500,51.37
11-Dec-13,51.87,52.07,51.31,51.37,8226500,51.37
10-Dec-13,51.63,52.3,51.62,51.92,9549700,51.92
9-Dec-13,52,52.25,51.56,51.69,7912200,51.69
6-Dec-13,51.72,52.41,51.7,52.01,9424400,52.01
5-Dec-13,51.08,51.65,50.83,51.41,9928600,51.41
4-Dec-13,51.29,51.54,50.51,51.09,15464500,51.09
3-Dec-13,51.85,52.23,51.27,51.93,14467900,51.93
2-Dec-13,52.21,53.08,51.23,51.35,24811400,51.35
29-Nov-13,49.77,50.75,49.71,50.52,9636600,50.52
27-Nov-13,49.29,49.86,49.15,49.3,12640200,49.3
26-Nov-13,49.26,49.27,48.06,48.76,23427500,48.76
25-Nov-13,50.72,50.74,48.47,49.04,34903500,49.04
22-Nov-13,50.27,50.52,50.18,50.33,13715700,50.33
21-Nov-13,50.77,50.8,49.93,50.21,17609600,50.21
20-Nov-13,52.48,52.5,49.86,50.39,34262800,50.39
19-Nov-13,52.43,52.5,51.94,52.13,10263300,52.13
18-Nov-13,52.33,52.69,51.73,52.08,12753900,52.08
15-Nov-13,53.02,53.12,52.32,52.6,10586100,52.6
14-Nov-13,53.1,53.48,52.68,52.88,10519100,52.88
13-Nov-13,52.6,53.04,52.47,53.03,7654500,53.03
12-Nov-13,52.05,53.2,51.96,52.83,10732600,52.83
11-Nov-13,52.63,53.08,52.5,52.82,6898900,52.82
8-Nov-13,52.84,53.17,52.47,53,9801600,53
7-Nov-13,53.5,53.85,52.31,52.57,9678000,52.57
6-Nov-13,51.57,53.82,51.12,53.28,25126800,53.28
5-Nov-13,51.27,51.34,50.52,51.08,11340700,51.08
4-Nov-13,51.99,52.28,51.31,51.37,8826800,51.37
1-Nov-13,52.94,52.99,51.85,51.94,12346700,51.94
31-Oct-13,52.73,52.93,52.25,52.71,9047500,52.71
30-Oct-13,53.51,53.51,52.52,52.73,8700100,52.73
29-Oct-13,52.29,53.37,52.08,53.34,12250900,53.34
28-Oct-13,51.8,52.28,51.46,51.97,8541900,51.97
25-Oct-13,52.59,52.92,51.05,51.64,15838100,51.64
24-Oct-13,52.07,52.51,51.85,52.34,9697200,52.34
23-Oct-13,51.75,52.28,51.57,51.73,8359100,51.73
22-Oct-13,52.31,52.36,51.57,51.83,11150400,51.83
21-Oct-13,52.43,52.59,51.6,51.94,14252400,51.94
18-Oct-13,51.58,52.68,50.46,52.2,30618800,52.2
17-Oct-13,50.33,51.87,50.23,51.38,34376200,51.38
16-Oct-13,54.44,54.44,53.16,53.52,19320600,53.52
15-Oct-13,54.59,54.8,53.82,53.97,8912600,53.97
14-Oct-13,54.11,54.78,53.86,54.77,6031500,54.77
11-Oct-13,53.55,54.79,53.49,54.37,8762400,54.37
10-Oct-13,52.88,53.55,52.58,53.42,8850700,53.42
9-Oct-13,53.13,53.23,52.1,52.33,9095900,52.33
