Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,11.58,11.65,11.32,11.59,420500,11.59
2013-12-30,11.46,11.55,11.43,11.55,552900,11.55
2013-12-27,11.48,11.54,11.27,11.50,327400,11.50
2013-12-26,11.54,11.54,11.30,11.43,363400,11.43
2013-12-24,11.41,11.51,11.41,11.48,315800,11.48
2013-12-23,11.37,11.46,11.35,11.41,492600,11.41
2013-12-20,11.03,11.37,10.96,11.35,1448600,11.35
2013-12-19,11.03,11.03,10.78,11.00,462100,11.00
2013-12-18,10.85,11.02,10.74,11.01,638000,11.01
2013-12-17,10.70,10.90,10.70,10.85,267900,10.85
2013-12-16,10.53,10.84,10.53,10.72,476800,10.72
2013-12-13,10.64,10.64,10.43,10.51,426300,10.51
2013-12-12,10.67,10.69,10.58,10.61,483200,10.61
2013-12-11,10.78,10.82,10.53,10.69,715600,10.69
2013-12-10,10.82,10.95,10.69,10.79,563100,10.79
2013-12-09,10.88,10.90,10.74,10.87,357700,10.87
2013-12-06,10.83,10.89,10.74,10.86,440900,10.86
2013-12-05,10.97,10.97,10.65,10.73,501700,10.73
2013-12-04,10.65,10.75,10.52,10.58,418100,10.58
2013-12-03,10.74,10.90,10.69,10.70,375600,10.70
2013-12-02,10.95,10.98,10.76,10.79,490600,10.79
2013-11-29,11.00,11.00,10.92,10.98,191600,10.98
2013-11-27,10.85,11.00,10.79,10.97,387200,10.97
2013-11-26,10.59,10.91,10.48,10.86,670400,10.86
2013-11-25,10.69,10.71,10.58,10.61,308600,10.61
2013-11-22,10.54,10.69,10.47,10.66,648100,10.66
2013-11-21,10.28,10.53,10.23,10.52,627900,10.52
2013-11-20,10.29,10.39,10.19,10.24,268000,10.24
2013-11-19,10.46,10.56,10.25,10.26,677300,10.26
2013-11-18,10.51,10.54,10.41,10.49,464800,10.49
2013-11-15,10.41,10.50,10.34,10.49,449900,10.49
2013-11-14,10.54,10.58,10.40,10.43,420500,10.43
2013-11-13,10.38,10.57,10.30,10.56,335100,10.56
2013-11-12,10.35,10.46,10.27,10.45,325900,10.45
2013-11-11,10.35,10.44,10.22,10.41,275000,10.41
2013-11-08,10.22,10.42,10.17,10.41,446900,10.41
2013-11-07,10.47,10.48,10.21,10.22,382700,10.22
2013-11-06,10.45,10.48,10.27,10.45,454900,10.45
2013-11-05,10.31,10.41,10.20,10.39,442100,10.39
2013-11-04,10.29,10.41,10.20,10.34,512200,10.34
2013-11-01,10.33,10.36,10.11,10.27,905000,10.27
2013-10-31,10.29,10.42,10.27,10.35,552300,10.35
2013-10-30,10.43,10.43,10.20,10.32,613100,10.32
2013-10-29,10.27,10.47,10.21,10.39,785700,10.39
2013-10-28,10.23,10.33,10.21,10.22,554600,10.22
2013-10-25,10.16,10.27,10.07,10.26,693900,10.26
2013-10-24,10.02,10.26,10.02,10.12,1237500,10.12
2013-10-23,10.00,10.07,9.91,10.02,1382700,10.02
2013-10-22,10.38,10.38,10.02,10.10,1714700,10.10
2013-10-21,10.48,10.65,10.47,10.49,432400,10.49
2013-10-18,10.42,10.55,10.35,10.44,843700,10.44
2013-10-17,10.33,10.38,10.21,10.33,485500,10.33
2013-10-16,10.31,10.46,10.23,10.42,710400,10.42
2013-10-15,10.39,10.41,10.23,10.24,505800,10.24
2013-10-14,10.16,10.47,10.03,10.42,628000,10.42
2013-10-11,10.09,10.30,10.02,10.25,670900,10.25
2013-10-10,10.09,10.20,10.03,10.15,991900,10.15
2013-10-09,9.96,10.06,9.91,9.98,1334500,9.98
2013-10-08,9.99,10.01,9.89,9.94,1157800,9.94
2013-10-07,9.95,10.01,9.88,9.97,805900,9.97
2013-10-04,9.90,10.11,9.87,10.03,665600,10.03
2013-10-03,10.03,10.13,9.88,9.92,875900,9.92
2013-10-02,10.10,10.17,10.01,10.07,792700,10.07
2013-10-01,10.12,10.23,10.08,10.21,671400,10.21
2013-09-30,10.11,10.20,10.01,10.16,822500,10.16
2013-09-27,10.00,10.23,10.00,10.20,1197400,10.20
2013-09-26,10.09,10.18,9.98,10.06,493800,10.06
2013-09-25,10.09,10.16,10.02,10.09,721500,10.09
2013-09-24,10.11,10.23,9.99,10.10,882400,10.10
2013-09-23,10.15,10.19,10.06,10.09,987400,10.09
2013-09-20,10.14,10.23,10.10,10.14,1105400,10.14
2013-09-19,10.07,10.18,10.05,10.15,498200,10.15
2013-09-18,10.05,10.10,10.00,10.07,936200,10.07
2013-09-17,10.01,10.10,9.96,10.09,852700,10.09
2013-09-16,10.05,10.05,9.99,10.04,731700,10.04
2013-09-13,9.95,9.97,9.88,9.95,962800,9.95
2013-09-12,10.04,10.06,9.90,9.95,831300,9.95
2013-09-11,9.99,10.10,9.90,10.01,887500,10.01
2013-09-10,10.00,10.10,9.97,10.03,992800,10.03
2013-09-09,9.85,9.97,9.74,9.96,851200,9.96
2013-09-06,9.75,9.91,9.68,9.85,1201600,9.85
2013-09-05,9.65,9.78,9.60,9.73,390600,9.73
2013-09-04,9.41,9.65,9.41,9.62,574900,9.62
2013-09-03,9.52,9.69,9.39,9.42,676300,9.42
2013-08-30,9.59,9.60,9.35,9.40,737700,9.40
2013-08-29,9.50,9.61,9.47,9.60,669600,9.60
2013-08-28,9.38,9.52,9.32,9.50,757900,9.50
2013-08-27,9.38,9.43,9.31,9.38,1390100,9.38
2013-08-26,9.55,9.55,9.39,9.47,935000,9.47
2013-08-23,9.34,9.56,9.25,9.50,734800,9.50
2013-08-22,9.22,9.35,9.22,9.34,353000,9.34
2013-08-21,9.15,9.25,9.07,9.18,641600,9.18
2013-08-20,9.00,9.17,9.00,9.17,654000,9.17
2013-08-19,9.15,9.15,8.97,8.98,791500,8.98
2013-08-16,9.15,9.21,9.09,9.16,482300,9.16
2013-08-15,9.25,9.28,9.11,9.13,714600,9.13
2013-08-14,9.30,9.37,9.29,9.35,544200,9.35
2013-08-13,9.30,9.35,9.24,9.33,581400,9.33
2013-08-12,9.23,9.34,9.23,9.30,1209300,9.30
2013-08-09,9.22,9.35,9.19,9.28,1159100,9.28
2013-08-08,9.18,9.28,9.14,9.24,1071100,9.24
2013-08-07,9.20,9.20,9.04,9.14,544200,9.14
2013-08-06,9.39,9.55,9.21,9.23,699800,9.23
2013-08-05,9.41,9.41,9.29,9.36,861800,9.36
2013-08-02,9.48,9.61,9.40,9.42,610800,9.42
2013-08-01,9.60,9.64,9.49,9.55,852400,9.55
2013-07-31,9.50,9.64,9.42,9.53,671600,9.53
2013-07-30,9.56,9.58,9.39,9.51,664900,9.51
2013-07-29,9.53,9.55,9.36,9.48,1643100,9.48
2013-07-26,9.61,9.68,9.46,9.53,1072500,9.53
2013-07-25,9.63,9.89,9.56,9.72,1123600,9.72
2013-07-24,9.46,9.60,9.38,9.57,1541200,9.57
2013-07-23,10.01,10.01,9.51,9.69,1964700,9.69
2013-07-22,10.00,10.13,9.82,9.83,1126900,9.83
2013-07-19,9.94,10.04,9.85,10.02,1029300,10.02
2013-07-18,10.13,10.17,9.98,9.99,662400,9.99
2013-07-17,10.10,10.12,9.98,10.10,1267000,10.10
2013-07-16,9.97,10.01,9.94,10.01,1253800,10.01
2013-07-15,10.64,10.64,9.92,9.99,2068200,9.99
2013-07-12,9.87,9.87,9.76,9.84,816000,9.84
2013-07-11,10.19,10.19,9.88,9.92,1006700,9.92
2013-07-10,9.82,10.06,9.82,10.03,834700,10.03
2013-07-09,9.83,9.88,9.68,9.86,521800,9.86
2013-07-08,9.80,9.81,9.60,9.74,618500,9.74
2013-07-05,9.67,9.74,9.53,9.74,686600,9.74
2013-07-03,9.31,9.57,9.31,9.48,381300,9.48
2013-07-02,9.46,9.65,9.25,9.40,711100,9.40
2013-07-01,9.45,9.55,9.40,9.44,562100,9.44
2013-06-28,9.50,9.53,9.38,9.39,1445800,9.39
2013-06-27,9.41,9.59,9.37,9.56,786300,9.56
2013-06-26,9.48,9.61,9.35,9.36,378300,9.36
2013-06-25,9.53,9.56,9.33,9.41,1071800,9.41
2013-06-24,9.50,9.70,9.39,9.42,611900,9.42
2013-06-21,9.67,9.79,9.52,9.64,1067400,9.64
2013-06-20,9.64,9.79,9.59,9.63,680900,9.63
2013-06-19,9.99,10.02,9.81,9.86,440800,9.86
2013-06-18,9.85,10.01,9.82,9.97,582700,9.97
2013-06-17,9.94,10.01,9.66,9.80,607100,9.80
2013-06-14,9.93,9.99,9.75,9.80,411300,9.80
2013-06-13,9.74,10.02,9.67,9.96,548100,9.96
2013-06-12,10.00,10.14,9.67,9.74,506200,9.74
2013-06-11,9.95,10.08,9.87,9.95,414700,9.95
2013-06-10,10.12,10.18,10.02,10.10,299600,10.10
2013-06-07,10.03,10.14,9.89,10.06,583900,10.06
2013-06-06,9.87,9.96,9.70,9.91,627000,9.91
2013-06-05,10.18,10.20,9.85,9.86,1045300,9.86
2013-06-04,10.33,10.48,10.15,10.22,617500,10.22
2013-06-03,10.43,10.52,10.20,10.34,1364500,10.34
2013-05-31,10.15,10.46,10.09,10.42,844500,10.42
2013-05-30,10.24,10.28,10.16,10.24,393600,10.24
2013-05-29,10.10,10.26,10.00,10.21,473800,10.21
2013-05-28,10.09,10.23,10.00,10.17,711600,10.17
2013-05-24,9.83,9.99,9.59,9.93,345700,9.93
2013-05-23,9.76,9.92,9.72,9.89,369000,9.89
2013-05-22,9.95,10.10,9.81,9.87,878400,9.87
2013-05-21,9.91,9.97,9.83,9.91,490700,9.91
2013-05-20,9.69,9.90,9.69,9.90,454400,9.90
2013-05-17,9.67,9.78,9.62,9.74,361700,9.74
2013-05-16,9.62,9.75,9.56,9.63,364900,9.63
2013-05-15,9.53,9.68,9.53,9.68,395000,9.68
2013-05-14,9.43,9.60,9.28,9.59,676000,9.59
2013-05-13,9.56,9.56,9.38,9.39,402400,9.39
2013-05-10,9.53,9.66,9.50,9.61,394800,9.61
2013-05-09,9.57,9.59,9.49,9.51,481300,9.51
2013-05-08,9.57,9.74,9.55,9.61,336300,9.61
2013-05-07,9.58,9.67,9.57,9.63,355700,9.63
2013-05-06,9.66,9.72,9.56,9.58,355100,9.58
2013-05-03,9.47,9.80,9.42,9.69,769700,9.69
2013-05-02,9.14,9.41,9.05,9.29,678400,9.29
2013-05-01,9.47,9.58,9.06,9.06,1175300,9.06
2013-04-30,9.52,9.56,9.43,9.48,611500,9.48
2013-04-29,9.51,9.62,9.47,9.50,592200,9.50
2013-04-26,9.64,9.67,9.50,9.51,528700,9.51
2013-04-25,9.63,9.88,9.61,9.68,633200,9.68
2013-04-24,9.59,9.68,9.46,9.63,393900,9.63
2013-04-23,9.39,9.88,8.89,9.63,974900,9.63
2013-04-22,9.35,9.42,9.04,9.33,453900,9.33
2013-04-19,9.18,9.44,9.10,9.31,483400,9.31
2013-04-18,9.26,9.41,9.17,9.19,634700,9.19
2013-04-17,9.58,9.59,9.21,9.24,774800,9.24
2013-04-16,9.51,9.72,9.39,9.71,813500,9.71
2013-04-15,9.52,9.53,9.26,9.37,1011300,9.37
2013-04-12,9.71,9.76,9.46,9.59,616500,9.59
2013-04-11,9.77,9.84,9.62,9.74,395300,9.74
2013-04-10,9.48,9.83,9.48,9.79,555500,9.79
2013-04-09,9.50,9.66,9.39,9.46,380500,9.46
2013-04-08,9.51,9.66,9.34,9.48,443500,9.48
2013-04-05,9.72,9.72,9.40,9.48,478200,9.48
2013-04-04,9.46,9.68,9.36,9.66,633200,9.66
2013-04-03,9.50,9.66,9.36,9.46,661300,9.46
2013-04-02,9.70,9.73,9.41,9.47,579600,9.47
2013-04-01,9.83,9.87,9.53,9.65,594700,9.65
2013-03-28,9.83,9.98,9.72,9.86,465800,9.86
2013-03-27,9.62,9.89,9.62,9.80,794900,9.80
2013-03-26,9.74,9.79,9.65,9.73,309400,9.73
2013-03-25,9.61,9.76,9.56,9.66,505300,9.66
2013-03-22,9.58,9.65,9.53,9.57,521400,9.57
2013-03-21,9.57,9.68,9.46,9.56,1197000,9.56
2013-03-20,9.70,9.70,9.58,9.66,363000,9.66
2013-03-19,9.65,9.78,9.46,9.61,761600,9.61
2013-03-18,9.81,9.90,9.56,9.59,604300,9.59
2013-03-15,10.14,10.14,9.90,9.99,1275400,9.99
2013-03-14,10.05,10.18,10.02,10.18,474500,10.18
2013-03-13,9.98,10.04,9.91,10.04,426700,10.04
2013-03-12,9.90,10.00,9.88,9.99,484800,9.99
2013-03-11,9.90,9.94,9.81,9.92,457400,9.92
2013-03-08,9.94,9.97,9.85,9.95,439300,9.95
2013-03-07,9.85,9.96,9.80,9.84,332400,9.84
2013-03-06,9.84,9.95,9.83,9.86,495900,9.86
2013-03-05,9.56,9.79,9.56,9.77,518700,9.77
2013-03-04,9.50,9.56,9.44,9.47,472700,9.47
2013-03-01,9.52,9.57,9.37,9.55,498200,9.55
2013-02-28,9.51,9.63,9.49,9.51,553100,9.51
2013-02-27,9.44,9.67,9.44,9.53,483900,9.53
2013-02-26,9.45,9.59,9.39,9.52,608300,9.52
2013-02-25,9.61,9.71,9.39,9.42,799000,9.42
2013-02-22,9.59,9.75,9.52,9.64,670300,9.64
2013-02-21,9.72,9.72,9.43,9.51,938100,9.51
2013-02-20,9.93,9.94,9.71,9.73,991200,9.73
2013-02-19,9.79,9.92,9.65,9.90,730600,9.90
2013-02-15,9.96,9.96,9.70,9.74,642700,9.74
2013-02-14,9.82,9.91,9.78,9.88,531600,9.88
2013-02-13,9.93,9.99,9.79,9.82,747900,9.82
2013-02-12,9.69,9.97,9.63,9.88,555100,9.88
2013-02-11,9.70,9.71,9.58,9.64,566600,9.64
2013-02-08,9.66,9.78,9.64,9.68,456900,9.68
