Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,77.06,78,76.84,77.43,453600,77.34
30-Dec-13,75.54,77.57,75.5,76.78,574600,76.69
27-Dec-13,75.31,75.86,74.97,75.35,296400,75.27
26-Dec-13,74.92,75.21,74.35,75,353300,74.92
24-Dec-13,74.54,75,74.01,74.65,113800,74.57
23-Dec-13,73.8,74.59,73.43,74.37,548200,74.29
20-Dec-13,72.46,73.36,72.1,73.31,966700,73.23
19-Dec-13,75.31,75.31,72.84,72.86,532900,72.78
18-Dec-13,74.54,75.88,72.64,75.69,736300,75.61
17-Dec-13,73.91,73.91,72.53,73.09,319600,72.91
16-Dec-13,75.05,75.16,73.54,73.94,442100,73.76
13-Dec-13,73.43,75.02,73.19,73.97,1366000,73.79
12-Dec-13,72.93,73.25,72.26,72.56,622900,72.38
11-Dec-13,74.67,74.67,72.79,72.85,743000,72.67
10-Dec-13,75.3,76.1,74.65,74.73,312700,74.55
9-Dec-13,75.98,76.8,75.32,75.41,447900,75.22
6-Dec-13,75.59,76.53,75.11,75.66,437100,75.47
5-Dec-13,75.13,75.66,74.35,74.52,406300,74.34
4-Dec-13,75.27,76.71,74.61,75.35,406800,75.16
3-Dec-13,76.68,77.2,75.07,75.65,737100,75.46
2-Dec-13,77.87,78.43,76.63,77.12,382700,76.93
29-Nov-13,78.37,78.86,77.66,78,162600,77.81
27-Nov-13,78.49,78.49,77.46,78.37,400600,78.18
26-Nov-13,78.13,78.75,77.75,78.33,407900,78.14
25-Nov-13,78.26,78.91,77.85,78.1,346000,77.91
22-Nov-13,78.61,78.76,77.78,78.24,336500,78.05
21-Nov-13,77.27,78.62,77,78.44,438700,78.25
20-Nov-13,76.63,77.76,76.53,77.01,512300,76.82
19-Nov-13,77.15,77.75,75.78,76.29,766600,76.1
18-Nov-13,79.32,79.39,77.04,77.46,620600,77.27
15-Nov-13,79.27,79.91,78.67,79.1,466700,78.9
14-Nov-13,76.55,79.62,75.99,79.29,1110900,79.09
13-Nov-13,75.19,76.41,74.81,76.31,418700,76.12
12-Nov-13,76,76.59,75.44,75.94,480200,75.75
11-Nov-13,76.21,76.92,75.53,76.77,320000,76.58
8-Nov-13,75.2,76.24,74.15,76.22,429000,76.03
7-Nov-13,77.57,78.39,75.38,75.43,543800,75.24
6-Nov-13,78.35,78.76,76.97,77.41,530900,77.22
5-Nov-13,78.75,78.99,77.43,78.06,353000,77.87
4-Nov-13,76.9,79.67,76.21,79.2,1038100,79
1-Nov-13,75.73,77.37,75.05,76.67,688400,76.48
31-Oct-13,76.3,78.22,73.46,75.01,865200,74.82
30-Oct-13,77.17,77.39,75.6,75.95,561000,75.76
29-Oct-13,77.11,77.47,76.22,77.04,527200,76.85
28-Oct-13,76.66,77.35,76.07,76.73,363500,76.54
25-Oct-13,76.75,77.07,76.21,76.86,504300,76.67
24-Oct-13,73.63,76.91,73.63,76.71,1026800,76.52
23-Oct-13,73.27,73.92,72.67,73.4,238500,73.22
22-Oct-13,73.6,73.96,72.53,73.84,490400,73.66
21-Oct-13,74.82,74.82,72.58,73.01,808900,72.83
18-Oct-13,73.77,74.99,73.66,74.85,724600,74.66
17-Oct-13,71.11,73.56,70.41,73.48,724100,73.3
16-Oct-13,71.13,71.56,70.68,71.31,740500,71.13
15-Oct-13,72.77,73.12,70.64,70.67,1165600,70.5
14-Oct-13,72.41,73.18,71.55,72.88,605900,72.7
11-Oct-13,72.36,73.48,72.16,73.09,697100,72.91
10-Oct-13,71.75,72.86,71.75,72.39,657200,72.21
9-Oct-13,71,71.69,69.18,70.53,839600,70.36
8-Oct-13,72.65,72.87,70.71,70.82,850000,70.64
7-Oct-13,72.39,73.42,71.69,72.79,613200,72.61
4-Oct-13,72.82,73.8,72.82,73.33,741200,73.15
3-Oct-13,73.97,74.3,71.49,72.9,671600,72.72
2-Oct-13,73.51,74.17,72.91,74.1,604900,73.82
1-Oct-13,72.17,74.19,72.17,73.89,1259700,73.61
30-Sep-13,72.39,73.42,72.15,72.55,815900,72.27
27-Sep-13,71.75,73.3,71.43,73.19,832100,72.91
26-Sep-13,71.6,72.33,71.21,71.99,713600,71.71
25-Sep-13,71.86,72.33,70.58,71.42,535500,71.15
24-Sep-13,69.67,72.51,69.49,71.84,842500,71.57
23-Sep-13,70.81,71.14,69.28,69.68,608000,69.41
20-Sep-13,73.01,73.38,70.77,70.96,727900,70.69
19-Sep-13,73.24,73.86,72.43,72.68,724300,72.4
18-Sep-13,71.04,73.14,69.66,72.95,853700,72.67
17-Sep-13,70.25,71.19,70.14,70.89,398500,70.62
16-Sep-13,71.45,72.95,70.13,70.27,561700,70
13-Sep-13,70.14,70.88,69.81,70.76,413800,70.49
12-Sep-13,69.39,70.53,69.1,70.12,627300,69.85
11-Sep-13,69.35,69.88,68.03,69.46,525300,69.19
10-Sep-13,69.29,69.86,68.83,69.51,468000,69.24
9-Sep-13,66.45,68.96,66.24,68.8,1049100,68.54
6-Sep-13,65.1,66.3,64.88,65.5,628900,65.25
5-Sep-13,63.99,64.71,63.99,64.34,418700,64.09
4-Sep-13,64.32,64.9,63.71,64.06,401600,63.82
3-Sep-13,65.42,65.8,63.53,64.25,634000,64
30-Aug-13,64.15,64.71,63.81,64.16,614900,63.91
29-Aug-13,64.25,65.37,63.87,64.12,664300,63.88
28-Aug-13,64.27,65.1,64.24,64.27,432800,64.02
27-Aug-13,64.58,65.03,64.21,64.31,521600,64.06
26-Aug-13,65.57,66.52,65.01,65.62,356500,65.37
23-Aug-13,67.75,67.81,65.44,65.53,493300,65.28
22-Aug-13,66.52,67.96,66.26,67.69,372600,67.43
21-Aug-13,66.29,66.87,65.58,66.02,431300,65.77
20-Aug-13,64.69,67.05,64.45,66.68,337700,66.43
19-Aug-13,65.56,65.56,64.39,64.6,495400,64.35
16-Aug-13,64.89,66.78,64.89,65.59,554700,65.34
15-Aug-13,65.8,66.07,64,65.15,681900,64.9
14-Aug-13,66.92,66.92,65.65,65.95,385800,65.7
13-Aug-13,67.27,67.43,66.34,66.93,564500,66.67
12-Aug-13,66.98,68,66.98,67.21,527500,66.95
9-Aug-13,67.87,68.49,67.34,67.56,842900,67.3
8-Aug-13,66.01,68.76,65.52,67.92,1505400,67.66
7-Aug-13,66.5,67.49,65.73,66,911100,65.75
6-Aug-13,69.41,69.62,66.6,66.82,1006600,66.56
5-Aug-13,69.23,69.79,68.66,69.76,490600,69.49
2-Aug-13,68.35,69.73,65.84,69.55,648100,69.28
1-Aug-13,68.44,69.44,68.29,68.5,757800,68.24
31-Jul-13,67.03,68.6,66.55,67.48,657700,67.22
30-Jul-13,66,67.11,65.15,66.82,734300,66.56
29-Jul-13,66.37,67.19,65.32,65.68,418200,65.43
26-Jul-13,66.12,66.94,66.07,66.55,734700,66.3
25-Jul-13,67.51,68.51,66.01,66.58,891400,66.33
24-Jul-13,68.66,68.95,67.21,67.31,558900,67.05
23-Jul-13,69.53,69.55,68.45,68.53,529500,68.27
22-Jul-13,70.46,70.97,69.06,69.26,590300,69
19-Jul-13,69.29,70.69,69.03,70.48,454300,70.21
18-Jul-13,69.19,70.34,68.92,69.74,461100,69.47
17-Jul-13,68.85,69.33,67.83,69.22,687000,68.96
16-Jul-13,70.1,70.21,68.06,68.35,781400,68.09
15-Jul-13,71.27,72,69.9,70.02,527100,69.75
12-Jul-13,70.69,71.46,70.17,71.29,620700,71.02
11-Jul-13,69.15,70.91,69.15,70.79,1416700,70.52
10-Jul-13,67.52,68.07,65.68,67.55,1103300,67.29
9-Jul-13,65.6,67.75,65.06,67.25,784400,66.99
8-Jul-13,66.05,67.2,64.84,64.93,675500,64.68
5-Jul-13,66.79,66.91,64.69,65.66,697500,65.41
3-Jul-13,64.74,66.39,64.74,66.06,511600,65.81
2-Jul-13,67.27,68.24,65.83,65.93,615900,65.68
1-Jul-13,67.02,68.08,66.74,67.4,765800,67.14
28-Jun-13,68.06,68.35,66.02,66.27,3859900,66.02
27-Jun-13,67.44,68.56,66.59,68.43,856300,68.17
26-Jun-13,66.57,67.4,66.19,66.53,605700,66.28
25-Jun-13,65.65,66.23,65.07,66,950300,65.75
24-Jun-13,64.31,65.4,62.39,64.37,1243100,64.12
21-Jun-13,68.67,68.9,64.79,65.75,1917100,65.5
20-Jun-13,69.63,70.13,67.76,68.1,847800,67.84
19-Jun-13,73,73.45,71.55,71.58,648100,71.31
18-Jun-13,72.78,73.5,72,73.02,370700,72.74
17-Jun-13,72.33,73.41,71.9,72.68,571900,72.4
14-Jun-13,71.93,72.71,71.18,71.51,374000,71.24
13-Jun-13,68.76,72.16,68.28,72,710000,71.63
12-Jun-13,68.66,69.84,68.27,68.55,957800,68.19
11-Jun-13,69.38,70.83,68.38,68.41,533300,68.05
10-Jun-13,71.08,71.37,69.51,70.97,521500,70.6
7-Jun-13,70.34,71.33,69.75,71.05,437500,70.68
6-Jun-13,68.26,69.95,67.79,69.92,620500,69.56
5-Jun-13,69.52,69.93,67.28,68.4,1051600,68.04
4-Jun-13,71.7,72.99,69.1,70,808400,69.64
3-Jun-13,73.98,74.35,70.65,71.78,1455100,71.41
31-May-13,75.05,76.2,73.69,73.75,611700,73.37
30-May-13,75.25,76.22,74.69,75.6,501800,75.21
29-May-13,75.94,76.12,74.28,74.94,497300,74.55
28-May-13,76.02,77.73,75.83,76.83,503900,76.43
24-May-13,74.26,75.52,73.38,75.24,403200,74.85
23-May-13,73.11,75.33,72.25,74.89,657900,74.5
22-May-13,77.11,77.84,73.87,74.28,814300,73.89
21-May-13,76.5,76.86,75.12,76.65,607000,76.25
20-May-13,77.11,77.44,75.9,76.34,533300,75.94
17-May-13,75.7,77.44,75.51,77.3,810500,76.9
16-May-13,74.25,75.74,73.73,75.38,979300,74.99
15-May-13,72,76.07,70.8,74.1,1731100,73.71
14-May-13,71.52,72.55,71.25,72.01,1048500,71.64
13-May-13,72,72,70.93,71.36,698400,70.99
10-May-13,70.72,72,70.54,71.96,772800,71.59
9-May-13,71.53,71.8,70.59,70.73,654000,70.36
8-May-13,70.5,71.73,69.98,71.58,871900,71.21
7-May-13,69.83,70.71,69.04,70.53,818600,70.16
6-May-13,69.42,70.23,68.76,69.77,663400,69.41
3-May-13,68.24,70.23,68.05,69.42,1751200,69.06
2-May-13,65.3,67.46,65.2,67.18,1376800,66.83
1-May-13,67.75,67.82,64.95,65.01,1494000,64.67
30-Apr-13,67.24,68.11,66.78,67.75,6959300,67.4
29-Apr-13,68.75,68.82,67.56,67.68,753900,67.33
26-Apr-13,67.62,68.73,67.62,68.34,766700,67.98
25-Apr-13,67.52,69.13,67.11,68.55,1366700,68.19
24-Apr-13,64.7,66.9,64.7,66.62,993900,66.27
23-Apr-13,64.22,66.2,63.82,65.13,694800,64.79
22-Apr-13,63.19,64.4,62.07,64.22,841000,63.89
19-Apr-13,62.23,63.99,62.23,63.06,635800,62.73
18-Apr-13,64.17,64.39,61.59,62.05,1150800,61.73
17-Apr-13,65.02,65.75,63.24,64.11,1094500,63.78
16-Apr-13,63.33,64.72,63.13,64.56,1173100,64.22
15-Apr-13,64.85,65.07,62.16,62.28,927900,61.96
12-Apr-13,66.92,68.13,65.38,65.82,835900,65.48
11-Apr-13,66.94,68.7,66.82,67.54,662100,67.19
10-Apr-13,67.13,67.76,66.02,67.08,648600,66.73
9-Apr-13,67.53,68.23,66.85,67.1,798200,66.75
8-Apr-13,67.94,69.21,66.42,67.43,1388600,67.08
5-Apr-13,60.99,67.23,60.25,66.83,1978700,66.48
4-Apr-13,61.86,63.27,61.86,62.53,1021400,62.2
3-Apr-13,63.99,64.1,61.39,61.72,1109700,61.3
2-Apr-13,64.74,65.63,63.44,63.8,733500,63.37
1-Apr-13,66.78,67.13,64.16,64.47,750200,64.03
28-Mar-13,67.46,67.7,65.93,66.63,862600,66.18
27-Mar-13,66.3,66.97,64.33,65.96,873800,65.51
26-Mar-13,66.93,67.44,66.21,67,880500,66.54
25-Mar-13,68.22,68.83,64.82,66.54,1922300,66.09
22-Mar-13,69.13,69.39,67.68,67.9,661000,67.44
21-Mar-13,70.61,70.75,68.38,68.78,777600,68.31
20-Mar-13,70.75,71.41,70.74,70.95,503900,70.47
19-Mar-13,70.86,71.92,69.8,70.44,860900,69.96
18-Mar-13,69.98,70.78,69.37,70.3,913900,69.82
15-Mar-13,71.45,71.95,70.64,71.13,1104800,70.65
14-Mar-13,69.97,72.31,69.83,71.49,862700,71
13-Mar-13,69.81,70.6,69.13,69.79,1261100,69.31
12-Mar-13,70.39,70.39,69.02,69.81,802700,69.33
11-Mar-13,70.08,71.1,69.61,70.39,1092400,69.91
8-Mar-13,70.99,72.31,69.65,71.57,897300,71.08
7-Mar-13,69,70.35,66.78,70.03,822000,69.55
6-Mar-13,70.08,71.09,68.72,69.49,930300,69.02
5-Mar-13,67.95,70.46,67.78,69.67,1578500,69.2
4-Mar-13,66.03,68.31,65.95,67.44,1497300,66.98
1-Mar-13,63.5,66.42,63.13,66.34,1626600,65.89
28-Feb-13,63.39,64.71,62.79,64.31,768300,63.87
27-Feb-13,62.01,64.15,62.01,63.4,576400,62.97
26-Feb-13,61.6,62.25,60.06,61.97,909600,61.55
25-Feb-13,63.72,63.93,60.42,60.43,782800,60.02
22-Feb-13,62.39,64.72,62.27,63.5,1049400,63.07
21-Feb-13,62.04,62.04,59.08,61.05,1868200,60.63
