Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,143.01,144.13,143,143.77,1102600,143.61
30-Dec-13,143.48,143.88,142.86,143.05,889300,142.89
27-Dec-13,143.28,143.86,142.74,143.43,923500,143.27
26-Dec-13,142.65,143.52,142.33,143.3,1246400,143.14
24-Dec-13,142.24,142.38,141.14,142,750600,141.84
23-Dec-13,143.31,143.44,141.62,142.19,1461000,142.03
20-Dec-13,139.52,143.73,139.23,142.71,3350200,142.55
19-Dec-13,139.61,140.02,137.76,139.69,2688900,139.54
18-Dec-13,138.1,140.24,137.36,139.72,4825100,139.57
17-Dec-13,139.8,140.17,138.5,139.09,2697000,138.94
16-Dec-13,139.59,140.97,138.88,139.85,3549800,139.7
13-Dec-13,138.01,138.88,137.01,137.9,2583700,137.75
12-Dec-13,136.56,137.53,136.27,136.34,1795700,136.19
11-Dec-13,138.88,139,136.35,136.51,1451900,136.36
10-Dec-13,139.66,140.18,138.22,138.49,1538700,138.34
9-Dec-13,139.82,140,139.11,139.81,1349300,139.51
6-Dec-13,139.99,140.17,139.07,139.39,1216500,139.09
5-Dec-13,137.9,139.67,137.67,138.22,1161200,137.92
4-Dec-13,137.66,140,136.81,138.71,1187900,138.41
3-Dec-13,139.46,140,137.68,138.04,1927300,137.74
2-Dec-13,139.15,140.96,138.73,140.21,1953400,139.91
29-Nov-13,140.45,140.55,138.51,138.7,733100,138.4
27-Nov-13,138.7,140.28,138.51,139.86,1358600,139.56
26-Nov-13,137.3,138.62,137.01,137.81,1495000,137.51
25-Nov-13,137.81,137.98,136.71,137.22,1234500,136.92
22-Nov-13,138.1,138.45,135.94,137.07,1680100,136.77
21-Nov-13,135.32,138.86,135.25,138.38,2920800,138.08
20-Nov-13,134.35,135.74,134.19,134.58,1716000,134.29
19-Nov-13,137.17,137.32,133.93,134,2960600,133.71
18-Nov-13,138.59,139.77,136.79,137.14,2965700,136.84
15-Nov-13,138.46,139.94,137.89,138.65,3644900,138.35
14-Nov-13,135.41,136.5,135.04,136.44,3123700,136.14
13-Nov-13,134.12,135.89,133.33,135.29,3447600,135
12-Nov-13,131.8,136.1,130.81,134.63,4789000,134.34
11-Nov-13,131.98,133.17,131.6,132.52,1805000,132.23
8-Nov-13,130.29,132.73,130.28,132.57,2676700,132.28
7-Nov-13,133.05,133.35,130.25,130.55,2846400,130.27
6-Nov-13,136.81,136.98,131.92,132.77,5439500,132.48
5-Nov-13,134.37,136.89,133.79,136.23,2670600,135.94
4-Nov-13,134.65,136.06,134.09,135.12,2474500,134.83
1-Nov-13,131.77,134.74,131.58,134.65,3728600,134.36
31-Oct-13,132.02,132.56,129.81,131,3417500,130.72
30-Oct-13,133.05,133.84,132.12,132.81,2302000,132.52
29-Oct-13,133.29,133.39,132,133.14,1826700,132.85
28-Oct-13,131.42,133.64,131.23,132.53,3100600,132.24
25-Oct-13,131.96,132.55,131.17,132.06,2464100,131.77
24-Oct-13,130.48,131.99,130.07,131.57,2299400,131.29
23-Oct-13,128.67,130.1,128.26,129.82,2649900,129.54
22-Oct-13,128.87,132.3,128.86,129.69,4792200,129.41
21-Oct-13,126.22,127.87,125.92,127.41,2227800,127.13
18-Oct-13,125.27,126.63,124.71,126.44,2023900,126.17
17-Oct-13,121.98,125.27,121.57,125.19,4344800,124.92
16-Oct-13,119.87,124.35,119.7,123.26,4127600,122.99
15-Oct-13,116.91,122.5,116.85,120.08,6195500,119.82
14-Oct-13,115.29,115.48,114.33,115.37,899800,115.12
11-Oct-13,114.46,115.89,114.01,115.87,1041400,115.62
10-Oct-13,113.9,115.11,113.22,115.06,1246900,114.81
9-Oct-13,112.33,113.14,111.25,112.58,1518900,112.34
8-Oct-13,113.58,114,111.96,112.08,1164200,111.84
7-Oct-13,113.75,114.36,112.61,113.69,1264700,113.44
4-Oct-13,113.44,114.98,113.03,114.73,1143100,114.48
3-Oct-13,114.87,115.17,111.8,113.55,2162800,113.3
2-Oct-13,114.51,115.36,113.92,115.28,1198500,115.03
1-Oct-13,114.24,115.32,113.87,115.26,1456300,115.01
30-Sep-13,112.57,114.75,112.44,114.11,1709900,113.86
27-Sep-13,113.02,113.93,112.92,113.77,1052100,113.52
26-Sep-13,113.97,114.73,112.87,113.56,1660200,113.31
25-Sep-13,115.04,115.13,112.92,113.57,2426100,113.32
24-Sep-13,114.85,115.88,114.59,114.72,1291200,114.47
23-Sep-13,115.17,116,114.12,114.91,2022300,114.66
20-Sep-13,117.48,118.31,116.71,116.83,2624800,116.58
19-Sep-13,114.63,117.38,114.54,116.83,3291200,116.58
18-Sep-13,113.2,116.95,112.5,116.25,6671000,116
17-Sep-13,109.89,111.48,109.79,110.68,2575500,110.44
16-Sep-13,108.85,111,108.56,109.57,2673200,109.33
13-Sep-13,108.72,108.9,106.38,107.24,2974200,107.01
12-Sep-13,110.1,110.12,107.74,108.39,2306500,108.16
11-Sep-13,110.53,110.67,109.52,110.25,1356400,110.01
10-Sep-13,109.78,111.5,109.74,110.59,1677300,110.35
9-Sep-13,108.4,109.19,107.63,109.1,2203000,108.86
6-Sep-13,109.34,109.79,107.4,108.16,1511800,107.93
5-Sep-13,107.47,109.47,107.47,109.05,1460500,108.66
4-Sep-13,107.44,107.9,107.12,107.61,1665800,107.23
3-Sep-13,108.45,108.73,106.78,107.6,1555100,107.22
30-Aug-13,108.76,108.79,106.84,107.36,1194400,106.98
29-Aug-13,108.5,109.5,108.26,108.58,927400,108.2
28-Aug-13,108.45,109.35,107.93,108.5,1119400,108.12
27-Aug-13,110.5,111.12,107.7,108.45,2348200,108.07
26-Aug-13,110.8,113.34,110.75,112.04,2502600,111.64
23-Aug-13,110.61,110.89,109.72,110.69,1193400,110.3
22-Aug-13,108.23,110.79,108.11,110.61,1348700,110.22
21-Aug-13,108.99,109.05,107.51,108.07,1555900,107.69
20-Aug-13,108.6,109.9,108.03,109.21,1525900,108.82
19-Aug-13,108.33,109.2,108.04,108.67,1804400,108.29
16-Aug-13,108.05,108.96,107.43,108.68,1782900,108.3
15-Aug-13,108,108.43,107.34,108.04,2224200,107.66
14-Aug-13,108.61,109.09,107.72,108.63,1219200,108.25
13-Aug-13,108.88,109.73,108.2,108.61,1603500,108.23
12-Aug-13,107.58,109.31,107.47,109.04,1720300,108.65
9-Aug-13,108.53,109.18,107.92,108.22,1134200,107.84
8-Aug-13,108.57,109.29,108.5,109.08,1596400,108.69
7-Aug-13,108.02,108.54,107.53,107.98,1598300,107.6
6-Aug-13,109.33,109.85,108.36,108.77,1567800,108.39
5-Aug-13,109,109.72,108.75,109.42,1429400,109.03
2-Aug-13,108.73,110.08,108.7,109.15,1717600,108.76
1-Aug-13,106.79,110.33,106.54,110,5120900,109.61
31-Jul-13,102,106.96,102,106,5473500,105.63
30-Jul-13,104.13,104.4,103.32,103.56,1241400,103.19
29-Jul-13,104.1,104.57,103.23,103.39,1301400,103.02
